-0.005337+0.0016477i,-0.0042359+0.0023105i,-0.0035513+0.003149i,-0.001573+0.0027191i,-1.3733e-05+0.0018928i,0.000525+0.0020233i,0.0004011+0.0022004i,0.00098114+0.0025008i,0.0017281+0.0023383i,0.0023241+0.00052832i,0.002169-0.00073201i,0.0012665-0.0012644i,0.00090137-0.001853i,0.00043461-0.0019393i,-0.00081545-0.0014088i,-0.0017487-0.00050614i,-0.0013258-0.00052977i,-0.0003683-0.00063422i,0.00092629-5.824e-06i,0.0015071+0.00011029i,0.00058182-0.00033024i,-0.0001989-0.00054788i,-0.00016912+0.00056288i
9.9436e-05+0.00022081i,-5.1179e-05-0.00012149i,-0.00015237-0.0008191i,-0.00034711-0.0018898i,0.00018244-0.00271i,0.00036133-0.0017802i,0.00011574+4.901e-06i,0.00035397+0.00049693i,0.00076541+0.00035017i,0.00091718-0.00010373i,0.00095948-0.00031742i,0.0006197+6.0942e-05i,0.00045175-0.00017844i,0.00079482-0.00049286i,0.00036679+4.3331e-05i,0.00017834+2.8935e-05i,0.00056024-0.00058869i,0.00017924-0.00076712i,-0.00017155-0.00099229i,-1.3793e-06-0.00052558i,0.00031734-0.00034112i,7.724e-05-0.00065862i,0.00032549-0.0006068i
-0.00063552+0.00028101i,-0.00019038+0.00030073i,0.00022926+0.00048172i,0.00068333+0.00044275i,0.00093643-0.00048928i,0.00052696-0.0014692i,0.00035328-0.001923i,0.0004939-0.0014116i,0.00029808-0.00068683i,-3.4861e-05-0.000539i,2.0799e-05-0.00095988i,0.00057619-0.00078481i,0.00078313-0.00036181i,0.00020675-0.00024775i,0.00015702+1.0747e-05i,-7.8081e-05+0.00053571i,0.00026118+0.00048513i,0.0011164-0.00045026i,0.0013992-0.00065571i,0.00083716+6.6915e-06i,-0.00038419+0.00016208i,-0.00059612+0.00011058i,-0.00031503-2.2633e-05i
0.0017457+0.0015328i,0.0013691+0.0011795i,0.0014654-0.0012244i,0.0010237-0.0029994i,0.00038692-0.0021688i,-0.00045662-0.0008094i,-0.00057055-0.0010934i,0.00099671-0.0013692i,0.0015835-0.00018015i,0.00059763+0.00070797i,-7.0661e-05+0.00048035i,-0.00062941-0.0010497i,-0.00021854-0.0016071i,0.00049982-0.00063138i,-0.00042994-0.00031556i,-0.00075565-0.00044546i,-0.00048918+0.00018836i,-0.00055964+0.00066329i,-0.00032237-0.00012552i,0.00014686-0.0005477i,0.00016667-0.00037738i,-0.00016137-0.00015897i,0.00010503+0.00034361i
-0.00069753+0.0002693i,-0.0011917+2.616e-05i,-0.00046198+8.0294e-05i,0.000337-8.7862e-05i,-0.00042212-0.0010822i,-0.0013062-0.0018259i,-0.0010174-0.0017183i,0.00017615-0.00064251i,0.00099422-0.00022793i,0.0013644-0.00014624i,0.00072691-0.00011766i,1.9994e-05-8.3914e-05i,-0.00012279-0.0001878i,8.6599e-05-0.00010409i,4.6116e-05+0.0004018i,-0.00060718+0.00020632i,-0.00039953-0.0005281i,0.00031106-0.00078366i,0.00075579-0.00029587i,0.00065938+0.00028368i,0.00038515+0.00028449i,0.00053117+1.2573e-05i,0.00029873-7.2791e-05i
-0.00081217+0.00017537i,-0.0010506-6.971e-06i,-0.00022234+0.00093496i,0.00078153+0.0011629i,0.00071927+0.00040835i,0.0005955-0.00036673i,0.00052301-0.00090488i,0.00080244+9.1452e-05i,0.0012903+0.00081111i,0.00086763-0.00015979i,0.00053514-0.00061824i,0.0011383-9.1716e-05i,0.00093732-0.00012051i,0.00047993-0.0010086i,0.00024661-0.00090613i,2.7046e-05-0.00069897i,0.0003393-0.000558i,0.00052572+0.00021967i,0.00037328+0.000402i,0.00059432-0.00049199i,0.00079555-0.0004988i,0.00075939+0.00062349i,7.8081e-05+0.0011615i
0.00088261-0.00068376i,0.00030389-0.00045286i,0.00022364-0.00032883i,0.00013059+0.0002684i,-0.00045628+7.283e-05i,-0.00064575+0.00035921i,-0.0011726+0.00096582i,-0.00047115+0.00041103i,0.00081672-0.00034686i,0.0010001-0.00020846i,0.00077476+0.0005924i,0.00033736+0.00083877i,0.00046326+0.0003117i,0.00099227+0.00060638i,0.00086305+0.00079594i,0.00036827+0.00066978i,0.0002127+0.0004837i,0.00060854+0.00046535i,0.00048744+4.4623e-06i,0.00041547-0.00040403i,0.00042341+0.000148i,-0.00025577+0.00040075i,-0.00049233+0.00043772i
-0.00040423-0.00061957i,-0.00026799-0.00012469i,0.00017072-0.00051226i,-0.00025215-0.0012211i,-0.00047011-0.0013811i,0.00016271-0.00044936i,0.00026233+0.0002157i,0.00029738+0.000594i,0.0011703+0.0012166i,0.0014017+0.00070053i,0.00061879-0.0005164i,7.1636e-05-0.00035048i,0.00017581-0.00016337i,-1.8232e-05-0.00042273i,-0.00014993-0.00068713i,-4.6156e-05-0.00049529i,0.00040987-0.00017782i,0.00062703+0.00049974i,0.00017871+0.0011753i,-0.00041873+0.0011849i,-0.00036831+0.0011147i,-0.00028425+0.00060294i,6.9073e-05+0.000304i
0.0010697-0.00033485i,-0.0010007-0.0010137i,-0.0010692-0.0017725i,0.00016921-0.0019327i,-0.00042159-0.0023159i,-0.0011455-0.0017529i,-0.00049458+5.0407e-05i,0.00044236+0.00043331i,0.0012141+3.5132e-05i,0.00084714-0.00064776i,0.0001451-0.00039146i,0.00072776-9.0712e-05i,0.00080407-0.00085176i,0.00040015-0.0015849i,0.00022306-0.0011193i,-0.00055907-0.00081839i,-0.00084583-0.00072261i,-0.00026912+0.00015714i,0.00019749+0.00049782i,-8.4118e-05+0.00020593i,-0.00062232+2.4298e-05i,-0.0012916-3.3082e-05i,-0.0010883-0.00016802i
0.00064635+9.4886e-05i,0.00091659-0.00015158i,0.001199-0.0012244i,0.00046178-0.0013231i,-0.0010341-0.0011313i,-0.00023522-0.00017382i,0.00078403+0.00034725i,0.00029049-0.00022693i,0.00028734-0.00024971i,0.00024271-0.00023856i,-0.00049333-0.00098512i,-0.00042049-0.00077659i,-0.00015783-0.001157i,0.00038187-0.0011376i,0.00053686-0.00043079i,-5.6678e-05-0.00032167i,-0.00031471-0.0001876i,-9.4484e-05-4.0973e-05i,0.00015204-0.00025735i,0.00045662-0.00049274i,0.00023012-0.00052403i,-0.0001129-0.00048668i,-0.0002492-5.2913e-05i
-0.00052126+0.00031363i,-0.00062611+0.001879i,-0.00032645+0.0014046i,0.0012626+0.00016226i,0.0019335-0.00052492i,0.00070312-0.00061999i,0.0011942-0.00050083i,0.0015597-0.00045106i,0.00033402-0.00038265i,0.00058156-4.0102e-05i,0.00048072+0.00034144i,0.0001449+0.00057562i,0.00058538+0.0010816i,0.00063962+0.00088115i,0.00042514-0.00016407i,0.00020995-0.000498i,-0.00031199+0.00020228i,-0.0002215+0.00026849i,-0.00015105-0.00049857i,-0.00059151-0.00071969i,-0.00023966-4.2332e-05i,0.00040358+0.0004626i,0.00079056+0.00020108i
0.0014076-0.00048405i,0.0017726-0.0010266i,0.0017214-0.0013211i,0.00062257-0.0014304i,-2.1287e-05-0.0012736i,0.0003295-0.00072403i,0.00031879-0.00022507i,0.0009199-9.772e-05i,0.00077776+0.00013495i,0.0001011+0.0003067i,0.00026911+0.00045103i,0.00032238+0.00078933i,0.00043148+0.0010347i,0.00067421+0.00086882i,0.00019459+0.00059486i,-0.00023697-8.3522e-05i,0.00031123+2.8626e-05i,0.00037502+0.001018i,0.00013852+0.0008041i,0.00038442+0.00023005i,0.00028922-0.0003234i,-0.00014235-0.00072759i,0.00027497-0.00015288i
-0.00080057+0.0021936i,-0.0013368+0.0015042i,-0.00022941-0.00018749i,0.0016677-0.0010185i,0.0020708-0.00074867i,0.0010187-0.0011739i,0.00092392-0.0005204i,0.0019585+0.00016874i,0.0024088-0.00050461i,0.0022394-0.00038877i,0.0015613-0.00047411i,0.00054857-0.00050974i,7.1434e-05+0.00013122i,0.00059477+0.00092881i,0.001169+0.00061442i,0.00078463-7.8379e-05i,-1.7494e-05-0.0002353i,0.0001512-0.00043882i,0.00034524-0.00053875i,0.00012414-0.00036462i,-0.00030009-0.00026078i,-0.00055141-0.00050809i,0.00032873-0.00043889i
0.00063403-0.0012673i,0.00029358-0.0023534i,-0.0004322-0.0036374i,-0.001207-0.003672i,-0.0018509-0.0027364i,-0.0024213-0.0020643i,-0.0017245-0.00080291i,-4.7391e-05+0.00013654i,0.0010046+0.00034507i,0.00044033-0.00036327i,7.7531e-05-0.00013081i,-0.00052267+0.0002421i,-0.0011142-0.00070465i,-0.00062467-0.00075482i,-0.00021924-1.7402e-05i,-0.00047027+0.00033854i,-0.00063351+0.00052805i,0.00052257+0.00061447i,0.0011486-0.00025988i,0.0010796-0.0011039i,0.00070061-0.00055758i,0.00027212-6.9971e-05i,-0.00011656+0.00046201i
0.0012265-0.00089465i,0.00071548-0.0016884i,0.00087797-0.0014657i,0.001321-0.00056031i,0.00019266+9.8516e-05i,-0.00028197-0.00029469i,0.00023638+0.00018225i,0.00056154+0.00055785i,0.00052587+0.00020217i,0.00046076-0.0001949i,0.00035796-0.00071952i,0.00071109-0.00079192i,0.0011111-0.00050645i,0.00066549-0.00041784i,-0.00026174-0.00039545i,-0.00082206-0.00038303i,-0.000516-0.00043513i,0.00042857-0.00062489i,0.00095745-0.00069407i,0.000705-0.00050088i,6.9682e-06-0.00035935i,-9.1023e-05-0.00043446i,0.00068288-0.00067646i
-0.0017822+0.0013041i,-0.0013195+0.0026235i,-0.00058731+0.0032397i,0.00034366+0.0023084i,0.0012836-8.4034e-05i,0.00094111-0.00055357i,0.00036141-0.000159i,0.00038359-0.00027688i,6.1158e-05+1.0534e-05i,0.00030321+0.0007353i,0.00059162+0.0006684i,0.00055189+2.2773e-05i,0.00042572+0.00048297i,0.00060304+0.00034332i,0.0014613-0.0004167i,0.0014783-0.0009756i,0.00050203-0.00112i,-0.00020387-0.00041527i,3.2907e-05+0.00011199i,0.00014295-0.00060481i,0.00012041-0.00065409i,-0.00025238+0.0001436i,-0.00069231+0.00010119i
-0.00014148-0.00078743i,-0.00051848-0.00044339i,-0.00044673-0.00094929i,-0.00028119-0.0018519i,-0.00054658-0.0019946i,-0.00054064-0.0015047i,0.00011356-0.00068532i,0.00023876-0.00060312i,-0.00021511-0.00089716i,0.000247-0.0001698i,0.00047273+0.00024166i,0.00015331-0.00043507i,7.2888e-05-0.00010975i,0.00011675+0.00016836i,-0.00029972-0.00095676i,-0.00054199-0.0011875i,0.00015776-0.00070801i,0.00089953-0.00063651i,0.00072411-0.00036455i,-0.00047182+8.0691e-05i,-0.0011927+0.0002043i,-0.001404+0.00074168i,-0.00075011+0.00063471i
-0.00058578-0.00091576i,9.1227e-05-0.0010045i,0.00027713-0.00067955i,0.00035172-0.00052328i,-0.00052711-6.1912e-05i,-0.00086339+0.00031947i,-0.00027597+0.0003451i,0.00028958-0.00027859i,0.00018102-0.00052027i,0.0003235-0.00055889i,0.00095729-0.00023463i,0.0012494-0.00049004i,0.00095527-0.0010973i,0.00027623-0.0010046i,-6.2446e-05-5.7486e-05i,0.00033293-8.009e-05i,0.00077128-0.00053713i,0.0003158+0.00043431i,-0.00094903+0.0007017i,-0.0013939+0.00012582i,-0.00043201+5.1229e-05i,0.00012546+0.00086145i,-6.4862e-05+0.0010444i
0.0019489-0.0005351i,0.00026634-0.00012748i,0.00054869+9.3296e-06i,0.00096323-0.00083958i,5.01e-05-0.0019518i,-5.2506e-05-0.0020411i,0.00024843-0.00091761i,0.00063197+7.7315e-06i,0.0013527-0.00032105i,0.0010091-0.00047327i,0.00051641+0.00012618i,-0.00020801+0.00020783i,-0.00058435-0.00039942i,-0.0003937-0.00051048i,5.578e-05-0.0003285i,0.00063627-0.00023825i,0.00059048+0.00041882i,-0.00018538+0.00040587i,0.00023549-5.4705e-05i,0.00045227-0.0006679i,0.00057185-0.00091305i,0.0007561-0.00054508i,0.00059633-7.4574e-05i
0.00027376-0.0004657i,0.00082617+1.2174e-05i,0.00052366+0.0005388i,-8.6689e-05+0.00051325i,-9.5058e-05-0.0010505i,-0.00048379-0.0017681i,-0.00043419-0.0010869i,0.0001186-0.00094134i,0.00065903-0.00024469i,0.00089752+0.00089921i,0.00073835+0.00093176i,0.00037423+8.9579e-05i,0.0005234-0.00017952i,0.00049394+0.0005194i,-0.00011134+0.00067525i,-0.00026041+0.00022582i,0.0001356-1.335e-06i,0.00064439-0.00019576i,0.00074629-0.00048103i,0.00026597-0.00046202i,-4.7365e-05-0.00035992i,-0.00034449-0.00028649i,-0.00053817+1.7078e-05i
0.00032444-0.0010192i,-0.00037664-0.00060697i,-0.00077508+8.7525e-06i,-0.00016742-0.00030705i,0.00026521+0.000128i,-0.00033605+0.00083215i,-5.486e-05+0.00018122i,0.00072003-0.00036779i,0.0013771-0.00014041i,0.0014972+0.00020458i,0.00047125+0.00070644i,-0.00030384+0.00052893i,-6.8928e-05+0.00026216i,0.000461+0.00033i,0.0004955+0.0002159i,0.00010021+5.4745e-06i,0.00027471-0.00038882i,0.00075493-0.00029333i,0.00078898+5.3014e-05i,9.66e-05+2.2199e-05i,-0.00031113-0.00025402i,0.00026553-0.00036843i,-0.00012487-0.00065486i
-0.0007874+0.00056064i,-0.0011462+0.00081945i,-0.00058074+0.00016599i,0.0010416-0.00020562i,0.0017431-0.00066881i,0.0010324-0.0013586i,0.00019066-0.0013696i,0.00089854-0.00023561i,0.0016565-4.1249e-05i,0.0010361-0.00010755i,0.00054605-0.00011215i,0.00063755-1.1625e-05i,0.0010877-0.00020639i,0.0011132-0.00067852i,0.00081806-0.00012659i,0.0009972+0.00069154i,0.00047342+0.00074735i,0.00049365+0.0010854i,0.00084263+0.0016106i,0.00019207+0.0012817i,-0.00041476+0.00049695i,0.0002457+0.00028294i,0.00091272+0.00048455i
0.0012442-0.00018998i,0.0014412-0.0010322i,0.0022467-0.00090883i,0.0015442-0.0012416i,0.0004525-0.0011798i,-0.00074173-0.00037315i,-0.0011035-0.00037226i,0.00065651+0.00023261i,0.0013021+0.00064033i,0.00042711+0.00057052i,0.00053258+0.00019421i,0.00095999-0.00035627i,0.00076947-5.1916e-05i,8.4907e-05-0.00018379i,0.00014164-0.00098565i,-1.972e-06-0.00099805i,0.00013317-0.00024946i,-5.045e-05+0.00022946i,0.00025366+0.00072606i,0.00060026+0.00075393i,0.00017935+0.00051623i,0.00013863+0.00069541i,0.00037258+0.00099809i
0.0011296+0.0017292i,0.0010192+0.0011575i,0.0010963-0.00013711i,0.0011061-0.0019881i,0.0012084-0.0025533i,0.00078405-0.0013119i,0.00048894-0.00067671i,0.0010237-0.0010684i,0.0011695-0.0011052i,0.0015492-0.00087454i,0.0016868-0.0011097i,0.00096817-0.0014324i,0.00095056-0.00085562i,0.00040881+6.4505e-05i,-0.00035712+0.00034595i,-0.00023368-0.00020588i,-5.2819e-05-0.00044447i,-0.00012429+0.00016156i,1.6781e-05+0.00074333i,7.0524e-05-8.3995e-05i,9.8833e-05-0.00086178i,3.6696e-05-0.00061168i,6.8318e-05+0.00018515i
0.0014892+0.00027595i,0.00090816-0.00037829i,0.00091335-0.0017581i,0.0013354-0.0027056i,0.00068133-0.0026408i,-0.00023831-0.0018698i,7.0866e-05-0.00086893i,0.0011722-0.00088346i,0.0014731-0.0011698i,0.00034841-0.0008752i,-0.00032534-0.0004049i,0.00010282-0.00020178i,0.00092525-0.00045247i,0.00060362-0.00048664i,0.00058019-0.00025618i,0.0010813+0.00025679i,0.0010564-5.8847e-05i,0.0011282-0.0003935i,0.0012374-0.00020939i,0.000699-0.00023038i,-0.00047906-0.00051198i,-0.00051996-0.00047201i,-0.00039532-0.00066923i
0.00019826-0.00045659i,-8.7072e-05-0.0020421i,0.00029194-0.0024501i,0.00020709-0.0023479i,2.7925e-06-0.0021888i,-0.00061273-0.001121i,-0.0008943+0.00026517i,0.00012363+0.00047818i,0.000637+0.00044358i,0.00087265-0.0002238i,0.0010129-0.0010116i,4.3843e-05-0.00048451i,-0.00039575+0.00060122i,0.00057583+0.00091129i,0.0010605+0.00091686i,0.00030706+0.00078664i,-0.00051571+0.00012593i,-0.00078709-0.0006028i,-0.00016041-0.00089623i,0.00036301-0.00032699i,7.7512e-05+0.00051777i,5.1317e-05+0.0010801i,-0.00030477+0.0008585i
-0.0011639+0.0012789i,-0.00051361+0.001569i,0.00039952+0.001682i,0.0012288+0.0014036i,0.001916+0.00082344i,0.0017726+0.00017563i,0.00090981-0.00059573i,0.00021076-0.00097769i,-0.00071735-0.00055129i,-0.00030625-0.00049657i,0.00079474-0.00052862i,0.0010913-0.00070221i,0.00060759-0.00061891i,0.00033949+0.00020692i,0.00029134+0.00079i,0.00061281+0.00048869i,0.00079322+0.00019201i,0.00057842+5.8868e-05i,0.00028434-0.00085466i,0.00019361-0.00067843i,-0.00014434+0.0004361i,-0.00014467+0.00052083i,0.00041805-7.4831e-05i
8.7517e-05-0.0013384i,0.00024568-0.00059904i,-0.00013659-0.00025401i,0.00045025+0.00020235i,0.00095219+0.0011889i,0.00035222+0.0016099i,-0.00022246+0.00063003i,7.2839e-05-0.00046371i,0.00048538-0.00041681i,0.00071536-0.00029602i,0.001086-0.00045064i,0.00074412-0.00076595i,0.00042879-0.00097864i,4.2868e-05-0.00048801i,-0.0005314-9.2513e-05i,0.00011448+7.7179e-05i,0.00046171+0.00058501i,0.00021571+0.00080455i,-0.00017546+0.00047425i,0.00024399-4.8664e-05i,0.00036704-0.0001894i,-0.00035783-0.00036304i,-0.00047222-0.00026106i
0.0014277+0.00028457i,0.00054225-0.00098734i,0.00070867-0.0011738i,0.00037064-0.0016631i,-0.00058821-0.0025311i,7.8573e-05-0.0021535i,0.00057678-0.00072239i,0.00041089+0.00017512i,0.00057335+6.6435e-05i,0.00022423+0.00020903i,0.00022809+0.00035809i,0.00047833-0.0003761i,-2.0216e-05-0.0010273i,0.00035909-0.00047574i,0.0006209+5.755e-05i,0.00039189-6.2449e-05i,0.00044428-7.7579e-05i,0.0005904+9.9851e-05i,0.0013308+0.00010336i,0.0016168+6.6464e-05i,0.001042+0.00018151i,0.00041825-2.3108e-05i,4.7767e-05-8.7247e-05i
8.2261e-05+0.00055627i,0.00079424+0.00071368i,0.00064655+0.0011372i,0.0011487+0.00060433i,0.0010632-0.000131i,0.00049729-0.0006736i,0.00073356-0.00034824i,0.0011208+0.00022482i,0.00070181+0.0001897i,0.00042808+0.00038493i,0.00045113-8.466e-05i,0.00081461-0.00033871i,0.00063038-0.00016868i,-0.00023542-1.1087e-06i,-0.00064696+0.00020097i,-0.00041748+8.0002e-05i,0.00030066+0.00033415i,0.00041309+0.00039239i,0.00024275+0.00056941i,0.00015079+0.0007721i,0.00064177+0.00023635i,0.00088351-0.00013774i,0.00036117+0.00025434i
-0.0026568-0.00062918i,-0.0021564+0.00050446i,-0.00244+0.00082062i,-0.0018631+0.0011685i,-0.0013104+0.0012499i,-0.00076509+0.00093856i,1.2948e-05+0.00065151i,0.00059545+0.00029137i,0.0018898-0.00031981i,0.0016238-0.00085211i,0.0011146-0.00048125i,0.0011179+0.0001842i,0.00072689+0.00064385i,-8.0661e-05+2.0656e-05i,-0.00044265-0.00081772i,8.0168e-05-0.00057631i,0.00048968-0.00054084i,-4.4355e-05+0.00012384i,-0.0004411+0.00038343i,-0.00036346-0.00014098i,-0.00041991-0.00026456i,-0.00018151-0.0003272i,0.00050153+5.5535e-05i
-0.001466-0.0011245i,-0.00017374-0.0014187i,0.0008721-0.00038743i,0.0016854+0.00086775i,0.0015271+0.0015294i,0.00097282+0.00152i,0.00066388+0.00052528i,0.0014311-0.00029883i,0.0016394-0.00013704i,0.0010636+0.00034738i,0.00025393+0.00053499i,-0.0001646+0.00022238i,0.00039225-9.2265e-05i,0.00027309-0.00031218i,0.0002168+0.00058658i,0.00040704+0.0011846i,-0.00011142+0.00059692i,0.00043289+6.4667e-05i,0.0011732-0.00079169i,0.000223-0.00085886i,-3.75e-05-0.00019139i,0.00025522+0.0002368i,0.0001856+0.0011584i
0.0015151+0.000235i,-5.638e-05+0.00095393i,-0.0010324+0.00016229i,-0.00046633-0.00059289i,-0.00047334-0.0012179i,-0.00019826-0.0011842i,-0.0002077+0.0005237i,-0.00041297+0.0011236i,0.00060703+0.00024958i,0.0010951-0.00035135i,0.00056635-0.00041235i,0.00029144-1.9608e-05i,0.00029097-0.00013926i,0.00040348-0.00054746i,0.0002717+0.00038601i,6.6454e-05+0.00027248i,1.54e-05-0.00074161i,0.00024348-6.6602e-05i,-4.4232e-05+0.00053613i,-0.00052152+3.2716e-05i,2.9638e-05-4.1692e-05i,0.00036556+0.00025853i,0.00013599+0.00045567i
-0.0011942-0.00067205i,-0.0022075-0.00071321i,-0.0015422-0.00010537i,0.00012334+0.00030106i,0.00075441+0.00019961i,0.00011964-0.00027673i,1.7896e-05-0.00074085i,0.00043109-0.00019678i,0.00078671-0.00011691i,0.00085278-0.00011738i,0.0012264+0.00016242i,0.00093822+0.00017618i,0.0005013-0.00024103i,0.00056986-0.00017886i,1.7356e-06-0.00039319i,-0.00051976-0.00059153i,-1.9478e-05-0.00014362i,0.00052504+0.00064424i,8.0127e-05+0.0011009i,-0.00052255+0.00065404i,-0.00043213+0.00023719i,0.00014333+0.00021037i,-0.00029019-0.00027291i
-0.00096067-0.00045845i,-4.1383e-05+0.00016671i,0.0012355+0.00070124i,0.0015038+0.00037725i,0.0010569-0.00079042i,0.00012129-0.0015807i,0.00011947-0.0014597i,9.3108e-05-0.0014628i,0.00010408-0.00049011i,0.00066309+0.00033809i,0.0012991+0.00035255i,0.0012697-0.00062105i,0.00034771-0.0012379i,2.6448e-05-0.00025743i,0.00050589+0.00039393i,0.00048967+0.00087457i,0.00028453+0.00093826i,0.00016787+0.00052149i,-0.0002924+0.00032397i,0.00016358-5.772e-05i,0.00079121-0.00060399i,0.00071439-0.00090708i,5.4207e-05-0.00043368i
0.0027005+5.1031e-05i,0.0031156-0.0017071i,0.003257-0.0039656i,0.0010903-0.005075i,-0.00043255-0.0056835i,-0.00081989-0.0051414i,0.0003246-0.0041739i,0.0012846-0.0048848i,0.00030802-0.0059105i,-0.0022165-0.0053507i,-0.0036585-0.0036524i,-0.00365-0.00083242i,-0.0034363+0.00093183i,-0.0020699+0.0011084i,-0.00032099+0.0014914i,7.5407e-06+0.00023535i,0.000216-0.00091296i,0.00048007-0.00073985i,0.00090517-0.00033471i,0.000874-1.9883e-05i,0.00021779-0.00012381i,0.00023308+0.00059525i,-0.00012624+0.0016876i
0.0014009-0.00094898i,0.00080186-0.00080242i,6.2115e-05-0.0008118i,-0.00020091-0.00044272i,-0.00031024+5.9681e-05i,-0.00057388+0.00042108i,-0.00043983+0.00059234i,0.00041409+0.00047588i,0.00074742-0.00044379i,-0.00014573-0.0011773i,-9.5924e-05-0.00085123i,0.0013438-0.00031735i,0.0017121+0.00012597i,0.0007105+9.9696e-05i,-0.00033166-0.00035265i,-0.00049385-4.7985e-05i,0.00032024+0.00028726i,0.0012547+0.00034109i,0.0015146-5.9088e-05i,0.00088201-6.1345e-05i,0.00033543+0.00037612i,0.00076204-6.9538e-05i,0.00082573-0.00038472i
0.001151+0.00049464i,0.00072426-0.0014823i,0.001012-0.0020731i,0.0013474-0.0024241i,0.0011724-0.0026129i,0.00016417-0.0020594i,0.00036603-0.0013961i,0.0010497-0.00034974i,0.0016567-0.00040845i,0.0016722-0.0012066i,0.00080858-0.00091289i,0.00041965-0.0006152i,0.00043493-0.0010567i,5.4004e-05-0.00054843i,-0.00012262+0.00041496i,-0.00018187+0.0003855i,-0.00021898+0.0002764i,0.0001249+0.00019567i,0.00022913-0.00075668i,0.00027281-0.00089967i,0.00034027-4.3588e-05i,0.00060997+0.00096786i,0.00041841+0.00053654i
-0.00059185+0.00027094i,-3.934e-05-0.00061103i,-0.00073458-0.00080099i,-0.0014068+0.00010434i,-0.00059545-0.0002426i,-0.0003633-0.00048025i,-0.00018489-0.00023307i,0.00044255-0.00040895i,0.00018907-0.0010079i,-0.00039738-0.00070828i,9.4757e-06+0.000136i,-6.5349e-05-0.0001217i,5.2257e-05-0.00078733i,0.00070304-0.0010311i,-0.00012777-0.0010096i,-0.0007861-0.00069667i,-0.0003702-0.00031716i,-0.00015679-7.8121e-05i,0.00015331+0.00021315i,0.00015536+0.00055694i,-0.00087899+0.00059466i,-0.0011736+0.00047434i,-0.00078856-0.00029277i
-0.0013307-0.00041485i,-0.00053318-0.00020942i,-0.00021122+0.0007848i,-0.00091897+0.00053682i,-0.0012948-9.6686e-05i,-0.0010931+0.00044452i,-0.00035652+0.00051538i,9.2614e-05+0.00030542i,-0.00017009+0.00031258i,9.7057e-05+0.0003703i,8.6676e-05+0.00049337i,-0.0004052-4.3265e-05i,-0.00028709-0.00027818i,0.00019338+0.00026442i,0.00053252+0.00029151i,-7.6189e-05-8.7037e-05i,-0.00087492-0.00021732i,-0.00038836-0.00015342i,0.00061977+0.00055924i,0.000809+0.00010158i,0.00055448-0.0003442i,4.9083e-05+0.00010786i,-0.00044195+2.1234e-05i
-0.00086685+0.00076803i,0.00036473-0.00057588i,0.0014995-0.0016589i,0.0021876-0.00204i,0.00077337-0.0026812i,2.236e-05-0.0033531i,0.00059585-0.0016002i,0.00055035+0.00028747i,0.00051172+0.00017187i,0.00030508-0.00075944i,0.00026317-0.001076i,-9.641e-05-0.0012666i,-0.0004341-0.00098493i,-0.00038631-3.3473e-05i,-0.00050084+0.00011114i,-0.00045439-0.00013524i,-6.2964e-05+2.354e-05i,1.3362e-05+0.00011333i,0.00018982-0.00013438i,-0.00065682-0.00024627i,-0.0011827-0.00042994i,-0.00035299+0.00018431i,1.2254e-05+0.00085297i
0.00025015+0.0012191i,0.0008704+0.00099816i,0.0003424+0.0013753i,-0.00031239+0.00048002i,-0.00062346-0.00091306i,-0.0010485-0.00072424i,-0.00048971-0.0001147i,0.00049611+0.00022409i,0.0012161-0.00012177i,0.0016153-2.8847e-05i,0.0010998+0.00038509i,0.0005918+0.00031983i,0.00010746+0.00030266i,-0.00041875+0.00014824i,-0.00053875+0.00028646i,-0.00035072+0.00057302i,-0.00063786+0.00038331i,0.00020071-0.00017806i,0.00092209-0.0005597i,0.00037623-0.0010098i,0.00011632-0.00058931i,0.00036737-6.8586e-05i,-0.00027289-0.0004003i
0.00045484+0.00062658i,0.00047456+0.00059165i,0.00033677-0.00086473i,0.00059061-0.0016714i,0.00036399-0.0013718i,-0.00076759-0.00090115i,-0.00090892+6.8359e-05i,0.00031618+0.00043938i,0.0010113-3.7701e-05i,0.00080347-0.00032304i,0.00098564+0.00045159i,0.00058034+0.0004136i,0.00018294-0.00029766i,0.00067772+0.00017497i,0.0011486+0.00081567i,0.00081835+0.00065248i,0.00029146+7.4355e-05i,-9.7538e-05-0.00021388i,8.5085e-05+0.00051268i,0.00062556+0.00060432i,0.00028979-4.3665e-05i,-0.00016843-0.0005284i,-0.0001796-0.00016568i
-0.0018848-0.0019539i,-0.0022806-0.0014456i,-0.0016425-0.0018996i,-0.0013051-0.00073186i,-0.00024717+0.001179i,0.00052536+0.0017264i,-0.00035509+0.00057495i,-6.3887e-05-0.00035318i,-1.134e-06-0.00053531i,-0.00041263-0.00025142i,6.4989e-05-0.00054836i,0.00076122-0.00078559i,0.000821-0.00015129i,6.7514e-05+0.0002978i,-0.00037761-0.00012199i,0.00030592-0.00058061i,0.00064584+0.00018566i,0.00020572+0.00084866i,-0.00021025+7.4998e-05i,-0.00032601-0.00041561i,-0.00053783-0.00035469i,-0.00015161-0.00016886i,-0.00010635+0.00015425i
