0.0012176+0.0022256i,-0.000335+0.0011419i,-0.0018137+0.000153i,-0.00234-0.00066404i,-0.0021616-0.00042008i,-0.0016469+0.00040699i,-0.00099886+0.0012556i,-0.00027798+0.001586i,0.00075729+0.00087053i,0.0015559+2.4694e-05i,0.0012352-0.00030066i,0.00044437-0.00042227i,0.00014757-9.0298e-06i,0.00023531+0.00025688i,-0.00049352-9.5461e-05i,-0.0007454+5.1885e-05i,-0.00034519-2.7806e-05i,-0.00023364-0.00055901i,-0.00065571-0.00033037i,-0.00036295+0.00046165i,6.8189e-05+0.00037229i,-0.0001267-0.00017773i,-0.00022736-0.00063833i
0.00096651+0.00038776i,0.0011802-0.00031123i,0.0010462-0.0022747i,0.00093113-0.0035526i,0.0010798-0.0022904i,0.00033526-0.00045121i,-0.0001103-6.919e-05i,0.00021+0.00016604i,-0.00051811-0.00045728i,-0.0010171-0.00098819i,-0.00087817-0.00041373i,-0.00048777+0.00034116i,4.6255e-05+0.00042957i,-0.00013288-7.3477e-05i,-0.00013011-0.00028852i,0.00034522+0.00072148i,0.00028896+0.0010707i,0.00014088+0.00031658i,-0.00017779+0.00017799i,-0.00021595+0.00047688i,0.00018639+0.00022727i,0.00020722+0.00038917i,-0.00022927+0.00053538i
4.1387e-06-0.00086507i,0.0010419-0.0011387i,0.0015236-0.00072656i,0.00071942-8.3319e-05i,0.00080467+2.6322e-05i,0.00035393-0.00034204i,-0.00080194-0.0011055i,-0.0015772-0.0012483i,-0.00082534-0.0010837i,0.00037335-0.00063381i,0.00043052+5.8356e-05i,0.00033525+0.00051356i,0.0008+2.667e-05i,0.00067036+0.00015272i,-0.00018042+0.0010253i,-0.00010226+0.00058055i,0.00050521+0.00021364i,0.00027456+0.0009099i,-0.00052032+0.00053912i,-0.00035662-0.00040047i,-0.00046045+0.00012036i,-0.00046107+0.00081415i,0.00028915+0.00010354i
-0.00062335+0.0011365i,0.0004239+0.0018171i,-3.7924e-05+0.00073865i,-0.0001081+9.154e-05i,0.00065941+2.016e-05i,0.00066297-0.00033999i,3.9437e-05-0.0011449i,-2.1052e-05-0.0013632i,0.00036269-0.00066173i,0.00029058-0.00043603i,0.00026365-0.00029632i,0.00024212-0.00017115i,0.00018459-7.7577e-05i,0.00052771-8.3492e-05i,0.00011791+1.494e-05i,0.00013714+0.00012768i,0.00049022+0.00023951i,0.0001344+0.00052927i,-0.00081647+0.00016611i,-0.0014192-2.9289e-05i,-0.0011752-0.00025643i,-0.00071534+0.0002118i,-0.00017388+0.00025608i
-0.00023518+0.0014955i,0.00090692+0.00068921i,0.0021295+0.00023578i,0.001857-8.8193e-05i,0.00077395-0.00025716i,0.00019065+2.2751e-05i,2.8348e-05-8.1722e-05i,-0.00014763-0.00019494i,-0.00024833-2.465e-05i,-0.000218+0.00017552i,7.7338e-05+0.0003813i,0.00060012+0.00065115i,0.0003362+9.6713e-05i,-0.00010176-0.00040954i,0.00018557-0.00081091i,0.0005771-0.00016505i,2.4961e-05+0.00093461i,0.00040866+0.00055424i,0.00076114+0.0002166i,3.7898e-05-9.7354e-05i,0.00021135-0.000968i,0.00055117-0.00075514i,0.00036629-0.00019977i
0.00059431+0.00041063i,0.00025149+0.00089966i,0.00098677+0.0004748i,0.0013651-0.00021054i,0.00078989-0.00027514i,-0.00022904-0.00093997i,-0.00028645-0.0017313i,-0.00076415-0.0014565i,-0.00083545-0.00095903i,-0.0008949+0.00047983i,-0.00069251+0.00081834i,0.0005052-0.00019694i,0.00077421-0.0004333i,0.0005666+0.00040259i,9.287e-05+0.0011749i,-5.0236e-05+0.0009586i,0.00013867-3.6971e-05i,3.0613e-05-0.0005601i,-9.7213e-05-0.00057136i,0.00047888-0.00026658i,0.00089758-0.00013538i,0.00047137-0.00036069i,-8.5498e-05-0.00034204i
0.00097578+0.0004509i,-2.3964e-05+0.00083727i,-0.00021125+0.00063815i,-0.00044477+0.00083768i,-0.00084873+0.00094821i,-0.00023988+0.00017395i,0.00027504-0.00072618i,-0.00024731-0.00048445i,-0.00052084+0.00014275i,-0.00073027-1.2703e-05i,-0.0010363-0.00010286i,-0.00053153+0.00019425i,-0.0004719+0.001059i,5.4917e-05+0.0010775i,0.00033537-0.00025919i,-0.00037308-0.00079751i,-0.00016787-0.0003456i,0.00061844-0.00084025i,0.0011763-0.00080336i,0.00068338-0.0001736i,-0.00029031-0.000284i,-0.00029996-0.00054675i,0.00034762-0.00029757i
0.0013539+0.0017443i,0.00026843+0.0015402i,0.00042357+0.00050289i,0.00061684-0.00035863i,-0.00048331+3.6974e-06i,-0.0007298-0.00051122i,0.00017234-0.0018769i,8.5564e-05-0.0010737i,-0.00010604+0.00028023i,-8.1221e-05+0.00042497i,4.3652e-05+0.00046522i,0.00038357+9.5158e-05i,2.4249e-05+2.8059e-05i,-0.00049246+0.0008734i,-6.7819e-05+0.00085384i,-0.00010602+0.0002843i,0.00027615-0.00027448i,0.0011007-0.00011922i,0.00078553+6.7146e-05i,-0.00056453-0.00061897i,-0.0011194-0.00098751i,-0.00077794-0.00042232i,-0.00063081-0.00039459i
0.0016505-0.00032223i,0.0019842-0.0012271i,0.0010057-0.0011323i,0.00034203-0.00042239i,0.0010929-0.00016869i,0.0014957-0.00023144i,0.00029896-0.00067684i,-0.00062193-0.00094973i,-0.00025609+0.00012333i,0.00016385+0.00011393i,-0.00025392+0.00036135i,-0.00060885+0.0013842i,-0.00020834+0.0012768i,-0.00021766+0.00073829i,-0.00091343+0.00086515i,-0.00044664+0.0005009i,0.00037196+0.00021585i,0.00054093-0.00014194i,0.0007725-0.00026628i,0.0007139-0.0010752i,0.00075956-0.0012182i,0.00027365-0.00039144i,-0.00040477-0.00044987i
-0.0012558+0.00099733i,-9.7684e-05+0.00099434i,0.00048719-0.0006594i,0.00016626-0.0011686i,-0.00036406-0.00017082i,-0.00043421+0.00018416i,-0.00062988-0.00025765i,-0.00039839-0.00033381i,0.00016512-0.0006691i,-0.00019733-0.00017871i,-0.001332+0.00055016i,-0.0012515-0.00012461i,-4.9068e-05-0.00059072i,0.00065907+0.0003512i,0.0004437+0.0011381i,0.00010254+0.00042024i,0.00041377-0.00071913i,0.00047941-0.0011236i,4.644e-05-0.00039722i,-0.00014089+0.00034753i,-0.00053689+0.00047813i,-0.00092331+0.00025084i,-0.00039942-0.00043674i
0.00099735-0.0003139i,0.00064157-9.5059e-05i,0.00089815-0.0013532i,0.00037873-0.0011959i,-8.089e-05-0.00020342i,0.00018331+9.5585e-05i,-0.00030672-0.00038678i,-0.00056804-0.0010273i,-0.00070347-0.00043042i,-0.00058328+4.5015e-05i,-0.0005673+8.0248e-05i,-0.00060204+0.00059598i,0.00014555+0.00059394i,0.00093876+0.00050934i,0.00017989+0.00066287i,-0.00019408+0.00052941i,-0.00051974+0.00024297i,-0.00047749+0.00011178i,0.00043219+0.00049622i,0.0002885+0.00025242i,3.7582e-05-0.0001528i,-0.00026963+4.7362e-05i,-0.00063027+0.00036142i
9.0178e-05+0.0013356i,0.0011386+0.0018862i,0.0010223+0.0013067i,0.00019414+0.0017184i,1.2322e-05+0.001075i,0.00090958-0.00030627i,0.00085911-0.0013096i,-2.1604e-05-0.0022865i,-0.00082975-0.0015313i,-0.001186-0.00015225i,-0.00037865-0.00037563i,0.00017434-0.00072828i,-0.00040854-0.0010525i,-0.00013554-0.0011334i,0.00076922+9.3662e-06i,0.0011382+0.0005344i,0.00092966+0.00023725i,0.0005662-7.6273e-05i,0.00091514-0.00022781i,0.00093334-0.00021253i,-0.00034153+0.00024892i,-0.00041121+0.00057667i,0.00037017+0.00013243i
0.00020062+0.0027787i,0.0011489+0.0030694i,0.0010418+0.0022189i,0.0012603+0.00097549i,0.0018805-0.00037658i,0.00040758-0.0011388i,-0.0012656-0.0011864i,-0.0014711-0.00052071i,-0.00070611-4.0645e-05i,0.00043461+0.00031953i,0.00064505-2.5103e-05i,-0.00070728-0.00084041i,-0.0013103-0.0013544i,-0.00057168-0.00085275i,0.00057466-0.00026959i,0.0007113-0.00031761i,0.00025282+6.8097e-05i,-0.00018624+0.00048038i,-0.0005441+0.00067743i,-0.00048516+0.00052914i,-0.0001151+0.00051949i,-4.8494e-05+4.3153e-05i,-0.00027706-0.00022463i
0.00072734-0.00029076i,0.0010461+0.0003945i,0.0017216-0.00050758i,0.00035454-0.00049917i,-0.00083665+0.00049243i,-0.00098775+0.0002851i,-0.00083789-0.00024052i,-0.0010419-0.00047849i,-0.00039178-0.00088273i,0.00080665-0.00052306i,0.00051976-1.3869e-05i,0.00052034+0.00023883i,0.00096683+0.00076358i,0.00015169+0.00034936i,-0.0009016+0.00019172i,-0.00044307+0.00065405i,-0.00024445+0.00082937i,-9.2788e-05+0.0014846i,-3.8989e-06+0.0014848i,-0.00073623+0.00071805i,-0.00096692-0.00044249i,-0.00015053-0.00094733i,0.00038564-7.9487e-05i
0.00087019+0.00038725i,0.0010234-0.00071153i,0.0005762-0.00082691i,6.5605e-05+0.00017673i,-0.00043589+0.00033188i,-0.0011941-0.00068835i,-0.0013263-0.0016398i,-0.00051541-0.000481i,-0.00053388+0.00098216i,-0.00082528+0.00037817i,-0.00067731-8.3083e-05i,-0.00034746+0.00011719i,0.00030012+0.00049417i,0.000775+0.00028022i,0.00067265-7.7725e-05i,0.00030003+0.00032757i,-0.0002221+0.00073803i,-0.00074312+0.00027266i,0.0002658-0.00059891i,0.0012798-0.00084088i,0.00063656-0.00019123i,-0.00042628+8.491e-06i,-0.00069636-0.00051619i
0.0011928-2.0844e-05i,0.0012266+0.00027971i,0.00030765-0.00073798i,-0.00063747-0.0010458i,-0.00067691-0.00059722i,0.00036365-0.00073463i,0.00041985-0.00062558i,-0.00024008-0.00083999i,-7.1078e-05-0.00074307i,0.00021139-0.00030101i,0.00039009-0.00044393i,0.00076361-0.00012924i,0.00073081+0.00046236i,9.8895e-05+0.00070538i,-0.00031812+0.000515i,5.8592e-05-0.00050367i,0.00066654-0.0010643i,0.00041037-0.0011917i,-8.8088e-05-0.001014i,0.00013347-0.0012323i,0.00095244-0.0012682i,0.00042864+3.2952e-05i,-5.0118e-05+0.0007602i
0.00020474+0.0014355i,0.00084225+0.0010568i,0.00041288-0.0003118i,0.00093806-0.0010339i,0.00019023-0.0014737i,-4.7327e-05-0.0014799i,8.6631e-05-0.0011848i,-0.0010094-0.0012478i,-0.001272-0.0013245i,-0.00075345-0.0012058i,-3.1104e-05-0.00054391i,0.0012003-0.00018764i,0.0010478-0.00057151i,-0.00043652-0.00067565i,-0.00081682-0.00014052i,-0.00061411+0.00022398i,-0.00051961+0.00040774i,-0.0001764+0.00022901i,-0.00018748-0.00039048i,-0.00037645-0.00043483i,0.00048714+0.00045812i,0.00089806+0.00082879i,0.00049146-0.00021092i
-0.00013577+0.00067731i,-0.00039035+0.0007402i,0.00076479+0.00041635i,0.0014863-0.00045437i,0.0013489-0.00075597i,0.00055727-0.0011347i,-0.00077015-0.00068193i,-0.001404-0.00038275i,-0.00087747-0.00052609i,0.00086305-0.00048404i,0.00096342+0.00012863i,0.00042212+5.0991e-05i,0.0005826-0.00055151i,0.00024112-0.00091417i,6.0499e-06-0.00077069i,0.00032253-0.00029509i,0.00067291-0.00014794i,0.00056746+0.00019986i,0.00022962+0.00016769i,-0.00048523+0.00010466i,-0.0001505+0.0004318i,0.00052307+0.00010322i,-0.00017339-0.00018602i
0.0014428+0.0011358i,0.0024193+0.0014293i,0.002785+0.00055775i,0.0017362-0.00053771i,0.00051264-0.00074989i,0.00036059-0.00094001i,0.00080699-0.0012041i,0.00088917-0.00096719i,0.00099966-0.00042849i,0.00059238-0.0009157i,-0.00069148-0.00093632i,-0.0012378-0.00024178i,-0.0010923-7.0606e-05i,-0.00093221+0.00023394i,-0.0011067+0.00059403i,-0.00082153+0.00021286i,-0.0008215-1.4386e-05i,-0.00048503+0.00017317i,0.00040325+0.00017262i,-2.8625e-05+1.0504e-05i,-4.2634e-07-5.8928e-07i,0.000642-1.2061e-05i,0.00069059-0.0002297i
-0.00058446+0.0017634i,0.0007641+0.0027333i,0.00068033+0.0024979i,-0.00021937+0.001274i,-0.00057087+0.00046906i,-0.00081345+0.00050498i,-0.0015631-0.00016803i,-0.0020424-0.00014457i,-0.0014745+0.00032024i,-0.00038559-0.00034794i,-9.5111e-05-0.00050682i,0.0001479-0.00044674i,0.00024526-0.0011961i,7.1832e-05-0.0016051i,0.00041453-0.0010331i,0.0002327-0.00077104i,-0.00038936-0.00027781i,-0.00050106+0.00066609i,-2.4645e-05+0.0003032i,-4.638e-05-0.00066984i,0.00014369-0.00063426i,0.00063347-0.00047619i,0.00057301-0.00058998i
0.00061793+0.001558i,0.00088912+0.00043225i,0.00032181-0.00083302i,-0.00017915-0.00073655i,-0.00013899-9.2459e-05i,-0.00044024+0.00016743i,-0.0012049-0.0007919i,-0.00077992-0.0006753i,0.00011918+0.00050937i,-0.00031147+0.00083061i,-0.00070935+0.00049861i,-0.00046377-0.00035747i,-0.00030241-0.00049994i,-0.00084153-7.7782e-05i,-0.001041+0.00013151i,-0.00023531-0.00012924i,1.4312e-05-1.6105e-05i,0.00018141+6.5414e-05i,0.00092263-0.00039721i,0.00085781+0.00056532i,9.0355e-05+0.00064076i,-0.00016737-0.00034399i,-0.00012602-4.8124e-05i
4.945e-06+0.0015146i,0.0004858+0.0012842i,0.0015562+0.00034253i,0.0018671-0.00074602i,0.0013931-0.00054778i,0.00042342-0.00040859i,-0.00045467-0.001049i,-0.0009415-0.0012483i,-0.00045107-0.0013266i,0.0001979-0.0013075i,-4.6605e-06-0.0012995i,-0.00058808-0.00078326i,-0.00038954-0.00029779i,-5.8026e-05-0.00025418i,-0.0012193-0.00037198i,-0.0013229+0.00011498i,-0.0010256+0.00099832i,-0.00073764+0.00032203i,8.4135e-05-0.00079794i,2.195e-05-0.00073501i,0.00016261+4.7211e-06i,0.00029444+0.0002794i,-0.00041298-1.1143e-05i
0.00021289+0.0012668i,0.0002385+0.0008065i,0.0010817-0.00058563i,0.00079852-8.214e-05i,-0.00021158+0.00042981i,-0.00062938+0.00047597i,-0.00032011+0.00013548i,-0.00052521-0.00027297i,-0.00035913+2.5203e-07i,-0.00023582-7.4345e-05i,8.6625e-05-0.00016191i,0.00035302+0.00020567i,-3.3459e-06+0.0004122i,-0.00011326+0.00054246i,-0.00041333+0.00032853i,-0.00044856-0.00016849i,-0.00041794-0.00070561i,-0.00025422-0.00053597i,-0.00057337+0.00067756i,-0.0009652+0.00092292i,-2.0843e-05+0.00020705i,0.00088528-0.00025712i,0.00026793-0.00058378i
-0.00040767+0.00069962i,0.00027143+0.0011299i,0.00035634+0.00092309i,-4.708e-05+0.00055166i,3.2411e-05-5.6234e-05i,0.00015674-0.00046729i,-0.00052509-0.00089685i,-0.00033894-0.00038931i,0.00016227+0.00031059i,-0.00071964+0.00048914i,-0.00092946+0.00048485i,-0.0002368+4.0407e-05i,0.00017425-0.00013353i,0.00064397-0.00028901i,0.00030792-0.00021572i,-0.00023128-1.9249e-05i,0.00035162+0.00040224i,0.00049415+0.00066897i,0.00014701+0.00014449i,0.00014052-3.2273e-05i,0.0004151+0.00021776i,0.00022583+6.2001e-06i,-7.0407e-05-0.00016623i
0.0015604+0.0022435i,0.0012359+0.0022284i,0.0014794+0.0015511i,0.0014722+0.00031887i,0.00067078-0.00010295i,-0.00026813-0.00011598i,-0.0010457-0.0011277i,-0.00082917-0.0016547i,0.00017083-0.00056369i,0.0003318+0.00031451i,-0.00027225+5.8388e-05i,-0.00038031-0.00054763i,-2.0807e-05-0.0005307i,3.5423e-05-0.00028467i,-0.00023732-0.00081393i,-0.00036528-0.0012873i,-0.00024931-0.00057578i,0.00074268-0.0001314i,0.00084244+0.00026229i,0.00038124+0.00024602i,0.00054537+0.00035767i,0.00015967+9.3468e-05i,-0.00030507+0.00030204i
0.00077816+0.003852i,0.0018267+0.0030964i,0.0028655+0.0024515i,0.0027081+0.0013402i,0.0018548+0.00060961i,0.00063823-0.00029572i,-0.00059384-0.00026418i,-0.00066025+0.00059174i,0.00034886+0.00076246i,0.00078402+0.0004179i,0.00056809+0.00014909i,0.00015324+0.00029047i,-0.00031165-0.00017234i,-0.00019326-0.00044575i,-0.00025573-0.00061654i,-0.00053303-0.00086421i,-0.00012421-0.00048463i,0.0005027+8.2827e-05i,0.00046605+0.00021778i,8.018e-05-0.00016059i,0.00019872-0.000488i,0.00043487-0.00039616i,-0.00026732-0.00040987i
0.00023456+0.0019958i,-5.6443e-05+0.0011536i,0.0003782+0.00020841i,0.00023622-0.00015348i,-0.00041815-0.00013482i,-0.00058049+0.00050069i,-0.0010739+0.00078562i,-0.0013833-0.00079155i,-0.0013572-0.0013099i,-0.00057196-0.00034822i,0.00012073+0.0001129i,0.00036287+1.0711e-05i,0.00050288-0.00053703i,0.00020565-0.00068567i,-0.00017583-0.00059397i,-0.00025276-0.00018164i,0.00019726+7.7935e-05i,0.00038559+0.00061227i,-0.00012717+0.00078168i,-0.00059898-0.00023278i,-0.00022137-0.0009123i,-3.7329e-05-0.00094588i,-0.00065315-0.00052617i
-1.9491e-05+0.00026347i,0.00023553-0.00011765i,0.00033361-0.0010483i,0.00034831-0.0010895i,0.00069403-0.00036192i,0.00040442+0.00014592i,-0.00057432-0.00017816i,-6.1676e-05-0.00074112i,0.00063409-0.00013019i,6.4782e-05+0.00024047i,-0.00036941+0.00053588i,-0.000521+0.00064595i,-0.00038032+0.00011394i,-0.0001642+0.0004996i,0.00025229+0.00082097i,0.00043123+0.00014754i,0.00035616+0.00023572i,-0.00013471+0.00089235i,-0.00062199+0.00017099i,-0.00068337-0.00073845i,-0.00024017-0.00097943i,1.3668e-05-0.00066084i,-0.00027765+8.8176e-05i
0.0017001-0.002758i,0.0020225-0.0016941i,0.0015336-0.00098312i,0.00079153-0.0015385i,0.0013338-0.0016609i,0.0015869-0.00080617i,0.00066589-0.0007236i,-0.00018502-0.0012106i,-8.4095e-06-0.0010142i,0.00028656-7.5083e-05i,-0.00064341-0.00013871i,-0.00056827-0.00076104i,0.00037305-0.00041589i,0.00094924+0.00040678i,0.00074694+0.00071256i,0.00036318-0.00073832i,0.00059632-0.00085205i,7.0569e-05+0.00025577i,-0.00016949-0.00032345i,-0.00012466-0.00039473i,-0.00063877-0.00016515i,-0.0010906-0.00091653i,-0.0010207-0.00078745i
0.00090831+0.00028133i,0.0008098+0.00076243i,0.00019446+0.00063283i,-0.0010697+0.00076534i,-0.0012733+0.0017498i,-0.00055251+0.0017982i,-0.00036839-5.6635e-05i,-0.00059655-0.0011746i,-0.00051628-0.0012307i,-0.00010584-0.00065322i,0.00051005-0.00019319i,0.00054027-7.6463e-05i,0.000386+0.00068698i,0.00015986+0.00089827i,0.00019664+0.00032266i,0.00052846-4.1977e-05i,0.00077324-0.00025243i,8.9376e-05+0.00011753i,-0.00089947+0.00052705i,-0.00087223+0.00017255i,0.00011391-4.9555e-05i,0.00062092-4.9513e-05i,0.0004112-0.00012467i
0.0016953+0.00010784i,0.00063444+0.00055419i,-0.00048325-0.00025591i,-0.00097905-0.00034369i,-0.0010893+0.00072504i,0.00016601+6.1604e-05i,0.00050415-0.0011892i,-2.849e-05-0.0013005i,0.00050126-0.001117i,0.0008142-0.00052178i,0.00024123+1.8909e-05i,0.00024856+0.00054111i,0.00076929+0.00070144i,0.0004849-0.0002482i,-9.9755e-05-0.00063223i,0.00026149+6.7509e-05i,0.00055478-3.5209e-05i,0.0004961-0.00017439i,0.00056502+0.00010761i,0.00058083-0.00030823i,0.00053398-5.7871e-05i,0.00044879+0.00076054i,0.00065787+0.0012572i
0.0020481+0.0027836i,0.0022472+0.0025317i,0.0022832+0.0010902i,0.001334-0.00064108i,0.0004935-0.0014663i,-0.00048567-0.00087747i,-0.00075754-4.8385e-05i,-0.00022767+0.00013245i,0.00023457+0.00017403i,5.1069e-05+0.00023649i,-0.00080388-0.00032177i,-0.00067683-0.00034736i,-0.00043391+0.0002892i,-0.0016588+0.00043731i,-0.0019636-0.00018452i,-0.00054367-0.00072859i,-2.4663e-05-0.00043167i,-0.00015679+0.00018641i,-0.00014766+0.00071407i,-0.00088771+0.00030086i,-0.00092406+0.00012376i,-0.00088183+0.00057781i,-0.0013026+0.00046102i
0.00013272+0.001018i,0.00047686+0.0013457i,0.00033518+0.00099534i,-6.2277e-06-0.00013978i,-0.00068447-0.0004008i,-0.00085886-0.00065281i,-0.00093294-0.0011518i,-0.0012162-0.0010231i,-0.00047754-0.00040352i,-0.00037804+0.00017449i,-0.00024146+0.0004609i,-0.00049546+0.00025783i,-0.00077988+0.00012902i,-0.00027046-0.00053861i,-0.0002657-0.00076615i,-0.00015341-0.00025414i,0.0010164+0.00097036i,0.00049656+0.0017459i,-0.00060574+0.00091315i,-0.00065484+0.00010678i,-0.00025126-0.0001583i,0.00039886-0.00030559i,0.0003182-0.00027731i
-0.00057166-0.00049627i,-0.0005109-2.9629e-05i,-0.001061+0.0003289i,-0.0011129+0.00040815i,-0.0012109+0.00029583i,-0.0010829-0.00078353i,-0.00012953-0.0014111i,0.00033041-0.00044826i,-1.8428e-06+0.00020334i,0.00047149+2.2411e-05i,0.00053689-0.00042718i,0.00036412+7.096e-05i,0.00017988+0.00067127i,-0.00038182+0.00047013i,-0.00077067+1.235e-05i,-0.00021569+0.00055322i,-0.00023291+0.00080576i,-0.00052809-0.00036337i,-0.00034337-0.00048408i,-6.9773e-05+0.00024968i,0.00044422+0.00010929i,5.4667e-05-0.00024216i,-1.93e-06+0.00019459i
