4.622e-05-0.0023387i,0.00062736-0.0024963i,0.00015264-0.0013318i,-0.00025377-0.00081605i,-4.7498e-05-0.00024404i,0.0011082+0.00064699i,0.0013689+0.0013998i,0.00099345+0.0012378i,0.0012034+0.00069237i,0.0018386-0.00035271i,0.001675-0.0014724i,0.00051493-0.0013024i,4.3204e-05-0.00096853i,0.00049799-0.0012366i,0.00052739-0.0011533i,0.00019644-0.0002047i,-9.5994e-05-0.00054027i,2.9228e-05-0.00032029i,0.00082097+0.00071635i,0.00041448+0.00070321i,-0.00041234+0.00031603i,-0.00049699-0.00011059i,-0.00050462-0.00076028i
0.0022182+1.8322e-05i,0.0019268-0.0013483i,0.0014892-0.0019802i,0.00079591-0.0016844i,-0.00057157-0.0013859i,-0.00097269-2.6426e-05i,-0.00047138+0.00097414i,-0.0006958+0.00031688i,0.00013451-9.1659e-06i,0.00064415-1.335e-05i,0.00020258+0.0005425i,0.00063315+0.00057496i,0.0012087-0.00041274i,0.00074845-0.00053019i,-4.987e-05+0.00025522i,0.00037311+0.00035858i,0.00033435+0.00059565i,8.9153e-05+0.00064891i,0.00079667-6.5339e-05i,-4.3351e-05-0.00038526i,-0.00037953-0.00056364i,-0.00031583-0.00027229i,-0.0010341+4.4296e-05i
0.00027086-0.001044i,0.0001906-0.0019032i,-0.0010793-0.0012952i,-0.0014797-0.00017653i,-0.00097103+6.6144e-05i,0.00028763+0.00015608i,0.00098985+0.00042569i,0.00052434-0.00018976i,-0.00055196-0.00047875i,-0.00050321+0.0006055i,-1.7437e-05+0.00058474i,-5.9414e-06+9.5053e-05i,1.1632e-05+0.00018452i,0.00013351+3.5097e-05i,7.4394e-05+0.0002045i,-0.00035663+0.00021798i,-0.000793+0.00045586i,-0.00042865+0.00044114i,0.00035244-0.00032504i,0.00029636-0.00051414i,0.00024259+0.00071211i,0.00012241+0.001113i,0.00026897+0.00019583i
2.9046e-05-0.00050945i,0.00031122-0.0018912i,-0.00038606-0.0024011i,-0.00055586-0.0016642i,0.00024389-0.0017737i,0.00025011-0.0015043i,-4.9599e-05-0.00083075i,-5.1886e-05-0.00058356i,-0.00047551-0.00029535i,1.2664e-05-0.00017389i,0.00031491+0.00011798i,0.00070334+0.00033073i,0.00040138-8.3531e-05i,-0.00022179-0.00050058i,0.00029819-4.4777e-05i,-0.00023269+0.00076755i,-0.00076252+0.00012241i,8.0268e-05-0.0001071i,0.00043481+0.00058119i,0.00023903+0.00049068i,-7.7391e-05+0.00022737i,-0.00040201+4.4197e-06i,-0.00021999-0.00090866i
0.0010415-0.0028378i,0.00090622-0.0035245i,0.00045451-0.0031527i,-0.00011319-0.0014452i,-0.00028922-8.3372e-05i,0.00044403-6.1413e-05i,0.0015207-0.00052638i,0.0013825-0.00069796i,0.00071497-0.00097539i,0.0003642-0.00075774i,-6.3752e-05-0.00043548i,0.00011396-2.621e-05i,0.00036444+0.00015238i,9.237e-05+0.00013689i,0.00012937+0.00032844i,-2.869e-05+0.00021779i,-0.00066827+0.00061205i,-0.00034634+0.001498i,8.9735e-05+0.0015338i,9.3559e-05+0.00092949i,-0.0002514+4.3621e-05i,-0.00080428-0.00036335i,-0.00080118+0.000163i
0.0018868-0.00042695i,0.00094028-0.00038121i,0.00084766-0.001163i,0.00091205-0.0012651i,-9.7765e-05-0.0018854i,-0.00030254-0.002333i,0.00053338-0.0012935i,0.00065099-0.0010251i,0.00017924-0.0014296i,-0.00044096-0.0012128i,-0.00042445-0.00051963i,-0.00012135-9.4644e-05i,-3.3912e-06-0.00010435i,-0.00017012+6.1427e-05i,0.00035289-0.00024172i,0.00034325-0.00047199i,0.00042134-0.00048571i,0.0009556-0.00048655i,0.0011825-0.00036899i,0.00064769+0.00014767i,-0.00036373+0.00026666i,6.2819e-05+1.3668e-05i,0.00010779+0.00062828i
0.00030748-0.0007695i,0.00063459-0.0010462i,0.00039671-0.00023469i,0.0006596-0.0006673i,0.0013413-0.0016303i,0.00094374-0.0019374i,0.00038905-0.0014366i,0.0010135-0.00081599i,0.0016092-0.00055587i,0.00083311-0.00026516i,0.0001082+0.00010502i,3.7406e-05+0.00036832i,-0.00039195+0.00060295i,-0.00034798+0.00066102i,-0.00022135+0.00055163i,-5.06e-05+0.00066495i,-0.00039067+0.001025i,-0.00062007+0.00068014i,2.0773e-05-0.00020179i,0.00023678-0.00011601i,5.1036e-05-0.00039567i,1.7971e-06-0.00054366i,0.00034824-7.7709e-05i
0.0003016-0.0013682i,0.0010346-0.0017685i,0.0013517-0.0024214i,0.00042506-0.0013504i,0.0005891-1.485e-05i,0.0017726+0.0001937i,0.0020395+5.8281e-06i,0.0016757+0.00013326i,0.00030573+0.0003486i,-0.00042752+0.00055321i,-0.00040769+0.00058687i,-0.00024736+0.0005324i,-0.00026796+0.0010473i,-0.00018019+0.00081152i,0.00031326-0.00010906i,-0.00036441-0.0006165i,-0.00058012-0.00096548i,0.00049296-0.00036095i,0.00029827+0.00093585i,-0.00050695+0.00041533i,-0.00068021+0.0001223i,-0.00030112+0.00052405i,-8.4115e-06-9.4772e-05i
0.00042062-0.0023403i,9.5628e-05-0.0026177i,0.00018307-0.0017845i,0.00033656+0.00029462i,0.0011624+0.00096648i,0.001704+0.00049144i,0.0016315-0.00010269i,0.0012669-0.00035386i,0.00067793-0.00030239i,0.00020698-0.00049755i,5.1046e-05-0.00036822i,-0.00013338+9.2815e-05i,-0.00049625+0.00067073i,-0.00087843+0.00011892i,-0.0011482-0.00023745i,0.00010266-0.00010443i,0.0010095+2.2844e-05i,0.00055047-0.00012843i,0.00031805+5.1515e-05i,0.0003706+9.9737e-05i,0.00014679+0.00015108i,0.00027646+0.00085266i,3.2834e-05+0.00095998i
0.001702-0.001147i,0.00090938-0.0015629i,0.00036004-0.001722i,-0.00069858-0.0023363i,-0.00014689-0.0023086i,0.00051426-0.0012821i,5.3715e-05-0.00028406i,0.00066444-0.00053776i,0.0011466-0.00018693i,0.00018536-8.7406e-05i,-0.00022381+0.00011282i,0.00050535+0.00075274i,0.00048013+0.0010816i,-0.00060611+0.00031402i,-0.00081855-0.00094831i,-0.00014124-0.00072025i,0.0002141+0.00050768i,-0.00015304+0.00081158i,-0.0009131+0.0013256i,-0.0008944+0.0014128i,-0.00063635+0.0011614i,-0.00063746+0.00064629i,-0.00073636+0.00031617i
0.0022202-0.0016056i,0.0016221-0.0018315i,0.00059421-0.0017213i,0.00056128-0.0012957i,0.0006134-0.00075147i,0.0011987-0.00053551i,0.0022595-0.0003778i,0.002737-0.00031322i,0.0018937-0.00063547i,0.00076373-0.00067545i,0.00040787-2.8578e-05i,0.000713-0.00010582i,0.0005515-0.00044058i,0.00028-0.00052985i,0.0010614-0.0003116i,0.0016716+0.00010998i,0.0011617+0.00021991i,0.00065509+0.0013026i,-8.7513e-05+0.0016603i,-0.00036833+0.00089701i,0.00048943+0.00013978i,0.00046726-0.00085114i,0.00030415-0.0010315i
