-0.0023494-0.00030526i,-0.0016983-0.00048248i,-0.0018359+0.00031826i,-0.0014924+0.0013076i,-0.0010685+0.0021759i,-0.00014711+0.0017259i,-0.00025685+0.00083149i,-0.00022704+0.0010288i,0.00060429+0.0020201i,0.0011439+0.0017084i,0.0016606+0.00017233i,0.0008304-0.00085752i,-0.0001612-0.0012172i,-4.2007e-05-0.00095648i,0.00072532-0.000431i,0.0012283-0.00074944i,0.00092718-0.0008533i,-0.00025419-0.00042937i,-0.0006426-0.0010647i,-0.00072111-0.0013181i,-0.00083581-0.00076908i,-0.0009314-0.00039305i,-0.00025552-0.00037642i
0.00067186+0.00061295i,0.0021934+0.0013174i,0.002468+0.0021261i,0.001032+0.0017023i,-0.00013933+7.4096e-05i,0.00013513-0.00069267i,0.00043841+0.00030406i,0.00072565+0.0007165i,0.00093822+0.00059555i,0.00083918+0.00093727i,0.00062675+0.00071225i,-6.1516e-05-0.00029037i,-0.00063682-0.0011691i,-0.000708-0.00044291i,-0.00068961+0.00057284i,3.4971e-05+0.0012406i,0.00058739+0.00084021i,6.5606e-05-0.00012095i,-0.00030069-0.00057985i,6.2406e-05-0.00038696i,0.00025569+0.00017092i,7.7392e-06+0.00033356i,-0.00052248+0.00051561i
-0.0010249-0.001938i,-0.00093799-0.0021417i,-0.0018515-0.0018471i,-0.0017899-0.0010275i,-0.00043737-0.00092046i,0.00043323-0.00038381i,0.0010847+0.00025079i,0.0013821+0.000427i,0.00044458+0.00069688i,0.00045172+0.00076724i,0.00069715+0.0010045i,-0.0002239+0.00092389i,-0.00065541+0.00013125i,-0.00033471+0.00027476i,-0.00028199+0.0014864i,-0.00040846+0.0012163i,-0.00030863+0.00029389i,0.00026975-0.00055087i,0.001162-0.00022308i,0.0011001+0.00042161i,0.0001246+0.00039411i,0.00023632+0.00043639i,0.00034611+0.00068881i
0.00046921-0.00039384i,-0.00018983+0.0012585i,-0.00083017+0.0024203i,-0.00089923+0.0012679i,-0.00064303+0.00016906i,-0.00061952-7.1721e-05i,7.5313e-05-0.00032589i,0.0013922-8.895e-05i,0.0014346-1.8597e-05i,0.00083168-0.00012215i,0.0012187+3.4689e-05i,0.0016635+0.00041287i,0.00056733+0.00063264i,-0.00038099-3.8012e-05i,-0.00013419-0.00046334i,0.00018862-0.00045211i,0.0001986-0.00019296i,-0.00017369-0.00038903i,-0.00014901-0.0012895i,4.9432e-06-0.00092059i,-0.00011873+8.7996e-05i,-0.00024221-8.8147e-05i,0.00012822-8.3068e-05i
-0.0022675+0.0017298i,-0.0012464+0.0010052i,-0.00016748+0.00028476i,0.00043139+0.00070483i,0.0011283+0.0009536i,0.0011617-0.00011708i,9.2801e-05-0.0012117i,-0.00021404-0.00094081i,0.00045695+0.00057565i,0.00058611+0.0014135i,0.00051316+0.0010865i,0.0002763+5.2048e-05i,-0.00022889-0.00058453i,-0.00025867-0.00011854i,-0.00023123+0.00070068i,-0.00024368+0.00085846i,0.00057309+0.00088293i,0.0012338+0.00082955i,0.00055177-0.00051807i,-0.00021626-0.0014594i,-0.00053034-0.00093367i,-0.00047185-0.00063727i,3.0128e-05-0.00052015i
0.00041698-0.00056959i,0.00052842+5.2257e-05i,0.00086731+0.0019665i,-0.00023525+0.0013941i,-0.0008105+0.00031588i,-0.00018589+0.00020175i,0.00026816-0.00058692i,0.0010121-0.00018273i,0.001398+0.00042994i,0.0013597-0.00010395i,0.0014074-0.00033432i,0.00086491-0.0005283i,0.00027465-0.00054193i,0.00067426-0.00038019i,0.00049032-0.00051434i,0.0001404+5.9391e-05i,0.00024669+0.0006038i,0.0001517+0.00051612i,0.00015232-0.00020105i,0.00014965-0.000488i,0.00026758+0.00011425i,5.7323e-05+0.00051443i,-0.00034414+0.00041454i
0.00034837-0.00016369i,0.00016932-0.00051878i,-0.00022191-0.0010831i,-0.00075767-0.00077107i,-0.00088227-0.00057307i,-4.8542e-05-0.0012385i,0.00043689-0.001255i,0.00014123-0.00076531i,0.00077347-0.0002172i,0.00075724+0.00043108i,4.1461e-05+0.00025225i,5.9476e-06-0.00033059i,-0.00036952-7.3118e-05i,-0.00043525-3.5027e-05i,0.00011233-0.00023812i,-0.0004069-3.6123e-05i,-0.00062206-3.4034e-05i,-0.00023096-0.00033905i,-0.00054879-0.00041932i,-3.9613e-05-0.00081386i,0.00080374-0.00089929i,0.0009347-0.00065007i,0.00071604-0.0004803i
-0.00061887-0.00034979i,-0.00083987+0.00075123i,-0.0014992+0.001139i,-0.0014488+0.00083944i,-0.0010701+0.00059831i,-0.00061412+0.00054848i,-9.5542e-05-0.00017945i,-9.6331e-05-0.00050255i,-0.0001579-0.00036863i,3.742e-05-0.0003075i,0.00047793+0.00018945i,0.00060503+0.00040983i,4.2496e-05-0.00010521i,-0.00011609-0.00015066i,6.1119e-05+0.00015236i,0.00018455+0.00027758i,0.00070675+0.00027762i,0.00072457-0.00028943i,0.00030778-0.0011835i,-8.1897e-05-0.00090773i,-5.8545e-06+0.00019704i,0.00014728+0.00038184i,-0.00015782-7.269e-05i
-4.0188e-05-0.000868i,-0.00020704-0.00046785i,-0.0013491-0.00026148i,-0.0017178-0.0003296i,-0.0012806+0.00043494i,-0.00010152+0.00053149i,0.0010751+0.00010349i,0.00060826-7.9877e-05i,3.0456e-05-0.00023514i,0.00023719+0.00016869i,0.00023409+0.00048871i,0.00077788+0.00037181i,0.0014128-9.0262e-05i,0.001372-0.00054757i,0.0012043-0.00045236i,0.0010069-7.279e-05i,0.00033431-0.00019604i,0.00021158-0.00030186i,0.00048144-0.00015834i,-7.2988e-05-0.00043205i,-0.00040888-0.00056361i,4.4524e-05+0.00015066i,0.00051575+0.00068048i
-0.0013929-0.0010708i,-0.002694-0.00097341i,-0.0020069-0.0010036i,-0.0012559-0.00031715i,-0.0010231+0.00081051i,-0.00024355+0.0013606i,0.00067996+0.00083556i,0.00065307-0.00024631i,0.00024861-0.0006218i,0.00022174-0.00028293i,0.0001816-5.9361e-05i,0.00050791-0.00046246i,0.00069085-0.00065369i,0.00012346-5.3577e-05i,0.00014616+0.00023285i,-0.00010837+0.0003472i,-0.00016968+0.00048388i,-8.494e-05+0.00039182i,-0.00025509+0.0003803i,-4.4865e-05+0.00021325i,0.00048312-0.00060482i,0.0003468-0.00087142i,0.00021171-0.00016825i
0.00012865-0.0012583i,-0.00052635-0.0016066i,-0.002042-0.00075309i,-0.0018102+0.0012719i,-0.00084322+0.0015273i,-0.00020012+7.6129e-05i,0.0012089-0.0013577i,0.0020721-0.00086473i,0.0017321-1.825e-05i,0.00092326-0.00029719i,4.9152e-05-0.00088955i,0.00010439-0.00038613i,-0.0001962+7.4411e-05i,-0.00098953-0.00053328i,-0.00093801+3.1506e-05i,-0.00038949+0.0010121i,0.00046533+0.00083269i,0.0010527+0.00031934i,0.00075347+9.923e-05i,-0.0001915+0.00026949i,-0.00027878+0.00047832i,-0.00035645+0.00044119i,-0.00064826+0.00051771i
0.00030638+0.0010686i,0.00062229-0.00063532i,0.00050762-0.0009044i,0.00055365+0.00041751i,0.0015462+0.00076084i,0.0016646-0.00075901i,0.00043576-0.0011518i,-0.00033901-0.00068439i,6.0473e-06-0.00020337i,0.00021881+0.0011554i,0.00051442+0.0013503i,0.00090428+3.0927e-05i,0.00067361-0.0004412i,0.0003572-0.00040856i,0.00061715+9.3706e-05i,0.00077493+0.0007804i,0.00014335+0.00021038i,0.00012798-6.0441e-05i,0.00018519+1.8432e-05i,-1.1507e-05-1.6143e-06i,0.00054289+0.00057446i,6.0616e-05+0.00021094i,-0.00073047-0.0004969i
0.00070017-0.0010904i,0.001426-0.0010615i,0.0018512-0.00046791i,0.0022267-0.0010575i,0.00095317-0.001728i,-0.00053651-0.00081379i,0.00011228+0.00059401i,0.00015115+0.00083294i,-0.00011465+0.00049047i,0.00040686+1.6506e-05i,0.00099671-0.00061883i,0.00051857-0.00052779i,-0.0008844-7.6093e-05i,-0.00089684-0.00040662i,0.0001756-0.00095574i,0.00092863-0.00077765i,0.00053037-9.5053e-05i,0.00029854-0.00020794i,-2.938e-05-0.00036482i,-6.0557e-06-0.00029642i,0.00046255-0.00043134i,0.00031784-0.00024239i,0.0001186-0.00019981i
0.00018912+0.00051126i,0.00040176+0.00089822i,-0.00061801+0.00094419i,-0.0014737+0.00144i,-0.00072727+0.0015603i,9.4123e-05+0.00066097i,0.00014993-0.00040798i,-0.00014172-0.00057593i,0.00019219+4.5016e-05i,0.0012646-0.00042581i,0.0009888-0.00059751i,0.00039888+0.00034135i,0.00044427+0.00064023i,0.00038321+9.5947e-05i,4.7015e-05-0.0003445i,-0.00069134-0.00024609i,-0.00018397+8.1448e-05i,0.00090432+4.9518e-05i,0.00052739-0.00012666i,0.00014702-0.00034627i,0.00033838-0.00027908i,0.00045842+0.00017213i,9.64e-05-0.00012404i
0.00029668-0.0009815i,0.00016767-0.0020012i,0.00074152-0.0021369i,0.00087496-0.0013053i,-0.00010757-0.00090163i,-0.00056891-0.00094225i,-0.00019877-0.00035816i,0.00013505+7.1475e-05i,0.00045711-0.00044737i,8.4252e-05-0.00066556i,-0.00076048-3.9769e-05i,-0.00029738+0.0006491i,0.00032845+0.00088849i,8.5677e-05+0.00068335i,1.2192e-05-2.8086e-05i,0.00051322-0.00096337i,0.0010374-0.00091775i,0.0010151-5.7643e-05i,0.00036589+0.00019223i,0.00066286-0.00017873i,0.0010983-0.00049651i,0.00058522-0.0001842i,-5.2289e-05+0.00027324i
0.00026923+0.0022255i,0.0009007+0.0010529i,0.0011934+0.00030216i,0.0009814-0.0006044i,0.0012931-0.0011907i,0.00056342-0.0015644i,0.00032052-0.0019841i,0.00097943-0.0011403i,0.00082181+0.00011985i,0.00021221+0.00062725i,0.00015717-0.00037616i,0.00023834-0.0011153i,0.0003812-0.00087097i,0.00050367+0.00026528i,0.0001436+0.0014831i,0.00022388+0.0014198i,0.0011535+0.00082547i,0.0013633+0.00063102i,0.00025494+0.00077349i,-9.081e-05+0.00091849i,0.00031983+0.00047897i,0.00031694+0.0002068i,-0.00025244+0.00030857i
-0.00059401-0.00012558i,-0.00073408-0.0013881i,-0.00055764-0.00043307i,0.00033865+0.00058949i,0.00032467+0.0013806i,0.00039887+0.00056091i,0.00062132-0.00062327i,0.00018487-0.00046825i,0.0006755+0.00014514i,0.0015594+0.00079253i,0.001689+0.00094993i,0.001298+0.00045409i,0.00027136-0.00024562i,-0.00021557-0.00036891i,-0.00042875+6.9155e-05i,-0.00011001+0.00059929i,0.00066091+0.00091019i,0.00073111+0.0008839i,0.00029689+0.00068209i,-0.00010042+9.6888e-05i,-0.00033879-0.00040565i,-0.00042959-0.00059339i,7.9961e-05-0.00036347i
0.0011967+0.00072863i,0.0017523+0.00078095i,0.0017069+0.00038024i,0.0011062+0.00012652i,0.00099542-0.00017383i,0.00086197-0.00022024i,0.00053704+0.00012603i,0.00023759+0.00053149i,0.00023855+0.0003001i,0.00091924+0.00021149i,0.00071969+0.00066658i,0.00020759+1.1647e-05i,0.0003689-0.00043779i,9.9262e-05-0.00034923i,0.0001079+0.0001965i,0.00074791+0.0003278i,0.0011381-0.00039919i,0.00063931-0.00046116i,-4.7827e-06-0.00053319i,-0.00043804-0.00093021i,-0.00044909-0.00045591i,0.00044746+2.9383e-05i,0.0010024+0.00025916i
-0.00091951-0.00076777i,-0.0011072-0.00058238i,-0.0010074-0.0015875i,-0.00078039-0.0011094i,-0.0006767-0.00065421i,-0.00020006-0.00090334i,0.00058461-0.00080297i,0.00086308-0.00027507i,0.00052664+4.2184e-05i,0.00015637+0.00067021i,-0.00055383+0.0010935i,-0.00060855+0.00082471i,0.00015223+0.00028851i,0.00015692+0.0002839i,-0.00017606+0.00077674i,-0.00013242+0.0016703i,-0.00029819+0.0018815i,-1.5672e-05+0.00073866i,9.5834e-06+0.0002611i,-0.00031314+8.7366e-05i,5.3832e-05-0.00015432i,0.00029646-9.8557e-05i,-0.00035642-0.00039269i
-0.0017727-0.00044815i,-0.0015324+0.00025204i,-0.00027856+0.00087872i,-0.00032637+0.0009812i,-0.00081115+0.0014318i,-0.0002762+0.0012213i,0.00052848+7.8322e-05i,0.0006912-3.0278e-05i,0.00039301+0.00095027i,0.00061524+0.00089096i,0.001206+0.0004162i,0.0011952+0.00035034i,0.00039511-0.00022286i,-0.00013059-0.00059838i,-3.444e-05+0.00023434i,-0.00065914+0.00086534i,-0.00084029-2.8116e-05i,0.00026349-0.00022296i,5.5951e-05-6.5863e-05i,-0.00050691-0.00025852i,-0.00022781-0.00028305i,0.00011951-0.00026532i,0.00043439-5.3244e-05i
-0.00020084-0.0002306i,-0.00088331-0.00063018i,-0.0016697-0.00054091i,-0.0010993+0.00084764i,0.00046843+0.002i,0.00070327+0.001344i,9.6382e-05+1.3651e-05i,0.0001526-0.00026435i,-4.0233e-05+0.00033244i,-0.0002273+0.00094212i,-0.00021378+0.00094579i,0.00028434+0.00072496i,0.00039082+0.00012147i,4.9528e-05-0.00068759i,-9.0948e-05-4.0771e-05i,0.00060361+0.00040883i,0.0010512-9.668e-05i,0.00095677-0.00035344i,0.00046278+0.00044314i,-0.00024592+0.00059306i,-0.00016329-0.00016688i,0.00036725-0.00015036i,0.0002458+0.0010432i
-0.0014681-0.00032655i,-0.0016619-0.00046316i,-0.0015709-4.9625e-05i,-0.0010097+0.0010352i,-0.00059349+0.0013746i,-0.00024504+0.00080378i,0.00070131-0.00054807i,0.0013288-0.00075087i,0.00088562+2.05e-05i,0.00023458+0.00022119i,0.00021407-0.00010326i,0.00020293-0.00053924i,0.00032485-0.00087553i,0.00066332-0.00077546i,0.00019589-0.00043433i,-1.9977e-06-0.00030985i,0.00055779-0.00055699i,0.00080626-0.00054407i,0.00048166-3.0168e-05i,0.00061447+0.00048202i,0.0010806+0.0011427i,0.00023523+0.000525i,-0.0007101-0.00042847i
-0.00055787+0.00025818i,0.0005541-0.00018576i,0.0012988-0.00022482i,0.0012845-0.00076458i,0.0012902-0.00083304i,0.00030025-0.00055606i,0.00039829-0.0012467i,0.00037941-4.1182e-05i,0.00028015+0.0010875i,0.00026815+0.00088154i,-0.00021252+0.00034328i,-0.00034854-0.00029167i,-0.00091513-0.00039314i,-0.0013433+0.00031454i,-0.00089636+0.00070778i,-0.00024908+0.0005662i,-5.4101e-05+0.00052067i,0.0003083-6.8089e-05i,0.00033107-0.00037126i,0.00019821-0.00034407i,0.00047564-0.00061345i,0.000217-0.00079946i,-0.00037063-0.00057615i
0.0018299+0.00012261i,0.0023203+0.00027735i,0.0011161-1.3332e-05i,0.00012986-0.0003994i,-0.00033728+7.4126e-05i,-0.00020587+0.00036417i,-0.0003377+0.00054899i,-0.00057284+0.00047023i,-0.00021168+0.00060446i,0.00053592+0.0010231i,0.00057209+0.0014518i,-5.7086e-05+0.00063906i,-0.00093706+0.00022182i,-0.0010648+0.00043534i,-0.00028953+0.00060838i,-0.00041578+0.0005661i,-0.0007426-0.00013866i,-0.00053953-0.00048996i,-0.00012853-0.00023692i,0.00011525+0.0007024i,-3.5405e-05+0.0014127i,-0.00058604+0.00081224i,-0.0006032+0.00017467i
-0.0013232+0.0013718i,-0.00076146+0.0006826i,0.0008549+0.00069587i,0.0017063-8.7182e-05i,0.0014681-0.0013619i,0.00099615-0.0015326i,0.00026482-0.00087809i,-0.00025351-0.00030412i,0.00047623+0.0002719i,0.00077774-0.00011316i,0.00027903-0.00048943i,0.00060173+0.000233i,0.00037859+0.00034698i,-0.00034101-0.00014875i,-0.00040564-0.00026038i,0.00013827-0.001014i,0.00056721-0.0010799i,0.00024435-4.6428e-06i,0.000214+0.00027947i,0.00062308+0.00012775i,0.00010096+3.1331e-05i,5.4821e-05-0.00035286i,0.00037887-9.5357e-05i
0.0022367-0.00011742i,4.6297e-05-0.001096i,-4.84e-05-0.001382i,0.00023074-0.00077219i,-0.00055872-0.00048092i,-0.0012416-3.59e-05i,-0.00082761+0.00030072i,-3.6545e-05+2.2016e-05i,0.00026713-0.0003915i,0.00013886-0.00056093i,-2.8316e-05-0.00030101i,4.9276e-05+0.00042039i,3.5756e-05+0.00059818i,0.00011773+0.00027004i,-0.0001015+0.00027382i,-0.00016341+0.00026957i,0.00016573+0.00035853i,0.0006541+0.00060095i,0.00086022+0.00055953i,0.00029291+2.3034e-05i,-0.0001168-0.00015003i,0.00033869+3.4734e-05i,0.00057807+0.00030044i
-0.002095-0.00078406i,-0.0019704-0.0012109i,-0.0021378-0.00035746i,-0.0018746+0.00053166i,-0.00092067+0.0011466i,0.00022322+0.00069004i,0.00077342+0.00027978i,0.00016525+0.00019967i,-3.5083e-05+0.00056533i,-1.5506e-05+0.0016539i,0.00031755+0.0016403i,0.00091267+0.00068736i,0.00060976+3.8329e-05i,-0.00012674-0.00081747i,0.00060827-0.00089557i,0.00075826+0.00036408i,0.00062967+0.0009876i,0.00045104+0.00067474i,-0.00038805-0.00033364i,-0.00067666-0.00076504i,-0.00085572-0.00025726i,-0.00057985+0.00026821i,0.00059666+0.00030014i
0.00023766-0.00016649i,-0.00017618+0.00084857i,-0.00024287+0.0014756i,-0.00038316+0.0019016i,-0.0003189+0.0023628i,0.00053443+0.0015221i,0.0016316+7.8928e-05i,0.0010033+0.00037511i,-0.00055013+0.00070105i,-0.00035736+0.00055862i,-0.00023781+0.0014182i,-0.00027281+0.0016041i,-0.00024482+0.0011872i,-0.0010476-0.00021506i,-0.00088841-0.00098313i,4.8091e-05-0.00047937i,0.00074608-0.00049377i,0.0011055-0.00042816i,0.00060546-0.00014766i,-0.00035146-0.00027032i,-0.00013628-0.00098616i,0.00057467-0.00071284i,0.00047537+0.00037816i
-0.00159-0.00025155i,-0.00077009-0.00025908i,-0.0010342+0.0005898i,-0.00049011+0.00098357i,-0.0005184+0.00011219i,0.00010287-0.00018892i,0.0012765+0.00050577i,0.0008257+0.0007351i,0.00070638+0.00084991i,0.0010855+0.0010071i,0.00082819+0.00059774i,0.00013134-0.00019612i,0.00024499-0.0011115i,0.00058752-0.0010619i,0.00034779-0.00085126i,0.00048545-0.00092662i,0.00074744-0.00085071i,0.00030808-0.00035355i,-6.4671e-05+0.00060617i,-0.00015533+0.00014593i,8.0881e-05-0.00011974i,0.0001796+0.00033904i,0.00020044+0.00023177i
0.00092932+0.00063556i,0.00079188-0.0002598i,0.00046593-0.00056345i,0.00038254+0.00024044i,0.00028165-0.00016463i,0.00032976-0.0012241i,0.00044422-0.00054401i,-2.2874e-05+0.00078365i,-0.00014807+0.00092768i,0.00012365+7.0497e-05i,0.0005368-0.00029254i,0.00093156-0.00042805i,0.0004725-0.00033724i,-0.00032841+0.00016245i,-0.0010156+0.00074625i,-0.00090723+0.00038726i,-0.00023292-0.00010763i,-0.00011781+0.00026913i,-0.00033741+0.00041049i,-0.0001744+0.00038769i,0.00034372+0.00030999i,0.00036744+0.000451i,0.00027633+0.00084928i
-0.00071379-0.0015153i,-0.00064685-0.00020374i,-0.00077569+0.00093192i,-0.00096051+0.0013982i,-0.00090381+0.00036816i,-0.00012459-0.00050545i,7.6126e-05-0.0003431i,-0.00033526+4.0634e-05i,-0.00045575+0.00099865i,0.00032003+0.001204i,0.00093719+0.00052571i,0.00063648+4.6087e-05i,0.00038023+4.0359e-05i,0.00037211+6.8161e-05i,0.00058811+0.00025538i,0.0007012+0.00032323i,0.00055282+5.4772e-05i,-0.00013996-0.00022355i,-0.00014158-0.00050611i,0.00035672-0.00023141i,-0.00071691+5.4327e-05i,-0.0011436+0.00021429i,-0.00086369+0.00027734i
-0.0002365+0.00060732i,4.1781e-05-9.2504e-05i,-0.0007304-0.00059747i,-0.001328+9.6726e-05i,-0.001107+0.00053795i,-0.00010739+0.00035651i,0.00081584-0.000521i,0.0006862-0.0001149i,0.00063048+0.00051907i,0.0010835+0.00028332i,0.0005629+0.0004167i,0.00029927+9.4008e-05i,0.00047641-0.00016811i,-0.00052868+0.00021113i,-0.00058076+0.00030691i,0.0001525-0.00035966i,0.00030677-0.00075648i,0.00049669-0.00067186i,0.00063528-0.00048623i,0.00022752+0.00051119i,-0.00068695+0.00099095i,-0.00068436+0.00021457i,-0.00056986+0.00029437i
-0.00032265-0.00065934i,0.00069955+2.8655e-05i,0.0013407-0.00036726i,3.6669e-05-0.00065293i,-0.00091955-0.00048342i,-0.00044669-0.00047131i,0.00059205+2.686e-06i,0.0013645+0.00034512i,0.0017412-0.000163i,0.001571+1.4138e-05i,0.00056346+0.00096658i,-0.00048338+0.00042047i,-0.00066125-0.00056508i,-0.00015683-0.0002186i,0.00014523+0.00036686i,0.00015148+0.00050453i,0.00045236+0.00021818i,0.00052031+0.00018932i,0.00014373-0.00040133i,0.00019086-0.00041715i,0.00046887+7.5335e-05i,0.00039457+0.00049632i,0.00052666+0.00033663i
0.0016176-0.00024726i,0.0020761+0.00070239i,0.0019003+0.0013976i,0.0016267+0.00012499i,0.00079835-0.0011328i,0.00066538-0.0011522i,0.0010598-0.00093421i,0.00082444+8.5963e-05i,2.8028e-05+0.0006268i,-0.00019862+0.00013861i,0.00036838-4.1231e-05i,0.0002092+0.00015396i,-0.00032462-0.00025218i,-0.00026309-0.00042971i,0.00054171+0.0002913i,0.0009937+0.00069901i,0.00056476+0.0001869i,-0.00013485+0.00013954i,0.00028622-3.4732e-05i,0.00072431-0.00069344i,0.00045854-0.00052602i,0.00017913-0.00026813i,-0.00010185-0.0002856i
2.1235e-05+0.00022006i,-0.00034059-0.00040139i,-0.00025938-0.00078004i,-0.00017263-0.0013397i,-0.00018698-0.00047016i,6.0902e-05+0.00069275i,0.0002967+0.00034936i,0.00024448-0.00041514i,0.0006353-0.00045034i,0.00084443+5.292e-05i,-8.4604e-05+0.0003039i,1.5777e-05-0.00029421i,0.0006841-0.00027158i,0.0004987+0.00041683i,0.00093065+4.6149e-05i,0.0014111-0.00033335i,0.00085987-0.00070351i,0.000125-0.00069893i,-0.00019388-0.00076616i,-0.00044165-0.0007731i,-0.00051044-0.00025507i,-0.00042386+4.0772e-05i,-0.00027076+0.00019906i
0.00029437-0.00038644i,-0.00090876-0.00037713i,-0.00066337-0.00073486i,2.9631e-06-0.00095538i,0.00025977-2.3285e-05i,-0.00059974+3.457e-05i,-0.00041907-0.0003442i,0.0003711-0.00031133i,0.000529-0.00024517i,0.00033853-9.721e-05i,0.00086197-0.00065342i,0.0010578-0.00034813i,0.00061607+0.0004489i,0.00086858+0.00078983i,0.0010174+0.0013519i,0.00023754+0.0015098i,-0.00060075+0.00089643i,-0.00035189+0.00013658i,0.0004425+3.8736e-06i,0.00022859-0.0001054i,-0.0002598-0.00033057i,-0.00030137-0.00045539i,-0.00025911-0.00018973i
-1.5153e-05+0.0010722i,0.0010659+0.0010494i,0.0015218+0.00096435i,0.002017+0.0014897i,0.0021219+0.0013397i,0.0019587+0.00022548i,0.0009368-0.00050437i,0.0001323+8.7319e-05i,-4.5394e-05+0.00062592i,-0.00011181+0.00030351i,0.00048442+0.00017378i,0.00060225-0.00069267i,0.00029109-0.001494i,0.0004898-0.0015399i,0.00050875-0.00027848i,0.00086324+0.00042623i,0.00076637+0.0002207i,3.6243e-05-0.00031977i,-0.00060213-0.00056955i,-0.00063171-0.00019595i,-0.00037329+0.00012431i,0.00036252+0.00059353i,0.00023078+0.0010722i
-0.00011473-0.00011742i,-0.0013783+0.00022755i,-0.0015709+0.0007012i,-0.0016692+0.0017598i,-0.0012429+0.0018414i,0.00017519+0.0010277i,0.0006383+0.00012137i,0.00047371-0.00086215i,8.9085e-05-0.00055612i,0.000195+0.0012952i,0.00051359+0.0013665i,0.00055021+0.00037815i,0.00054592+0.0004985i,0.00013908-0.00046134i,-0.00031033-0.00068327i,-0.00045492-0.00013423i,0.00027097-0.00036521i,0.00087683-0.00045527i,0.0010115-0.00033819i,0.00036481-0.00014052i,-0.00022418+0.00054573i,-0.00031135+0.00046916i,-0.00076837-0.00030657i
-3.8307e-05+0.001092i,0.00073848-3.6426e-05i,0.0011907+5.341e-05i,0.0021256-0.00028201i,0.002542-0.0016018i,0.001018-0.0020516i,-1.5271e-05-0.0013544i,4.2227e-05-0.0010873i,7.7075e-05-0.00048077i,0.00081653+0.00050061i,0.00077828+0.00096183i,0.0002263+0.00035057i,-0.00038113-0.00062978i,-0.00078826-0.0006681i,-0.00057011+8.6763e-06i,-0.00039944-0.00010467i,-0.00041261-0.00064988i,-0.00034862-0.00054579i,-0.00061554-0.00034757i,-0.0008672+0.00017109i,-0.00017742+0.00067427i,0.00034839+0.00017247i,7.7361e-06-0.00049069i
-0.002-0.0012434i,-0.00097508+0.0008829i,-0.00074433+0.0028672i,-0.00070045+0.0024778i,-6.0618e-05+0.0016519i,0.00071614+0.0003949i,0.00060433-0.00022926i,-0.00015035-9.4865e-05i,-0.00020105+0.00030477i,0.0003526+0.001302i,0.00058062+0.0011232i,0.00043764-0.00016393i,-6.4635e-05-0.00040215i,-0.00060925-0.0002356i,-0.00027058-6.9945e-05i,0.00039955-0.00018082i,0.00063949-6.6603e-06i,-0.00010465+2.6297e-05i,-0.00062432+0.00013013i,-0.00014543+0.0006627i,0.00054643+0.00057258i,0.00010559+3.4925e-05i,-0.00041759+6.9311e-05i
0.00035145+0.00079164i,-0.00093231+0.00069612i,-0.00066627+0.00076919i,0.00046607+0.00045491i,0.00081549+0.00012324i,0.00027843+0.00023468i,0.00018424+1.0529e-05i,0.00060112+0.00043473i,0.00071012+0.001357i,0.00056721+0.001533i,-0.00012049+0.00051832i,-0.00043059+0.00015476i,-0.00028866+0.00055792i,-0.00083263+0.00089912i,-0.00075021+0.00065993i,0.00017706+0.0004982i,0.00064576+0.00033399i,0.00011431+2.8607e-05i,6.8819e-05-0.0003235i,-0.00039993-0.00055192i,-0.00058836-0.00074679i,0.00011095-0.00045986i,0.00026947-0.0003022i
-0.0020127+0.00052015i,-0.00024406+0.0015796i,0.00041755+0.0011076i,0.00040035+0.00099966i,0.00032357+0.0010147i,0.00069224+0.0014656i,0.0013877+0.0011542i,0.0011027+0.0001264i,0.0009904-0.00021599i,0.00086352+0.00035066i,0.000223+0.00090914i,-0.00037151+0.00095001i,0.00032751+0.00096585i,0.0012319+0.00092413i,0.0011782+0.0011603i,0.00066079+0.0011074i,-0.00029054+0.00077765i,-0.00045312+0.00037561i,0.00029376+0.00045491i,0.00046117+0.00033477i,-0.0005941-0.00015712i,-0.00039506-0.00019406i,0.00048508+0.00031383i
-0.00039196-0.0018386i,-0.0017563-0.0014801i,-0.0018822-0.00049031i,-0.0013912+0.00027524i,-0.00054163+0.00042589i,0.00035113+0.00012946i,0.00061961-0.00043253i,0.00065478-0.00064175i,0.00084627-0.00015308i,0.0010776+0.00018627i,0.0009025-0.00013594i,0.00027659-0.0010131i,-0.00035295-0.00059173i,-0.00064572-0.00010626i,-9.2264e-05-0.00012982i,-0.00031931+0.0006118i,-0.00069221+0.00065185i,0.00015068+6.2843e-05i,0.00073268-0.00042203i,0.00044098-0.00040001i,0.0001542-0.00035658i,-0.00010959-0.00034824i,0.00037497-0.00013985i
0.0005514+0.0017453i,-0.0002116+0.0023301i,-0.00061681+0.0027508i,-0.00036298+0.0022404i,0.00023697+0.0009872i,-3.4948e-05+0.00032898i,-0.00095081+0.00065943i,-0.00080052+0.00051154i,0.00045766+0.00014717i,0.00073703+0.001193i,0.00047399+0.0014349i,0.00069805+0.00070482i,0.00048045+0.00046487i,0.00075907+0.00040474i,0.0013747-9.336e-06i,0.0011809+6.9745e-05i,0.00064477+0.00070044i,0.00071186+0.00031255i,0.00055797+7.8193e-05i,0.00016195+0.00015363i,-0.00024667-4.4302e-05i,-0.00044756-6.3664e-05i,-0.00044415+0.00025468i
