-0.0023494-0.00030526i,-0.0016983-0.00048248i,-0.0018359+0.00031826i,-0.0014924+0.0013076i,-0.0010685+0.0021759i,-0.00014711+0.0017259i,-0.00025685+0.00083149i,-0.00022704+0.0010288i,0.00060429+0.0020201i,0.0011439+0.0017084i,0.0016606+0.00017233i,0.0008304-0.00085752i,-0.0001612-0.0012172i,-4.2007e-05-0.00095648i,0.00072532-0.000431i,0.0012283-0.00074944i,0.00092718-0.0008533i,-0.00025419-0.00042937i,-0.0006426-0.0010647i,-0.00072111-0.0013181i,-0.00083581-0.00076908i,-0.0009314-0.00039305i,-0.00025552-0.00037642i
-0.00060171-0.00052182i,-0.00054124+0.00025947i,-5.6716e-05+0.000344i,0.00021533-0.00076195i,-6.8226e-05-0.0014803i,-0.0001426-0.0010108i,0.00051141-0.0010665i,0.0009096-0.00074921i,0.0019109-0.00014035i,0.0026083-0.00020381i,0.0030189-0.00084928i,0.0033497-0.0016891i,0.0033835-0.0019391i,0.003688-0.0020162i,0.0031835-0.0020413i,0.0015323-0.0016334i,0.00048665-0.00065578i,0.0007616+0.0008287i,0.0011125+0.00065785i,0.0010593+0.00021859i,0.00081754+9.1282e-06i,0.00057955-0.00012749i,0.0009535+0.00053089i
0.0012778+0.00081687i,0.0014029+0.00092094i,0.00071959+0.00014511i,-2.9712e-06+0.00018141i,-0.00014891-0.00021585i,0.00071665-0.0011942i,0.0010146-0.00088816i,0.00035049+0.00054088i,-0.0010174+0.00099254i,-0.0015683+0.00026039i,-0.0013612+0.00067272i,-0.0004812+0.0020542i,0.00043193+0.002121i,0.0007857+0.0007802i,0.0013353+0.00024258i,0.0015446+0.00078596i,0.00051881+0.0014552i,-0.00065621+0.0014299i,-0.00052603+0.00078364i,-5.274e-05+0.00010512i,0.00017246-0.00056581i,0.00051467-0.00015233i,0.00020558+0.00074839i
0.00058763-0.00015115i,0.00063507+0.0011948i,0.0013601+0.001837i,0.0011257+0.0012933i,0.00056944+0.00089752i,0.00065674+0.0019877i,0.00045197+0.0021704i,-0.0011194+0.00059505i,-0.0031485+0.00055256i,-0.0031225+0.0024706i,-0.0029323+0.0043611i,-0.0032861+0.005212i,-0.0028041+0.0047041i,-0.0014124+0.0025534i,-0.00060071+0.0010895i,-0.00085286+0.0012784i,-0.00067577+0.0019947i,-0.00040023+0.002084i,-0.00040089+0.00077809i,-0.00074042-0.0001224i,-0.00094854-0.00028327i,-0.00053093+0.00014679i,-0.00092515+0.00046037i
0.00087596+0.0016403i,0.0015021+0.0028197i,0.0021285+0.0030606i,0.0019772+0.0019384i,0.00079159+0.0013767i,-0.00013098+0.0011919i,-0.0006427-6.2835e-05i,-0.001006-0.00069168i,-0.0011091+0.00057212i,-0.00027647+0.0025441i,-0.00079407+0.0024123i,-0.0022605+0.00075304i,-0.0030299+0.00035404i,-0.0033003+0.0006244i,-0.0031747+0.0010471i,-0.0017873+0.0013242i,-0.00023348+0.0011429i,1.1353e-05+0.00027709i,-0.00031924+6.1734e-05i,-0.00015751+0.00057184i,0.00061899-1.1453e-05i,0.001063-0.00048978i,0.000344+0.00012287i
0.00097228+0.0016365i,0.0023166+0.0017713i,0.0020586+0.00075628i,0.00085477-0.00027547i,-0.00052884-0.00045129i,-0.0012325-0.00027754i,-0.0009458+8.9351e-06i,0.00014139+0.00034901i,0.0017423+0.0011355i,0.0022211+0.0015836i,0.0021395+0.00040129i,0.0018632-0.0011348i,0.00027727-0.001948i,-0.00030825-0.0014794i,-0.0005054-0.00034086i,-0.00089514-0.00014755i,-0.00065167-0.0008308i,6.9638e-05-0.0013595i,0.00087214-0.0012452i,0.00054342-0.000573i,0.00025771-7.3609e-05i,0.00041376-0.0003945i,0.00031938-0.00087528i
-0.00097145+0.00012873i,-0.0016334-0.0012213i,-0.001239-0.0008254i,-0.0020536-0.0006812i,-0.00221-0.0025655i,-0.00087753-0.0030372i,0.00061125-0.00094836i,0.0022676+0.0017269i,0.0032279+0.0021162i,0.0038819-0.00042942i,0.0043241-0.003055i,0.0040651-0.0037019i,0.0028544-0.0030749i,0.0021183-0.001975i,0.0014748-0.00083009i,0.00095027-0.00098355i,0.0012892-0.00098818i,0.0016468-0.00078311i,0.00056858-0.0011794i,-0.00027033-0.0014768i,-0.00030888-0.00060771i,-0.00023412+0.00060304i,-0.00013654+0.00023792i
0.00073182-0.0019328i,0.00061241-0.00060314i,-0.00093303+0.00058969i,-0.0011732+0.00091567i,-0.00013774+0.00029619i,0.0010944-0.00099997i,0.0021058-0.00011121i,0.0020634+0.0012538i,0.0014492+0.00092605i,0.0010757+0.00016342i,0.0016996+0.00045251i,0.0024153+0.0010564i,0.0030882+0.00028744i,0.0030213-0.00060578i,0.0020908-0.00042219i,0.00094782-0.00057274i,0.00016161-0.00018738i,0.00048039+0.00053085i,0.0011726-0.0002027i,0.00095841-0.00052657i,-0.00021287+0.00062095i,-0.00082825+0.0012079i,-0.00053165+0.00029386i
-0.001796+0.0024984i,-0.00099472+0.0043278i,-0.00018719+0.0050221i,0.00089386+0.0033947i,0.0017821+0.0022369i,0.0025477+0.001826i,0.0019998+0.00091296i,0.00023001+7.684e-05i,-0.0018628+0.00030269i,-0.002558+0.00195i,-0.0022525+0.0038932i,-0.0013922+0.0043169i,-0.00025162+0.0021714i,0.00052884-0.0001379i,-0.00017122-0.00030771i,-0.00022032+0.00052376i,0.00021147+0.0017276i,-0.00015216+0.0012732i,0.00012923+5.9636e-05i,-0.00026629-0.0003504i,-0.00094531-0.0003508i,-0.00083415-5.6041e-05i,-0.00050984+0.00072842i
-0.00037618+0.001361i,0.00052577+0.0018848i,0.0018253+0.0022568i,0.0027092+0.0019875i,0.0026078+0.0022001i,0.0027807+0.002034i,0.0020736+0.00057742i,-0.00011143-0.0010497i,-0.0026424-0.00057082i,-0.003842+0.0021672i,-0.0033012+0.0042624i,-0.0024603+0.0031571i,-0.001139+0.0015634i,-0.0007189+0.0019919i,-0.00058147+0.0024973i,-0.00033571+0.002873i,-0.00045985+0.002221i,0.00014566+0.00081181i,0.00021672+0.00081996i,-4.5034e-05-0.00014949i,0.00056958-0.0008495i,0.0011114+0.00041311i,9.3572e-05+0.0010295i
0.0001733+0.0020647i,-0.00057817+0.0019159i,-0.00015675+0.0020904i,5.3947e-05+0.00083951i,-0.00063883-0.00055365i,-0.0020729-0.00042477i,-0.0022163+0.00024351i,-0.0012912+0.0012206i,-0.00088543+0.0018597i,-0.0010298+0.0012427i,-0.0010301-0.00031223i,-0.001791-0.0014077i,-0.0032872-0.00082097i,-0.0028807+4.5091e-05i,-0.00088507+0.00027286i,-0.0006066+0.00055343i,-0.00045204+0.0010677i,-6.211e-05+0.00042675i,-0.00056637-0.00021331i,-0.00069155+0.0012598i,-0.00073186+0.0019239i,-0.00074477+0.0010395i,8.975e-05+0.00023615i
