0.0018303+0.00050611i,0.00076576-0.00048587i,-0.00030125-0.0014856i,-0.0010109-0.00099564i,-0.0012826-0.00093807i,-0.0011316-0.00015403i,-0.00055897+0.0014673i,0.0010638+0.0019526i,0.002335+0.0014771i,0.0019469+0.00047433i,0.0011235-0.00024546i,0.00061707-0.00088638i,0.00073815-0.0016891i,0.00048606-0.0014794i,-9.4386e-05-0.00068133i,-0.00039747-0.00054878i,-0.00018969-0.0002337i,-0.00040138+0.00057436i,-0.00087064+0.00096534i,-0.00024917+0.00069621i,0.00033137+0.00057906i,-0.00049125-0.00019647i,-0.00084798-0.00098055i
0.00092378+0.0016062i,0.00022317+0.0017935i,0.0008266+0.0016563i,0.0023385+4.9786e-05i,0.0026815-0.0016565i,0.0013812-0.0019822i,0.00095071-0.0011559i,0.00093707-0.00028279i,0.00099439-0.00022973i,0.00083953-9.1376e-05i,-0.00025741+0.00052951i,-0.00067829+0.0002671i,-0.00036005-0.00037334i,-0.00012842-0.00033979i,6.706e-05-0.00060267i,-0.00031331-0.00071366i,-0.00099942+0.00020637i,-0.0010695+0.00034867i,-0.00059889-0.00060177i,-0.00016361-0.00041385i,0.00038604+0.0001039i,0.00074265-0.00045201i,-0.00038351-0.00018854i
-0.00027551-0.00084833i,-0.00037053-0.00020367i,-0.00011502-0.00030037i,-0.00097689-0.00035871i,-0.0010251-5.4485e-05i,0.0001969+0.00045103i,0.00095337+0.001172i,6.4723e-05+0.0014031i,-0.00052751+0.00082167i,-0.00021209+6.5086e-06i,0.00026737+4.7029e-05i,0.00089432+0.00043746i,0.0014502-0.00018598i,0.00073413-0.0012333i,-0.0005411-0.0013397i,-0.0011973-0.00044992i,-0.00092107+9.4131e-05i,-0.00035417+0.00050208i,0.0001047+0.00074438i,0.00025869+0.00040343i,-3.7178e-05+0.00065676i,0.00038387+0.00035232i,-3.9328e-05-0.00050193i
-0.0002371-0.00020668i,-0.0012937+0.0004198i,-0.0016035-0.00049925i,-0.00049607-0.0012276i,-0.00033199-0.0013274i,-0.00076114-0.0009203i,-0.00039882-0.00025652i,0.00049134-3.0652e-05i,0.0011666+9.3667e-05i,0.00085955-6.588e-05i,9.2882e-05-0.00035786i,-0.00037406-0.00089642i,-0.00065317-0.00068978i,-0.00074046+0.00053632i,-0.00010713+0.00046754i,0.00036245-0.00052131i,0.00040192+0.00018798i,0.00039046+0.00091086i,0.00021226+0.00080515i,-0.00022876+0.00050224i,-0.00047931+0.00018367i,-0.00043272+6.9787e-06i,-0.0007814+1.5055e-05i
-0.00041592-0.0007859i,-0.00027644-0.00066049i,7.4313e-05+9.5392e-05i,0.00074224+0.00041491i,0.00097192+0.00033911i,0.0012026+0.00034895i,0.00089428+0.00081696i,0.0001224+0.0011723i,-1.9306e-05+0.00063228i,-0.00035959+0.00050794i,-0.00032352+0.00038227i,-4.934e-05-0.00010505i,-0.00036995-0.00030637i,-7.4927e-05-0.00047987i,-4.2707e-06+0.00019177i,-0.00026301+0.0010785i,-0.00020206+0.0016741i,-9.7448e-05+0.0013325i,0.00017407-0.00025553i,0.0005246-0.00011759i,0.00067502+0.00028733i,0.00057316+0.00057904i,0.00042035+0.00062544i
0.00053611-0.00090469i,0.00047943+0.00045265i,6.425e-05+0.0012347i,0.00010106+0.00062688i,0.00096585-3.823e-05i,0.0013623-0.0005131i,0.00075605-0.00079676i,0.00091713-0.00039534i,0.00088294-0.00043776i,0.000475+0.00013716i,-1.0853e-05+0.00050113i,-4.8818e-05+0.00049997i,0.00065585+0.00036814i,0.00058213+0.00014139i,0.00044063+0.00010626i,2.5324e-05+0.00026826i,-0.00076076+5.7127e-05i,-0.00057728-8.0935e-05i,6.9031e-05+0.00015854i,0.0008107+0.00070675i,0.00097932+0.00043457i,0.00064465-2.0055e-05i,0.00018632+0.00033126i
-0.002091+0.00086966i,-0.0018558-0.00032218i,-0.0010114+6.3215e-05i,0.00062689+0.00091712i,0.0016098+0.00040084i,0.0013852-0.00036777i,0.0013296-0.00061513i,0.0016052-0.00080203i,0.001038-0.0001948i,0.00069641+0.00015997i,0.00065812-0.00053355i,-8.7642e-05-0.0005641i,-0.00088703-0.0009032i,-0.00020986-0.00025588i,2.5224e-05+0.0013633i,-0.00049559+0.0010147i,-0.0005271+0.00075945i,-0.00071726+0.0010008i,-0.0002893+0.00045178i,0.00023389+0.00027181i,6.8249e-05-8.68e-06i,0.0002189+0.00034824i,-0.00017131+0.0012791i
0.0011262-0.00033136i,-0.00027219-0.00094884i,-0.00058578-0.00040166i,-0.00048327-0.00011118i,-0.00082933-0.0010045i,-0.00020413-0.0016879i,0.00071287-0.0011286i,0.00091385-0.00039931i,0.00050397-0.00011484i,-0.00025434-0.00017343i,-0.00063207-3.6825e-05i,-0.0010792-0.00010033i,-0.0011417-0.00041029i,-0.0009799-0.00073172i,-0.0010423-0.00033085i,-0.0010026+0.00056883i,-2.5734e-05+0.00053375i,0.00069711+0.00051421i,0.00017306+0.00036237i,0.00038592+0.00011492i,0.00073947-0.00033597i,0.00068419-0.00045324i,0.00060417-0.00021457i
-0.0013761-0.0011124i,-0.0010842-0.0012709i,-0.00083708+6.6065e-05i,-0.00040525+0.00062877i,0.00077516+5.1148e-05i,0.0014928-0.00056104i,0.0013244-0.0013372i,0.00071911-0.0010492i,4.9616e-06-0.0002591i,6.2883e-05-4.1429e-05i,0.00059574-0.0006351i,0.00063187-0.001231i,-8.4549e-05-0.00032788i,-0.00077451+0.00033159i,-0.0010361-0.00071412i,-0.00089494-0.00057649i,-0.00051071+0.00024398i,-0.00048672-0.00016052i,-0.0013638-0.00068133i,-0.0013299-0.00010156i,-0.00079755+0.00072487i,-0.00022661+0.0009953i,2.0405e-05+0.00056277i
-0.00050076-0.00086235i,-0.00062726-0.0012645i,-0.0015963-0.00091078i,-0.0012148+0.00063974i,0.0001356+0.0014884i,0.00029959+0.0004055i,7.6587e-05-0.00022338i,-4.4962e-05+0.00015187i,0.00034249+0.00027248i,0.00090233-0.00010073i,0.00045984-4.2491e-05i,0.00071977-2.5643e-05i,0.00094069+0.00027491i,0.0001809+0.0001452i,-0.00089091-0.0007618i,-0.0011238-0.00094807i,-0.00087475-0.00038703i,-0.00044258+0.00059258i,-0.00017169+0.0018698i,-0.00032593+0.0016723i,-0.00039116+0.00011828i,-0.00054433-0.00098926i,-0.00032244-0.00082706i
-0.00043698+0.0013477i,-0.00032993+0.0012665i,-0.00042794+0.0009567i,-0.00050609+0.00053239i,0.00076616+0.00017805i,0.0020189-4.2587e-05i,0.0014125-0.00034232i,0.00062576-0.00035373i,0.00047079+0.00061965i,0.00032054+0.00053517i,0.00027401+0.00011278i,3.504e-05+0.00010787i,-0.00011971-0.00045207i,-0.0001423-0.00029529i,-0.00023669+0.00014346i,-0.00057457+0.00011104i,-0.0005351-5.9019e-05i,7.4491e-05-0.00012708i,0.00044863+0.00052779i,0.00029322+0.00019071i,0.00050674+9.2543e-05i,0.001005+0.00032851i,0.0010442+0.00036512i
