-0.003532+0.00062947i,-0.0025818+0.0010761i,-0.001995+0.0013676i,-0.0016164+0.0016906i,-0.0013864+0.0026503i,-0.00046713+0.0018706i,-0.00015305+0.0014253i,0.00033546+0.0027815i,0.0016229+0.0030741i,0.0020481+0.0023721i,0.0011453+0.00084352i,0.0011352-0.00053731i,0.00039979-0.00039886i,-0.0002873+9.9118e-05i,-0.00015071+0.00028205i,-0.00034759+0.0004327i,-0.00039047+0.00013539i,-0.00035495-0.00088454i,-0.00027225-0.0012321i,-1.6609e-05-0.00053593i,0.00067179+0.00010365i,0.00048056+0.00032311i,0.00037952+3.4401e-05i
0.0020641-0.0029324i,0.001823-0.0020782i,0.00029915-0.0017949i,-0.0010226-0.0010665i,-0.0020318+0.00029533i,-0.002067+0.00054275i,-0.00094752-0.00010032i,2.0319e-05-0.00012197i,0.00039035+0.00030116i,0.00017669+0.00018957i,0.00055414-0.00012802i,0.00086149+0.00068954i,0.00063938+0.00067131i,0.00090741-0.00016964i,0.00090375-0.00013778i,0.00043504+0.00015033i,0.00057383-0.00054705i,0.00059577-0.00088045i,0.00013634+9.527e-05i,-0.00013125-1.9177e-05i,2.0831e-05-2.9097e-05i,0.00042169+0.0005823i,0.00081183+0.0003105i
0.00048025+0.00086225i,0.0018761+0.00091968i,0.0013594+0.00082929i,0.001164+0.001695i,0.0010804+0.002079i,0.00085561+0.0017238i,-0.00046698+0.00073043i,-0.00041236-0.00032995i,0.00053195-5.2119e-05i,-0.00015228-0.00043209i,-0.00084358-0.00087118i,-0.00086968-4.7577e-05i,-0.00042236+7.471e-05i,0.00033093+7.4298e-05i,0.00037585-2.6258e-05i,-6.5843e-05+8.0549e-06i,0.00014612-0.00027792i,-0.00015999-0.00099437i,-0.00036781-0.00081615i,-4.7553e-05-7.7122e-05i,0.00055861+7.2662e-05i,0.000351+0.00048155i,-0.00036983+0.00021677i
-0.0010306+0.00084206i,-0.0009234+0.0015835i,-0.00021349+0.0019617i,-0.00016295+0.0019451i,1.0008e-05+0.0018445i,-0.00011665+0.0011819i,-0.00035891+1.0023e-05i,-0.00016707+2.7788e-05i,8.5811e-05+0.00035826i,9.8711e-05+0.00014137i,0.00043559-5.7852e-05i,0.00043746-0.00045744i,-9.6172e-05-0.00050856i,0.00044015-0.00050827i,0.00074752-0.0002384i,0.00087259+0.00025368i,0.0013901+0.00021396i,0.0011679-6.6866e-05i,0.00029907-2.653e-05i,-0.0001196+0.00015436i,-5.1558e-06-0.00054875i,0.00058542-0.0012541i,0.0010943-0.00028584i
-0.0013606-0.00061542i,-0.0012758+0.00052728i,-0.00057075+0.0017905i,-0.00018539+0.0017113i,-0.00063461+0.0009357i,-0.00021708+0.00092051i,0.00035331+0.001411i,0.00044463+0.0015115i,0.00054759+0.00068546i,0.00052827-0.0003301i,0.00065969-0.00076654i,0.00044306+1.2268e-05i,-0.0002761+0.00071411i,-0.00027369+0.0007574i,-2.1037e-05+0.00076113i,0.0003496+5.1527e-06i,0.0010275-0.00095077i,0.00090871-0.00095708i,0.00042199-0.00058168i,-4.3342e-05-0.0003828i,-0.0002359-0.00038104i,-0.00041098-0.00051237i,-0.0011383-0.00081634i
0.00030262+0.00079611i,0.00069123+0.0004509i,0.001247+0.0019117i,0.0012013+0.0026736i,0.00062015+0.0017216i,0.00021858+0.0010818i,5.2173e-06+0.00077394i,-0.00038493+0.00063321i,-5.2382e-05+0.00096506i,0.00034503+0.00090802i,-0.00026295+0.00021637i,-0.00090445-9.3026e-05i,-0.00043955-0.0001931i,0.00041837+0.00010441i,0.0003784+0.0002662i,0.00010619-2.3967e-06i,0.00038404-0.00012829i,0.00051057-0.0001992i,0.0002703-0.00047376i,0.00026387-0.00018632i,0.00057598+0.00045621i,0.00077052+0.00010834i,0.00030418+0.00013316i
0.00072737+0.0026804i,0.0017381+0.0033233i,0.0017925+0.0025764i,0.0015379+0.0013431i,0.00093594+0.00017244i,0.0001955+0.0003684i,-0.00022134+0.00054615i,-0.00078156+0.00020289i,-0.00058411-0.00017308i,0.00041657-0.0006634i,0.00029094-0.00076633i,-7.5367e-05-0.00044755i,-0.00018532-5.8557e-05i,-0.00042973+0.00015826i,0.00012418-0.00030752i,0.0003347-0.00079332i,-0.00038305-0.0009181i,-0.00051894-0.00050154i,-0.00050952+0.00011381i,-0.00062025+8.018e-05i,-0.00027471-0.0001678i,0.00010618-0.00014706i,0.00032563-2.1318e-05i
-0.0028595+0.0018352i,-0.0025193+0.0018327i,-0.0016084+0.001767i,-0.00032745+0.0016165i,0.00043526+0.0022808i,0.00073147+0.0017154i,0.00055349+0.00085629i,0.00055872+0.00033793i,0.00066702+0.00019349i,0.00079558+0.00031572i,0.0010676-0.00026555i,0.00053754-0.00062787i,0.00034437-9.6224e-05i,0.00032607-0.00025953i,1.8054e-05-0.00082757i,0.00019058+0.00029845i,-0.00013629+0.00088867i,-0.00028095-7.2969e-05i,-8.5066e-05-0.00038599i,-0.0003922+0.00019927i,-0.00062421+0.00036122i,-0.00058613-0.00024126i,-0.0003626-0.00087714i
0.00077902-0.00076114i,0.00068409-0.00019437i,0.00032827+0.00039368i,-0.00059537+0.0012849i,-0.00048526+0.0015398i,-6.8769e-05+0.0011065i,-0.00059453+0.0001388i,-0.00039771+0.00030782i,-0.0002124+0.00069011i,0.00024523+0.00031345i,0.00073578-0.00015352i,0.00049059-0.00017753i,0.00085136+0.00010039i,0.00078447+0.00031573i,7.5188e-05-0.00037777i,-0.00076541-0.001389i,-0.00079518-0.0016272i,-0.00014831-0.00096968i,-6.2698e-05-0.00026014i,-0.00025+0.00023069i,-0.00047731+0.0008682i,-0.00049674+0.00078576i,-0.00028308+0.00045283i
0.0023122-0.0010584i,0.0015001-0.00090488i,0.00085927-0.00078044i,0.00074859-0.00027322i,8.0362e-05+0.00059022i,-0.00039347+0.00085055i,-0.00095942+0.0011046i,-0.00081119+0.0010445i,0.00017508+0.00098377i,0.00048429+0.00099242i,-0.00027234-0.0010051i,-0.00049271-0.0016189i,0.00075859+0.00011984i,0.0010857+0.0010646i,0.00013701+0.00067242i,-0.00028099+0.00089021i,-0.00032103+0.0010096i,-0.00035913-0.00015657i,-0.00041328+2.0694e-05i,-0.0002593+0.00055594i,-0.00053895+0.00056656i,-0.0010154-8.433e-05i,-0.0010841-0.00027341i
0.0004086-3.4891e-05i,0.00029879+0.0005334i,0.00031711+0.00067494i,0.00048662+0.0021728i,0.00034228+0.0026723i,-0.00078707+0.0020147i,-0.001458+0.001282i,-0.0003625+0.00062704i,0.00046532+0.00049801i,0.00021319-0.00025846i,-9.6778e-05-0.00013552i,-0.00030851+0.00063082i,-0.00048012-0.00016261i,-0.00040324-0.00061423i,-0.00027167+0.00014763i,3.2971e-05+0.00020042i,0.00016752-0.00081928i,0.00020126-0.001626i,-0.00015685-0.001612i,-0.00056189-0.0013516i,-0.00047216-0.0013765i,2.3625e-05-0.00098849i,0.00071037-0.00047627i
