-0.001519+0.000942i,-0.0016679+0.00051039i,-0.0035252+0.00084416i,-0.0033229+0.000736i,-0.0012381+0.0010389i,0.00031436+0.0013705i,0.0006752+0.0012668i,0.00092158+0.00078218i,0.0013013+0.0001198i,0.0014362-0.00028272i,0.0010261-0.00077142i,0.00078677-0.00055806i,-0.00012361-0.00025499i,-0.00099292-4.1833e-05i,-0.00052372+0.00022055i,-9.1845e-05+0.00037447i,-5.4038e-05+6.6593e-05i,-7.4719e-05+0.00030026i,0.00048942+0.00059749i,0.00098618-7.6234e-05i,0.00095336+0.00032115i,0.00044646+3.0582e-06i,-2.8324e-05-0.00022652i
-0.00084471+0.0011676i,-0.0019372+0.00078087i,-0.0018819+0.0022069i,-0.00095254+0.0030049i,-1.4954e-06+0.0017168i,0.00030296+0.0011693i,0.0012793+0.00017975i,0.0021569-9.63e-05i,0.0017881+0.00039823i,0.0014267-0.00038969i,0.0015564-0.00053938i,0.0011718-0.00015613i,0.00067101-0.00048978i,0.000898-0.00092869i,0.00074807-0.00051723i,0.00028867+2.4451e-05i,0.00042484+1.1981e-05i,0.00041607+0.00022252i,-0.00023023+0.00015247i,-0.00059469+0.000208i,-0.00041214+0.00055775i,0.00045667-0.00019622i,0.00088409-0.00070023i
-0.0022917+0.00037357i,-0.0018488+0.0010792i,-0.0019989+0.0013757i,-0.0010405+0.0017187i,7.449e-05+0.0012781i,0.00021992+0.00053248i,0.00022899-0.00014554i,2.0031e-05-0.00054955i,4.8909e-05-0.00069469i,7.6572e-05-0.00061503i,0.00010712-0.00035894i,0.00038569-0.00040459i,0.0007666-1.0943e-05i,0.00069764+0.00043666i,0.00011896+0.00071785i,0.00021423+0.00027868i,-0.00014649-0.00023454i,-0.00056185+0.00029056i,0.0004282+0.00019009i,0.000802-0.00037839i,0.00025615-0.00016502i,1.9465e-05+0.00027304i,0.00015692+0.00014523i
0.0018393-0.00046229i,0.0015949-0.00016674i,0.0011811-0.0015644i,0.0006535-0.0020863i,0.00045623-0.0014461i,0.00072445-0.00071069i,0.0012069-0.00060344i,0.0011374-0.00079249i,0.00038668-0.0012691i,0.0006354-0.0014317i,0.0010734-0.0006864i,0.00056996+8.5604e-05i,0.00051573+0.00070282i,-0.00010325+0.001364i,-0.00096401+0.00075692i,0.00015429+0.00028345i,0.0012723+0.00056124i,0.0011226+0.00081148i,0.00085749+0.00054778i,0.00043955-0.00046107i,-0.0002668-0.00081009i,-0.0002366-9.4315e-05i,0.00018356-0.00017322i
0.00077774+0.00053586i,0.00086203+0.0011284i,0.0009365+0.0015882i,0.00081563+0.00063618i,0.00016782-0.00079583i,0.00066438-0.00075338i,0.001272+0.0001786i,0.00081813+0.0004473i,0.00077909-0.00021854i,0.0014137-0.00084768i,0.0010379-0.0014648i,0.00018092-0.0014105i,-0.001029-0.00060192i,-0.0019902-0.00025725i,-0.001429-0.00057156i,-0.00073619+0.00010699i,-0.00014133+0.00036298i,0.00063955+0.00026068i,0.00074789+0.00071832i,0.0002856+0.00037233i,-1.9399e-05-0.00028904i,-3.7984e-05-0.00058073i,-9.8159e-05-0.00013891i
-0.0019247-0.00097818i,-0.001321-0.00052044i,-0.00094713-0.00036809i,-0.0015204-0.00076195i,-0.0012681-7.5787e-05i,0.0001283+0.0012973i,0.00083339+0.00078789i,0.00099595+0.00014289i,0.0010806-2.7918e-05i,0.00078535-0.00054896i,0.0008298+2.3626e-05i,0.00063867+0.0007065i,0.00049633+0.00063661i,0.00027372+0.00084738i,-0.00050681+0.00074111i,-0.00097592+5.9733e-05i,-0.00051325-5.1444e-05i,0.00020425+4.5053e-05i,0.00027053+0.00028446i,0.00059952+0.001025i,0.0015625+0.002038i,0.00078282+0.0018779i,-0.00080949+0.00034553i
0.0020418-0.00041353i,0.0015986-0.00057711i,0.00016191-0.00075678i,-0.00024964-0.00056987i,-0.00024603-0.00015839i,-0.00065132+0.00022231i,-0.00017286-7.3492e-05i,0.001056-0.00029819i,0.0010764-0.00019952i,0.00047326-0.0003366i,-0.00038133-0.00072188i,-0.00081724-0.0006087i,1.7526e-05+5.7332e-05i,0.00027839+0.00028898i,-0.00033052+0.00055523i,0.00035237+0.00074017i,0.0015169+0.00079428i,0.0015606+0.00074259i,0.0012414+0.00047834i,0.00051825+0.00012514i,0.00046201-7.3409e-05i,0.00077093+0.00050115i,0.00044292+0.00077256i
0.00079101+0.00097215i,0.001663+0.00067411i,0.0014652-0.00088157i,0.00047945-0.00095333i,-0.0003908-0.00087604i,-0.00035614-0.0015666i,-0.0002261-0.0018281i,0.00037638-0.0010262i,0.000863-0.00077497i,0.00056919-0.0013119i,-4.6959e-05-0.0010902i,-0.00068492-0.00075872i,-0.00097682-0.00041746i,-0.00060092-0.00043448i,-0.00022963-0.00045417i,-0.00051762-4.726e-05i,-0.00054073+3.38e-05i,-0.00015788-0.00011765i,0.00043593+0.00037184i,-0.00022049+0.00060314i,-0.00073561-0.00018423i,-0.00060599-0.00047037i,-0.00048258+0.00015609i
-0.00018783-0.00033167i,-7.6104e-05-0.00024071i,0.00094756+0.00064575i,0.0015184+0.00023675i,0.0019166-0.00074965i,0.0013054-0.0009829i,0.00078923-0.00054791i,0.00023374+0.00016064i,0.00038222+0.00078662i,0.00088069+0.00020165i,0.00072526-0.00049256i,0.00089514-0.0010748i,0.00095639-0.00083755i,0.00028489+0.00030046i,-0.00069136+0.00085831i,-0.0013128+7.0585e-05i,-0.00030176-0.00039002i,0.00051241+3.0249e-05i,0.00082327+0.00026173i,0.00068386-0.00011266i,7.6656e-05+0.00035288i,0.0003439+5.8136e-05i,0.00087887-0.00046554i
-0.00078674-0.00036777i,-0.0010829-0.00087685i,-0.00076484-0.00097041i,-0.0015344-0.00025217i,-0.0015118+0.0007105i,-0.00049115+0.0012024i,-0.00029853+0.0010087i,-0.00049225+0.00030627i,-0.00064267-0.00030632i,-0.00039302-7.1779e-05i,-2.4994e-05+0.0001311i,0.00034047+0.00023171i,-0.00011233+0.00027423i,-0.00026831+0.00073732i,0.00055667+0.00033983i,0.00052792-0.00060826i,0.0001878-0.0005286i,0.00049554-0.00045987i,0.00096239-0.0009591i,0.00060237-0.00092518i,0.00010203-0.00055675i,-3.1618e-05-0.00019154i,0.0001455-0.00022484i
0.0013174-0.0011411i,0.0015988-0.001386i,0.00063848-0.002148i,-0.0010081-0.0020448i,-0.00090217-0.0020371i,0.00044659-0.00085412i,0.00086844+0.00032691i,0.00040754+0.00050074i,0.00041264+0.00073261i,-6.179e-05+0.00029014i,-0.00026834+6.4871e-05i,-0.00015623-0.00019379i,-0.00041971-0.0007637i,0.00014238-0.00049531i,0.00011291+0.00019132i,-0.00027171+0.00080392i,0.00022539+0.00074256i,0.00044595+0.00017797i,0.00033623+0.00017626i,-9.3464e-05+0.00013041i,5.0456e-05-0.00027009i,0.00071426-0.000881i,-0.00028832-0.00076742i
0.0018624-0.00024408i,0.00087483-0.00037366i,0.0010722-0.0011981i,0.0003014-0.0012046i,-0.00022414-0.0016978i,0.00098238-0.0016016i,0.001785-0.0010401i,0.0015819-0.00082461i,0.00074643-0.00082589i,0.00032277-0.0013228i,0.00022592-0.0018764i,3.9234e-05-0.0015965i,0.00044431-0.0007735i,0.00028068-0.0005082i,0.00016292-0.00099465i,0.00075888-0.001042i,0.0011939-0.00029463i,0.00056699+0.00052597i,-0.00013105+0.0002518i,0.0001016+0.00016385i,0.00024114+0.00090235i,-0.00024151+0.00096824i,-0.00057938+0.00069283i
-8.0469e-05-0.00063601i,0.00065493-0.00012584i,0.0008421+0.00039387i,0.0006969+0.00047602i,0.001494+0.00015901i,0.0021694-0.00055288i,0.0014523-0.0014157i,0.00036042-0.0017364i,-0.00018981-0.001208i,-0.00077175-0.0010065i,-0.00092354-0.0008176i,1.73e-05+0.00011171i,0.00039309-0.00027808i,8.9681e-05-0.00036888i,-0.00015649+0.00024199i,-0.00022445+0.00020208i,0.0003784-0.00026919i,0.0005278-0.00011806i,0.00031275+0.00036922i,0.00037576-0.00014816i,-1.8156e-05-0.00031164i,3.5168e-05+0.00019707i,0.00029734+0.00011567i
0.00071859-0.0020606i,0.00038959-0.0027255i,-0.00041003-0.0029002i,-0.0016234-0.0026173i,-0.0012198-0.0017096i,-0.00015597+6.6366e-05i,0.00040718+0.00076427i,0.00020575+0.000657i,-0.00037568+1.4379e-05i,-0.0004791-0.00044596i,-6.4518e-05-0.00022275i,-6.5736e-05+0.00060981i,-0.00079273+0.0013863i,-0.00033371+0.0017013i,-0.00011801+0.00096182i,-6.2441e-05+0.00048128i,-0.00039834+0.00093963i,-0.00078321+0.00084616i,-0.00043597+0.00032016i,-0.0004661-0.00019659i,0.0001813+3.6761e-05i,0.00041124+7.7166e-06i,-0.00023898+4.9896e-05i
-0.00332+0.0017396i,-0.0018512+0.0014966i,-6.5331e-05+0.0014881i,0.00036046+0.0015204i,0.0014251+0.001465i,0.0016431+0.0010585i,0.0011707+8.5936e-05i,0.0011809-0.00031596i,0.00095089-8.9776e-05i,0.00073029+0.0002225i,0.00056264+0.00043774i,0.00059878+0.00067431i,0.0006847+0.00099303i,0.00058893+0.00054683i,0.00042921+8.2886e-05i,0.00048038+0.00034972i,0.0001882+8.7636e-05i,-6.6392e-07+5.2893e-05i,0.00057391+0.0003424i,0.0013472+0.00066706i,0.0010973+0.00054723i,0.00029519-0.00031312i,-0.0001159-0.00025214i
-0.0021959-0.0026605i,-0.0021852-0.0013257i,-0.0032865-0.000261i,-0.0029318-0.00010749i,-0.00099483+6.3792e-05i,0.00048763+0.0004989i,0.00052328+0.00032424i,0.00096758+0.00018781i,0.0011333+0.00011585i,0.00071367-0.00043891i,0.00039863-0.00035021i,0.00029662+0.00042127i,0.00014239+0.00093998i,0.00036046+0.00096714i,0.00030418+0.00051575i,-4.5292e-06+0.00050963i,0.00021537+0.00040512i,0.00041013+8.0794e-05i,-0.00015344+0.00020437i,-0.0010338+8.5584e-05i,-0.0012578-0.00027208i,-0.00081123+0.00055177i,0.00018712+0.00087729i
0.0015596-0.0022067i,0.00096345-0.002841i,-0.00047765-0.0027403i,-0.0010658-0.0017513i,-0.00064361-0.00077052i,0.00046065-0.00012716i,0.0019216+0.00013699i,0.002464-0.0005924i,0.0018887-0.0012854i,0.00084506-0.00091872i,4.2532e-05-0.0006045i,-0.00041261-0.00017869i,-0.00033635+0.00073597i,-0.00060353+0.00091852i,-0.00080516+0.00080841i,2.4789e-05+0.00027622i,0.00011022+0.00018145i,0.00024409+0.00049918i,0.0014684+0.00039141i,0.001088+7.2095e-06i,-0.00059975+0.00041251i,-0.00081822+0.0011164i,-5.996e-05+0.00092017i
0.00042849+0.00085083i,0.00057864+0.00072003i,0.00047811-0.00027714i,-6.4527e-05-0.00093713i,2.0323e-05-2.8025e-05i,0.00029715+0.00048688i,0.00028347+0.00011767i,3.9446e-05+0.0001608i,9.4095e-05+0.00016375i,6.8882e-05-7.8555e-05i,-0.0001759-0.00061144i,0.00014876-0.0010739i,0.00052183-0.00093978i,0.00079383-6.1539e-05i,0.0009633+0.00016036i,0.00056636-4.0877e-05i,7.6483e-05+4.1555e-06i,0.00074052+0.00011468i,0.0010916-0.00048456i,0.00048633-0.0010764i,0.00061427-0.00096109i,0.0004049-0.00088976i,-0.00054387-0.00083645i
-0.001656-0.00078859i,-0.0020768+0.00051686i,-0.0017988+0.00012117i,-0.0011544+0.00014715i,-0.0017521+0.00060978i,-0.0012271+0.0014214i,0.00025893+0.0010059i,0.0010335-0.00013772i,0.0005022-0.00034957i,0.00040729-0.00022492i,0.00053388-6.3645e-05i,0.00035709+0.00021711i,-0.00021529-5.6174e-06i,-0.00054772-0.0011037i,-0.00029353-0.0011928i,-0.00018961-0.00023748i,0.00060034+4.8657e-05i,0.00090453-2.4064e-05i,0.00017684+0.00024339i,6.4279e-05+0.00057003i,0.00098836+0.00068569i,0.0014775+0.00078916i,0.0010721+0.0006753i
-0.0012807+0.0002808i,-0.00093206+0.00055838i,-0.0016634+0.00073979i,-0.0012094+0.00034477i,0.00044698+0.00022972i,0.0013733+3.4853e-06i,0.0013049+9.2115e-06i,0.00068158-1.4545e-06i,0.0006585-3.2212e-05i,0.0005051+0.0004732i,-6.7455e-05-0.00015886i,-0.00014126-0.0010127i,-0.00054403-0.00083025i,-0.00029796-0.00036034i,0.00052817+0.00044291i,8.3708e-05+0.0006789i,-0.0005455+0.00065265i,0.00043477+0.0012315i,0.00093685+0.00079349i,0.00078196+4.6457e-05i,0.00073385-0.00012454i,0.00099016-2.1477e-05i,0.0008645+0.00013509i
-0.00047136-5.2734e-05i,-0.00036269-0.00067725i,0.00054551-0.00094408i,-0.00070424-0.0011664i,-0.00152-0.00046829i,-0.00050569+0.00077617i,0.00018644+0.00062156i,0.00049476+0.0001071i,0.00093224-0.00067924i,0.00082399-0.00055741i,-0.00043405-0.00022865i,-0.001304+0.00025744i,-0.0012106+0.00035772i,-0.00096862-0.00046643i,-0.00060795+2.9703e-06i,6.2888e-06+0.00063701i,0.00081886+0.0005005i,0.00099157-0.00023269i,0.00047791-0.00084205i,-3.7272e-05-0.00044096i,-0.00014225+0.00023134i,-0.00025813+2.2061e-05i,-0.00066969-0.00028177i
7.8791e-05-0.00019934i,0.00015718+0.00047622i,6.8575e-05+0.0016557i,0.0012178+0.0015701i,0.0025899+0.00069135i,0.0026212+0.00020488i,0.0017884+0.0002294i,0.00056884+3.8595e-06i,0.0004814-0.00020237i,0.00070174-0.00034483i,0.000434-0.00055693i,0.00048372+2.4834e-05i,0.00012871+0.00029545i,-0.00065417+0.0001433i,-0.00092439+0.00043063i,-0.00038046+0.00031355i,-0.00045017+8.2645e-05i,-0.00048794+0.00046503i,0.00031894+0.00059158i,0.0004031+0.00041672i,0.0002841+0.00059133i,0.00026292+0.00027732i,9.4156e-05+0.00027182i
-0.0020197+0.0040931i,-0.0010044+0.0043126i,0.00072075+0.0043041i,0.0014863+0.0032153i,0.0012655+0.0012552i,0.00015607-0.00069901i,-0.00037107-0.0011145i,-0.00091754-0.0012649i,-0.00086136-0.00090197i,0.00030165-0.0002515i,0.00063088-0.00022515i,0.00042468-0.0006173i,9.9941e-06-0.00093887i,-0.0001747-0.00041599i,-0.00036394+0.00015372i,-0.00019661-0.00025915i,0.00011393-0.00037034i,-2.2471e-06+0.00026342i,0.00052419+0.00051549i,0.00034186+0.00036094i,0.00010584+0.00016386i,0.00026996-0.00060085i,-0.00012464-0.0011003i
-0.0032136+0.00073908i,-0.0035524+0.00083965i,-0.0032091+0.0021854i,-0.002437+0.0022815i,-0.001506+0.001956i,-0.00039058+0.0013091i,-0.00029741+0.00032105i,-1.1754e-05+0.00047082i,0.0008585+0.00054527i,0.0014716+0.00037486i,0.0017116+0.0008908i,0.00091412-3.7491e-05i,0.00024617-0.0010512i,-0.00010256-0.00053841i,-0.00010458-0.00039084i,0.00041396-0.00026076i,0.00071632+0.00020204i,0.0005061+0.0008121i,-0.00017168+0.0011955i,-0.00039091+0.00057466i,-3.7525e-05+9.935e-06i,0.00018052+0.00012962i,0.00032064+0.0001449i
0.00064878-0.0022403i,0.0010111-0.0022661i,0.00027045-0.0030002i,-0.00049216-0.0028289i,-0.00028502-0.00039455i,0.0012759+0.00085836i,0.0016296+0.00012556i,0.00033285-0.0016884i,0.00069921-0.001934i,0.0010206-0.00074928i,0.00073344+1.7765e-05i,0.00048157+0.00070677i,6.4927e-06+0.0012328i,-0.00019731+0.0012588i,7.6315e-05+0.00065193i,0.00090858+0.0006195i,0.0013656+0.00069484i,0.0014213+0.0006875i,0.0012634+0.00056175i,0.00089546+0.00041004i,0.00031745+0.00075069i,-0.00016341+0.00019883i,-0.00019274+0.00029857i
0.00063379+9.0056e-05i,0.00092185+0.00051602i,0.0016013-2.8316e-05i,0.00091314-0.00046729i,-0.00026383-0.0012997i,0.00082862-0.0013338i,0.0021731-0.00062938i,0.0019104-0.00025674i,0.0016013-0.00024771i,0.0012551-0.00025362i,0.00025565-0.00024957i,-0.00032624-5.6678e-05i,-0.0010741-0.00058721i,-0.00094171-0.00068236i,0.00024868+0.00045402i,4.2019e-05+0.00095008i,-0.00073522+0.00052213i,-0.00063858-6.0934e-05i,-0.00056172-0.00016103i,-0.00020643+0.00029341i,-3.2194e-05+0.00045112i,-0.00055535-7.0536e-05i,-0.00062259-0.00033934i
-0.00010998-0.0017298i,-0.0018269-0.0016177i,-0.0030796-0.0015667i,-0.0025096-0.00051203i,-0.0020642+0.00015259i,-0.0013143+0.00092369i,0.00044183+0.00084068i,0.00094298+0.00023693i,0.00045151+0.00050968i,-0.00047262+0.00065873i,-0.00020593-0.00020994i,0.0008979-0.0003451i,0.00083168+0.00015771i,0.00035862+0.00076401i,0.00050871+0.00069061i,0.00079324+0.00015296i,0.00086905+0.00010642i,0.00022488-0.00027397i,-5.2816e-05-0.00030016i,0.00049161+0.0003774i,0.00034448+0.00048086i,-0.00042606+0.00086774i,-0.00068627+0.0011723i
0.0016202-0.00087196i,0.0019521-0.0012508i,0.0011559-0.00062626i,0.0014129-0.00014349i,0.0015167-0.00026864i,0.0008285-0.00030347i,0.00027842-0.00047906i,-0.0003938-3.5577e-05i,-0.00053918+0.00033198i,3.4047e-05+9.5798e-05i,0.00010243-0.0002054i,-0.00039126-0.00021189i,-0.0004043+0.00012631i,-9.5345e-05+0.00014063i,-0.0002029+0.00047795i,-0.00069239+0.00086566i,-0.00054744+0.00069807i,0.00034549+0.0011237i,0.00056521+0.0010486i,0.0003202+0.00024162i,-0.00024515+8.7357e-05i,-0.00085773+0.0001622i,-0.00058582+0.00011031i
-0.00033803-0.0010659i,-0.0010732-0.0011211i,-0.0013768-0.00088217i,-0.0017489-0.0010622i,-0.0016584-0.0006027i,-0.00011323+0.00014917i,0.0013668-5.6717e-06i,0.00082515-0.00046421i,0.00037176-0.00048368i,0.0010996+8.4932e-05i,0.0010707-0.00026448i,0.00070095-0.0004063i,0.00090932-0.00049626i,0.00032583-0.00065517i,-0.00022305+0.00024177i,0.00016207+0.00089555i,0.00087277+0.00035362i,0.00091806-0.00041186i,0.00092617-0.00081372i,0.00085915-0.00056142i,0.00016291+5.4863e-05i,-0.00039847+0.00075099i,-0.00026658+0.00073385i
-0.0013944-0.0012148i,-0.0016786-0.0016294i,-0.00029523+0.00019639i,0.00027061+0.00083536i,-0.00015999+0.00033426i,0.00037853+2.242e-05i,0.00060449-0.0002129i,0.00063465-9.3822e-05i,0.00094476-0.00041201i,0.00084981-0.00047097i,0.00018213-0.0004299i,-0.00033189-0.0012476i,4.4006e-05-0.00081964i,0.00040073+0.00030841i,-0.00014076+0.00033923i,-0.00081788-0.00024699i,0.00024718+0.00046149i,0.00095219+0.00084393i,0.0003865+0.00027435i,0.0006012-0.00052645i,0.00061216-0.00070442i,0.00045324-0.00049948i,0.00051477-0.00036028i
0.00015754+0.00037089i,0.00061749+0.00015249i,-0.0002462-0.00024824i,-0.00047064-0.00063436i,0.00027203-0.0003602i,0.00053689-0.00060381i,0.00013426-0.00057913i,-0.00041548+0.00037273i,-1.4153e-05+0.00095318i,0.00056069+0.00015524i,0.00042014-0.00087405i,0.0002804-0.00095264i,-4.6346e-05-0.00030247i,-0.00030542+3.8238e-05i,0.00015515+9.0885e-05i,0.00037548+6.3939e-05i,8.9696e-05-0.00013736i,-2.4868e-05-0.00010619i,-3.5709e-05-0.00012164i,0.00023437-0.00038389i,0.0005068-0.00066873i,-0.00022075-0.00047997i,-0.0010931-0.00025269i
-0.00063622+0.0016565i,-0.00045155+0.001558i,-0.00018513+0.0016985i,0.00023862+0.0022887i,0.0012621+0.0024639i,0.0021678+0.0012608i,0.0015467-0.00028472i,0.00048591-0.00088682i,0.00010082-0.00035255i,5.4257e-05-0.00045194i,-0.00010802-0.00041405i,0.00021938-0.00040797i,0.00047393-0.0001871i,0.00017381+1.839e-05i,-0.0010809+0.00043058i,-0.0017713+0.0016255i,-0.0011865+0.001742i,8.8555e-06+0.001021i,0.0011086+0.00012806i,0.00067608-0.0002635i,-7.173e-05-0.00046229i,0.00028658-0.00029497i,0.00016021+0.00027772i
0.0017306-0.00036636i,0.00047829+0.00022299i,-0.00071043-0.00057041i,-0.00074395-0.0011543i,-0.0018006-0.0012131i,-0.0013304-0.00097164i,0.00069413-0.00051315i,0.001344-0.00033909i,0.00093334-0.00089724i,0.00053298-0.0019882i,0.0005307-0.00098213i,-0.00024487+0.00034769i,-0.0012658+8.8157e-05i,-0.0011255+0.0001327i,-0.00036664+0.00043358i,-0.00020707+0.00020214i,-0.00013988+0.00037811i,0.00022022+0.00078396i,0.00037981+0.0011654i,-0.00066197+0.0010219i,-0.00082881+0.00029214i,0.00019733+0.00011158i,-0.00021751-3.8746e-05i
