-0.001519+0.000942i,-0.0016679+0.00051039i,-0.0035252+0.00084416i,-0.0033229+0.000736i,-0.0012381+0.0010389i,0.00031436+0.0013705i,0.0006752+0.0012668i,0.00092158+0.00078218i,0.0013013+0.0001198i,0.0014362-0.00028272i,0.0010261-0.00077142i,0.00078677-0.00055806i,-0.00012361-0.00025499i,-0.00099292-4.1833e-05i,-0.00052372+0.00022055i,-9.1845e-05+0.00037447i,-5.4038e-05+6.6593e-05i,-7.4719e-05+0.00030026i,0.00048942+0.00059749i,0.00098618-7.6234e-05i,0.00095336+0.00032115i,0.00044646+3.0582e-06i,-2.8324e-05-0.00022652i
-0.00087574+0.0011142i,-0.0014962+0.00025376i,-0.00082833+0.00092882i,5.9493e-05+0.00064692i,0.00026208-2.0955e-05i,0.00060109-0.00042143i,0.00046029-0.00032456i,-0.00060299-0.00016869i,-0.00086575-0.00044366i,-4.7244e-05-0.00078544i,-9.9977e-05-0.00080407i,-0.00049636-0.00010658i,-0.00066456-6.3758e-05i,-0.00083981-0.00043254i,-0.0010194-8.2667e-05i,-0.0010846+3.4425e-05i,-9.8415e-05-0.00013051i,0.00097685-4.2029e-05i,0.0004289-6.4004e-05i,-1.9532e-05+0.00014719i,0.00047339-0.00046329i,0.00082674-0.00070381i,0.00036066-0.0002752i
0.00069458+0.00051351i,0.00086415+0.00033036i,0.00096712+6.206e-05i,0.0005437+7.0956e-05i,-0.0002682-0.00044382i,0.00025866-0.00028004i,0.0007944+0.00022125i,0.00050852+0.00030805i,3.0389e-05+6.0521e-05i,-0.00020777-0.00020865i,-0.00030842-0.000631i,-0.00060603-0.00068119i,-0.00028469-0.00019251i,0.00023036+0.00025649i,0.00021418-7.0821e-05i,0.00037032-7.2501e-05i,0.00064896+0.00013882i,0.00015845+4.645e-05i,0.0002684+6.9789e-05i,0.0010842-2.7869e-05i,0.0010031-0.00050232i,0.00033395-0.00067192i,0.00012267+0.00010465i
0.00030689-2.7493e-05i,0.0010488+0.0010371i,0.0014919+0.0011255i,0.00085607+0.00036812i,0.00046576-0.00074556i,0.00052527-0.00092754i,0.0008048-0.00046865i,0.00057159-0.00066527i,0.00062326-0.0011534i,0.00083306-0.0014208i,-0.00040746-0.001045i,-0.0009365-0.00050725i,-0.00027175-0.00055228i,0.00030912+4.687e-05i,0.00036681+0.00070919i,0.00029171+0.00049208i,0.00099337+0.00088105i,0.0010534+0.0017779i,0.00040771+0.00097399i,0.00025095+0.00013753i,0.00020146-0.00012412i,0.00041625-0.00038057i,7.3629e-05+9.5353e-05i
0.00052585-0.00078942i,0.0002189-0.0010148i,-0.00035887-0.00055716i,-0.0010161-0.00097052i,-0.00097981-0.00040505i,0.00045848+0.00063964i,0.00031541+0.00061226i,-4.8241e-06-0.00016219i,0.00030308-0.00090793i,0.0011926-0.00085644i,0.00097804-0.0006659i,-7.5564e-05-0.00058717i,-0.00052975-7.2509e-05i,-0.0002582+0.00087661i,-8.4796e-06+0.0011213i,-0.00022685+0.00022784i,-7.6336e-05+0.0001535i,0.00027832+0.0010459i,0.00024728+0.00095062i,0.00030928+3.1991e-05i,0.00023537-0.00021799i,-0.00035446-0.00023044i,-0.00032317-1.8985e-05i
0.0028943+0.0013343i,0.002286+0.00051082i,0.0022928-0.001634i,0.00087869-0.0023052i,-0.00025766-0.0012936i,-0.00075925-0.00018588i,-0.00081303+0.00017624i,-0.00054484-0.00063996i,-0.00034329-0.00026333i,-6.4973e-05-2.0813e-05i,-7.9316e-05-0.00096668i,-0.00059584-0.0010365i,-0.0010245-0.00063879i,-0.0013337-0.00032309i,-0.00097554+1.227e-05i,-6.403e-05+2.2432e-05i,0.00018564+9.3255e-05i,0.00014529-1.8837e-05i,-8.7343e-05-0.00054234i,-0.00017289-0.00075252i,0.00050286-0.00099746i,0.0002511-0.00061265i,-0.00057425-0.00032758i
0.0020956+0.0012751i,0.0017512+0.0012063i,0.0010455+0.0011283i,4.5671e-05+0.00010317i,-0.0004124-0.0011186i,0.00061692-0.0011276i,0.001379-0.00050059i,0.0005445-0.00051559i,0.0002022-0.00057431i,0.00077812+4.8977e-05i,0.0010905+0.00042319i,0.00018128+0.00029537i,-0.00050417-0.0002878i,-0.00020735-0.00028639i,-0.00058727+0.00014193i,-0.00074885-0.00013138i,3.5668e-05-0.00027608i,0.00071222+0.00018245i,0.00099685+0.00034824i,0.00076486+0.00040888i,0.00043437-3.9987e-05i,-6.5797e-05-0.00027663i,-0.00029393+0.00019406i
-0.00046314-0.00074555i,-0.0013193+3.9042e-05i,-0.0014362+0.00060169i,-0.00061486+0.0001192i,0.00032254-2.9785e-05i,0.0013864-0.00023049i,0.0016436-0.00049877i,0.0006559-0.00092485i,0.00043869-0.0005006i,0.00064398+0.0002509i,0.00039676-0.00045327i,0.00033011-0.0011385i,-0.00014889-0.00087914i,-0.00010941-0.00053337i,3.4735e-05-0.00023453i,4.6959e-05-0.00018708i,0.00077855-0.00026162i,0.0013739-0.00031274i,0.00043395-9.6827e-05i,-7.8364e-05+0.00030727i,0.00010078+6.0362e-05i,0.00032328-0.00040971i,0.00014857-0.00041387i
0.00062507+0.00079255i,-0.00017307+0.0013553i,-0.00013336+0.0012753i,0.0007358+0.00042769i,0.0014691+4.327e-05i,0.0022683-0.00034793i,0.0020546-0.00045823i,0.0011313-0.00039616i,0.00061573-0.00028799i,0.00030285-0.00012991i,-0.00021302-0.00029619i,-0.00069028-0.00065324i,-0.0010644-0.00066967i,-0.00079419-0.0002444i,-0.00077997+0.00017791i,-0.00083418+0.00058219i,-4.2878e-05+0.00056143i,7.5829e-05+0.00032005i,-4.5226e-05+0.00064635i,-6.7435e-05+0.00017745i,0.00017573-0.00082849i,0.00023319-0.0012061i,0.00015284-0.00089367i
-0.00028055+0.00034794i,-9.8827e-05+0.00084478i,0.00034908+0.00098579i,-9.4547e-05+0.0003291i,-2.1121e-05+0.00044983i,0.00047565+0.0010436i,0.00029797+0.00055272i,-0.0002138+6.3118e-05i,0.0001475-4.9386e-05i,0.0006198-0.00046495i,0.0011624-0.00049005i,0.0012241-0.00029499i,0.00034374+0.00025133i,-0.00016245+0.00062905i,-0.00021259+0.00058545i,6.13e-05+0.0010337i,0.0003393+0.0011315i,0.00034301+0.0010672i,0.00025441+0.00054912i,0.00022222+4.5653e-05i,-0.00029544-0.00027638i,-0.0011007-0.00025685i,-0.0010915-0.00042374i
0.00053179-0.00012104i,0.0010656+5.3285e-05i,0.00026989-0.0010616i,-2.1126e-05-0.0016425i,-8.8995e-05+6.8723e-05i,0.00019943+0.00026162i,0.00021683-1.573e-05i,-0.00050291+0.00066613i,-0.00012921+0.00027267i,0.00039856-0.00026422i,-7.7777e-05+0.00011266i,-0.00035459+0.00018638i,-0.00011992-0.00073576i,-0.00016528-0.00080977i,-0.00061598-0.00021239i,-0.0009256+0.0003754i,-0.0013206+0.00058693i,-0.00057193-0.00030315i,0.0005106-0.00050595i,0.000249+0.00030358i,-0.00038855+0.00041908i,-0.00064996+0.0002748i,-0.0005104-0.00032912i
