-0.00045186+0.0005624i,-0.0016493-0.00018516i,-0.0014814-0.0014716i,-0.00067198-0.0015096i,-0.0014375-0.00039794i,-0.0018109+0.00032088i,-0.0011464+0.00078621i,4.5969e-05+0.0012531i,0.00088223+0.00099811i,0.00096213+0.00070619i,0.00060615+0.00012522i,0.00036918-0.00078455i,0.00011046-0.0011246i,0.0002703-0.001289i,0.00046811-0.00077088i,0.0001824+0.00019344i,0.00015719+8.2298e-05i,9.8029e-05+0.0002265i,-0.00028809+0.00049639i,-0.00025929+4.5012e-05i,-5.9785e-05-0.0004039i,0.0003004-0.00046573i,7.5583e-05-0.00050351i
0.0020803-0.00091541i,0.0023712-0.002247i,0.0012542-0.002332i,-0.00059592-0.0016747i,-0.0019208-0.00061808i,-0.0020662-2.0907e-05i,-0.0010679-0.00034713i,-0.00067139-0.00064735i,-0.00070548-0.0011316i,-2.1808e-05-0.0012243i,0.00039936-0.00019236i,0.00051219+0.00076932i,0.00018714+0.0006562i,0.00037233+1.4976e-05i,0.0011309+0.0010232i,0.00095512+0.0025296i,0.00019361+0.001414i,-0.00038971-0.00055286i,-0.00046053-0.00065497i,0.00018244-0.00021708i,0.0007345+1.8342e-05i,0.00037651+0.00053897i,-6.607e-05+0.00042741i
0.0012414+0.00026314i,0.0011077-0.0015294i,0.00067627-0.0030717i,-0.00010832-0.0029203i,-0.00064788-0.0020222i,-0.00030659-0.00078254i,-1.2796e-05-0.00080046i,0.00056509-0.0010845i,0.00080808-0.0001995i,0.00059031-0.00026453i,0.00021965-3.1189e-05i,-6.9219e-05+0.00055494i,0.00011751-8.5592e-05i,-0.00036162-0.00037994i,-0.00054851-0.00030447i,1.0618e-05-0.00052556i,0.00034383-0.00014648i,0.00019407+0.00029769i,-0.0004261+0.00030203i,-0.00048419-8.62e-05i,-0.00058364-0.00011038i,0.0001002-0.00029941i,0.00074009-0.00033427i
0.00054763+0.00060469i,0.0014109-0.00078174i,0.0012989-0.00066788i,0.00086737+0.00066632i,0.00042586+0.00092369i,-0.00031998+0.00073009i,-4.3543e-05-7.0547e-05i,0.00010591-0.00084285i,5.8672e-05-0.00096628i,0.00076946-0.00078874i,0.00090334+4.5054e-05i,0.00013134+0.00089007i,-5.2568e-06+0.00012516i,0.00011822-0.00023991i,9.8471e-05+0.00020144i,0.00018357+0.000148i,-0.00019388-0.00072262i,-0.00036696-0.0012491i,-0.00020235-0.00095338i,-0.00016086-0.00030034i,0.00063758+0.00058441i,0.00091458+0.00083794i,0.00013892+0.00080871i
0.00077132+7.2357e-05i,0.0014424-0.0013202i,0.0014778-0.0025428i,0.00022194-0.0019274i,-0.0010598-0.0011163i,-0.0012645-9.0036e-05i,-0.0011276+0.0001098i,-0.00066915-5.2839e-05i,-0.00018388+3.0111e-05i,0.00013211+0.00022805i,0.00016848+0.00073989i,-0.00026439+0.00067485i,-0.00056467+8.8578e-05i,-0.00072333+0.00023726i,-0.00142+0.0005391i,-0.0010808-0.00020215i,-0.00032168+0.00038511i,-0.00050182+0.00088779i,-0.00033548+8.7211e-05i,-0.00060337-1.2294e-05i,-0.001077-2.0486e-06i,-0.00086429-1.1236e-05i,-0.000689+0.00038311i
-0.00072328-0.00017002i,0.0002865-0.00051533i,-0.00010117-0.00096802i,-0.000757-0.00026522i,-0.00055021-0.00029641i,-0.0003337-0.0010176i,-0.00019675-0.00080926i,0.00037681+0.00040251i,0.0007078+0.00054879i,0.000699-0.00016437i,0.00071722-0.00013075i,0.00073137+0.00039073i,0.00053815+0.0010006i,-0.00048127+0.00043964i,-0.00063346-0.00057583i,0.00019664-0.00096733i,0.00030794-0.00071134i,-0.00029584-0.00013911i,-0.00026791-6.3029e-05i,0.00035494-0.00031088i,0.00052842-0.00046812i,0.0006375-0.00071024i,0.00037864-0.00051697i
0.0012108-0.00066553i,0.0020503-0.0020063i,0.0010865-0.0024484i,-1.4847e-05-0.0021493i,6.1071e-05-0.001604i,0.00011012-0.00041964i,0.00052478+9.0249e-05i,-0.00014594-0.00022267i,-0.001024-0.00052261i,-0.00060083-0.00021316i,-0.00029878-0.00011323i,8.0993e-05+0.00041171i,0.00078559+0.0010343i,0.00072164+0.00028657i,-0.00018715-0.0010465i,-0.00082029-0.00087797i,-0.00015279+0.00021964i,0.0004879+0.00067699i,0.00045586+0.00034773i,-1.7321e-05-9.12e-05i,-0.00049829-8.2295e-05i,-0.00038314-0.00047047i,-0.00019748-0.0005519i
0.00036411-0.0017435i,-0.00088707-0.003002i,-0.0016838-0.0048268i,-0.0021857-0.0039276i,-0.0021764-0.0012343i,-0.0017354+0.000274i,-0.001796+0.00050122i,-0.0018385+0.00057183i,-0.0012277+0.00023731i,-0.00036445-0.0002188i,0.00055053+0.00056981i,0.00058773+0.0013021i,-0.00048602+0.0011811i,-0.0007094+0.0006057i,-0.00019609+0.00025511i,-0.00052687+0.00021996i,-0.001283-0.00041523i,-0.001191-0.00090973i,-0.00034053-0.00017094i,0.0001939+0.00035181i,-0.00011656+5.3e-05i,-0.00032895+0.00013885i,-2.6356e-05-0.00011777i
0.00065531-0.00163i,0.00090488-0.0016909i,0.00096956-0.0015044i,-0.00018045-0.0012885i,-0.00074175-0.00048883i,-0.00031285-4.2772e-05i,0.00027854-0.0003061i,0.00028626-0.0001928i,0.00014705-0.00082711i,0.00061186-0.0012543i,0.00088129-0.00067791i,0.00046478-0.00015912i,0.00011073-0.00024572i,-1.7912e-06-0.00022341i,-0.00042489-0.00020209i,-2.891e-05+2.4721e-05i,0.00040389+0.00016383i,0.00019436-0.00017318i,-0.00019831-0.00021504i,-0.00064214-0.00037064i,-0.00047085-0.00042176i,0.00012273-0.00035574i,0.00027361-0.00025655i
-0.0016598-0.00066939i,-0.0007441-0.00066203i,-0.00083471-0.0010585i,-0.0012645-0.00063213i,-0.0003319+0.00038607i,0.00053596-0.00040321i,-0.00028303-0.0017303i,-0.00078151-0.00091046i,-0.00083758+0.00019455i,-0.00082752+0.00013367i,-0.0004951-1.0633e-05i,7.6617e-05-5.129e-05i,0.00045135-0.00015886i,-0.00020648-0.00039611i,8.5931e-05-0.00071365i,0.00046126-0.00088656i,-6.2613e-05-0.00046688i,-0.00041104-6.9598e-05i,-0.00013526-0.00029789i,0.00043001-0.00078529i,0.00025556-0.00066313i,-0.00032919+6.3043e-06i,-3.8183e-05+4.5004e-06i
0.0015779+0.0001116i,0.0021143+7.4098e-05i,0.0011535+9.0329e-05i,0.00094596+0.0005493i,0.00062915+0.00062684i,-0.00022009-0.00064112i,-0.0011268-0.0017282i,-0.0011576-0.0012168i,4.7747e-05-0.00038981i,0.0010753-0.00015455i,0.00068668-0.00015748i,-0.00011511-0.00076713i,-0.00016752-0.00098871i,-0.0010726-0.00051448i,-0.0013411-0.00025095i,-0.00069138-0.00043917i,-0.00075269-0.00055266i,-0.00031815-6.9938e-05i,-0.00046789+0.00023104i,-0.00060062+2.4384e-05i,-0.00049347+0.00069144i,-0.00016386+0.00094612i,0.00022219+1.9083e-05i
