-0.0051126+0.00022693i,-0.0043813-0.00028067i,-0.0042449+0.00064217i,-0.0023238+0.0015866i,-0.00046761+0.0025253i,0.00025207+0.002045i,-0.00022664+0.0019694i,-0.00020388+0.0022386i,0.00061043+0.001504i,0.001147+0.0006439i,0.0010252+0.00042387i,0.00044318+0.0001259i,0.00067631-0.00064161i,0.00089066-0.00093687i,0.00022069-0.00058562i,-0.00030462+0.00047025i,0.00042495+0.0011277i,0.00084497+0.0011743i,0.00033024+0.00086932i,3.8124e-05+0.0010795i,-0.00051675+0.00079698i,-0.00056344-0.00042231i,0.00017348-0.00056719i
-0.0014095-0.0017235i,-0.0019251-0.0034316i,-0.0026602-0.0035147i,-0.0026918-0.001368i,-0.0018755+0.00070006i,-0.00078449+0.001476i,-0.0004463+0.0010042i,-0.00038512+0.0005727i,-0.00031902+0.00069955i,-0.00064167+0.0011826i,-0.00069676+0.0010078i,-0.00075026+0.0012185i,-0.00066773+0.00092371i,0.00063583+0.00053029i,0.00059175+0.00025465i,-0.00020082-0.00019222i,-0.0002435+2.2137e-05i,-0.00058986+0.00032213i,-0.0010524+0.00029341i,-0.001213+7.8089e-05i,0.00016998-0.0003095i,0.0015277-0.00032587i,0.00024628-5.9022e-05i
-0.0018275-0.00087965i,-0.0016195-0.00059183i,-0.0018738+0.0011091i,-0.0019465+0.0024277i,-0.0010037+0.0030228i,9.2892e-06+0.0022091i,0.00090954+0.00098338i,0.0010139+0.00071064i,0.00044826+0.00061773i,-0.00086273+0.00059007i,-0.0011083+0.00043178i,-0.00054333-2.0842e-05i,-0.00051522-0.00088689i,-0.00040039-0.0012421i,-0.00033931-0.00067198i,-0.00014126+0.00053804i,0.00025156+0.000572i,0.00037301+0.00024494i,0.00033826+0.00015464i,0.00013079-0.00033724i,5.78e-05-0.00056005i,0.00064311-0.00056294i,0.0010343-0.0003794i
0.00033677-0.0016269i,-0.00019896-0.0023381i,-0.00051331-0.0025967i,-0.0012569-0.0011934i,-0.0014295+0.0012246i,-0.00070389+0.0016238i,-0.00018565+0.00059316i,-0.00013232+0.00033212i,-0.00027115+0.00042524i,0.00014183+0.00051782i,0.00043813+0.00029408i,0.00020699+0.00017266i,-5.3248e-05+0.00076921i,-0.00014774+0.00058125i,4.0831e-05+0.00021169i,0.00086526+0.00067026i,0.00031243+0.00095143i,-0.00091994+0.0007185i,-0.00089878+0.00035774i,-0.00066928+0.00012693i,-0.00038374+4.8974e-06i,4.5555e-06-0.00016688i,0.00034859-0.00019085i
-8.2604e-05-0.00062753i,-0.00019932-0.0014684i,-7.2971e-05-0.00044694i,-0.00039927+0.00081154i,-0.0012806+0.001689i,-0.00098919+0.0019868i,-0.00039852+0.0012525i,-0.00052849+0.00095874i,6.1206e-05+0.00053082i,0.00042303-0.00053006i,-7.6349e-05-0.00034224i,-0.00049535+0.00041411i,-0.00041329+7.3815e-05i,0.00037703-0.00025124i,0.00079424+0.00039125i,0.00046554+0.00086902i,0.00024658+0.00022426i,9.9902e-05-0.00086095i,0.00054429-0.00082452i,0.00065929-0.00080003i,0.00071257-0.00064989i,0.00030512+0.00045201i,-0.00022236+0.00068464i
0.00081995-0.00092406i,0.0011962-0.0019859i,0.00024416-0.0014867i,-0.00090974-0.00020312i,-0.00073733+0.00014662i,0.00021516-5.6358e-05i,0.0008151-6.4131e-05i,0.00070559+0.00017281i,-0.00029644+0.00033551i,-0.00060303-4.7754e-05i,-7.6648e-05-0.00045519i,0.00046525-0.00032302i,0.00030518+0.00044792i,7.3169e-05+0.00096351i,0.00011922+0.00042319i,0.00034232+0.00031937i,0.00076979+0.00043773i,0.00056181+0.00056211i,-8.981e-05+0.00052639i,-0.00030753+0.0005816i,-0.00050704+0.00080376i,4.1461e-05-0.00023881i,0.00080974-0.00083387i
0.00073204-0.00059684i,0.00016407-0.00044627i,-0.00069549+0.0004482i,-0.0016035+0.0014762i,-0.0010694+0.0015618i,-2.3091e-05+0.0012705i,0.00017912+0.00094523i,5.7891e-05+0.00079375i,-6.4478e-05+0.00042731i,-0.00022839+7.163e-05i,-0.00024762-4.9457e-06i,0.00047545-0.0007389i,0.00080562-0.0011385i,0.00028897-0.00092532i,0.00041729+0.00010997i,0.00066972+0.00050693i,4.0048e-05-0.00041646i,-0.00025113-0.00067692i,0.00036363+0.00017706i,0.00085008+0.00022404i,0.00055723+0.00023555i,-0.0003049+0.00052551i,-0.00025892+0.00054095i
0.00038058+0.00036203i,0.0005123+0.00077333i,-0.00026693+0.0010987i,-0.00096733+0.0012132i,-0.00074358+0.0010188i,-0.00044725+0.00060835i,-0.00041089-0.00017866i,-0.00092894-0.00061069i,-0.0015514-0.00049723i,-0.0014563-0.00040782i,-0.0013493-0.00011847i,-0.0012032+0.0003063i,-0.00052499+0.00060222i,0.00039096+0.0014714i,-0.00018309+0.0018452i,-0.00066599+0.0010584i,-0.0006705+0.00011949i,-0.00027779-0.00059169i,-4.5968e-05-0.00077688i,-0.00068372-0.00090255i,-0.00047343-0.00015449i,-0.00040989+0.00045457i,-4.466e-05+0.00019465i
0.0017434+0.00073702i,0.0020094+0.00033493i,0.0022157-0.0008844i,0.0017413-0.0015548i,0.00066814-0.00087895i,-9.5275e-05+8.4951e-06i,8.5789e-05-0.00029379i,4.2188e-05-0.00070245i,-0.00030096-0.001233i,-0.00041591-0.0013667i,-0.00013734-0.00098553i,-0.00020333-3.623e-06i,-0.00045672+0.00066018i,-0.0009828-0.00016861i,-0.0010404-0.00048328i,-0.00082019-0.00019849i,-0.00075216-0.00025484i,-0.0009088-0.00065075i,-0.00043206+3.871e-05i,-0.00034313+0.00081555i,-0.0005464+0.00045353i,-0.00016012-0.00039245i,-9.7732e-05-0.00065856i
0.00052145-0.001259i,3.3131e-06-2.1865e-05i,-0.00058482+0.00082306i,-0.0006249+0.0014924i,-0.00074107+0.0016538i,-0.00081831+0.000657i,-0.00054284+8.8596e-05i,-0.00038379+0.00010084i,0.0003264+0.00069071i,0.00037776+0.0013761i,-0.00039418+0.00091586i,-0.00093865+0.00039587i,-0.00059752+0.00056777i,-0.00014861+0.00072492i,-5.7911e-05+0.00035355i,9.4065e-05-0.0002924i,-0.00034569-0.00018226i,-0.00097469+0.0005055i,-0.00022953+0.00048071i,0.00020473+0.00020366i,0.00018295+0.00018047i,0.00063637+0.00030091i,0.00021494+0.00109i
-0.0014243-0.00047725i,-0.0011856-0.0013095i,-0.0011686-0.0016218i,-0.001656+0.00052719i,-0.0010396+0.002215i,2.3635e-05+0.0013409i,0.00021085-0.00018671i,0.00019923-0.00057566i,-0.00013415-0.00010555i,-0.00013748-6.4425e-07i,0.00036879+0.00027214i,0.0006914+0.0009503i,3.8704e-05+0.0011109i,-0.00022988+0.0010182i,0.00061905+0.00067163i,0.0010059+8.799e-05i,0.00071+0.00025802i,0.00053766+0.00069493i,0.00032991-9.755e-05i,8.2069e-06-0.0012302i,0.0001264-0.0010987i,0.00044415-0.00062418i,0.00017234-0.000389i
