-0.0038598-9.7256e-06i,-0.0033354+0.00015179i,-0.0035475-3.6759e-05i,-0.0044353+0.00078314i,-0.004852+0.0018571i,-0.0029923+0.0020954i,-0.0017538+0.0021203i,-0.0013972+0.0021065i,-0.00090561+0.00089615i,-0.00025455+0.00015371i,-4.005e-05+4.1514e-05i,1.7379e-05-0.0005421i,-0.00024833-2.5676e-05i,-0.00074684+0.0007046i,-0.00086566+0.00023916i,-0.00084552+8.8841e-05i,-0.00057724+0.00044137i,-0.00017983+0.00011468i,0.00040618+0.00016109i,0.00058522+0.00016237i,-0.00017763-0.00030233i,-0.00037443-0.00027298i,0.00017973+0.00014759i
0.0012938+0.00092401i,0.0016537+7.1597e-05i,0.0022469+0.0010175i,0.0017659+0.0010129i,0.00029998-0.00021314i,-0.00063643-0.0012725i,-0.00080279-0.0010845i,-0.0010822-5.8145e-05i,-0.00068212+0.00023911i,-0.00022489-0.00050516i,-0.00027298-0.00043668i,-0.00078474+6.1837e-05i,-0.00011225+0.00014919i,0.00085495+0.00029606i,-8.6336e-05+0.00024574i,-0.00029394+7.2577e-05i,0.00042436+0.00055275i,0.00033512+0.00035609i,-0.00014287+0.00011875i,-0.00014315+0.00031967i,0.00053201+0.00071897i,0.00071863+0.00068679i,6.6022e-05-0.00010927i
0.0005235-0.0012141i,4.5074e-05-0.0018243i,-0.0018857-0.0032567i,-0.0030594-0.0038085i,-0.0026441-0.0020415i,-0.0016707+0.00046157i,-0.0013704+0.00078965i,-0.0010305+0.00070416i,-0.00054687+0.00066621i,9.4784e-05-0.00017964i,0.00015005-6.5206e-05i,5.8149e-05-0.00029389i,-7.9488e-05-0.0006341i,-0.00020067+4.8941e-05i,-0.00040127+0.00072727i,-0.00055384+0.00059838i,-0.00013807+0.00026815i,0.00056161+0.00027679i,0.00050917+0.00065634i,-0.00032664-2.5032e-05i,-0.00035202-0.00052379i,0.0002086-0.00013235i,0.0003113+0.00023888i
-0.00089513-0.0014546i,-0.0011996-0.00088833i,-0.0019288+8.9113e-05i,-0.001328+0.0004356i,-0.00084786-0.00014447i,-0.00076369-0.00025977i,-0.00040704+0.000752i,-0.00059919+0.00098863i,-0.0013847+3.5667e-06i,-0.0023212-0.00054379i,-0.0019373-0.00069474i,-0.00055381-0.00027605i,-0.00055282+0.00027896i,-0.00086429+0.00056711i,-0.00089895+9.9799e-05i,-0.0010458+0.00026712i,-0.00099156+0.00066709i,-0.00037851+0.00077366i,3.6299e-05+0.0006592i,-0.00054862+0.00068808i,-0.0014467+0.00039863i,-0.0008593+0.00013136i,-0.0002988+0.00024614i
-0.00099087+0.0014814i,-0.0011929+0.0012192i,-0.00052214+0.0014349i,-3.3834e-05+0.0007054i,-0.00061891-0.00041704i,-0.00024154-0.00030995i,-0.00052689-0.00015043i,-0.0013894+0.00020202i,-0.001948+0.00047913i,-0.001091+0.00067865i,-0.00015108+0.00047599i,-0.00036643-0.00037659i,-0.00054719-0.001109i,2.3895e-05-0.00090654i,0.00068657+3.7223e-05i,6.849e-05+0.00013342i,-0.00020074+7.4173e-06i,-8.2982e-05-0.00022303i,-0.0003745-0.00017302i,-0.00028546-2.4703e-05i,0.0002418+0.00031715i,0.00028129+1.3902e-05i,0.00030172+0.0002316i
-0.00016328-0.00030123i,-0.00049054+0.00025357i,-0.00010654+0.00072302i,-7.6523e-05+0.00087988i,-0.00053928+0.0011425i,-0.00014661+0.0012641i,0.00019196+0.00054329i,-4.8829e-05+0.0001358i,-0.00046215+0.00044306i,-0.0013045+0.00050742i,-0.0013753+9.988e-05i,-0.00069203-2.8473e-06i,1.8218e-05+0.0004201i,0.0001786+0.00068339i,-0.00020257+0.0007676i,-0.00080233+0.00072063i,-0.0004836+0.00069199i,0.00081737+0.0013679i,0.00049805+0.0020889i,-0.00032402+0.0013083i,-0.00043088+0.0004687i,-3.279e-05-6.8051e-05i,0.0001775-0.000559i
-0.00095347+0.0011079i,-0.0010655+0.00059556i,-0.0018266+0.00025601i,-0.0014693+0.00020481i,-0.00047911+0.00096939i,5.7084e-05+0.00041266i,-0.00021204-0.00033667i,-0.00062138-8.9431e-05i,-0.00040543+2.7432e-05i,-0.00033118+0.00026505i,-0.00064679+0.00067745i,-0.0003475+8.921e-05i,0.00015248-0.00047021i,0.00059072-0.0005345i,0.00037653-0.00044642i,-0.00021454-4.2541e-05i,-0.00068058+0.00043677i,2.2315e-05+0.00077125i,0.00062502+0.00014666i,0.00062589+2.0773e-05i,0.00099531+0.0002073i,0.0010992+7.9951e-05i,0.00039907-0.00025204i
-9.4437e-05+0.0007277i,0.0013657+0.0015805i,0.0028296+0.0011561i,0.0018944-0.00028441i,0.00047222-0.0010229i,0.00060727-0.0011074i,-2.2252e-05-0.00052124i,-0.00096483+0.00079411i,-0.00086907+0.001473i,-0.00099697+0.00098738i,-0.0013979+0.00068201i,-0.0012052+2.1519e-05i,-0.00078981-0.001215i,-0.00088581-0.0012507i,-0.00078278-5.6129e-05i,0.0001438+0.00051369i,0.00058673+0.00053582i,0.00050304+0.00079385i,5.5219e-05+0.00037926i,-0.00055751+3.5496e-05i,-0.00031192+0.00032134i,0.00020774-2.4593e-05i,0.00055896-0.00056208i
-0.00049189+0.0025447i,-0.00073178+0.0023565i,0.00033862+0.0020256i,0.0012645+0.00030114i,0.00050653-0.0010803i,0.00073867-0.0011232i,2.2641e-05-0.00036888i,-0.001583+0.00058501i,-0.0016806+0.0011053i,-0.0011318+0.00040884i,-0.00069393-2.1646e-05i,-0.00034785-0.00030101i,-7.3164e-05-0.00096036i,0.00015482-0.00090261i,0.00017698-0.00035007i,0.00032379-0.00040958i,-0.00031521-0.00046824i,-0.001235+3.6589e-05i,-0.00124-0.00020677i,-0.00075337-0.00020911i,-0.00079634+0.00051518i,-0.0011033+0.00049398i,9.1278e-05+0.00062951i
0.00060862+0.0012446i,0.00044703+0.00095709i,0.00059602+0.00010019i,0.00030403-0.0011323i,-0.00046536-0.0015412i,-0.00078626-0.00088702i,-0.00084266-0.00034603i,-0.00087963-0.00024707i,-0.0006461-0.00018277i,-0.00026223-0.00020732i,-0.00029539+0.00032727i,-0.00064451+0.00028011i,-0.000896-0.00044867i,-0.00075502-0.00038181i,-0.00024566-0.00019794i,-0.00037904-0.00011859i,-0.00058126-0.00036538i,0.00015127-0.0005623i,-0.0001189+0.00037532i,-0.00053668+0.0010106i,-0.00034052+5.4626e-05i,-0.00045865-0.00019801i,-0.00067713+0.00058113i
0.00096928+0.001025i,0.0019962+0.00033142i,0.0018916-0.00016347i,0.0011307-0.00081133i,0.00036999-0.0010286i,0.00031992-0.00082789i,0.00010989-0.00017431i,-0.00076756+0.00069461i,-0.001079+0.00043169i,-0.00099939-0.00050513i,-0.00030966-0.0013851i,0.00040911-0.0020318i,0.00056988-0.0020228i,0.00019392-0.00058258i,-0.00045283-0.0003034i,-0.0008977-0.00016063i,-0.00078514+0.00034125i,0.00033787+0.00033882i,0.00018064+0.00077808i,-0.00064614+0.00034804i,-0.00062214-2.8432e-05i,-0.00039608+0.00042266i,-0.00046364+0.00014097i
0.00050132+0.00044112i,0.00029545-6.2932e-05i,0.00098819-0.00022977i,0.00079763-0.00056996i,-4.4294e-05-0.0007356i,-0.0017459-5.3219e-05i,-0.0016816+0.00017025i,-0.00035656-2.9181e-05i,-0.00076921+0.00058787i,-0.0013624+0.0010945i,-0.0012519+0.00038081i,-0.0010684-0.00091272i,-0.00061313-0.001497i,-0.00024073-0.00073509i,-0.00017242-0.00026404i,0.00030931-0.00046485i,5.073e-05-0.00010144i,-0.00035726-0.0004166i,-2.4952e-05-0.00015133i,0.0006384+0.00017159i,0.00068814-0.00043068i,-2.8396e-05+0.00019408i,-0.00061999+0.00045698i
-0.00039438+0.00065991i,-0.00025873+0.00063543i,0.00065844+0.001607i,0.0011422+0.0014787i,0.00065737+0.00094084i,0.00032716+0.0009257i,0.00030474+0.00018114i,0.00032806+5.7682e-05i,-4.1681e-05+0.00026002i,-0.00031979-0.00035698i,1.238e-06-0.00028729i,0.00090732-0.00073584i,0.0017314-0.001111i,0.0018673-0.0008165i,0.0012131-0.00010377i,-4.4054e-05+0.00080459i,-0.00042865+0.00088534i,-0.00061828+0.00063334i,-0.0010072+0.00038037i,-0.0017506+0.00046529i,-0.0015258+0.000585i,-0.00022474+0.00049052i,0.0002162+0.0001239i
-0.00015483+0.00010184i,8.5571e-05-2.1706e-05i,-0.0003404-0.00011728i,-0.0011019-0.00037372i,-0.001678-0.0012821i,-0.0013387-0.00067879i,-0.00090845-0.00011414i,-0.0004846+0.00043045i,-0.00045114+0.0014037i,-0.00075267+0.0012172i,-0.00052366+0.00053993i,-0.0001265-0.00011751i,8.9472e-05-0.00025335i,0.00043436+0.00014205i,-8.2734e-05+0.00050642i,-0.00059225+0.001037i,-0.0010333+0.00078355i,-0.00090751+0.00034571i,-0.00031862+5.2162e-05i,-0.00047131-0.00018121i,-0.00065188+6.1506e-05i,-7.7588e-05+0.000575i,-0.00027206+0.0011765i
0.00050098+0.00072295i,-0.00022267+0.00045176i,0.00038173-0.00021165i,0.00076947+0.00040024i,0.00063213+1.8442e-05i,-0.00042018-0.00028709i,-0.00090158+0.00084723i,-0.00081943+0.0012645i,-0.00065039+0.00080134i,-0.00018415+5.4665e-05i,-0.00027559-0.00075218i,-0.00054485-0.0010909i,-0.00061796-0.00086138i,-0.00062054-0.00017421i,-0.0003782+0.00011919i,-0.0008572-0.00034639i,-0.00094365+1.8168e-06i,-1.0462e-05+0.0012636i,0.00015001+0.00069139i,-0.00044309-0.00040857i,9.7963e-05-8.6178e-05i,0.00018099+0.00013682i,4.171e-05-0.00011933i
0.0003252+8.5065e-05i,-3.1239e-05-0.00070969i,0.00066258-0.0013679i,0.00072532-0.0023299i,-0.00019279-0.0013295i,-0.00061442+0.00021644i,-0.00056928+0.00066508i,-0.00079672+0.00073652i,-0.0011837+0.00051542i,-0.0011874-0.00041559i,-0.0011215-0.00053891i,-0.00064273-0.00043147i,-0.00039724-0.00057009i,-0.00062199-0.00064447i,-0.00085477-0.00054978i,-0.0012452+0.0002753i,-0.0011214+0.00028047i,-0.00025806+0.00014891i,0.00032716+0.00075697i,-0.00021735+0.00039065i,-0.00097798-0.00080131i,-0.00030784-0.00052516i,0.00036268+0.00021299i
-0.0019795-0.0023904i,-0.0011704-0.0010477i,-0.0015573-0.00025587i,-0.0028274+0.00016645i,-0.0022355+0.00078795i,-0.00062963+0.0010481i,-0.0005964+0.00072068i,-0.00057936+0.00010889i,-0.00070715-0.00023694i,-0.00089495-7.534e-05i,-0.00059923-3.6454e-05i,-0.00013636+0.00022442i,-0.00049042+0.00064493i,-0.00010628+0.00031028i,0.00067905-1.9446e-05i,-4.8666e-05-9.6248e-05i,-0.00071292-4.5842e-05i,-0.00012525+3.3003e-05i,-0.00013849+0.00061738i,-8.1354e-05+0.00080887i,0.00035813+0.00027128i,0.00027987-0.0001129i,8.9528e-05-0.00021096i
-0.0023679-0.00059543i,-0.0020654-0.0011961i,-0.0022251-0.0013515i,-0.0017152-0.0014011i,-0.00061477-0.00075067i,-0.00012088+7.6542e-05i,-0.0005727+0.00085942i,-0.0010125+0.00054226i,-0.0011108+0.00039709i,-0.0012974+0.0015251i,-0.00094952+0.0012623i,-0.00099932+0.00028949i,-0.00062934-5.2478e-05i,-0.00012444+0.00021064i,0.00021946+0.00066821i,-5.0046e-05+0.00048424i,-0.00049282+0.00022484i,-1.6078e-05+0.00054854i,0.00015356+0.00031082i,-0.00010598-0.00017009i,0.00021344-0.00023484i,0.00075355-0.00017124i,0.00083111-0.00056007i
0.002342+7.9642e-05i,0.0024877-0.00073464i,0.0015446-0.0012873i,0.00053672-0.00095997i,-6.7039e-05-0.00091754i,-0.0014745+0.00038182i,-0.002062+0.00066792i,-0.001141-0.00013221i,-0.00065229-6.0726e-05i,-0.0006168-9.626e-05i,-0.00034574-0.0004308i,-0.00055752-0.00047769i,-0.00070982-0.00020511i,-0.00063538-0.00062539i,-0.00065328-0.00055608i,-0.00097364-6.6254e-05i,-0.0010722-0.00024823i,-0.00078832-9.4541e-05i,-0.00027742-0.00023228i,5.8191e-05-0.00025872i,0.00036034-0.00010314i,0.00071459-5.75e-05i,0.0014498+0.00033532i
