-0.00063821+0.00014117i,-0.0010357-0.0013852i,-0.002315-0.0010897i,-0.0018892-0.00089235i,-0.00082406+0.00025394i,-7.8056e-05+0.001446i,-0.00021137+0.0018039i,-0.00022406+0.0022283i,0.00064604+0.0018759i,0.00071971+0.00074712i,9.5968e-05-0.00055001i,4.8987e-05-0.0011211i,4.7272e-05-0.001295i,-0.00022834-0.001308i,3.0809e-05-0.0010356i,3.8549e-05-0.0007162i,0.00035811-0.00011188i,0.00045836-3.6621e-05i,0.00024439+6.9838e-05i,-0.00052033+0.0002916i,-0.00024257+0.00046155i,0.00010708+0.00032119i,-0.00012364+0.00030869i
-0.00040325-0.0013826i,-0.00011016-0.0010533i,-0.0012972-0.00041447i,-0.0015902+0.00057922i,-0.0011478+0.00085382i,0.00010394+0.0010751i,0.001965+0.00073866i,0.002117-9.2904e-05i,0.0017562-0.00049123i,0.00071454+0.00014983i,-0.00023818+0.00045385i,-1.4426e-05-7.863e-05i,0.00020461-3.0244e-05i,0.00030579+0.00037501i,0.00046089+0.00053832i,0.00027953-1.9863e-05i,0.00031391-0.00062477i,0.00064413-0.00063333i,0.00047895-0.00072373i,0.0001964-0.00079754i,0.0001037-0.00033814i,0.00014987+0.00020728i,4.6812e-05+0.00089971i
0.0013466-7.8558e-05i,0.00036021-0.0011243i,5.1757e-05-0.001327i,0.00022435-0.0016186i,-0.00042348-0.0025773i,-0.0009734-0.0034015i,-0.00014347-0.003389i,9.1351e-05-0.0027655i,-0.00055073-0.0020162i,-0.00056588-0.00024361i,-0.00022664+0.00069962i,0.00039409+4.1972e-05i,0.00075195+3.7246e-05i,0.00050977+0.00022926i,0.00048114+2.5337e-06i,0.00058241-9.9885e-05i,0.00090835+4.3959e-05i,0.00091495-0.00049992i,0.00024169-0.00072923i,-5.4191e-05-0.0001124i,-0.00039526+0.00035589i,-0.0011225+0.0003818i,-0.00085627-2.5668e-05i
0.00035108+9.7435e-05i,-0.0006216+0.00086721i,-0.001735+0.0011017i,-0.001118-4.7336e-05i,-0.00075962-0.0005344i,-0.0011638-0.0010747i,-0.0011679-0.0032821i,-0.0011396-0.0034238i,-0.001066-0.0021037i,-0.00096334-0.001175i,-0.00057384-0.00033788i,-0.00020924+0.00045107i,-6.3261e-05+0.00094927i,0.00058268+0.0013078i,0.0011053+0.00093966i,0.0012673-0.00012002i,0.0014681-0.00074202i,0.0009966-0.00033587i,0.00019423+0.00028388i,0.00045759+0.00029998i,0.00052534+0.00021721i,-0.00019066+2.6806e-05i,-0.00087553-0.00044144i
-0.00047443-0.00081448i,-0.0010109-0.00165i,-0.00081792-0.0014829i,-0.0004875-0.00043579i,-0.0006965-0.00067723i,-0.00088961-0.00031584i,-0.0019185+0.00026052i,-0.0022948+0.00065864i,-0.0017767+0.0012148i,-0.0014605+0.0011996i,-0.00087371+7.9378e-05i,-5.1749e-06-0.00076843i,-0.00014039-0.00037463i,-0.0006176+4.7404e-05i,0.00047664+0.00017923i,0.0010252-0.00028845i,0.0005521-0.00044559i,0.00049686-0.00030264i,0.0012752-0.00021154i,0.00076143+0.00015989i,-0.00037852+6.775e-05i,-0.00090197-0.00041645i,-0.00011396-0.00079857i
0.0010099-0.00034573i,0.00027232+0.00058697i,0.0011491+0.00073382i,0.0011701+0.00015555i,0.00029916-0.00033984i,0.00044609-0.00051326i,0.00099795-0.00024705i,0.0010516+0.0004214i,0.0010836+0.00048615i,0.001409+0.00049425i,0.00028963+0.001103i,-0.00061648+0.0010235i,-0.00012308+0.00039523i,0.00030867+0.0002479i,0.00058227+0.00054612i,0.0007344+2.7461e-06i,0.00050041-0.00055387i,-3.1874e-05-0.00056786i,-0.00031019-0.00028107i,4.0138e-05+0.00071429i,0.00062872+0.00082646i,0.00026472+2.4293e-05i,-0.00058228-0.00052648i
0.0013341-0.00075437i,0.00058354-0.001939i,-0.00060933-0.0020436i,-0.00089665-0.0018789i,-0.00040687-0.00092322i,0.00071421-0.00079264i,0.0021131-0.001498i,0.0028461-0.001857i,0.0023308-0.0015545i,0.0013072-0.00037263i,0.0008178+0.00069807i,0.0010042+0.00081495i,0.00064232+0.00039791i,0.00041137+5.5114e-05i,0.0012199+0.00064955i,0.0009304+0.00092923i,-3.5739e-05-7.5576e-05i,0.00023125-0.00031157i,0.00048452+3.3887e-05i,0.00022565+1.6882e-05i,0.0001914+3.88e-05i,0.00023053+0.00041575i,0.00013047+0.00047116i
0.0020383-0.00027123i,0.0017358-0.0012519i,-0.00013733-0.0017799i,-0.0016246-0.0014945i,-0.0011324-0.0019741i,-0.00011527-0.0031691i,0.00053747-0.0027153i,0.00025088-0.0019455i,4.6506e-06-0.0020021i,0.00018088-0.0016716i,0.0004343+0.0001319i,0.0004174+0.00090371i,0.00067821+0.00056857i,0.00043751+0.00032449i,-0.00022329+0.0001346i,0.0001325+0.00016693i,0.0005426+0.00011588i,0.00044526-2.2925e-05i,0.00049104-0.0002796i,0.00025436-0.00010347i,0.0004708+0.00047931i,0.00048834+0.00088233i,-0.00017481+0.00058238i
0.0011288-0.00022784i,0.0014505-3.7524e-05i,0.0013624+0.00044886i,0.00074096-0.00023639i,-0.00014673-0.0011148i,-0.0012826-0.0012808i,-0.0021627-0.0012418i,-0.002107-0.00095943i,-0.0015249-0.00026498i,-0.00068423+0.00021058i,-0.0006238+0.00045372i,-0.001046+0.00037111i,-0.00041837+0.00041487i,0.00033939-0.00011087i,0.00068776-0.0011191i,0.00065992-0.0013482i,0.0003929-0.001096i,-0.00010585-0.00060548i,-0.00048406+0.00020491i,-0.00025943+0.00042844i,0.00018827-5.3439e-05i,2.7746e-05-0.00036011i,0.00013634-0.0003198i
-0.00062193-0.00026873i,-0.00067954-0.00074736i,-0.00031467+0.00057413i,0.00026732+0.0005872i,0.00059335+0.00018763i,-0.00015137+0.00022811i,-0.00063157+0.00052577i,-0.0016609+0.0010995i,-0.0024438+0.0012i,-0.0021811+0.00055808i,-0.0020008+0.00058454i,-0.0016361+0.00081417i,-0.00077698+0.00020986i,-4.7379e-05-0.00037026i,0.00041108-0.00010203i,3.1944e-05+0.00024819i,-0.00019478+0.00057173i,-0.00013442+0.00052841i,-8.1312e-05+0.00060835i,0.00015562+0.00027768i,0.00041934-0.00034093i,0.00097346-0.0005784i,0.0012486-0.00053898i
0.0019654-0.0013715i,0.0018693-0.001767i,0.0007088-0.0012598i,-0.00014079-0.00041739i,2.0425e-05+4.2016e-05i,0.00092964+0.00034814i,0.0017808+0.00032043i,0.0018244+0.00071506i,0.0015368+0.001247i,0.00071002+0.0013878i,9.7244e-05+0.0016963i,-0.0002922+0.00091487i,-0.00037125-0.000554i,0.00010453-0.00042727i,0.00063672+0.00024696i,0.00070498+0.00028219i,7.0573e-05+0.00019363i,-0.000119-0.0001032i,0.00014885+5.7941e-05i,-4.6614e-05+7.8222e-05i,-0.00017749-0.00018044i,-0.00037562-0.00029733i,-0.00087245-0.00044593i
