-0.0011227-0.0014012i,-0.0010504-0.0019248i,-0.0015334-0.0016672i,-0.0011415-0.00055193i,-0.00086859+0.00069636i,-0.00055087+0.0014586i,-0.00020397+0.0013452i,0.00056243+0.00065958i,0.0014882+4.6527e-06i,0.0016134-0.0010614i,0.00093343-0.0011358i,0.00018761-0.00057062i,0.00051453-0.00077848i,0.00067451-0.00089047i,0.00024881-0.00022162i,-0.00026548+0.00042084i,-0.00034536+0.00035172i,-0.00024862+0.0003324i,-0.001034+0.00029272i,-0.0010661-1.2899e-06i,-0.00022286-0.00045879i,0.00015692-0.00084985i,2.1289e-05-0.00060369i
-0.00072306-0.0019811i,-3.5294e-05-0.0016327i,0.00048763-8.7936e-05i,0.00024194+0.0012395i,-6.7434e-05+0.0014808i,0.00070686+0.0009182i,0.0012573+0.00091416i,0.00073126+0.0011003i,-0.00016544+0.00089241i,-0.00085338+0.00047579i,-0.00065448+7.1471e-05i,-0.00025917+0.00043241i,-0.00018877+0.00048997i,-0.00013188-0.00021989i,-0.00020514-0.00043914i,-0.00042873-0.00039969i,-0.0010047+6.6398e-05i,-0.0013192+0.00052349i,-0.00073813+0.000567i,9.9304e-05+0.00062607i,0.00014441+0.0009041i,-6.0875e-05+0.00045046i,-0.00026403-0.00015632i
0.0016007+0.0022274i,0.00067476+0.0021459i,0.00010769+0.0014053i,-4.7297e-05+0.00068519i,0.00031959-0.0001345i,0.0002348-0.00029186i,0.00032447-0.00031082i,0.00045378-0.00015867i,-5.588e-05-0.00021636i,-0.00088032-0.00038028i,-0.00056136-0.00039222i,0.00011565-0.0006311i,0.00019667+8.674e-05i,-0.00025158+0.0010417i,-0.00090277+0.00016325i,-0.00065199-0.0013115i,0.00019198-0.0013203i,0.00052438-0.00052092i,0.00051558-0.00069449i,0.00069454-0.00095163i,0.00081114-0.00081606i,0.00053022-0.00018009i,-0.00024258+0.00034494i
0.00047704+0.00016326i,0.00023306-0.00090388i,0.0006345-0.0011542i,0.0010119-0.00095653i,0.00056606-0.00095938i,0.00087251-0.00089731i,0.0016636-0.00062219i,0.0010909-0.000515i,5.0702e-05-0.00015352i,-0.00019135-0.00020049i,0.00010725-0.00075629i,0.00050678-0.00077302i,0.00061418-0.00089981i,0.00052216-0.00092088i,0.00018684-0.0008546i,-0.00060526-0.00028233i,-0.00086186+0.00023821i,-0.00055215+0.00043115i,-0.00038384+0.0005588i,-0.00066326+0.00031362i,-0.00091092+0.00022565i,-0.00039343+0.00013135i,0.00044411+2.4845e-05i
0.0019693-0.0034432i,0.0032426-0.0033209i,0.0013872-0.0028881i,-0.0005437-0.0014019i,-5.9276e-06+0.00046809i,0.00082522+0.0011542i,0.00059186+0.00069214i,-0.0001412+0.00080546i,-0.00070289+0.00021913i,-0.00083054-0.00037477i,-0.0009915+0.00035562i,-0.000831+0.00059188i,-1.4109e-05+0.00019088i,0.00088798+0.00024183i,0.00040296+0.00046686i,7.7331e-05-7.801e-05i,-8.6653e-05-0.00057829i,-0.00094856-0.00072396i,-0.00090565-0.00049004i,-0.00057588+0.00051354i,-0.00068763+0.0013002i,-0.00021888+0.0011823i,0.00025421+0.00045553i
-0.0015956+0.00089382i,-0.0025087+0.001631i,-0.0017532+0.0014399i,-0.000891+0.0010225i,0.00062314+0.00070379i,0.0013684+0.00029841i,0.0014149-0.00077599i,0.00053459-0.0011408i,0.00021921-0.0007485i,0.00075209-0.00010599i,0.00099576+0.00012449i,0.00050266+0.00053336i,0.00030397+0.00053802i,0.00035977+0.00011581i,-0.00010304+0.00012278i,-0.00028487-0.00026924i,-0.00035377-0.0013606i,-0.00060485-0.0016988i,-0.00044669-0.00079312i,0.00013024-4.8399e-05i,5.9327e-05+0.00029872i,-0.00054127+0.0002877i,-0.0012553-4.0681e-05i
9.5518e-05-0.00033006i,-5.867e-05-0.0014561i,0.00031398-0.000967i,0.00036513-0.00034393i,0.00097087-0.00032843i,0.0011492-0.00043139i,0.00062743-0.00016776i,0.00023627+0.00044135i,0.00012738+0.00037754i,7.5912e-05+0.00035838i,9.7028e-05+0.00056636i,0.000524+5.1653e-05i,0.00046607-0.00038069i,-2.604e-05-0.00065938i,-0.00071372-0.00060939i,-0.00097441-0.00013635i,-0.00032527-0.00013904i,-0.00028742-0.00059017i,-0.0012168-0.0005923i,-0.00073533-0.0002951i,-9.4881e-05-8.5479e-05i,5.2547e-05-8.6956e-05i,0.0003884-0.0001299i
-0.00056951-0.0011672i,0.00050819+3.0315e-05i,0.00015799+0.00094034i,-0.00033998+0.00056027i,-7.8793e-05+0.00048225i,0.00067077+0.00046708i,0.00026249+0.00042596i,-0.00051656+5.0782e-05i,-0.00061621-0.00010055i,-0.00029949+0.00040081i,0.00032614+0.00056506i,0.00033398-0.00020093i,-0.0002208-0.00054796i,0.00011345-0.00014882i,0.00047084+9.1228e-05i,0.00030825-0.00010504i,0.00068445+0.00021967i,0.00026966+0.00074424i,-3.3944e-05+0.00016454i,0.00013625-0.00024626i,-2.3867e-05-0.00048439i,-8.5703e-05-0.00032902i,-0.00071869+0.0005479i
-0.0012608-0.00028921i,-0.0024404+0.00037676i,-0.0022104+0.00015563i,-0.00075504+0.00058227i,0.00079238+0.0008872i,0.0014612-0.00029243i,0.0011183-0.0016889i,-1.6294e-06-0.001515i,-0.00071202-0.00053505i,-0.00073665+0.00010142i,-0.00082532-0.00043006i,-0.00083637-0.00072727i,-0.00060401-0.00044627i,0.00048701-0.00018281i,0.00063733+0.0002025i,-2.6165e-05+0.00058985i,-0.00036309+0.001375i,-0.00061461+0.0011408i,-0.00047202+0.00064683i,7.9892e-05+0.00033933i,0.00025915+0.00029474i,-0.00031138+0.00054344i,-0.00060428+0.00075507i
-0.00050207+0.00053144i,-0.00043363+0.00041593i,6.9291e-05+0.0011342i,0.00080481+0.0015401i,0.0009198+0.00037135i,0.00062751-0.00069026i,0.00043953-0.00074294i,0.0004054+7.1113e-05i,-0.00035078+0.00037386i,-0.00070286+0.00025935i,-0.00041771+5.0535e-05i,-0.00048365+0.00019327i,-0.00073676+0.00031426i,-0.0011998-0.00016524i,-0.0011353-0.00067336i,-0.00054029-0.0010979i,-0.00025172-0.00044698i,-0.00023472+0.00043216i,-1.8704e-05-0.00032258i,0.00023019-0.0013339i,-1.7884e-05-0.001164i,-0.00013105-0.0010793i,0.00017081-0.00030289i
-0.00023543-0.0016933i,-0.0014831-0.00056961i,-0.0020502+0.00099403i,-0.0014258+0.0025578i,0.00037732+0.0026113i,0.001656+0.0016646i,0.0012637+0.00079025i,0.00031649+2.2311e-06i,-0.00082757-0.00054819i,-0.0010435-0.00078284i,-0.00037218-0.00024793i,0.00041061+0.00018071i,0.00057916-0.00060459i,-0.00010179-0.00053249i,-0.00048948+0.00015928i,-0.00068774-0.0003613i,-0.00071536-0.00056049i,-0.00046044-0.00020186i,-0.00015508-9.0553e-05i,-5.9423e-05+0.00053589i,0.00012827+0.00025618i,0.00014107-0.00051746i,-0.00031532-0.00050609i
0.0012659-0.0010949i,0.0011781-0.0010499i,0.00052423-0.0026989i,-0.00018102-0.0026186i,0.00046706-0.00093218i,0.0016838+3.1965e-05i,0.0021652-0.00030049i,0.0013285-0.00095826i,-6.0375e-06-0.00073863i,-0.00041417-0.00043926i,0.0003316-0.00018875i,0.00079937-0.00020516i,0.0011243-0.00064006i,0.00051399-0.00063904i,-0.00044451-0.00057001i,-0.00011956-0.00015927i,0.00086754+0.0006109i,0.00090418+5.4742e-05i,0.00011926-0.00065586i,-8.0189e-05-0.00042552i,0.00025068-0.00021276i,0.00095381+0.0006966i,0.001045+0.00075865i
-0.00013079-0.0001264i,0.00050687-6.5621e-05i,0.00055109+0.00090962i,6.9748e-05+0.0015531i,0.00034449+0.0014067i,0.00081018+0.00086309i,0.00047085+0.0002883i,0.00023574-0.00019895i,0.00023602-0.00012972i,0.00021144+0.00068138i,5.1778e-05+0.00083482i,-6.4548e-05-4.2984e-05i,-0.00066114-0.0004201i,-0.00048773+8.3218e-05i,0.00025526+0.00056077i,0.00027007+0.00064029i,-0.00032196+0.00017119i,-0.00087389+4.6798e-05i,-0.00057969+0.00025164i,-0.00033598-0.00016406i,-0.00073794-0.00020832i,-0.00053799-3.156e-05i,7.1705e-05+0.00039389i
-0.001301+0.00078909i,-0.0015325+0.0019769i,-0.0011421+0.0028297i,4.5955e-05+0.0024766i,0.0012121+0.0013396i,0.0013529+0.00027673i,0.0014282-0.00045098i,0.00111+2.3852e-05i,0.00036593+0.00080417i,0.00011947+0.00041224i,3.3929e-05+0.00010576i,2.8105e-05+0.00055086i,0.00016737+5.5163e-05i,0.00018346-0.0010263i,-9.9305e-06-0.0016511i,-0.00052756-0.0016515i,-0.00093475-0.00097195i,-0.0010879-0.00065339i,-0.00026838-0.0006839i,0.001002-0.00024048i,0.00095832+0.00030406i,0.00048993+0.00029931i,0.00021178+0.00025937i
-0.00080382+0.00010806i,-0.00079071-0.00056099i,-0.00055025-0.00069366i,0.00038668-0.00052695i,0.0014541-0.00040346i,0.001238-0.00028891i,0.00034336-2.1897e-05i,-0.0004396-0.00030974i,-0.00044617+1.6911e-05i,-1.0271e-05+7.323e-05i,1.5399e-05-0.00044551i,-5.7341e-05-0.00072059i,0.00016762-0.00092335i,-0.00028811-0.00095511i,-0.00062799-0.00089512i,-0.00013901-0.00085955i,0.00034067-0.00061884i,0.00019791-0.00032559i,1.0651e-05-0.00036904i,0.00013571+2.6598e-05i,3.1641e-05+8.6751e-05i,5.148e-06-5.3892e-05i,0.00053651+0.00040082i
0.0012008+0.0018102i,5.4967e-05+0.0010795i,0.0010721+0.001017i,0.0017928+0.001153i,0.00086574+0.00041681i,3.4469e-05-0.00055355i,0.00012213-0.00034277i,0.00026301+0.00038856i,0.00021413-0.00010306i,-4.9692e-05-0.00038349i,-0.00038643-0.00027653i,-0.00044528-0.00037783i,-0.00090764+2.2642e-05i,-0.0012325-0.00011908i,-0.00098838-0.00052826i,-0.00057531+0.00023017i,-0.00044293+0.00072667i,-0.00078614+0.00049275i,-0.00032868+0.00015407i,0.00040874-0.00034073i,0.00032718-9.4437e-05i,0.00036247-7.6419e-05i,0.00029962+0.00014214i
-0.0010687+0.00019051i,-0.0013703-0.00010185i,-0.0012408+0.00096141i,-0.00031381+0.0011681i,0.0011679+0.0006985i,0.0017899-0.00044553i,0.00089794-0.0014553i,7.7493e-05-0.00094657i,0.0002654+8.7808e-05i,0.001161+0.0007676i,0.00078541+0.0010153i,0.00083031+0.00072924i,0.0012753+0.00084447i,0.00053354+0.00073701i,-0.00014114-0.00021011i,-0.00075193-0.00073238i,-0.00097339-0.00041719i,-0.00037796-0.00029901i,0.00039304-0.0004382i,0.00037313-0.00064606i,0.00024628-0.00035351i,-5.1829e-06-3.4953e-05i,-0.00038712-0.00016159i
0.00029552+0.00017839i,0.00023242+1.4558e-05i,-0.00043197+0.00057221i,0.0003616+0.00059412i,0.0010369-0.00039176i,0.0004268-0.00048054i,-0.0004924+0.00029919i,-0.00033111+0.00034691i,0.00032755-0.00020362i,0.00041947-0.00046423i,0.00026384-0.00046613i,0.000104-0.00057781i,-0.00054726-0.00029292i,-0.0004811-0.000339i,3.9409e-05-0.00050862i,0.00012374+3.7461e-05i,0.00014607-0.00022654i,0.00072339-0.00052999i,0.0006481-0.00024809i,0.00057101-0.0004517i,0.00033957-0.00042596i,8.9069e-05-0.00023613i,-9.2667e-05-0.00060061i
0.0006374-0.00037616i,0.00094528-0.00036923i,-0.00047478-0.00095641i,-0.00059148-0.0010247i,0.00078629-0.00070217i,0.0013712-0.0010938i,0.0010153-0.0014326i,0.00021978-0.00054618i,-0.00011453+0.00089449i,-0.00064004+0.0014277i,-0.00016037+0.00089445i,0.00011004-0.00016302i,1.7981e-05-0.00094787i,0.00039256-0.00078982i,0.00076097-2.2315e-05i,0.000528+0.00024366i,-0.00028565+0.00028399i,-0.00084883+0.00020165i,-0.0013699-2.0456e-05i,-0.0016032+0.00045802i,-0.0012561+0.00061982i,-0.00053485+3.5621e-05i,-0.00031307-0.00046215i
-0.00057139+0.00077154i,-0.0011381+0.0011377i,-0.0013754+0.0020974i,-6.1007e-05+0.0022371i,0.0018059+0.0023839i,0.002579+0.0012028i,0.001906+0.0001858i,0.00077244+0.00050798i,8.9432e-05+0.00028071i,-0.00067566+0.00011261i,-0.00085711-3.1919e-05i,-0.00051792-4.0397e-05i,-0.00029389-0.00010747i,-0.00026919-9.9327e-05i,0.00027658-3.942e-05i,0.0011068+0.00019346i,0.0012923+3.8661e-05i,0.00095673-0.00027506i,4.6651e-05-0.00059489i,0.00030643-0.00037272i,0.00012378+0.00065204i,-0.00053244+0.0011639i,-0.00055594+0.00022524i
0.00011279-0.001575i,0.0018034-0.0010518i,0.0019397+9.7012e-05i,0.0017079+0.00073671i,0.0018093+0.00070148i,0.0020506+0.0004796i,0.0018192+0.00046259i,0.00097654+3.0801e-05i,-0.00043673-0.001018i,-0.00048163-0.0012695i,-0.00015625-0.00069718i,-0.00032272-0.00014684i,0.00022388-8.7942e-05i,0.00027197+8.8371e-05i,0.00024369+0.0001757i,0.0006399+0.00030415i,0.00024396+0.00059379i,-0.00020766-0.00022647i,2.9131e-05-0.00026028i,0.00028594+2.9437e-05i,0.00043378-7.9569e-05i,-1.6409e-05+0.00049343i,-0.00043397+0.0004237i
-0.00043555+0.00031404i,-3.3479e-05+0.0012668i,8.0166e-05+0.00089157i,-0.00056099+0.00063037i,-0.00085053+0.00023832i,2.0021e-05-0.00058183i,0.00054455-0.00013238i,0.00033929+0.00010663i,-0.00012586-0.00044708i,-0.0009718-0.00020342i,-0.0015187+0.00016288i,-0.0013045-0.00014718i,-0.00027332-0.0003578i,-2.7232e-05-5.2284e-05i,-0.00079872+0.00024457i,-0.00077541-0.00038252i,-0.00063953-0.00032539i,-0.00071115+0.00077861i,-0.00068123+0.00048433i,-0.00032365-0.0005901i,-0.00024301-0.00064725i,-0.00061967-0.00031211i,4.253e-05+4.3041e-05i
0.0014462+0.00012444i,0.0014197-0.0011016i,0.0010625-0.0018562i,0.0011708-0.0013554i,0.0012631+0.00031492i,0.0011551+0.0012022i,0.0017376+0.00062709i,0.0018329+0.00041978i,0.0010307-0.00032095i,6.6042e-05-0.00051482i,-0.00026727-0.00026717i,3.6855e-05-0.0001118i,0.00011002+0.00037387i,0.00048477+0.00010821i,0.00084154-0.00027661i,0.00032791-0.00061762i,0.00015803-5.4065e-05i,0.00039064+0.00094232i,0.00052439+0.00068626i,-0.00013235+0.00025703i,-0.00091541-2.1023e-05i,-0.0011761-0.00043963i,-0.0010254-0.00027931i
-0.00073792+0.00087156i,-0.00026415+0.00071231i,0.00016257+0.0010393i,0.00033245+0.00077155i,0.00068562+0.00023163i,0.0014064+0.0002005i,0.0015373-6.8661e-05i,0.00079944+0.00012292i,0.00017-0.00017859i,2.7146e-05-0.00074815i,-2.7414e-05-0.00045044i,1.7852e-05-0.00026666i,-0.00028392+0.00026172i,-5.3911e-06+0.00065384i,-0.0004183-0.00015776i,-0.0010422-0.00078155i,-0.00077237-0.00045736i,-0.00046977-0.00057861i,0.00015928-0.00060858i,0.00025751+1.2721e-05i,-0.00023513+5.1172e-05i,-0.00045665-0.00037456i,-0.00030782-0.00034262i
-0.001301+0.0010202i,-0.0010702+0.00067453i,-0.0011033+0.0013161i,0.00060977+0.0023615i,0.0019691+0.0022381i,0.0018714+0.0012266i,0.0010477-8.9545e-05i,4.5192e-05-6.2013e-05i,-0.00084912+0.00050261i,-0.0010082+0.00019033i,-0.00036164+0.00017319i,-0.00019088+0.00037445i,-0.00030605-0.00031113i,-6.2756e-05-0.0011546i,0.00013683-0.0012039i,-0.00023715-0.00043169i,-0.00073001+0.00029807i,-0.0013511-0.00028102i,-0.0015161-0.000106i,-0.00087497-0.0002787i,-0.00074405-0.00060787i,-0.00079659+0.00015041i,-0.00047826+0.00050144i
