-0.0016357-0.0008362i,-0.001502+0.00020156i,-0.0024479+0.0011603i,-0.0021967+0.0016357i,-0.0010689+0.0018064i,-0.00023878+0.0014337i,0.00021804+0.0015855i,0.00046916+0.00050748i,0.00026312-0.00075138i,0.00094832-0.00093551i,0.0010129-0.00066332i,5.5091e-05-0.00032499i,-0.00047744-0.00011273i,-0.00053509-0.00051123i,0.00013965-0.0010588i,0.00039999-0.00099429i,0.00034979-0.00012393i,8.1579e-05+0.00055321i,-0.00037851+0.00067625i,-0.00053728+4.5345e-05i,-0.00074422+9.8507e-05i,-0.00098175+0.00041383i,-0.00031956-0.00020876i
0.00092977+0.0011254i,0.0027566-0.0002658i,0.0020057-0.00075374i,0.00097353+0.00014702i,0.0012081+0.00097598i,0.00058585+0.002096i,-0.00022146+0.0033017i,-0.0002181+0.0020568i,-0.00026131+0.00081089i,-0.00021928+0.00071374i,0.00069583+0.00056799i,0.00086879-0.00033422i,0.00058801-0.0010857i,0.00025849-0.00084753i,0.000476-0.00063787i,0.00076469-0.00031704i,0.00025981-0.00045638i,0.00040646-0.0012959i,0.00042121-0.0019897i,0.00020892-0.0014153i,0.00020071-0.00028425i,-1.3084e-05+0.00031118i,0.00030414-6.5099e-05i
0.0053621-0.0018919i,0.005384-0.0034679i,0.0053375-0.0042386i,0.003641-0.0021098i,0.0013904+0.00048183i,0.00071584+0.0026383i,0.0013583+0.0036799i,0.0020297+0.0032119i,0.0015239+0.0019123i,0.00047675+0.0017671i,-5.7628e-05+0.00050359i,-0.00066266-0.0013031i,-0.00077702-0.0013894i,-0.00028579-0.00061159i,-0.00026893+0.0011708i,-0.00051902+0.0019447i,1.9409e-06+0.00094142i,0.00029318+0.00048519i,0.00055792+0.0006274i,0.00089006+5.4542e-05i,0.00064296-0.00090059i,0.00096855-0.0012169i,0.00094363-0.00093776i
0.0015856-0.00076626i,0.0019143-0.0016544i,0.0010221-0.00032628i,0.00082604+0.00083718i,-0.00047829+0.0013772i,-0.00069212+0.0031337i,0.00080865+0.0044613i,0.0017902+0.0031879i,0.0011228+0.0012851i,0.00019817+0.00065145i,0.00030586-0.00033933i,0.00086715-0.00078994i,0.00083753-0.00074495i,0.0012243-0.0001198i,0.0012535+0.00046543i,0.00078746-0.00014711i,0.00073997-0.00054824i,0.00030569+6.5546e-05i,0.00060111-7.3499e-05i,0.0013058-0.00040111i,0.00075499+0.0005569i,-0.0002921+0.0014128i,-0.0010368+0.00021744i
0.0003764+0.0025441i,0.0016896+0.0037348i,0.0012876+0.0036813i,5.0283e-05+0.0013545i,-0.00053322+0.00041336i,3.5557e-06+0.0023234i,0.00088293+0.0031035i,0.0020358+0.0019347i,0.0024732+0.00048846i,0.0010516-9.1471e-05i,0.00023282-6.5947e-05i,0.00030324+0.0006945i,0.00058334+0.0011857i,0.00035433+0.0003868i,-8.089e-05-0.00062599i,-0.0003587-0.00020222i,-0.0010269+0.00073195i,-0.0013685+0.0010343i,-0.00051709+0.00048938i,0.00019985+0.0004339i,-0.00013835+0.00082858i,-0.00051562+0.00044306i,-0.00010892-0.00046836i
0.0020298+0.00073588i,0.0023604+0.00075747i,0.00062154+0.0010592i,-8.0588e-06+0.0023975i,-9.0937e-05+0.0021805i,-0.00079056+0.0016477i,-0.0004133+0.0016101i,0.00069941+0.00034032i,0.0010741-0.00052376i,0.00024627-0.00033515i,6.1849e-05+0.00026055i,0.00025099+0.00022712i,-0.00050357+3.5147e-05i,-0.00034394+0.00038483i,-0.00026848+0.00086993i,-0.00091405+0.00094196i,-0.00081283+0.0010207i,-0.00048938+0.00090496i,-0.00059917+0.00065381i,-0.00046542+0.000861i,-0.00052433+0.00075145i,-0.00064427-0.00012606i,1.6086e-05-0.00092445i
0.00088088-0.001254i,0.00031221-0.0033335i,0.00036146-0.0035938i,0.00048289-0.0023818i,0.0012-0.00076316i,0.0019078+0.00035633i,0.0010892+0.0011108i,0.00019946+0.001049i,8.7567e-05+0.0006486i,-0.00015377+0.00040481i,-0.00051553+0.00045777i,-0.0018023+0.00040715i,-0.0032566-0.00010263i,-0.0030604+0.00026416i,-0.0019053+0.00059156i,-0.00087141+0.00028768i,-0.00075453-0.00014384i,-0.0004164+2.4368e-06i,-0.00045649-4.6135e-05i,-0.0011692-0.00020021i,-0.00064535-0.00071866i,0.00019035-0.0012318i,-0.00014452-0.00048086i
0.0013464-0.0033494i,-0.00033067-0.0038474i,-0.001016-0.0028968i,-0.00099243-0.00080187i,-0.00050528+0.0015248i,0.0002668+0.0033227i,0.00061847+0.0035468i,0.00028079+0.0028774i,-0.00069754+0.0023526i,-0.0011404+0.0018825i,-0.0001313+0.0015008i,5.9354e-05+0.00053053i,-0.00035629-0.00048499i,-0.00041102-0.00035336i,-0.0005573-3.805e-05i,-0.00054132-6.6415e-05i,-0.00034842-0.00030328i,0.00015916-0.0005826i,-0.00031043-0.00062539i,-0.0008622-0.00010816i,-0.0011477+0.00059651i,-0.00074676+0.00070692i,5.686e-06+0.00060518i
0.0051364-0.0011195i,0.0064733-0.00096298i,0.0051065-0.0020706i,0.0017435-0.00092617i,-0.00073467+0.0018611i,-0.00056089+0.0034642i,0.00084611+0.0032779i,0.0014724+0.0028831i,0.0011343+0.0017959i,0.00061904+0.00040607i,0.0013297-0.0011307i,0.0017307-0.0015715i,0.00075872-0.0012928i,0.00020425-0.00080262i,-0.00021152-0.00066084i,-0.00041217-0.00079559i,-0.00088179-0.0010491i,-0.00093242-0.00091624i,-0.0002511+5.6911e-06i,0.00012511-5.5604e-05i,0.00035213-0.0010716i,6.5808e-05-0.001056i,-0.0004354-0.00044136i
0.002592+0.0019949i,0.0038372+0.0033968i,0.0039634+0.0027052i,0.0031399+0.0015999i,0.0013388+0.0010979i,0.00066509+0.00097439i,0.0017844+0.0020946i,0.0026502+0.0013164i,0.0012798-0.00056603i,0.00067412-0.0007972i,0.00057074-0.0010876i,0.00051902-0.00092485i,0.0009461-0.00021204i,0.00059103-0.00013397i,0.00023216+0.0001909i,-0.00042111+0.00048793i,-0.00062385+0.00047821i,0.00035083+0.00069045i,0.00095715+0.00053777i,0.00074784+0.0003394i,0.00057804+0.00027806i,5.7393e-05-0.000237i,-0.00093518-0.00038639i
0.0015393-0.0005181i,0.00011132-0.00090589i,0.00014905-0.00037392i,-0.00031165-0.00067983i,-0.0019824-0.00099051i,-0.0021492+0.00073948i,-0.00064108+0.0018411i,0.00035347+0.0011715i,0.00012095-7.0416e-05i,-0.00021024-0.0010089i,-0.00083726-0.00038897i,-0.00092077+0.00061758i,-0.00013159+0.00065462i,0.00048134+0.00044142i,0.00047541+0.00035923i,-0.00015754+6.7298e-06i,-8.0014e-05-0.00010306i,0.00036276+0.00023588i,0.00064798-0.00024009i,0.00098811-0.00072508i,0.00073768-0.00077104i,0.00016941-0.00074258i,-0.00019389-0.00080449i
0.00083143-0.0020461i,0.0004022-0.0030781i,0.0010141-0.0029112i,0.0010344-0.0017325i,0.00015333-0.00033731i,-0.00080957+0.001194i,-0.0009402+0.0029015i,-0.0010551+0.0024602i,-0.0015523+0.00092249i,-0.0010325+0.00052378i,-0.0002452+0.00067499i,-0.00016716-0.00019977i,-0.00061874+0.00066167i,-0.00048437+0.0014816i,-7.7543e-05+0.00088279i,-0.00012381+0.00061681i,9.507e-05-0.0002159i,0.00046858-0.00068961i,0.0009265+0.00021714i,0.0010498+0.00045298i,-0.00032326-0.00047111i,-0.00046476-0.0014191i,-7.3286e-05-0.0012346i
0.0023383-0.00046792i,0.0029573-0.0022068i,0.0017111-0.0026259i,0.00033149-0.0014714i,0.00034161+0.0001461i,0.00057393+0.0024945i,0.00056798+0.0037075i,0.0014022+0.002837i,0.0016735+0.0012842i,0.00098258+0.00023654i,0.00042371+0.00064891i,-5.3593e-06+0.0010252i,-0.00084257+0.0010383i,-0.0016776+0.0006082i,-0.001789+0.00010391i,-0.0010628-0.00021507i,-0.00067571-0.00016965i,-0.00070891+0.00070933i,-0.00016665+0.0013212i,0.00019371+0.001094i,9.0935e-05+0.00034054i,-0.00028376+0.0003382i,0.00027693-4.6688e-05i
0.0030114+0.00039629i,0.0045459+3.2638e-05i,0.004003-0.00028925i,0.0023956+0.0002562i,0.0013696+0.00056889i,0.00059345+0.0014236i,0.001091+0.0021529i,0.0021025+0.0017374i,0.0022639+0.00068507i,0.00195-8.3664e-05i,0.0011588-0.0006488i,-0.00033371-0.0010393i,-0.0010066-0.00061861i,-0.0012871-0.00031156i,-0.0014538-0.00068131i,-0.0011544-0.00058791i,-0.0011493-0.00032765i,-0.00092917-0.00010646i,-0.0007073+5.1088e-05i,9.0489e-05+0.001149i,0.00063589+0.0016193i,0.0005126+0.00043006i,0.00059031-0.00029686i
0.0018804+0.0012829i,0.0020849+0.00076601i,0.0017028+0.0011941i,0.00093265+0.0014036i,-5.8516e-05+0.0012352i,0.00013154+0.0031392i,0.001312+0.0045275i,0.0021764+0.0028775i,0.0012202+0.00064572i,0.00047915+6.9746e-05i,0.00068399+0.00014742i,0.0005292-0.00020651i,0.00062971-0.0010031i,-4.3838e-05-0.0010995i,-0.00072464-0.00061272i,-0.0007248-0.00057766i,-1.3743e-05-0.00086411i,0.00072808-0.00072562i,2.7531e-05-0.0004372i,-0.0014544-0.00015139i,-0.0011673+0.00016049i,-0.00010029+0.00012399i,-0.00013638+6.7758e-05i
0.0042788+0.003414i,0.0039094+0.0017332i,0.0032728+0.0004555i,0.0022101-0.00052287i,-1.1809e-05-0.00077645i,-0.0017683+0.00026568i,-0.00085045+0.0019194i,0.00039444+0.0019132i,0.00073933+0.00043181i,0.0010399+0.00027973i,0.0012261-5.4321e-05i,0.00056433-0.00065378i,-0.00079331-0.00039232i,-0.001384-0.00025424i,-0.00074744-0.00055646i,-0.00017084-0.00046503i,0.00016513+0.00041502i,0.00018664+0.00051599i,0.00029466+7.2629e-05i,0.00029763+0.00039609i,-0.00016937+0.00072011i,-0.00033167+0.00072003i,0.00016264+0.00066185i
0.00063078-0.00023538i,0.00070423-0.0021742i,-0.00036464-0.0019903i,-0.0011499-5.7765e-05i,-0.00069299+0.00064202i,-0.00068134+0.0018796i,-0.001283+0.0028101i,-0.00088093+0.0016259i,-0.00018767+0.00088267i,7.3725e-05+0.00049841i,0.00064392-0.00022571i,0.0013539-0.0012762i,0.0016055-0.0018454i,0.0016082-0.00038303i,0.00063739+0.00075941i,-0.00043286+0.00050865i,-0.0006514+3.5152e-05i,-0.00036768-0.0004103i,-0.00060259-0.00025076i,-0.00052276-3.6926e-05i,-0.00067037+0.00019134i,-0.00051417+0.00026874i,-0.00041976+0.00010393i
0.002821-0.0029494i,0.0017883-0.0024435i,-0.00026047-0.0013303i,-0.00064995+0.00055718i,-0.00040224+0.0023205i,-0.00024166+0.0026594i,0.00095127+0.0023356i,0.001152+0.0016987i,0.00042845+0.0011663i,-0.00023771+0.0010921i,-0.00044855+0.00016996i,0.00011581-0.0007136i,0.00028688-0.00035662i,0.00022672+0.0010565i,0.00023083+0.0010282i,0.00034433+0.00036566i,-0.00052622+0.00019448i,-0.0011397-0.00041561i,6.8685e-05-0.00093877i,0.0009557-0.00083975i,0.00048519-0.00076499i,-2.9968e-05-0.00065904i,-0.00036882-0.0004234i
0.002335+0.0032725i,0.0032192+0.0036936i,0.0026671+0.0032054i,0.0024803+0.0023191i,0.002156+0.0014697i,0.0012961+0.0017551i,0.0012286+0.0023021i,0.0017593+0.0017528i,0.0014351+0.0010028i,0.00082447+0.00079798i,5.7789e-05+0.00086121i,-0.00076934+0.00112i,-0.0014428+0.0014731i,-0.0015477+0.00085199i,-0.0017977-0.00015504i,-0.0013675-0.00097591i,-0.00032823-0.00059777i,-4.3894e-05-5.1625e-05i,-6.2173e-05-0.00024867i,0.00011978-0.00041509i,0.00041493-0.0012907i,0.00014953-0.0014357i,-0.00027353-0.00025015i
0.0029403-0.0011788i,0.0024053-0.0018335i,0.0017304-0.0030844i,5.2361e-05-0.0026314i,-0.0014731-0.00070495i,-0.0015964+0.0012164i,0.00024646+0.0022119i,0.0018252+0.0017455i,0.0019577+0.00076804i,0.0017456+0.00085356i,0.0011562+0.001384i,0.00025834+0.0018121i,-0.00090365+0.0013742i,-0.0014424+0.00083812i,-0.0019217+0.00090508i,-0.0013393+0.00022129i,-0.00051442-0.00044645i,-0.00059102-0.0011261i,0.00055027-0.0010253i,0.0016043-9.3835e-05i,0.00081189+0.00045599i,-0.00033047+7.7872e-05i,-0.00069781+0.000124i
-2.4421e-05+0.0007775i,0.00079915+0.0012661i,0.00073682+0.0013797i,0.00099133+0.00090487i,0.00054698+0.0005186i,-0.00022967+0.0012431i,-0.00024305+0.0024855i,0.0002743+0.0019008i,0.0003084+4.9312e-05i,-0.00015804-0.00086384i,-9.3268e-05-0.00094808i,0.00028925-0.0013382i,0.00064184-0.0018545i,0.00025658-0.0023437i,-0.00060972-0.0016462i,-0.00055082-0.0002883i,-0.00015266+0.00023911i,-0.00049574+0.00015174i,-0.00041704+0.00031402i,8.943e-05+0.0011806i,0.00018874+0.0012647i,0.00065328+0.00101i,0.0011458+0.00078943i
0.0039276-0.0020009i,0.0035348-0.0014714i,-0.00017327+7.2069e-06i,-0.0021779+0.0011643i,-0.00097393+0.0015752i,1.1623e-05+0.0019452i,0.00010212+0.0021493i,0.00030816+0.0020143i,-0.00054841+0.00089902i,-0.00078742+0.00065196i,-0.00053165+0.00016562i,-0.00033177-0.00098577i,-0.00029838-0.0019956i,-0.00027895-0.0018719i,0.00077536-0.0009321i,0.0012931-0.00010813i,0.00088434+0.00022633i,0.0005152-0.00021622i,0.0006329-3.22e-05i,0.00063281+0.00057575i,0.00020641-3.6924e-05i,-0.00020177-0.00037506i,-0.00019275+0.00022984i
0.0032021-0.0035899i,0.0024224-0.0029669i,0.00074499-0.0029261i,-0.0011739-0.0010508i,-0.0011918+0.0015932i,-0.00011157+0.0034857i,0.00063502+0.003393i,0.00076524+0.0020137i,0.00035611+0.0012735i,-0.00010689+0.0018679i,7.2263e-05+0.0020644i,-0.00017046+0.0011673i,-0.00047592+0.001051i,0.00051689+0.0013164i,0.0012986+0.001022i,0.0013211+0.00096878i,0.0009372+0.0011279i,0.00036323+0.00087427i,0.00023282+0.00043336i,9.0501e-05-9.1514e-05i,-0.0006821-0.00014624i,-0.00082056+0.00010836i,-0.0007104-0.00014633i
-0.0001887-0.00083885i,-0.0012892-0.00065907i,-0.0013765-0.00060947i,-0.0016225+0.00037258i,-0.0010748+0.0016795i,0.00096865+0.0025496i,0.002116+0.0028124i,0.0014838+0.0018543i,0.0013099+0.00099634i,0.0019033+0.00090642i,0.0018855+0.0014228i,0.0018574+0.0020045i,0.0019518+0.0019736i,0.00089694+0.0015063i,-0.00088962+0.0017271i,-0.0014044+0.0012543i,-0.0011778+0.00052091i,-0.0014986+0.00025445i,-0.0017146-0.00015706i,-0.0015055-0.00011254i,-0.00096244-2.859e-05i,-0.0004816+0.00023925i,-0.00013324+0.00092872i
0.00043241+0.00054127i,0.00028783+0.00043219i,4.2347e-05-0.00056709i,0.00069335-0.0009236i,-0.00011072-0.00053104i,-0.00081836+0.00054925i,0.00023757+0.0021421i,0.00099371+0.0020744i,0.0014669+0.00048578i,0.0015851-0.00091057i,0.00090806-0.0014086i,0.0008136-0.00081188i,0.001018+9.8708e-05i,4.0009e-05+0.00059222i,-0.0014148+0.00030977i,-0.0016673+0.00071999i,-0.0015858+0.00147i,-0.00086559+0.00087322i,0.00040544+0.00023393i,0.00066564-0.000362i,0.00020896-0.00064759i,-0.00033942-0.00013056i,-0.00050506+0.00034371i
0.0017556-0.0014621i,0.0034304-0.002901i,0.0027516-0.002255i,0.0013642+0.0001368i,0.0011173+0.0017929i,0.0018805+0.0028231i,0.0025205+0.0037287i,0.0017585+0.0027295i,0.00053608+0.00059886i,-0.00028446-0.00075977i,2.9556e-06-0.0017134i,-0.00021305-0.0016954i,-0.0010173-0.00070535i,-0.0010506-0.0003383i,-0.00079414-0.0013401i,-0.00080413-0.0014024i,-0.00070322-0.0011505i,-0.00050823-0.00091182i,-0.00067558-0.00056791i,-0.00049648-6.1495e-05i,-0.00081646+0.00027975i,-0.0017118+0.00035181i,-0.0017411+8.9352e-05i
0.0014214+0.00076665i,0.0018175+0.0011113i,0.00086082+0.0020803i,0.00038842+0.0015407i,0.00091691+0.0010984i,0.00090527+0.0016777i,0.00064671+0.0020167i,0.00019826+0.00096768i,-0.00098346+0.00054976i,-0.001799+0.00076826i,-0.0016447+0.00060394i,-0.0018436+3.4116e-05i,-0.0018614-0.0002523i,-0.001616-0.00031414i,-0.0010356-0.0013895i,-0.00030437-0.0021417i,-0.00038612-0.0022035i,-0.00044849-0.0021399i,4.9728e-05-0.00066645i,1.4406e-06+0.00070536i,-0.00066734-0.00022942i,-0.00070121-0.0015732i,-0.00072417-0.0015661i
0.001072+0.0044493i,0.00076165+0.0043272i,0.0013532+0.0026673i,0.0014749+0.00096904i,-0.00061817+0.00078388i,-0.0023145+0.0022374i,-0.0016742+0.0040164i,-0.00052266+0.004i,-0.00013383+0.0026862i,0.00013836+0.001928i,0.00040639+0.0013918i,-0.00013883+0.00073162i,-0.00041155+0.0003922i,-0.00049179-0.0004146i,-0.00044613-0.001229i,-0.00056345-0.0014078i,-0.00055268-0.0011914i,0.00099862-0.00077903i,0.0014425-6.0724e-05i,0.00032616+0.00068868i,0.00063231+0.00047112i,0.00039122+0.00022359i,-0.00052579-0.00074878i
0.0036345-0.0029493i,0.0029098-0.0047494i,0.0013584-0.0044666i,0.00017837-0.001957i,0.00042266+0.0008263i,0.0016756+0.0032901i,0.002405+0.004284i,0.0027116+0.0032147i,0.00271+0.0014561i,0.002206+0.00075982i,0.0016862+0.00067195i,0.00022204-2.1618e-05i,-0.00024744-0.00059687i,0.00048579-0.00061323i,0.00054827-0.00031309i,0.00078058+0.00051926i,0.0010153+0.00093367i,0.00042039+0.00040573i,-0.00026463+0.00024556i,-0.00055295+0.00015605i,-0.00047843-0.00042495i,0.00074156-0.001125i,0.0018426-0.0012284i
0.0045432+0.0015702i,0.0049237+0.00045278i,0.0033184-5.406e-06i,0.0014131+0.00027564i,0.00060947-0.00017092i,0.00040016+0.00035905i,0.00049295+0.0015419i,0.0014682+0.001206i,0.001094+0.00038418i,-0.0003424-0.0013088i,-0.0013439-0.0026901i,-0.0013579-0.0025888i,-0.0011414-0.0015771i,-0.00065705-0.00028836i,-0.00062453+0.0010438i,-0.0011503+0.0018754i,-0.00033518+0.0012338i,-6.9041e-05+0.00054337i,-0.00074293+0.00024083i,-0.00039606+0.00016832i,-0.00030801+0.00041161i,0.00079913+0.00018873i,0.0017079+4.5368e-05i
0.0015964+0.00039442i,0.0024437+0.0013431i,0.00092726+0.00089862i,-0.00088787+0.00035404i,-0.0014903+0.0013611i,-0.0015447+0.0022808i,-0.0014339+0.0024187i,-0.00099095+0.0017845i,-0.0010303+0.00075173i,-0.0009766-0.0001891i,-0.0011491-0.00048204i,-0.0010196-3.3955e-06i,-0.00043395+0.00035985i,-0.00039231+0.00064045i,-0.00042863+0.0014727i,-0.00057582+0.0019567i,-0.00042185+0.0021442i,-8.7645e-05+0.0020308i,-5.5783e-05+0.0011102i,-0.00074083+0.00096333i,-0.00063997+0.00092462i,0.0005656+0.00055055i,0.00048546+0.00039115i
0.0015285+0.0016346i,0.0026159-0.00010676i,0.0024944-0.0015841i,0.0015094-0.0016531i,-0.0004101+0.00013809i,-0.0011911+0.0024029i,-0.00077503+0.003434i,-0.00051226+0.0024366i,-0.00074121+0.0010916i,-0.00040146+0.0010265i,0.00087438+0.0011843i,0.0009003+0.00054957i,0.00024617-0.00021314i,0.00026197-0.00016569i,-3.6006e-05+0.00023698i,-0.0010672-0.00036595i,-0.0012164-0.00043519i,-0.0011988+9.8696e-05i,-0.0016712-0.0001953i,-0.0010116+0.00051771i,-0.00012233+0.0014018i,-0.00045794+0.0014617i,-0.0011742+0.001963i
0.00067026+0.0006512i,0.00095417+0.00026297i,0.0015276+0.00030551i,0.0019692+0.0005757i,0.0018889+0.0015142i,0.0016422+0.0024649i,0.0016164+0.0029281i,0.0012448+0.0030535i,0.00027997+0.0023578i,0.00029363+0.00099344i,0.00077252-0.00039344i,0.00033768-0.0009158i,-0.000511-0.00060613i,-0.0013183-0.00067399i,-0.0018786-0.0014203i,-0.0017719-0.0018126i,-0.0013306-0.0011595i,-0.00073931-0.00066666i,-0.00026011-0.00082666i,-0.00023119-0.00057023i,-0.00015587-0.00029426i,0.00037806+0.00047801i,-5.5433e-05+0.000749i
0.0013556+0.00075444i,0.0010024+0.00076029i,-0.00037725-0.00025197i,-3.8086e-05-9.9799e-05i,0.0010549+0.0010477i,0.0011628+0.002438i,0.0015857+0.0038025i,0.002796+0.0035248i,0.0024041+0.0020795i,0.0012359+0.0010467i,0.00015762+0.00059958i,-0.0010996+0.0004898i,-0.0021698+0.0010835i,-0.0024626+0.0012741i,-0.0014576+0.00078043i,-0.00054738+9.1595e-05i,-2.2423e-05-0.00044859i,0.00019504-0.00046187i,0.00082496-5.2687e-05i,0.00054026-0.00062961i,-0.00042138-0.0012443i,-0.0007649-0.00043658i,-0.0011516+3.1203e-05i
0.0022913+1.4461e-05i,0.0030561-0.0018568i,0.0022995-0.0022765i,0.00042655-0.00055184i,-4.5599e-05+0.0012976i,-0.00014844+0.0027958i,0.00060899+0.0025186i,0.0011254+0.00075244i,0.0010377-0.00087139i,0.0015261-0.0010547i,0.00057241+0.00013179i,-0.00071659+0.0012139i,-0.00066497+0.0011808i,-0.00014777+0.00063322i,0.00026973+9.9513e-05i,0.0011494+2.2134e-05i,0.0016194+0.00018955i,0.001656-0.00010659i,0.00085285-0.00044267i,-0.00045142-0.00064638i,-0.00067979-0.00031333i,-0.00064282-0.00035701i,0.0001382-0.0010664i
-0.00094143+0.0010444i,0.00077117+0.0015967i,0.0016073+0.0019953i,0.0016363+0.0012318i,0.0004606+0.0011106i,-0.0010784+0.0030759i,-0.001537+0.0041788i,-0.0018875+0.0026548i,-0.0021476+0.00069749i,-0.0011686+1.7254e-05i,0.00015797-0.00016038i,0.0010371-0.00078768i,0.00055156-0.0011066i,-0.00047607-0.0011461i,-0.00083149-0.0012711i,-9.118e-05-0.00082687i,0.00099996-0.00051379i,0.0011286+9.4721e-05i,0.00028494+0.001045i,-0.00012457+0.00065892i,0.00063128+0.00031225i,0.0012712-7.4164e-05i,0.0015227-0.00075926i
-0.00031301-0.0018641i,-0.0012334-0.0015584i,-0.0025917-0.00041461i,-0.0027555+0.00042146i,-0.0016779+0.0011821i,-0.00056381+0.0027427i,0.00066092+0.0041611i,0.0015202+0.0038477i,0.00044132+0.0016066i,-0.0008035-0.00024916i,-0.000866-0.0010694i,-0.00077798-0.0017581i,-0.00062837-0.0019451i,-0.00028142-0.0016966i,4.0249e-05-0.001053i,8.0253e-05-0.00052707i,-0.00021338-0.00036091i,0.00023837-6.3079e-05i,0.00057755-4.8533e-06i,0.00017028-1.5416e-06i,-0.00028622+0.00067315i,-0.00034366+0.00060008i,0.00029108-0.00030805i
0.0017495+0.00074755i,0.0021484-0.00036183i,0.0008842-0.00034764i,0.0005942+0.00028609i,0.0011879+0.001227i,0.0017236+0.0020062i,0.002462+0.0022353i,0.0029027+0.0020813i,0.0019647+0.0010883i,0.0010862+9.3542e-05i,0.0012676-0.00040308i,0.0013046-0.00082886i,0.00064417-0.00046375i,0.00088242-0.00018248i,0.0010472-0.0009364i,0.00042096-0.00050583i,-0.00084108+0.00083998i,-0.0012241+0.00069214i,-0.00052947-8.9053e-05i,-0.00050263-0.00028226i,-0.00085645+0.00011001i,-0.00048319-0.00041646i,0.0002676-0.00060716i
0.0050976-0.001201i,0.0052849-0.0033316i,0.0024638-0.0023804i,0.00083464-8.418e-05i,0.00090165+0.00098438i,0.000829+0.0015739i,0.001233+0.0016637i,0.0017229+0.0008922i,0.0016246-1.0062e-05i,0.00093722-0.00059663i,-0.00012223-8.2111e-05i,-0.0003274+0.0004421i,0.00075241+0.0011339i,0.00092205+0.0022977i,0.00033706+0.0031143i,6.1992e-05+0.0020967i,0.00053025+0.00077764i,0.00078272+0.00090968i,0.00038012+0.00035698i,0.00042766-0.00014445i,0.0006605+0.00022175i,0.00083603-0.00013942i,0.0007142+0.00017674i
0.00057554-0.00038717i,0.0010292+0.00013625i,-0.00062212+0.00035754i,-0.0018958-0.00038191i,-0.0014632+0.00033341i,-0.00081538+0.0017928i,-0.00075085+0.0022387i,-0.00059102+0.0017281i,-3.8968e-05+0.00072761i,0.00059078+3.4399e-06i,0.0010495-3.7262e-05i,0.001759+0.00073358i,0.0011508+0.00149i,0.00051694+0.0014205i,0.00078384+0.0012788i,0.0013926+0.00095559i,0.0010809+0.00029661i,0.0006005-0.00054515i,0.00053211-0.0012162i,-0.00032302-0.0013304i,-0.00099226-0.0013973i,-0.0010516-0.0013241i,-0.00079612-0.00031296i
0.0021422+0.00048076i,0.0013429+0.00068831i,0.0011056+0.00097536i,3.3839e-05+0.0012925i,-0.00086632+0.0010838i,-2.9184e-05+0.0024963i,0.0015024+0.0049111i,0.0023072+0.0050277i,0.001937+0.0027801i,0.00059724+0.0014734i,-0.00033818+0.0011665i,-0.00059644+0.0002034i,-0.00059503-0.00036079i,-0.001268-0.00021025i,-0.0022279+7.8666e-05i,-0.0014745+0.00031318i,-0.0010349+0.0006345i,-0.00058898+0.00067605i,0.00033792+0.00077316i,-6.0293e-05+0.00021644i,-0.00018447+0.00035818i,-0.00055019+0.0013194i,-0.00143+0.00031904i
0.002678-0.0026132i,0.0011533-0.0038731i,-0.0006588-0.0041138i,-0.0014483-0.0015292i,-0.00049381+0.0018563i,0.00069862+0.0038479i,0.0022598+0.0044359i,0.0036594+0.0036915i,0.0032759+0.0018805i,0.0017784+0.00095909i,0.00011402+0.00053514i,-0.00097798+5.8195e-06i,-0.00096536-0.00018459i,-0.0013898-0.00061145i,-0.0018343-6.7053e-05i,-0.0013917+0.00078254i,-0.00080791+0.0014485i,-0.00057862+0.0020669i,-0.0005863+0.0014647i,-2.6816e-05+0.0002508i,0.00043467-0.00024566i,0.00016671+8.9478e-05i,-0.0010539+0.0011314i
0.0030534+0.00029064i,0.0029214-0.00011954i,0.0017369-0.00016584i,0.0004722+0.00082561i,0.00037779+0.0022231i,0.0013334+0.0038706i,0.0018835+0.0047215i,0.0020625+0.0031325i,0.0017127+4.6013e-05i,-6.2186e-05-0.0011333i,-0.0010894-0.0010886i,-0.0007055-0.00075744i,6.2904e-05-0.00060676i,0.00070125-0.00077174i,0.00011063-0.0010264i,-0.00065093-0.00028397i,-0.00072116+0.00050544i,2.6211e-05+0.00081457i,0.0014349+0.00075842i,0.0018588-0.00018177i,0.00080498-0.00093655i,-0.00056973-0.00037965i,-0.0011059-0.00037546i
-3.6462e-05+0.001241i,0.0017029+0.0011593i,0.0011776+0.00093659i,-6.8374e-05+0.000919i,-7.0414e-05+0.00092648i,2.1706e-05+0.0013415i,-0.0010139+0.0025867i,-0.0019167+0.002931i,-0.0020636+0.0018137i,-0.0018994+0.00050583i,-0.0005222-0.00023721i,0.0013207-0.00060482i,0.0024116-0.0016355i,0.0029308-0.002209i,0.001989-0.0016775i,-0.00042952-0.0018133i,-0.0013916-0.0013476i,-0.0005332-0.00021822i,-0.00065071+0.00022834i,-0.0012772+0.00075334i,-0.0011072+0.00079133i,-0.0016219+0.00048696i,-0.0016464-0.00015593i
