-0.0016357-0.0008362i,-0.001502+0.00020156i,-0.0024479+0.0011603i,-0.0021967+0.0016357i,-0.0010689+0.0018064i,-0.00023878+0.0014337i,0.00021804+0.0015855i,0.00046916+0.00050748i,0.00026312-0.00075138i,0.00094832-0.00093551i,0.0010129-0.00066332i,5.5091e-05-0.00032499i,-0.00047744-0.00011273i,-0.00053509-0.00051123i,0.00013965-0.0010588i,0.00039999-0.00099429i,0.00034979-0.00012393i,8.1579e-05+0.00055321i,-0.00037851+0.00067625i,-0.00053728+4.5345e-05i,-0.00074422+9.8507e-05i,-0.00098175+0.00041383i,-0.00031956-0.00020876i
-0.00090669-4.4963e-05i,-0.0013771+0.00023193i,-0.00058114+0.0012579i,0.00026817+0.0012392i,0.00085794+0.00059808i,0.001438+0.00046919i,0.0016586+0.00090816i,0.0016458+0.00049315i,0.0017605-0.00015431i,0.0012219-0.00043365i,0.00013644-0.00060221i,-0.00067853-0.00031563i,-9.2008e-05+0.00030054i,0.00015342+0.00050665i,-0.00046305+0.00023231i,0.00011892-1.823e-05i,0.001056-0.00035209i,0.0011481-0.00046624i,0.00028262-0.00061014i,-0.00089824-0.00029656i,-0.00099396-0.00011393i,-0.00018551-0.00040423i,0.00057535-0.00011892i
0.00051866-0.0024727i,-0.00022434-0.0021938i,-0.0011361-0.0022832i,-0.0010805-0.00121i,-0.00078696+0.000738i,0.00049832+0.0012746i,0.0016128+0.00083148i,0.0013752+0.00010256i,0.00046427-0.00014407i,-0.00012421-3.3054e-05i,-1.3614e-05-3.0385e-05i,0.00044516+0.000582i,0.00070174+0.00048711i,0.00099722-0.00028743i,0.0013699+0.00013526i,0.00097627+1.6593e-05i,-5.3236e-05-0.0007578i,-0.00073368-0.00052313i,-0.001111+0.00017704i,-0.00055191+0.00072156i,-9.8725e-05+0.00041518i,-0.00053681+9.1791e-05i,-0.00085396+8.5013e-05i
0.002054+0.0018454i,0.0024153-0.00034858i,0.0022501-0.0011201i,0.0018743-0.00080748i,0.0019967+0.0002168i,0.0013285+0.0012792i,0.0010104+0.0017065i,0.00066706+0.0012315i,0.00012134+0.00020953i,-0.00034705+0.00012694i,-0.00064335-0.00066362i,-0.00010826-0.001715i,-0.00019405-0.0014051i,-0.00037032-0.00081969i,-0.00076375-0.00042363i,-0.00074059+0.0001905i,-0.00037743+0.00031006i,-0.00024988+0.00046769i,-0.00053333+0.0006642i,-0.00019741+0.00078798i,0.00089399+0.00087641i,0.00077208+0.00076712i,-0.00012986+0.00028771i
-0.00047368-0.00059983i,-0.00087793-0.00050357i,-0.0016952-8.4319e-05i,-0.0009206+0.00045228i,4.5947e-05+0.001148i,-7.6465e-05+0.00085541i,0.00044984+0.00026791i,0.00036371-9.5702e-05i,0.00010521+0.00026021i,0.00039238+0.0010456i,0.00013143+0.0013452i,0.00059466+0.00091207i,0.0012874+0.0010024i,0.0013769+0.00076529i,0.0014392-0.00011122i,0.00054409-0.00014734i,-8.8193e-06+0.00018914i,4.2337e-05-0.00027883i,5.5045e-05-0.00041663i,-0.00017539+0.00012305i,-0.00077609-0.00016982i,-0.0011288-0.00039643i,-0.00082601-0.00049996i
-0.00017134-0.0019799i,7.9788e-06-0.0017757i,0.00067075-0.0011228i,0.0012133-0.00062329i,0.00048096-0.00024938i,0.00068289+0.00023541i,0.0017426+0.00016408i,0.0014394-0.00014496i,0.00070349-3.2619e-05i,0.0008838-4.328e-05i,0.00070499-0.00082163i,-0.00062631-0.00043975i,-0.0014379-7.7381e-05i,-0.00042094-0.00022882i,-0.00020404-0.00025938i,-0.0010255-0.00038672i,-0.00076459+0.00011812i,0.0002708+6.1838e-05i,-5.6329e-05-0.00015191i,-0.00035574+0.00085779i,-0.00063585+0.0010755i,-0.0011458+0.00061026i,-0.00060441+0.00011666i
0.001262-0.001193i,0.0015226-0.0014624i,9.9347e-05-0.00079774i,-0.00073118+9.7712e-05i,-0.00059987+0.00046062i,-0.00048402+9.7383e-05i,0.00037258-0.00037971i,0.0010242-0.00079179i,0.00074764-0.00078842i,-0.00017756-0.00016994i,-0.00076772+0.00053436i,-0.00071577+0.0011208i,-0.00030596+0.00058338i,-0.00053002+0.00013262i,-0.0011385+0.00075135i,-0.00083234+0.0011258i,-0.00020726+0.0011943i,0.00045142+0.0011893i,0.00044347+0.00049127i,-0.00054009-8.1952e-05i,-0.00063947+5.4659e-05i,-0.00039943-0.00014961i,0.00029007-0.00021836i
0.0024527+0.00018531i,0.0019729-0.00026765i,0.0019596-0.00060442i,0.0011776-0.0011698i,0.00040914-0.0006522i,0.00032762+0.00072244i,0.0015343+0.0013605i,0.0022795+0.001625i,0.0015014+0.00076766i,0.00083602-0.00061085i,0.00078537-0.0013916i,0.0012501-0.00094144i,0.00029228-6.1709e-05i,-0.0010873-0.00010648i,-0.00076638-0.00055393i,-0.0002469-0.00054071i,-0.0002423-0.00056601i,-0.00029762-0.0005132i,-0.00025975-0.00012578i,-0.0005661+0.00019795i,-0.0012209+0.0005429i,-0.00095964+0.00056363i,-0.00017212+0.00051016i
-0.0017489-0.0022529i,-0.0023343-0.0015298i,-0.0027719-0.00047875i,-0.0016792+0.00060807i,0.00039736+0.0011439i,0.0018722+0.00096131i,0.0026806+0.0012631i,0.0024106+0.0014432i,0.001692+0.00094416i,0.0014604+0.00021515i,0.00085534-0.00053206i,-0.00018906-0.00076486i,9.7626e-05+0.00015466i,0.0010773+0.0003693i,0.00065086-0.00023014i,0.00019977+0.00030223i,7.1292e-05+0.00027449i,4.9867e-05-0.00022316i,-0.00015682-1.308e-05i,-6.1859e-05+0.00038758i,-0.00055728+0.00017707i,-0.00038691-0.00017382i,0.00073351-0.00057634i
0.0021059-0.00094651i,0.001811-0.0013088i,0.001305-0.001989i,0.0012039-0.0010091i,0.00011569+0.00026315i,0.00016034+0.0012895i,0.0014473+0.00099848i,0.0016941+0.00017529i,0.0007567+0.00027987i,0.00024028+0.00027159i,0.00017929+5.0703e-05i,0.00024633+0.00018574i,0.00024231+0.00018128i,0.0001904-3.5819e-05i,0.00012414+0.00049945i,-0.00043211+0.0013619i,-0.00034866+0.00088598i,0.00017577+0.00034253i,0.0001355+0.00017536i,2.2779e-05-4.4526e-05i,-4.4499e-05-0.00018388i,-0.00057349-0.00041988i,-0.00069405-0.00047778i
-0.00019779+0.00040263i,0.00028826-0.00036368i,0.00060484+0.00022774i,0.00085056+0.00084927i,0.0016526+0.00083525i,0.0017694+0.00061677i,0.0011664+0.00066058i,0.0012473+0.00070488i,0.0013877+0.00060316i,0.00035033+0.00013352i,-0.00039786-0.00022883i,-0.00027728-0.00045588i,-4.8802e-05-0.00062345i,0.00043495-0.00022432i,0.00038003-0.00030772i,0.00019191-0.00037403i,-1.8356e-05-0.00010907i,-0.00037823-0.00035629i,0.00032373-0.00013114i,0.0011156+0.00033629i,0.00037167+0.00070449i,-0.00010104+0.00014951i,-1.4733e-05-0.00037565i
