-0.0037895+0.00041105i,-0.0018681+7.1483e-05i,-0.0028687+0.0012049i,-0.0032736+0.0024393i,-0.0026476+0.0035816i,-0.001178+0.0026861i,0.00027349+0.0017914i,0.0012318+0.0018728i,0.0013988+0.0013803i,0.001648+0.00028827i,0.001798-0.00085686i,0.0012568-0.00090113i,0.00057514-0.00083219i,-0.00015198-0.00050707i,-0.00050565+0.00012614i,-0.00083066-0.0003345i,-0.00066575-0.00049667i,-0.00019135-0.00055617i,0.00038125-0.00050301i,-0.00059463-0.00019771i,-0.001409-0.00019443i,-0.0008467-0.00023504i,-0.00019328-0.00057207i
-0.00010088+0.00080337i,-0.00036614+0.00015656i,-0.00023889-0.00026655i,-0.00039154+7.1161e-06i,-0.00080273-0.00024782i,-0.00072344-0.00019684i,-7.8723e-05-0.00049574i,0.0006753-0.00018072i,0.0013896+0.0005354i,0.0020879+0.00076383i,0.0015615+0.0003868i,0.00058333+8.4946e-05i,0.00052864+8.2013e-05i,0.0004142-0.00029892i,-0.00018775-0.00042667i,-0.00052371-0.00039203i,0.00023321+0.00023924i,0.00052827+0.00068184i,8.3088e-05+0.00076445i,0.00046609+0.0011423i,0.0013646+0.00058739i,0.0015538+0.00034682i,0.00098802+0.00050966i
0.00025563-0.00022408i,0.00046311-0.00058618i,-0.0010119-0.001849i,-0.0013737-0.0023542i,-0.0012988-0.0021229i,-0.0010816-0.0012767i,2.5363e-05-0.00046471i,0.00053063-0.00050912i,0.00023559-0.00069006i,3.9823e-05-0.00053709i,0.00024847-0.00058441i,0.00084087-0.00039216i,0.00089024+0.0004099i,0.00052338+0.00085308i,-0.00038326+0.00040544i,-0.00037462-0.00023874i,0.00024308-0.00023108i,-0.00058096+0.00052828i,-0.00066999+0.00031866i,-0.00051001-0.00072078i,-0.00021179-0.00035662i,0.00034847+1.3326e-05i,5.4588e-05-0.00053734i
-0.00026239-0.0005292i,0.00022566-0.00050954i,0.00056276-0.00064429i,-0.00063827-0.00045978i,-0.0020267-0.00036224i,-0.0023973-0.0014702i,-0.0013268-0.0012754i,-2.4494e-05+9.6036e-05i,0.00081107+0.00058002i,0.0018089+0.00070882i,0.0014014+7.184e-05i,0.00033013-0.00029568i,-7.2753e-05+0.00037262i,0.00013819+3.9435e-05i,-0.00025924-7.1499e-05i,-0.00012663-5.2978e-07i,0.00032511+0.00032393i,0.00031408+0.0012203i,0.00046917+0.0011767i,-1.4558e-05+0.00092375i,-0.0003675+0.00089263i,-0.00047035+0.00039904i,-0.00074289+9.2843e-05i
0.0011439-0.0006063i,0.0010583-0.0016557i,0.00045022-0.0013827i,-0.000233-0.0014077i,-0.00057727-0.0019976i,-0.0013396-0.0014616i,-0.0011868-0.0011107i,-0.00012976-0.00049259i,-7.6927e-05+7.4791e-06i,-7.8016e-05+0.00027885i,0.00082587+8.8576e-05i,0.00098719-0.00018713i,-0.00025905+0.00044659i,-0.0010311+0.0006472i,-0.00095969+0.00051063i,-0.00068576-0.00034451i,-0.00025371-0.0003749i,1.3202e-05+0.00041306i,-0.00016305+0.00038734i,-0.00090257+0.00031127i,-0.00048318+0.00031091i,0.0001873+6.8676e-05i,-0.00018834+0.0009439i
0.001013+0.00026775i,0.00038973-3.1009e-05i,0.00031484-0.0010497i,-0.0010278-0.0016237i,-0.0026393-0.0022268i,-0.0033821-0.0019677i,-0.0028569-0.00071033i,-0.0015087+0.00027249i,0.00017609+0.00057151i,0.0009948+0.00052432i,0.0002508+0.00062063i,0.0004151+0.00037433i,0.0012615-0.00017433i,0.0008575-0.00013942i,0.00013635+0.00048449i,-0.00013776+0.00038797i,2.9678e-05+0.00046561i,0.00017365+0.00075306i,1.0741e-05+0.00067967i,-0.00057952+0.00034808i,-0.0013199+0.0001637i,-0.0011094+0.00057216i,-0.0010379+0.00016317i
0.00023999-0.00071114i,0.00010016-0.00081477i,-0.00059014-0.00086697i,-3.5551e-06-0.00013431i,-0.00019153+0.00070476i,-0.0014526+7.6807e-05i,-0.0015519+0.00019685i,-0.001021+0.0015146i,-0.00080351+0.0018937i,-0.0011653+0.0014476i,-0.00083306+0.00085325i,-0.00039716+0.00023169i,-0.00031893-0.00051986i,-0.00020477-0.00050118i,-0.0010451+0.00013329i,-0.0013185+0.00078027i,-0.00032269+0.0014267i,-0.00020343+0.0012021i,-0.00036584-0.00025121i,0.00040035-0.0017782i,0.00063549-0.0015312i,-0.00010384-0.0008232i,-0.00025175-0.00027893i
-0.0017825+0.0003737i,-0.0010715+0.00044726i,-0.00083385+0.00096885i,-0.0012658+0.00035979i,-0.0016882-0.00060843i,-0.0023186-0.00093135i,-0.0016169-0.0001625i,-0.0004562+0.00083796i,0.00037192+0.0012767i,0.0012727+0.0019397i,0.0011024+0.001368i,-0.0001224+0.00034955i,-0.0012225-3.0881e-05i,-0.0009557-0.00048704i,6.7633e-05-0.00010558i,6.6832e-05+0.00044318i,-0.00043293+0.00033133i,-0.00046871-0.00026045i,-4.372e-05-0.00018778i,0.00038073+0.00015316i,0.00038568+0.0005339i,-5.8098e-05+0.00073009i,-0.00048055+0.00067624i
0.00064551+0.00015421i,-0.00015779-0.00041529i,-0.0010236-0.0012003i,-0.00040873-0.00036849i,0.000273+0.0001919i,8.9547e-05-0.00039353i,-0.00025169-3.5763e-05i,0.00020227+9.4305e-05i,0.0012321+0.00031962i,0.00082119+0.000437i,0.00030064-0.00038546i,0.00036603-0.0013802i,0.00081586-0.0019019i,0.00093642-0.001018i,-0.00012492-1.2133e-05i,-0.00059824+0.00033139i,-0.00044736+0.00043878i,0.00012932+0.00039069i,0.00025457+1.2708e-05i,9.8629e-05-0.00023552i,0.00030233-1.3474e-05i,8.6332e-05-0.00011763i,-0.00050872-0.00086058i
-0.001074+0.00055299i,0.00030843+0.00052894i,0.00024469+0.0012997i,-0.00020547+0.0011072i,0.00015761+0.00025685i,-0.00048508-0.00072256i,-0.001003-0.00032612i,-0.00019244+0.00063096i,0.00067398+0.00053766i,0.00098196+0.0001957i,0.001204+0.00014228i,0.00081434+0.00019755i,0.00031173-0.00018996i,-0.00012653-0.00031378i,-0.00028302-0.00027674i,3.8601e-05-9.7356e-05i,4.3635e-05+0.00047454i,-1.9144e-05+0.00025851i,0.00030025-0.00061595i,-0.00019741-0.00095692i,-0.0002978+0.00016255i,-0.00017464+0.00069187i,0.00020314+0.0004208i
-0.00017813+0.00076368i,-0.00012435+0.00063558i,9.2239e-05+0.00043139i,-0.00043147-0.00044496i,-0.00074035-0.0016265i,-0.00063211-0.0022012i,-0.00077528-0.0018929i,-0.00047614-0.00046881i,-0.00031156+0.00039519i,0.00033836+0.00012767i,0.0013357-0.00010267i,0.00098969+0.0002243i,0.00018778-0.00013818i,0.00018802-0.00095016i,0.00041596-0.00053272i,0.00049394+0.00073424i,0.00017495+0.00063466i,0.0003315+0.00077979i,0.00082702+0.00081215i,0.0007195+7.3666e-05i,0.0002417-8.4099e-06i,-0.00024201+0.0001628i,-0.00082724+0.00036793i
-1.356e-05-0.0015783i,-0.00020151-0.00013372i,-0.00090433-0.00021863i,-0.0017539-0.00055274i,-0.0012394-0.00011841i,-0.00086325-0.00028052i,-0.0007277-0.00026646i,0.00029867+9.8041e-05i,5.9362e-05-8.9917e-05i,-0.00065703-4.0443e-05i,-0.00053543+0.00018775i,0.00019136-0.00010926i,0.0011089-0.00066943i,8.5142e-05+0.00015796i,-0.00070689+0.0014279i,-0.00040263+0.00085772i,-0.00036964-1.5028e-05i,-0.00030395-0.00010778i,-0.00053078+0.00048124i,-0.00050518+0.00079767i,0.00038167+0.00059122i,0.00062706-8.4946e-05i,-0.00022726-0.00010735i
0.0019458-0.0018915i,0.00096939-0.00094344i,-7.0586e-05-0.00047899i,-0.0014883-0.00076248i,-0.0030938-0.0014425i,-0.0034458-0.0013022i,-0.0028578-7.1804e-06i,-0.001489+0.0013673i,6.3181e-05+0.002222i,0.0010768+0.0015706i,0.00086114+0.00096365i,-4.6862e-05+0.00061281i,-0.0002368-0.00038856i,0.00047379-0.0004967i,0.00094434-0.00025308i,0.00066282-0.00059362i,-6.8269e-05-0.00029915i,-0.00080581-0.00051541i,-0.00058322-0.00045228i,0.00014663-5.7809e-05i,0.00015864-0.00013789i,0.00030659-9.2127e-06i,0.0001955-3.8746e-05i
0.00088289-0.0019458i,0.00046482-0.0013649i,-0.00071146-0.0014598i,-0.0010151-0.0011577i,-0.001104-0.00020852i,-0.0015315+0.00015301i,-0.0014223+0.00049933i,-0.00042758+0.000687i,0.00032044+0.00069327i,0.00052312+0.00098615i,0.00076027+0.00091445i,0.00038282+0.00057028i,0.00088505-0.00017456i,0.0015575+5.2078e-05i,0.0012606+0.0011129i,0.00082183+0.0011047i,0.00056151+0.00055057i,0.00030926+0.00063017i,-0.00055437+0.0008741i,-0.0010172+0.00022334i,-0.00034252-0.00077032i,7.7021e-05-0.00030917i,-0.00019752-0.0002197i
-0.0010739-0.00096395i,-0.00097809-0.00055193i,-0.002208-0.00043418i,-0.0022879-0.00078264i,-0.0023755-0.00069372i,-0.0019672-0.0011598i,-0.00048745-0.0015487i,0.00039231-5.774e-05i,0.0009921+0.00081204i,0.0014041+0.00037998i,0.00061123+0.00010741i,-0.00035887-0.00022554i,-0.00066884-0.00072139i,-0.0005824-0.00048348i,-0.00023235+0.00033254i,0.00036559+0.00026966i,0.00013857-2.4241e-05i,-8.5556e-05+0.00036703i,0.00023433+0.00074838i,0.00018982+0.00046137i,0.00020412+0.00043863i,0.00053911+0.00020796i,0.00098486-0.0003097i
-0.00019018+0.00055202i,-0.00010858+0.00084965i,-0.00039146+0.00091854i,-0.00016886+0.0011793i,0.0003299+0.00088426i,8.7807e-05-0.00015306i,-3.4211e-06-0.00083887i,0.00028129-0.00056454i,0.00037586+2.0362e-05i,0.00071857+5.1566e-05i,0.00093906-0.0001472i,0.0010205-0.00013256i,0.00068537+0.00094309i,6.0761e-05+0.00084105i,0.00039074-0.00013544i,0.00068986+0.0002187i,-9.5811e-05+0.0002332i,-7.4196e-05+0.00014054i,-0.00019056+0.00048826i,-0.0006566-0.00012133i,-0.00056658-0.0007363i,-0.00060727-0.00044319i,-0.00045563-0.00010454i
0.00052727+0.00043488i,0.00091697-0.00075535i,0.0010626-0.0017997i,0.001053-0.0019745i,6.7978e-05-0.0021006i,-0.00038955-0.0020726i,0.00020634-0.0014555i,0.0005306-0.0010758i,0.00068268-0.0013893i,0.00055713-0.00057349i,0.00071556+0.00017802i,0.0011746+0.00035153i,0.00038511+0.00077795i,-0.0006079+0.0003674i,-0.00065022+0.00012242i,-0.00052187+0.00033463i,-0.00031227+0.00077847i,0.00042558+0.0014628i,0.00046751+0.0012467i,0.00076966+0.00020988i,0.00035083-0.00021293i,-0.00042454-0.00045716i,-0.00053847-0.0011971i
-0.0026078-0.00027912i,-0.0021042+0.0010681i,-0.0018602+0.0013585i,-0.0018828+0.00057654i,-0.0014045-0.0001015i,-0.00049892-0.0010542i,-0.00097352-0.0015009i,-0.0020177+0.00019092i,-0.0022349+0.0014036i,-0.00082072+0.00093854i,0.00066755+0.00066405i,0.00089998+0.0002856i,0.00065797-9.3066e-05i,0.00033693+0.00024004i,-0.00021836+0.00031495i,-0.00070223+7.9124e-05i,-0.00022374+0.00030253i,-9.6744e-05+0.00065159i,-0.00073967-6.487e-05i,-0.00051722-0.00020108i,6.7675e-05+0.00071563i,0.00050687+0.00070665i,0.00041486+7.5e-05i
-0.00070647+0.00094308i,-0.00032379+0.0012537i,-8.3985e-07+0.000991i,-3.6374e-05+0.00021095i,-0.00075217-0.00025273i,-0.0014912-0.00072511i,-0.0020134-1.1536e-05i,-0.0020785+0.00099988i,-0.0013146+0.0014646i,-0.00070819+0.0016982i,-0.00025007+0.0011845i,0.00011697+0.00030787i,0.00023905-0.00014538i,0.00030324-0.00033599i,-0.00015855-0.00029109i,-0.00048246+1.3097e-05i,-0.0002769+0.00087552i,0.00057322+0.00043518i,0.0015839-0.00015001i,0.00074539-0.00036785i,-0.00016241-0.00083575i,0.00029991-0.0010357i,0.0005102-0.00074725i
-0.00070773+0.00039087i,-0.00028967-0.00095258i,7.3004e-05-0.0013579i,-0.00062257-0.00071095i,-0.0012372-0.00081598i,-0.00083682-0.00083689i,-0.00071663-9.8816e-05i,-0.00069321+0.0005571i,-0.00062862+0.0003831i,-0.00018927+0.00025808i,0.00058155+0.00067228i,0.00033187+0.00060746i,-0.00035042+0.00020543i,-0.00013699-0.00019233i,0.00017793-0.00081051i,-0.00013484-0.00091373i,-0.00039019-0.00062986i,-3.4279e-05-8.6806e-05i,0.00011738+6.5071e-05i,5.0913e-05+0.00038519i,0.00046486+0.00051097i,0.00096473-0.0001568i,0.00030967-0.00040984i
-0.0015678-0.0010792i,-0.0015861-0.00097747i,-0.0028288-0.0011946i,-0.0031302-0.0010179i,-0.0027475-0.00043646i,-0.0016835+0.00054066i,-3.1854e-05+0.00099217i,0.00059412+0.00040504i,0.00059055+0.00065968i,0.0014775+0.0014016i,0.0016766+0.00064522i,0.0008765-6.8246e-05i,8.8739e-05-1.2206e-05i,0.00036423-0.00014485i,0.0012738-0.00069606i,0.00077092-0.00099213i,4.3658e-06-0.00050138i,7.322e-05+0.00027724i,0.00023599+0.00075161i,0.00043341+0.00049181i,0.00058453-0.00033304i,0.00075552-0.00072683i,0.00079609+6.6725e-05i
0.00022615+0.0013914i,0.00028866+0.00017023i,0.00034142-0.00010257i,0.00034473+6.6714e-05i,0.00030818-0.0017052i,8.1439e-05-0.0028565i,-0.00053304-0.0021503i,-5.9725e-05-0.00039022i,0.00074672+0.0010912i,0.0013112+0.00018961i,0.0012277-0.00027482i,0.00077727-0.00020237i,0.00089071-0.00035351i,0.0001392+9.17e-05i,-0.00062627+0.00017801i,-3.7345e-05-3.8627e-05i,0.0003708+0.00017126i,-9.442e-05+0.00016939i,-0.00036988+8.864e-05i,0.000311+0.00059415i,0.0009878+0.00088731i,0.00074349+0.00084689i,-0.00022288+0.00057908i
-0.0016814+0.0011343i,-0.00028869+0.00085765i,0.00079622+0.00057892i,0.00042977+0.00086699i,0.00055058+0.00059282i,0.00082259-0.00013374i,0.00028237-0.00010556i,-0.00015861-0.00023403i,0.00023877-0.00030892i,0.00067651-0.00011395i,0.00072329+5.4286e-05i,0.000488+7.4996e-05i,0.00014358-0.00033115i,0.00020124-0.00072454i,-0.00014809-0.00082665i,-0.00056621-5.9676e-06i,-9.0734e-05+0.0008789i,0.00016187+0.00072213i,-0.00032932+0.00052011i,-0.0013293-0.00018026i,-0.00056399-0.00072126i,6.665e-05-0.00044476i,-0.00077064-0.00044419i
-0.0010823+0.0003006i,-0.00061738-0.00038995i,-0.00029638+1.9647e-06i,-0.00010753+7.2814e-05i,-0.00045516-0.0016923i,-0.0011476-0.0027822i,-0.0016549-0.0020474i,-0.0024343-0.00124i,-0.0014771-9.5879e-05i,0.00035308+0.00013013i,0.00084097-0.00024403i,0.0010103-8.0294e-05i,0.00088919-0.00028323i,0.00030879+2.2033e-05i,0.00019531+0.00051796i,-0.00028912+0.00064675i,-0.00065657+0.00050022i,-5.9093e-05+0.00033736i,-0.00029474+0.00037139i,-0.00037698+0.00096115i,0.0004292+0.00074615i,0.0003086+0.00080649i,-7.085e-05+0.00072005i
-0.0016505-0.0017213i,-0.0013057-0.00051398i,-0.0015415+0.00032238i,-0.0031101+0.00079127i,-0.0033429+0.00071013i,-0.0028615+7.9182e-05i,-0.0023197+7.7686e-05i,-0.0016222+0.00013534i,-0.0017244-9.4415e-05i,-0.00094306+0.0001005i,6.4313e-05+0.0003304i,3.3288e-05+0.00031667i,0.00059734-0.00041957i,0.00042738-0.00070579i,-0.00024355-5.6915e-05i,-0.00058961+6.6821e-05i,-0.00026086-0.00028737i,0.00034568-0.00020923i,5.2983e-05+0.00020271i,-0.0001891+0.0001371i,-0.00053131+0.0003792i,-0.00066208+0.00017428i,-0.00031789-0.00025833i
0.0016119-0.0010881i,0.0006328-0.0010315i,-0.00033541-0.0017609i,-0.0016314-0.0029623i,-0.0026592-0.003064i,-0.0029201-0.0019493i,-0.0023783-0.00047538i,-0.0013038+0.001135i,-0.00057144+0.0014542i,-6.8902e-05+0.0010479i,0.00062487+0.0013215i,0.0006292+0.00089825i,0.00026586+0.00012615i,0.00045772+0.0003056i,0.00024796+0.00053482i,-0.00055566-0.00014904i,-0.00024588-0.00026882i,-0.00012676-3.746e-05i,-0.00073033-0.00014163i,-0.00040035-0.00054128i,0.00060952-0.00080657i,0.00092959-0.00061966i,0.00049961-0.001032i
-0.0011119+0.0010231i,0.00045322+0.00013217i,0.00080837+0.00079084i,0.00065859+0.0007562i,0.00018383-7.9968e-05i,-6.9366e-07-0.001053i,-0.00015899-0.0007304i,-0.00018656+0.00099803i,0.00048323+0.0017718i,0.001277+0.0016769i,0.0013577+0.0012575i,0.0010812+0.00083882i,0.000584+0.00029033i,-2.6583e-05-0.0010332i,-0.00076571-0.00081866i,-0.0011601+0.00010057i,-0.00059487+0.00060097i,-0.00017006+0.00081207i,-1.4577e-05+0.0012355i,-2.1594e-06+0.0013577i,-0.00041092+0.00036075i,-0.00070737+6.3347e-05i,-0.00016931-0.00011473i
0.0015112-0.00044703i,0.0015461-0.00053727i,0.00036587-0.0013214i,-0.00059899-0.0012377i,-0.00069881-0.0012557i,-0.00049997-0.001122i,-0.00072971+7.1292e-05i,-0.00024988+0.00094614i,0.0012556+0.0013854i,0.0016081+0.0012593i,0.00079365+0.00069776i,0.00026781+0.00050171i,0.00021211+0.00044834i,-9.8534e-05+0.00069114i,-0.00052228+0.00032685i,-0.00052083+0.00010569i,-0.00081178+0.00027323i,-0.00094488+0.00080469i,-0.00033513+0.00098693i,-0.00035891+0.00047367i,5.9948e-05+0.0001045i,0.00058939-0.00023602i,0.00069958+0.00028252i
-4.4774e-06+0.00034928i,0.00062371-0.00080508i,-0.00042639-0.0020086i,-0.00061225-0.0027829i,-0.00058995-0.0020694i,-0.00084844-0.001199i,-0.00063665-0.0009838i,-0.00041768-0.001311i,8.1611e-05-0.0018031i,0.0014431-0.00073829i,0.0021619+0.00040204i,0.0014242+0.00012575i,0.00021334-0.00033049i,-0.00045557-0.00054438i,-0.00032503-3.2238e-05i,7.514e-05-0.00013787i,0.0002846+0.00033303i,-7.1261e-05+0.00091636i,0.00027319+0.00085755i,0.00036673+0.00087014i,-5.7116e-05+0.00048683i,-0.00029049-0.00052817i,-0.0006637-0.00068937i
0.00028458-0.0013854i,0.00040478-0.00054504i,-9.9344e-06-6.9801e-05i,-0.0011442+0.00043132i,-0.0019203-5.8645e-06i,-0.0018645-0.0010011i,-0.0011333-0.00091504i,-0.00061461-0.00064049i,-0.00023687-0.00016082i,0.00034174+0.00065743i,0.00090367+0.0010636i,0.00085633+0.0011953i,0.00086014+0.00063167i,0.00063072+0.0001952i,0.00056532+0.00040408i,0.00065326+0.00041715i,0.0004911+0.00085231i,0.00010377+0.00091577i,-0.00011997+0.00013838i,-0.00024134-0.00067626i,0.00017457-0.00083346i,0.00099327-0.00068066i,0.0014612-0.00063086i
-0.00031877-0.00086371i,-0.00059092-0.00046423i,-0.0010095-0.00045362i,-0.0018244-0.00097722i,-0.0011762-0.0013737i,-0.00088575-0.0015453i,-0.0015426-0.0012375i,-0.0018553-0.00059275i,-0.00072521+0.00067492i,-5.4218e-06+0.0014273i,0.00035912+0.0009617i,0.0014974+0.00017216i,0.001943-0.00020636i,0.0013195-0.00059298i,0.00037925-0.00040823i,2.7616e-05-0.00024887i,0.00050666+0.00023399i,0.00059683+0.00085642i,0.00065623+0.0010004i,0.00072928+0.00081339i,0.00052012+0.00045333i,1.3372e-07-4.5845e-05i,1.8884e-05-0.00079052i
0.00025007-0.0012964i,0.00060113-0.0016675i,-0.0014446-0.0022114i,-0.0029671-0.0016962i,-0.0031556-0.00082224i,-0.0025546-0.00096952i,-0.0016654-0.0005783i,-0.00076065+0.00019871i,0.00013536+0.0010301i,7.9073e-05+0.0015994i,0.00029346+0.00097998i,0.00061778+0.0003805i,0.00044632+0.00086903i,0.00052458+0.00086416i,0.00038749+2.2596e-05i,-0.00020338-0.00055826i,-0.00023542-0.00038372i,-0.00014971+0.00050351i,-0.00017604+0.0010063i,-0.00035479+0.00046554i,-0.00054137+0.00018628i,-0.00040444+0.00030302i,-0.00049478+0.00024616i
