-0.0037895+0.00041105i,-0.0018681+7.1483e-05i,-0.0028687+0.0012049i,-0.0032736+0.0024393i,-0.0026476+0.0035816i,-0.001178+0.0026861i,0.00027349+0.0017914i,0.0012318+0.0018728i,0.0013988+0.0013803i,0.001648+0.00028827i,0.001798-0.00085686i,0.0012568-0.00090113i,0.00057514-0.00083219i,-0.00015198-0.00050707i,-0.00050565+0.00012614i,-0.00083066-0.0003345i,-0.00066575-0.00049667i,-0.00019135-0.00055617i,0.00038125-0.00050301i,-0.00059463-0.00019771i,-0.001409-0.00019443i,-0.0008467-0.00023504i,-0.00019328-0.00057207i
-0.0016113+0.0013199i,-0.00052197+0.0014607i,0.0011595+0.0018125i,0.0010421+0.0013054i,0.00025755-0.00035082i,0.00020156-0.0019656i,-0.00052746-0.00084361i,-0.00086097+9.5465e-05i,-0.00017015-9.5682e-05i,0.00035248+0.00075756i,5.1167e-05+0.00040912i,-0.00022089-0.00057786i,0.00015965-0.00066729i,7.6667e-05-0.00054355i,-0.00018577-0.00025904i,-0.00014485+0.00017554i,4.752e-05+0.00038487i,0.00043145+0.00013903i,0.00074331-0.0002143i,0.00089352-0.00045766i,0.00068465+0.0001455i,0.0005117+0.00045702i,0.00039362+0.00021428i
0.00064452+0.0020339i,8.3443e-05+0.0011446i,0.00047292-0.00058938i,0.00084309-0.001536i,0.00028653-0.0017179i,-0.00048739-0.0018166i,-0.00050139-0.0014329i,-0.00058079-0.00068406i,-0.00052254+0.0005468i,0.00011448+0.00051964i,0.00036157-0.00026696i,0.00028933-0.00086838i,0.00083898-0.0015015i,0.001141-0.0017111i,0.00051864-0.0013039i,3.402e-05-0.0001405i,-0.00010067+0.00053549i,0.00015545+7.0963e-06i,0.00049652-0.00038919i,-0.00014663+0.0001498i,-0.00031169+0.00048985i,0.00039776-0.00011737i,0.00033027-0.00010423i
0.00015878-0.00027852i,0.0011856-0.00017458i,0.0014876-0.00079159i,-0.00013095-0.0019056i,-0.0014041-0.0022746i,-0.0021548-0.0010864i,-0.0021581+0.00072215i,-0.00077018+0.0013228i,0.0004942+0.00086204i,0.00066578+0.00041309i,-0.00010939+0.00034734i,-0.0004362+0.00017577i,-0.00067734+0.00019416i,-0.00053361+8.8257e-05i,-3.0546e-05-0.00027231i,0.00030001+0.0005905i,0.0002505+0.0009695i,6.6107e-05+0.00047381i,-0.00021051-0.00026023i,0.00026836-0.00021261i,0.00020634+0.0007128i,-1.2779e-05+0.00083423i,0.00010436+0.00094375i
-0.0012457+0.0004312i,1.9525e-05+0.0010722i,8.6283e-05+0.0017141i,-0.00029535+0.0010735i,-0.00057439+0.00013854i,-0.00094048-0.00039462i,-0.0013874-0.00089593i,-0.00084396-0.00028485i,-0.00019828+0.00042i,1.0711e-05+0.00040821i,0.00029403+0.00030989i,0.0008667+7.5528e-05i,0.0010203-0.0005648i,0.00053327-0.00089247i,0.00054665-0.00035794i,0.00019499+0.0004904i,-0.00032604+0.00038054i,-8.5916e-05+0.00020269i,7.7548e-05-0.00029558i,4.7768e-05-0.00044692i,0.00044838-9.3919e-06i,0.00068725+0.00036113i,0.00032596+0.00084893i
0.00076127-0.00066369i,0.00022788-0.00029304i,-0.00049415-0.00095459i,-0.0014343-0.0017788i,-0.0021878-0.0020826i,-0.0023132-0.0016359i,-0.0017642-0.00053876i,-0.00018859+7.172e-05i,0.00059983+0.0013787i,0.00096294+0.0012777i,0.0010218+0.00014573i,0.00046519-2.3276e-05i,0.00078432+0.00049885i,0.0010725+0.00053135i,0.00090632+0.0004046i,0.00017545+0.00063509i,-0.00061573+0.00020973i,-0.00071469-0.00034194i,-0.00014196-0.00045897i,-2.5964e-05-0.00024633i,0.00015137+0.00018935i,0.00064959+0.00013159i,0.00033603-1.0687e-05i
-0.00069491+8.2978e-05i,-0.00066665+0.0003538i,-0.00071274+0.00025992i,-0.00055584+0.00024925i,-0.0001705-0.00047749i,-7.6772e-05-0.0004878i,-0.00032332-0.00016933i,0.00012582+1.9499e-05i,0.0010291+0.00021234i,0.0015748+0.00032262i,0.0018872+0.00031535i,0.0014628+0.00016767i,0.00044182-0.00047721i,-8.4958e-05-0.0011804i,-0.00040928-0.00046605i,-0.00054642+0.00090822i,0.0001425+0.00097613i,0.00079704+5.9912e-05i,0.00067605-0.00026023i,0.0005526-0.00023202i,0.00020366-0.00094834i,0.00036444-0.0016972i,3.3495e-05-0.00097731i
-0.00027672-0.0010035i,-0.00042622-0.0014914i,-0.001243-0.00091558i,-0.0026797+0.00022479i,-0.0028299+0.00060138i,-0.0017665-0.00024533i,-0.00023453-0.00043718i,0.00015147+0.00041857i,-8.7011e-05+0.00067857i,0.00065846+0.00042327i,0.00093572+0.0003716i,0.00083616+0.00064921i,0.00057278+0.00044674i,-0.00024341+0.00027423i,-0.00052605-0.00013582i,-2.1055e-05-0.0001115i,0.00045051+0.00028436i,0.0001445+0.00032919i,-9.1861e-05+5.2953e-05i,0.00064351-0.00032701i,0.0010749-0.00027733i,0.00044599+0.0002035i,-0.00016028+0.00087046i
-0.00063801-0.00074044i,-0.0010724+0.00095903i,-0.00088699+0.0014364i,-0.0002659+0.00023548i,-0.00051034-0.00050293i,-0.0011073-0.00093915i,-0.0017777-0.00085213i,-0.0013253-4.6558e-05i,-5.4544e-05+0.0010982i,0.00031069+0.00122i,0.00046019+0.00098616i,0.00058593+0.00042708i,-0.00023988-0.00032084i,-0.00093326-0.00047657i,-0.00065646-0.00040982i,-0.0001954-0.00068985i,-0.00056763-0.0001341i,-0.0010487+0.0006001i,-0.00016501+0.00029633i,0.00024431+0.00039422i,0.00057976+0.00044079i,0.00072553+0.00034938i,-0.00020151+0.00020261i
-0.00064348-5.6513e-05i,-0.00091257-0.00027586i,-0.00086492-0.0012133i,-0.00094626-0.0018293i,-0.0023446-0.0015829i,-0.0027076-0.00099135i,-0.0016285-0.00035271i,-0.00069253+0.00091525i,-0.00035429+0.0016882i,0.00020666+0.0020973i,0.00075827+0.00158i,0.00077512+0.0005033i,4.2495e-05-0.00035337i,-0.0001347-0.00070185i,-0.0002371-9.8232e-05i,-0.00063498+0.00055225i,-0.00044478+0.00047465i,-3.2742e-05+0.00045291i,0.00092161+0.0004719i,0.001116+0.00015841i,0.00032288-2.494e-05i,-0.00011412-0.00018895i,-0.00028573-0.00048697i
-0.001527-3.5697e-05i,-0.0002374-0.00049029i,0.00030623-0.00096625i,-0.00069575-0.0010695i,-0.0014243-0.0019847i,-0.0018787-0.0021421i,-0.0017266-0.0014691i,-0.0006829+0.00018014i,7.82e-05+0.0015019i,0.00052039+0.0011301i,0.00087564+0.00085438i,0.00089666+0.00013267i,0.00093737-0.00058925i,2.9226e-05+1.1398e-05i,-0.00097088-2.4606e-06i,-0.00095817-0.00045597i,-0.00035532-0.0001485i,0.00024091-0.00047495i,7.5456e-05-0.0005579i,1.1112e-05+8.9491e-06i,3.9487e-05+0.00067415i,-0.00017589+0.0010742i,-0.00023152+0.00028024i
