0.003716-0.001279i,0.003185-0.0023568i,0.0012928-0.0026524i,-0.00033849-0.0015918i,-0.0021673-0.0012898i,-0.0034886-0.00080925i,-0.0022703+0.0005235i,-0.00071252+0.001103i,0.00051029+0.0007019i,0.00044102-0.00014212i,-0.00025382-0.00066177i,3.5863e-05-0.00071264i,0.00050037-0.00062231i,6.5515e-05-0.00048351i,-0.00072478-0.00010641i,-0.00060967-2.9068e-05i,-0.0007702-0.00044041i,-0.0011017-0.00055575i,-0.00037523+0.00030858i,3.5584e-05+0.0011858i,0.00041641+0.0011593i,0.00079027+3.8855e-05i,0.00049307-0.00054538i
0.00040012-4.2881e-05i,-0.00073195-0.0016215i,-0.0021065-0.0013189i,-0.0024078-2.523e-05i,-0.0018386+4.1073e-05i,-0.0012492-0.00031826i,0.00017286-8.9474e-05i,0.0011634+0.0003317i,0.0008615+0.00084804i,0.00046871+0.00086845i,-0.00044232+0.0001385i,-0.0006064-0.00013125i,-4.7828e-05-0.00030046i,-0.00022497-0.00039885i,-0.00055445-8.6535e-05i,-0.00030877-0.00043106i,0.00070413-0.0008313i,0.0010047-0.00075172i,0.00041837-0.00036041i,-0.00019512+0.00035511i,-0.00066006+3.5713e-05i,0.00024424-0.00062419i,0.00057533-0.00054976i
0.0012967-0.00049192i,0.00042702-0.00083146i,0.00044399-0.00127i,-0.00049559-0.00022674i,-0.00185-0.00013239i,-0.0020997-0.00082839i,-0.0017464-0.00088154i,-0.00050206-0.000688i,0.0002697-0.00052806i,4.0333e-05-0.00054496i,0.00013127-0.0001198i,0.00046747+0.00014481i,-0.00032181+0.00021861i,-0.00087908+0.00064466i,-0.00036585+0.00087577i,-0.00015887+3.6332e-05i,-4.7443e-05-4.9133e-05i,0.00033285+0.00035696i,0.00039349+0.00027821i,0.00010157+0.00068666i,-0.00029904+0.00092021i,-0.00027771+0.00073693i,3.1835e-05+0.00053393i
0.00087095-0.0019704i,0.00084448-0.0022328i,-0.0006257-0.001628i,-0.00080552-0.00040191i,-0.00025836+0.00080283i,-0.00082419+0.0014028i,-0.0012531+0.00054666i,-0.0008264-0.0002936i,-2.327e-05+6.9849e-05i,0.0001921+0.00022706i,-0.00058931+2.9132e-05i,-0.0011496-0.00056954i,-0.0005031-0.00065092i,-0.00036517+0.00017495i,-0.00057537+0.00066935i,-4.4642e-06+0.00026944i,0.00032518-3.9863e-05i,0.00024063-0.00022555i,0.00035447-0.00026227i,0.00010175-0.00039836i,-4.2525e-06-0.00073583i,0.00054253-0.00025575i,0.00045052-0.00035455i
0.0013454-0.0010658i,0.0015113-0.0018747i,0.0010077-0.0012556i,0.0011752-0.00077506i,0.00051553-0.00051036i,-0.00069686-0.00050203i,-0.001273+2.8967e-05i,-0.0013845+0.00053121i,-0.0014878+0.00012553i,-0.00081403-0.0010626i,0.00044018-0.0015745i,0.0011285-0.0004217i,0.00077117+0.00041531i,0.00061193+0.00051985i,0.00061192+0.00099698i,0.00047832+0.00097697i,0.00056591+0.00073905i,2.8264e-05-0.00010893i,-0.00027605+2.5706e-05i,-7.0662e-05+0.00089654i,-4.3334e-05+0.00086954i,-3.4132e-06+0.00038269i,8.0575e-05+0.00016564i
0.0024176-0.00010653i,0.0015819-0.00044481i,0.0010285-0.0003028i,0.00057734-0.00021983i,-0.00030457-0.00046272i,-0.00064962-0.00040151i,-0.001349+4.4383e-05i,-0.0016104+0.00045694i,-0.00070756+0.00014953i,-0.00015759-0.00034831i,0.00060589-0.00050548i,0.0013899-0.00010079i,0.00058585+0.00083097i,-0.00068888+0.0013118i,-0.0005176+0.00062283i,-0.00019031-0.00015817i,-0.00040721-0.00032405i,-4.6442e-05+0.00027385i,0.00014566+0.00040046i,0.00012036+0.00034236i,3.1595e-05+0.00029423i,-0.00023073-9.7841e-06i,6.9855e-05-0.00029676i
-0.00052409+0.00092292i,-0.00094874+2.4963e-05i,-0.00086293+0.00048772i,-0.00022782+0.0012818i,6.5821e-05+0.0014425i,4.683e-05+0.00027265i,0.0001416-0.0003341i,0.00013419-0.00036826i,9.56e-05-0.00019801i,3.5102e-05-0.00030387i,-5.6706e-05-0.00035686i,-0.00022184+8.5704e-05i,-0.00030985+8.7146e-05i,-0.00051226-2.9096e-05i,-0.00085706+1.9639e-05i,-0.0008178+0.00040248i,-0.00017922+0.00085349i,0.00020553+0.00096805i,-0.00032689+0.00031349i,-0.00084494-0.00021691i,-0.00030516-0.0004838i,0.00058484-0.0010022i,0.00066257-0.00059692i
-0.00035724-0.0034889i,9.8134e-06-0.0037162i,-0.00069697-0.0021149i,-0.00067179-0.00026506i,0.00010619+9.7727e-05i,0.0002747+0.00050361i,-0.00022069+0.0005464i,-0.00066914-0.00017809i,-0.00072454-0.00045762i,-0.00075806-0.00055136i,-0.00063397-0.00013704i,-0.00043846-3.72e-06i,-0.00029701+0.00013593i,-0.00052379+0.00020159i,-0.00024966-0.00049683i,0.00017402-0.00083481i,-0.00034342-0.00059031i,-0.00084431+2.3397e-05i,-0.00043541-0.00028758i,-8.8524e-05-0.0006802i,-3.8407e-05-0.0002018i,-0.00012629+0.00017803i,-0.00069935+1.2807e-05i
0.0037824-0.0012609i,0.0035981-0.0025208i,0.0029939-0.0019586i,0.0017806-0.00016264i,1.8566e-05+0.00083846i,-0.0019242+3.8146e-05i,-0.0020448-0.00036097i,-0.00076362-0.0010956i,-6.6805e-05-0.0017363i,-0.00021192-0.0014294i,-0.00071672-0.00043405i,-0.00064255+0.00068099i,-2.2051e-05+0.00067393i,-0.00029107-9.6655e-06i,-7.098e-05-0.00048559i,0.001218-0.0005944i,0.00050125-0.00063104i,-0.0007037-0.0010387i,-0.00083794-0.00061198i,-0.00044574+0.00023754i,-0.00018262+0.00052621i,-0.00057728+0.00056301i,-7.138e-05+4.1093e-05i
0.0013467+2.7721e-05i,0.0007095+0.00010034i,-0.00072409-0.000165i,-0.0013584-0.00033326i,-0.0017088-0.00044283i,-0.0015303-0.001015i,-0.0004407-0.0012865i,-0.00015296-0.0012126i,-0.0006055-0.00094568i,-0.00079905-0.0012405i,-0.0003169-0.0014139i,0.00018644-0.0010862i,-0.00039553-0.00054796i,-0.00034835-7.9591e-05i,-6.1367e-05-0.00011842i,-0.00072691+0.00018958i,-0.001143+0.00049888i,-0.0010343+0.00019219i,-0.00046458-6.9408e-05i,0.0002304+0.00034287i,0.00036672+0.00028544i,-0.00011587-4.3808e-05i,1.7493e-05+0.00038559i
-0.0021339-0.00028222i,-0.0010233-0.00063416i,-0.00017435+0.00045746i,0.00030238+0.0013329i,8.513e-05+0.0013008i,-0.00053606+0.0001031i,-0.00085067-0.00041102i,-0.00090698-0.00048202i,-0.0009416-0.00032011i,-0.00029175-0.00020966i,-0.00030778-0.00078933i,-0.00077695-0.00032964i,-0.00029105+0.00011836i,-0.00035708-0.00016554i,-0.00042692-0.00013724i,0.0001631+0.00049308i,0.00049774+0.00062135i,0.00066745-3.1124e-05i,-0.00011492-0.00059575i,-0.00066356-0.00035525i,-0.00035239-2.9994e-05i,-0.00041604-0.00021182i,-0.00065726+9.556e-05i
