-0.00035402-0.00069437i,0.00039438-0.00099208i,-0.0012734-0.00083098i,-0.0023635+0.00032543i,-0.0021476+0.0013531i,-0.0016049+0.0018038i,-0.00096937+0.00189i,-0.00063281+0.0017679i,-0.00017401+0.0010228i,0.00033952+6.1354e-05i,0.00017372+1.4708e-05i,0.00028718-0.00025457i,0.00026129-0.0010964i,-0.00050367-0.0009197i,-0.00059011+0.00038028i,-0.00043905+0.00085915i,2.7074e-05+0.00036596i,2.2393e-05-0.0003722i,-6.4887e-06-0.00045254i,0.0005834-7.3536e-06i,0.00082247+4.5664e-05i,0.00066175+2.3204e-05i,0.00045298+0.00021175i
0.00055492-0.00059014i,0.00068886-0.00024617i,0.00056098+0.00039614i,0.0010105+0.0010209i,0.00066169+0.0016352i,0.0003031+0.0014545i,0.0001738+0.0014009i,-0.00094337+0.00103i,-0.0010139+0.00037708i,2.7017e-05+0.00020888i,0.0001965-0.00030996i,-0.00023074-0.00066252i,-0.00013468-0.00025144i,0.00048388+0.00099553i,0.00054971+0.0010984i,-0.00032161+0.00093261i,-0.001062+0.00045423i,-0.00076321-0.00032304i,-0.00025878-0.00023236i,-9.4077e-05+0.00025575i,0.00052943+0.00026618i,0.00011305+4.058e-05i,-0.00052102-0.00017136i
0.00072277+0.0031133i,0.00089156+0.0035885i,0.0011965+0.0038439i,0.00090746+0.003119i,0.00041906+0.001098i,0.00010943-0.00036376i,-0.00061866-0.00081656i,-0.00098492+0.00011611i,-0.00058652+0.00028602i,5.8039e-05-0.00030197i,0.00029561+0.00016741i,0.0007387+0.00030398i,0.00057851-0.00058681i,0.00013795-0.00089491i,0.00016438-0.00028029i,-0.00015706-4.3038e-05i,-0.00035117-0.0002029i,0.00016425-0.00025507i,0.00078707-0.00012566i,0.00093477-0.00046098i,0.0010185-0.00074749i,0.00021039-0.00067047i,-0.00068716-0.00044403i
-0.001205+0.00086043i,0.00016608+0.00077969i,0.0015699+0.001184i,0.00043579+0.0015916i,-0.00010223+0.0014681i,0.00082302+0.0010558i,0.0007419-0.00037093i,-0.00044091-0.00020687i,-0.0010819+0.0013381i,-0.0010482+0.0021894i,-0.00057349+0.0020946i,-0.00062544+0.0012787i,-0.0005698+0.00048435i,-0.00017464+0.00035502i,-0.00083833+2.2417e-05i,-0.0015785-0.0001028i,-0.001239+0.00018433i,-0.00015019-0.00017377i,0.00030908-0.0001865i,0.00018157+0.00022411i,-1.6848e-05+0.00057739i,0.00018373+0.00076319i,0.00029586+0.00030976i
-0.00038492+0.0008538i,0.00046302+0.0010143i,0.00097621+0.0006975i,0.00064714+0.00033055i,0.00047576+3.808e-05i,-0.00045864+1.9927e-05i,-0.00079804-0.00038616i,-0.000914-0.00054216i,-0.0014287+0.00051144i,-0.00098656+0.00068878i,-5.0205e-05+0.0005896i,0.00015999+0.00086912i,0.00026326+0.00051002i,0.00049658+0.00057339i,0.00027991-0.00017611i,8.1589e-05-0.00075848i,5.3278e-05-0.0005018i,0.00054654-0.0003341i,0.00062221-0.00019259i,0.00069315+0.00016384i,0.00091767+0.00059217i,0.00022684+0.00064522i,-0.00059165+0.00040708i
0.00046913-0.0015922i,-0.00030305-0.00086356i,-0.0006226+0.0004665i,-0.00059778+0.0017212i,-0.0011717+0.0024785i,-0.0012637+0.0018809i,-0.0013658+0.0005794i,-0.0014219+0.00015702i,-0.00080156+0.00017041i,-0.00072569+0.00046318i,-0.00091717+0.00095492i,-0.00057668+0.00067116i,-0.0001198-6.0291e-05i,0.000236+0.00052393i,0.00033403+0.00096409i,-2.9879e-05+0.00037237i,5.4917e-05-0.00036725i,0.00049847-0.00029269i,-8.0446e-05+3.4741e-05i,-0.00076013+0.00027769i,-0.00030578+0.0008315i,-0.00033114+0.00049698i,0.00035155-0.000619i
-0.0001478+0.00183i,0.00081855+0.0012003i,0.0013596+0.00071329i,0.0017473+0.0012588i,0.001807+0.0007693i,0.00075006-0.00029278i,-7.1081e-05-0.00097051i,-0.0011182-0.00084632i,-0.0011802-0.00034601i,-0.00013883+0.00064935i,1.6429e-05+0.00027095i,-8.0768e-05-0.00018856i,-0.00017698+0.00032306i,-0.00019129+0.0004416i,0.00073082+0.00016026i,0.0014246-0.0005037i,0.00075887-0.00083878i,-0.00018599-0.00083811i,-0.00040463-0.001079i,-9.5398e-05-0.00073835i,9.1383e-05+0.00020323i,-0.00017558+0.00020638i,-0.00096606-3.6461e-05i
0.00081663+0.0016261i,0.00063953+0.0012544i,-0.00077421+0.00034331i,-0.0013484+0.00041857i,-0.00072841+0.0022225i,-0.00039806+0.0025985i,-0.00067567+0.0012247i,-0.00083248+0.00077257i,-0.00047412+0.0011742i,-0.00028836+0.00050503i,3.0989e-05-3.3814e-05i,0.00048001+0.00035746i,0.00027197-7.9247e-05i,-0.00022103-0.00036945i,-0.00028344-0.00034353i,-0.00038759-0.00014175i,0.00039662+0.00029915i,0.000367+0.00022183i,-0.00036803+3.856e-05i,-0.00096027+0.00066503i,-0.0012091+0.00058153i,6.4359e-05+0.00023054i,0.00029163+0.00012134i
0.00084229-0.0016037i,0.00052102-0.0024526i,0.00027328-0.0012721i,-0.00038573-0.00035047i,6.6641e-05+0.00041471i,0.0002207+0.00086131i,-0.00081962+0.0011805i,-0.00089163+0.00059681i,-0.00033618+0.00047126i,-2.1525e-05+0.00054705i,0.0001217-0.00026197i,-0.00035377-0.00033448i,-0.00048601-0.00016004i,0.00041826-0.00012968i,0.00072348+8.7624e-05i,0.00027422+0.00030247i,0.00021352+7.314e-05i,0.0004173-0.00044582i,0.00032418-0.0001701i,0.00023272+0.00049965i,0.00071759+6.9781e-06i,0.00091446-0.00059236i,0.00045182-0.00033029i
-0.00051483+0.0022279i,-0.00015667+0.002735i,0.00088634+0.002704i,0.0013575+0.0021893i,0.00041576+0.0019233i,-0.00031152+0.0016216i,-0.0001496-0.00012699i,-0.00099137-0.0014449i,-0.0017724-0.001318i,-0.0012217-0.00018351i,-0.0011021+0.00048926i,-0.00084819+0.00050719i,-0.00024717+0.00033206i,-0.00030188+0.00070883i,-0.00061542+0.00054514i,-1.8269e-05-0.00034213i,0.00093306-0.0002367i,0.00043796+6.3781e-05i,-0.0002341+0.00087691i,0.00011683+0.0011561i,0.00035764+0.00018299i,-6.0804e-05-0.00032433i,-0.00020621-0.00028466i
-0.00094429-0.00039921i,-0.0016347+3.2177e-05i,-0.0025503+0.0001819i,-0.0023151+0.00051271i,-0.0011917+0.0020099i,-0.00044294+0.002629i,-0.0011978+0.0013423i,-0.0019624+0.00098522i,-0.0013968+0.0018059i,-0.00077015+0.0016789i,-0.00031288+0.00083487i,0.00061306+0.00040841i,0.0010103+5.5056e-05i,0.00063767-0.00055783i,0.00039067-0.00047287i,0.00025895-8.8966e-05i,8.8561e-06-0.0003669i,0.00020711-0.00044116i,0.00060355-0.00012374i,0.00048298-0.00020496i,0.00019622-0.00025065i,0.00019039-8.4728e-05i,5.7863e-05-0.00013172i
