0.0012134+0.00011999i,0.0013219-0.0021265i,0.00087989-0.0030589i,0.00053625-0.0025084i,-0.00026059-0.00084349i,-0.00064389+0.00047286i,-0.00063388+0.0013357i,0.00038535+0.0021593i,0.0016505+0.0015263i,0.0015794-0.0001205i,0.00076012-0.001078i,-4.2924e-05-0.0011296i,-0.0010215-0.00075335i,-0.00040864-0.00088641i,-0.00013667-0.0011017i,-0.001143-0.00060426i,-0.001014-6.8947e-05i,-5.0796e-05+1.2539e-05i,0.00065495+0.00058319i,3.5943e-05+0.0010467i,-0.00028909+0.00069931i,-0.00012086-0.00048151i,-0.0002587-0.00082937i
0.0022246-0.0017078i,0.0018332-0.0033317i,-0.00016197-0.0039929i,-0.0012067-0.0026341i,-0.0013902-0.00038229i,-0.0012125+0.001245i,-0.00077803+0.00055911i,-0.00038398-7.8488e-05i,-0.00020918+0.00016551i,-6.9295e-05+0.00046986i,-8.1417e-05+0.0006023i,-0.00049433+0.0001692i,-0.00053343-0.00023412i,0.00082555+0.0006611i,0.001068+0.0020565i,0.00066408+0.0016227i,0.00035308+0.00052592i,0.00016812+1.7763e-06i,-6.6024e-05-0.00030157i,-0.00013892-0.00038595i,5.1316e-05-0.00041879i,-0.00051118-0.00069234i,-0.00077753-0.0004121i
0.00010479-0.0018911i,0.0012959-0.0024518i,0.0016308-0.0026992i,0.00077084-0.0011652i,0.00036078+0.00032111i,0.00022535+0.00012036i,-0.00077927-0.00065063i,-0.0012997-0.00017013i,-0.00031996+0.00034917i,-9.1235e-05-0.00025928i,-0.00011459-0.00030741i,-0.00010776+0.0001123i,-0.00025689+0.00025777i,0.00034001+0.00068158i,0.00068782+0.00044611i,-0.00027124-0.00055103i,-0.00044723-0.00039202i,0.00039166+0.00074086i,0.0009649+0.0008843i,0.00042613+0.00087046i,0.00024218+0.0010584i,0.0008485+0.0013757i,0.0013042+0.00144i
0.0013358-0.0029838i,0.0018726-0.0038154i,0.0011829-0.0040212i,0.00028582-0.0034823i,-0.0008516-0.0016697i,-0.00142+9.7467e-05i,-0.0014067+0.00075482i,-0.0010893+0.0012247i,-0.0004851+0.0012798i,-0.00047272+0.00074152i,-0.0011254-0.00014782i,-0.0012918-0.00023058i,-0.0015489+0.00054004i,-0.0014969+0.00068982i,-0.00036951+0.00049698i,0.00050108+6.1102e-05i,0.00062956-0.00024396i,0.00081819-0.00024069i,0.00070714-9.5944e-05i,-7.899e-05+0.00026365i,-0.00096743+0.00021982i,-0.00097819-9.5482e-05i,-0.0010558+6.3179e-05i
0.00080897-0.0024211i,0.00040604-0.0021262i,-0.00023383-0.0019489i,-2.1148e-05-0.0016179i,0.00068658-0.0009496i,0.0007004-0.00029791i,3.0782e-05+0.00018104i,0.00017044+0.00028927i,0.00060515+0.00010322i,-0.00022552+4.3493e-05i,-0.001298-0.00028343i,-0.00078345-0.00022239i,-2.0831e-05+0.00041944i,0.00064398+0.00023083i,0.0008701-0.00023396i,0.00065261+2.8767e-05i,0.00022142+2.9184e-05i,-0.00037303+0.00013136i,-0.00010713+0.00035784i,0.00065316+0.00091629i,0.00081644+0.00096933i,0.00079233+0.00056544i,0.00078684+0.00069309i
0.0010127-0.0032249i,0.00040317-0.0040889i,0.00036905-0.0038614i,-0.00060757-0.0033066i,-0.0015374-0.0020101i,-0.0015357-0.00080922i,-0.00093296-0.00012391i,4.261e-05-0.00056321i,0.00050561-0.001499i,0.00017396-0.0011726i,2.708e-05-0.00061317i,-8.2655e-05-0.00023468i,-0.0002705+6.5979e-05i,-0.00020247-0.00031229i,-0.00020541-0.00037934i,-0.00066522+0.00011427i,-0.0011903+2.0725e-05i,-0.00077453-0.00035344i,-0.00012523-0.00070082i,0.0004478-0.00093366i,0.00096149+7.2435e-05i,0.00023017+0.00037281i,-0.00029985+1.923e-05i
0.0018603-0.0020839i,0.002385-0.003066i,0.0021628-0.002632i,0.0018918-0.0028398i,-3.7866e-05-0.0025928i,-0.001041-0.00082946i,-0.00049717+0.00028007i,-0.00051093-8.2092e-05i,-0.00049093-0.00034589i,0.00012723-0.0001313i,-0.00016837+0.00073395i,-0.00054971+0.0011741i,-0.00018257+0.00087451i,-0.00039721+0.00024408i,-0.00072852-0.00020284i,-0.00078404-0.00027588i,-0.00094911+0.00025195i,3.5711e-05+0.00065441i,0.00063701+0.00060313i,0.00013234-1.2907e-05i,0.00028582-2.5967e-05i,0.00045434+0.00090572i,0.00017601+0.0011282i
0.0020225-0.0021445i,0.0020937-0.003109i,0.0007358-0.0026986i,0.00026676-0.0007333i,7.4356e-05+0.00049452i,0.00016401+0.00091528i,-0.00020063+0.00051913i,-0.00047091-0.00013165i,7.2333e-05-0.00044155i,0.00022267-0.00042747i,-0.00033027-7.7474e-05i,2.7103e-05+0.00023515i,0.00019419+0.00023747i,-0.00017019+6.801e-05i,7.7484e-05+0.00028707i,0.00034741-0.00013778i,0.00041219-0.0005198i,0.00055923-0.00011137i,0.00064941+0.00014367i,0.00085505+0.0003747i,3.3244e-05+0.00039206i,-0.00054734+0.00042244i,0.00036278+0.0002548i
0.0021221+0.00048676i,0.0025523-0.001i,0.0027314-0.002282i,0.0019294-0.0028843i,0.00019873-0.00278i,-0.0011958-0.0016047i,-0.0016311-0.00050767i,-0.0013476-0.00044195i,0.00028571-0.00041247i,0.0012948+0.00017893i,0.0001326+9.777e-05i,-0.00043674-0.0005536i,-0.00034873-0.00036606i,-0.0006631-0.00029802i,-0.0010841-0.00076857i,-0.0015541-0.00092045i,-0.00068954-0.00074934i,-0.00039449-0.0007439i,-0.0012591-0.00064062i,-0.00089171-0.00039888i,0.00012636-0.00053584i,0.00049122-0.00015664i,0.00036773-0.00019955i
0.00049216-0.0013008i,0.00096594-0.0018537i,0.00050166-0.0019556i,0.0001021-0.001894i,4.6146e-05-0.0014048i,-0.0002153-0.00044384i,-0.00027292+0.00025713i,0.00018453+0.00067851i,0.00025591+0.0002836i,0.00034021-0.00030059i,0.00025953-0.00010804i,0.00018507-5.6854e-05i,-0.00017061-0.00040671i,-0.00033815-0.0009227i,-1.402e-05-0.00061849i,0.00033186-0.00012143i,0.00039232+3.3084e-05i,0.00016247-0.00027378i,-0.00011313-0.00077055i,0.00012145-0.00037033i,0.00063203+0.00012036i,0.00053673-0.00023677i,-0.00032965-0.00087328i
0.000584-0.0007532i,0.0014261-0.0008994i,0.001311-0.0022245i,0.00023437-0.0023903i,-0.00061769-0.0020187i,-0.00089366-0.0013331i,-0.00055413-0.0012173i,-0.00042293-0.00047294i,0.00051542+2.2049e-05i,0.00088566-0.0010837i,-0.00048514-0.00075476i,-0.00091171-0.00019574i,-0.00039796-0.00013863i,-0.00046571-8.3997e-05i,7.5952e-06-0.00028288i,0.00076314+0.00078319i,0.00065736+0.0012541i,8.1711e-05+0.00052963i,-0.00055534+0.00094967i,-0.00014894+0.00095774i,0.00051083+0.00042076i,-0.00011963+0.00065472i,-0.00066346+0.00057511i
