-0.0033688+0.0006394i,-0.0023932-0.00049523i,-0.0029293+5.283e-05i,-0.0017771+0.00049862i,-0.00072364+0.00096347i,-0.0011498+0.0011683i,-0.00075571+0.00081114i,0.00049783+0.00081963i,0.00073338+0.00038996i,9.4744e-05-9.8135e-05i,-0.00018637+6.8576e-05i,4.0984e-05-0.00033i,0.00036668-0.00079258i,-0.00037351-0.00085533i,-0.0011758-0.0011214i,-0.0010616-0.0011075i,-0.0011505+3.6701e-05i,-0.0013095+0.00092292i,-0.0010428+0.00091012i,-0.00073361+0.00077789i,-0.00015829+0.00041848i,0.00051783+0.00023748i,0.00034044+0.00010703i
-0.0021768+0.00036164i,-0.00079438+0.00094989i,-0.00044422+0.0013958i,0.00095523+0.0013137i,0.0022578+0.00050432i,0.0023256-0.00017248i,0.00080036-0.00056479i,-0.00092133-0.00050783i,-0.0010653-0.00022552i,-0.0010845+0.00018527i,-0.0012792+0.00074838i,-0.00074714+0.00057787i,-0.00031406-6.9717e-05i,-0.00025357-5.4923e-05i,-0.00015004+5.9727e-05i,0.00046884+1.9395e-05i,0.00094092-0.00049025i,0.00099435-0.00070195i,0.00020651+8.4655e-06i,-0.00032154+0.00019099i,-0.00028946-0.00071634i,-0.00037322-0.00072905i,-0.00059172+0.00065189i
-0.00039968+0.0029886i,-0.00020835+0.0026255i,0.00042914+0.002715i,0.001046+0.0022736i,0.0014139+0.00058391i,0.00045229-0.00084621i,0.00012549-0.0013392i,-1.0676e-05-0.00078831i,-0.00025788-0.0006027i,0.00020179-0.0010412i,0.00074257-0.00076047i,0.00080032-7.5161e-05i,0.00019701-0.00023914i,-0.00015051-0.001068i,0.00018194-0.0013518i,0.00019347-0.0010221i,4.5459e-05-3.2358e-05i,0.00016721+0.00045983i,0.00022337+4.3099e-05i,6.4659e-05-6.3653e-05i,-0.00017877-6.6672e-05i,-0.0001133-0.00058435i,6.9518e-05-0.00092882i
-0.0016591+0.0014623i,-0.0016222+0.0015418i,-0.00037456+0.0025487i,0.00070104+0.0017198i,0.001431+0.00042162i,0.0016838-3.2255e-05i,0.00051667-0.00015169i,-0.00028471-0.00050877i,-0.00020623-0.00073441i,0.00024977-0.00076435i,-7.3035e-05-0.00035622i,-0.00099354-0.00046556i,-0.00021663+0.0001338i,0.00032112+0.00077745i,-0.00021715-0.00026097i,-0.00012631-0.0011637i,0.00027382-0.0017037i,0.00033306-0.00052317i,0.00061284+0.00092293i,0.00066276+0.00048293i,0.00068369+0.00024116i,0.00064215+0.0010562i,-0.0001369+0.0011531i
-0.00044133+0.00049205i,-0.0008022-0.00026118i,-0.00020601-0.00030863i,0.00034312-0.00087443i,0.00063468-0.0019157i,0.00024167-0.0023849i,-0.00022144-0.0017936i,-0.0004441-0.00025521i,5.8888e-05+0.0002111i,-0.00018429-0.0010941i,-0.00050109-0.0012798i,-0.00023297-0.00020879i,-0.00063971+0.00018232i,-0.0004799-0.00026991i,4.883e-05-0.00042017i,0.00067317-0.00049872i,0.00065912-0.00034316i,0.00087893+7.8028e-05i,0.0015268+0.00023594i,0.0012275+0.00064563i,0.00037+0.0014168i,0.00013628+0.00068755i,0.00043932+0.00018935i
0.0017329+0.0017961i,0.00097649+0.0017632i,0.0010787+0.00156i,0.0013389+0.00071231i,0.00099443-0.00092562i,0.00031309-0.0015024i,-0.00059013-0.00076817i,-0.00083188-0.0004288i,0.0003086-0.00073671i,0.00055223-0.0015374i,-0.00080524-0.00088854i,-0.0013141-8.6188e-05i,-0.0014167-0.00096619i,-0.0016968-0.0012602i,-0.0010834-0.00075922i,-0.00073811-0.00049636i,-0.00066676-0.00055572i,4.8811e-05-0.00055248i,-6.4533e-05-0.00042585i,-0.00019058-0.00075943i,0.00032665-0.00077021i,0.00016806-0.00059293i,-0.00053107-0.00011988i
-4.0907e-05+0.0025476i,-0.00031884+0.0020419i,0.0010984+0.001947i,0.0020632+0.00090704i,0.0026223-0.0010903i,0.0020783-0.0013511i,0.00087448-0.0010196i,0.00037585-0.0011443i,0.00012118-0.0009831i,-0.00021328-0.00070227i,-0.00072259-0.00049914i,-0.0006215-0.00047612i,-8.4628e-05-0.00077426i,-0.00023685-0.00064116i,-0.001079-0.00047773i,-0.00070294-0.00034808i,0.00043509+0.00012474i,0.00027635+0.001243i,0.00036414+0.0015239i,0.0009033+0.00063562i,0.00088521+0.00022406i,0.00081887+0.00030856i,0.00060332-0.00033479i
0.00033857+0.00028005i,-0.00025369-4.6515e-06i,0.00038532-0.00050029i,0.00060709-0.00050236i,0.00095521-6.4627e-05i,0.0016241-2.6864e-05i,0.00045186+0.00024705i,-0.00037395+0.00033166i,0.00032888-0.0005193i,-0.0001995-0.00098128i,-0.0015032-0.00039414i,-0.0016359+0.00067109i,-0.0012574+0.00057171i,-0.0012049-2.1913e-05i,-0.00094816-8.2706e-05i,-0.0002661-0.00019344i,-0.00074331-0.00045012i,-0.0010938-0.00061501i,-7.073e-05-0.00026097i,-0.00063923-0.00020491i,-0.001097-0.00026787i,-3.8114e-05+0.00023542i,0.00041765+0.0003931i
0.0006644+0.00095477i,0.002029+0.0016945i,0.0029987+0.0015864i,0.0018004+0.00083905i,0.0011849-0.00026674i,0.00084374-0.0010747i,-0.00027404-0.00076531i,-0.00030357-1.7646e-05i,-2.8916e-05+8.6105e-05i,-0.0010822-0.00045225i,-0.0017604-0.00042588i,-0.00075809-0.00019783i,-0.00034083-0.00052976i,-0.00034006-0.00083395i,0.00012932-0.0003573i,0.00055394+3.2855e-05i,0.00033279-0.00049888i,-0.00087377-0.00055998i,-0.0013346-0.00063177i,-0.0005276-0.0010681i,7.4341e-05-0.00081114i,0.00011218-0.00019505i,0.00049277+0.00038539i
0.0011383-0.0013636i,0.00016707-0.0014952i,-0.00046848-0.0010885i,-0.00061399-0.0015805i,-0.0015235-0.0018913i,-0.001686-0.0014851i,-0.00072594-0.0010776i,-0.00020099-0.00052396i,-0.00026614-0.00036777i,-0.0010202-0.00099496i,-0.0013081-0.0007746i,-0.0010958-0.00028638i,-0.0012176-0.00049615i,-0.00098707-0.0004738i,-0.00068473-0.0001347i,1.4219e-05-0.0001738i,8.1416e-05-2.3305e-05i,0.00016822-6.4138e-05i,-0.00010673-0.00036343i,-0.0011368-0.00059286i,-0.00082434-0.00038012i,0.00016327+0.00021606i,0.0003848+0.00068055i
-0.0023079-0.0012406i,-0.0012678-0.0012926i,-0.0013138-9.7877e-05i,-0.0011188+0.00067141i,9.2141e-05+0.00014512i,0.0013739-0.00033655i,0.0014894+0.00055153i,0.00098334+0.00056393i,0.00049651-0.00083674i,-0.00050499-0.0014408i,-0.0007542-6.3338e-05i,-0.00015582+0.0010416i,5.5054e-06+0.000949i,0.00036606+0.00043692i,0.00028751+0.00022542i,0.00032662+0.00020544i,0.0005475+0.00020934i,2.5008e-05+0.00051419i,0.00035903+0.00028957i,0.0011385+0.00019414i,0.00074633+0.00017452i,0.00045309+1.1101e-05i,0.00064916+0.00053604i
