-1.318e-05-0.00033526i,-0.00067819-0.00063417i,-0.00071184+0.00026293i,-0.00061806+0.00018296i,-0.00064718-0.0011684i,-0.00097769-0.0008649i,-0.0010678+0.00010984i,-0.0001825+0.0010673i,0.0010269+0.00094684i,0.0016493+0.00030569i,0.0018722-0.00040751i,0.0008415-0.0010743i,-1.2128e-05-0.00082521i,0.0003494+0.00028778i,0.00061543+0.00081485i,0.00049306+0.00047914i,0.00032513+2.8655e-05i,-6.9093e-05-0.00030617i,8.3454e-05-0.00023044i,-0.00011121-0.00020518i,-0.00012744-0.00050139i,0.00047973-0.00017791i,0.00037742+0.00038783i
0.00072562+0.0013526i,0.00047613+0.0014291i,0.00053439+0.00068317i,0.00078013-0.00071084i,0.00068622-0.0011855i,0.00027603-0.00063716i,-0.00029915+5.2595e-05i,-0.00075514+0.00055264i,-0.00063783+0.0006929i,4.7319e-05+0.00044873i,0.00077522+8.3929e-05i,0.0013487+0.00040093i,0.00064345+0.00098005i,-0.00025526+0.00060747i,0.00033022+0.00022112i,0.00050541+9.9616e-05i,0.00059806-1.3838e-05i,0.0010898-0.00038253i,0.00030965-0.00082868i,-0.00071195-0.00044301i,-0.00023503-0.00031235i,0.00053915-0.00074456i,0.00032776+0.00028065i
-0.00067088-0.00065451i,0.00019537-0.0011207i,-0.00010801-0.0016212i,0.00024186-0.00095855i,0.0016244+0.00030111i,0.0017848-3.3958e-05i,0.0011037-0.00018416i,0.0002689-0.00017836i,-0.00069632-0.00025072i,-0.0011325-0.00020579i,-0.0010865-0.00010948i,-0.00098035+0.00027877i,-0.0011247+0.00040437i,-0.0011958+0.00035102i,-0.001343+0.00040747i,-0.0009989+0.0013201i,-0.00065794+0.0016556i,-0.00086345+0.0010503i,-0.00030906+0.00084104i,4.7619e-05+0.0004818i,1.5754e-05-0.00061198i,-0.00012616-0.00078394i,-0.00012598-0.0006377i
0.00051123-0.00046628i,-0.00081413+0.00014391i,-0.0018136+0.00030764i,-0.0015442-0.00023444i,-0.00077239-0.0011502i,0.00019575-0.00090337i,0.00040741+0.00026065i,-0.00016469-0.00035119i,-0.0011952-0.00090171i,-0.0011628-0.00082069i,-0.0010564-0.00030912i,-0.0010041+0.00042416i,-0.00018482+0.00055245i,-6.7195e-05+0.00038212i,-0.00035115+4.6731e-05i,8.8899e-05-0.00044651i,0.00041178-0.00099061i,-5.5503e-05-0.001025i,-0.00025599-0.00056574i,-4.2774e-05+0.00022212i,2.4812e-05+0.00051342i,-3.0629e-05-0.00015633i,0.00026076-0.00061738i
0.0011655+0.00064045i,0.00080638-0.0002499i,0.0010941-0.00041237i,0.0015313-0.00060303i,0.00033318-0.0008091i,-0.00057033-0.00068342i,-0.00063354-0.00029684i,-0.00022052+0.00015834i,0.00014132+0.00019746i,0.00015342-0.00012285i,-0.00035697+0.00030201i,-0.00057885+0.00092389i,-0.00047973+0.00073472i,-0.00069192+0.00049856i,-0.00074173+0.00083121i,-0.00055112+0.0010955i,-8.5268e-06+0.0008127i,0.00055618+0.00025338i,0.00072264+0.00016572i,0.00016673+0.00063645i,0.00014249+0.00033643i,0.00078286-0.00022238i,0.00066628+0.00016356i
8.0122e-05-0.00077602i,-0.001039-0.0010657i,-0.0010644-0.0020853i,-0.0013335-0.0018196i,-0.00052439-0.00072378i,0.00048615+0.00039214i,0.00045422+0.0001633i,0.00076469-0.00038449i,0.00051314-2.5974e-05i,0.00045816+0.0002247i,0.00050046-0.00044522i,-0.00019002-0.00058014i,-0.00033362+0.00039487i,4.2834e-06+0.0011427i,2.4023e-05+0.0010782i,0.00039343+0.00020092i,0.00067341-0.0003775i,0.00067809-0.00043127i,0.00041392-8.6776e-05i,-0.00030774-0.00019455i,-0.00069904+5.7673e-05i,-0.00027525+0.00014773i,0.00024539-0.0003747i
0.00038222-0.0015192i,8.2292e-05-0.0019381i,0.00067528-0.0019874i,-0.00035957-0.0017994i,-0.0011709-0.0017972i,-0.00099451-0.001258i,-0.00041721-0.00077675i,3.1387e-05-0.00099773i,0.00021766-0.00069923i,-0.00014292-0.00078764i,-0.00063227-0.0010269i,-0.00043816-0.00048667i,0.00042504+0.00045549i,0.00039109+0.0010601i,-8.4941e-06+0.00062657i,-0.00045306+1.9513e-05i,-0.00020929-7.8429e-05i,0.00028796-0.00010129i,0.00036067+0.00010703i,0.00026829+0.00047141i,-0.00011805+0.00026233i,0.00017423+0.00051097i,-7.7382e-05+0.0011363i
0.00038332+0.0011833i,0.00027001+0.0013992i,2.0366e-05+0.0011466i,0.00012439-0.00027064i,0.00028447-0.00064155i,-3.0575e-05+0.0004872i,-0.00023981+0.0012311i,-0.00064093+0.0012807i,-0.00078851-0.00025217i,-0.00025786-0.0013681i,-0.0002777-0.00076397i,-0.0010692+0.00012604i,-0.0013315+2.0574e-05i,-0.0012171-0.00028631i,-0.00054598-0.00038706i,-0.0003923+0.000116i,9.8429e-05+0.00040807i,0.0013395+0.00074234i,0.00087605+0.0014847i,0.00021142+0.00095561i,4.9706e-05-0.00019538i,-0.00019301-0.00027196i,-0.00028546-0.00012755i
0.00065706+0.0011871i,-0.0006161+0.00025351i,-0.00085296+0.00051973i,0.00011438+0.0010116i,0.00079539+0.00046585i,0.00033876-0.00020524i,-0.00010561-0.00069255i,0.00017974-0.00096609i,0.00031011-0.00055603i,0.00047183+0.00011563i,6.0545e-05-4.4038e-05i,-0.00030331-5.7951e-05i,-0.00039274-0.00014892i,-0.00055439-0.00056706i,-0.00042711-0.00018152i,0.00047496+0.00040487i,0.0010212+0.00012892i,0.00024439+0.00012866i,0.00023541+0.00042258i,0.00061994+0.00056548i,0.00031543+0.00042339i,0.00028435+0.00023544i,0.00027962+0.00010656i
0.00049597-0.00057991i,-4.3503e-05-0.00034863i,0.00013337-0.0001716i,0.00060598+0.00048937i,0.00083225-4.1838e-05i,0.0010171-0.00072136i,0.00069231-0.00064458i,-0.00032876-0.0013254i,-0.00028552-0.0011222i,-7.5942e-05-0.00019829i,-0.00013645+0.00060192i,-5.9295e-05+0.00073583i,-0.00026884+0.00025132i,-0.00047626-0.0001478i,-0.00050685-0.0002641i,-0.00088068-0.00090793i,-0.00077856-0.001282i,-0.00029747-9.2602e-05i,5.6537e-05+0.00066217i,-0.00016521+0.00021444i,-6.6798e-07+0.00031587i,0.0010749+0.0008737i,0.0011398+0.00090038i
0.00081832+0.00061955i,-0.00065104-0.0001897i,-0.0004751-0.00050784i,0.00054705-0.00085403i,8.257e-05-0.0014617i,-0.0010216-0.001273i,-0.00084569-0.00069479i,0.0003926+0.00011254i,0.0012467+0.0007946i,0.0013719+0.00094026i,0.00063588+0.0010024i,-0.00019113+0.00079049i,-0.00043228+0.00067268i,-0.00029247+0.00075811i,0.00025277+0.0012173i,-0.00082947+0.00069155i,-0.0018052-0.00035833i,-0.0009966+3.8134e-05i,-0.00011702+0.00071514i,0.00051344+0.0002527i,0.00065433+0.00025308i,0.00018792+0.00078698i,0.00047614+0.00070936i
-0.00033699-0.00027887i,0.00082987-0.00012841i,0.00063737-0.00076942i,-0.00014664-0.0010061i,-6.8062e-05-0.00039497i,0.00040787+0.0002425i,0.00059785+0.00048924i,0.00059773-3.7413e-05i,-1.3695e-05-0.00061369i,-0.00058093-0.00056098i,-0.0010527-0.00041273i,-0.00086881-0.00011927i,-1.8867e-05+6.3846e-05i,0.00067594+0.00020364i,0.00013291+0.0002839i,-0.00068912-0.00032001i,-0.00016717-0.00066558i,0.00033513-0.00027115i,-0.00026839+0.00028391i,-0.00094372+0.00037434i,-0.00041802+0.00063121i,-0.000175+0.00048785i,-0.00013144-0.00011729i
-0.0018019-9.6011e-05i,-0.0012002+6.1423e-05i,-0.0010478+0.0016678i,-0.00033336+0.0017642i,0.00038075+0.00079754i,3.9434e-05+0.00017283i,-0.00060845+0.00026062i,-0.00075647+0.00063755i,-0.0012003+0.00091502i,-0.00049354+0.0010012i,0.00033212-0.00010747i,-0.0007864-0.00088159i,-0.0016536-0.00018644i,-0.00096505+0.0006062i,-0.00014271+0.00072187i,0.00048371+0.00088074i,0.0005794+0.00037178i,0.00055298-0.00022792i,0.00035398-0.0010414i,0.00054216-0.00173i,0.00038806-0.00099901i,0.0003248+4.1461e-05i,0.00038465-4.0763e-05i
-0.00041838+0.00035997i,0.00013512+8.7701e-05i,5.4228e-05+0.00071442i,8.6012e-05+0.00078192i,-0.00043919+0.00035282i,-0.00042655+0.00038894i,0.00033346+0.00062835i,0.0007404+0.00054595i,0.0004343+0.00037604i,-1.918e-06+0.00057114i,0.00053998+3.7194e-05i,0.00053589-0.00023715i,-0.00043328+0.00029925i,-0.00028582+3.195e-05i,-0.00024363-0.00016473i,-0.00058097-0.00028928i,-0.00032708-9.975e-05i,-0.00022204+7.4851e-05i,0.00014126-0.00065495i,0.00032607-0.001291i,-4.4508e-05-0.00080952i,-0.0010164+0.00023082i,-0.00028576+0.00037523i
0.0015038+0.00025175i,0.0010692-9.417e-05i,0.0012558+0.00054099i,0.002121+0.00098704i,0.0016184+0.00013719i,0.00014868-0.0006804i,-0.00018378-0.00015983i,1.3552e-05+0.00039021i,0.00028221-0.00020329i,0.00032356-0.00040324i,-0.00049722+0.00030572i,-0.00087564+0.00055853i,-0.00039383+0.0004822i,-9.3874e-05+0.00023837i,-2.9278e-06+0.00027629i,-0.00010271+0.00061008i,-0.00031551+0.00041377i,-0.00030533-0.00025271i,7.1579e-05-0.00046787i,0.00069307-6.1972e-05i,0.00058039+0.00023587i,-0.00062327+0.00013272i,-0.00060825+0.00044403i
-0.001126+0.00081679i,-0.0014175+0.0014609i,-0.0015128+0.0016643i,-0.00014793+0.0015174i,0.0005283+0.0013951i,0.00024927+0.00016919i,0.00050812-0.001214i,-0.00020812-0.001569i,-0.00054296-0.00063286i,0.00016121+0.00015166i,9.7214e-05+0.00019259i,-7.1031e-05+1.1298e-06i,-0.00017928-0.000235i,3.3062e-05-0.00064691i,0.00028768-0.00027186i,-4.1432e-05+0.00029509i,-8.5761e-05+4.1681e-05i,0.00043142-8.5391e-05i,0.00025724-0.00024535i,-6.0402e-05+4.3143e-05i,-0.00023959+0.00010591i,-0.00043033+0.00044285i,-5.0522e-05+0.00073127i
0.00039464-0.00078989i,0.00017981-0.00044029i,-0.00063785-0.00041852i,-0.0010198-0.00097679i,-0.001215-0.0015346i,-0.0010699-0.0012087i,-0.00087131-0.00011686i,-0.00093373+0.00045816i,-0.0009409+0.00057695i,-0.00027264+0.00029136i,-0.00049381-9.5569e-05i,-0.0011754-0.0003548i,-0.00061064+0.00070084i,-0.00026902+0.0012192i,-0.0004428-0.00023025i,-0.00046021-0.0004216i,0.00031837+0.00019649i,0.00054953+0.00078533i,0.00011335+0.00071456i,-0.00031977+0.00018467i,-0.0005841+9.7737e-05i,0.00038678+0.00014522i,0.00049886+0.00031588i
0.00096806-0.00099152i,0.001364-0.0015155i,0.00084371-0.0015731i,9.3828e-05-0.0017821i,2.0655e-05-0.001183i,3.2107e-05+0.00042386i,-4.9083e-05+0.00015182i,-0.00040425-0.00028063i,-0.00056436+4.2285e-05i,-0.00012603+9.4228e-05i,1.6298e-05+0.00027553i,-0.00037801+0.00040094i,-0.00033646+0.00024618i,-2.614e-05+0.00039307i,0.00063082+9.0012e-05i,0.00060223-0.00036001i,-0.0003874-0.00081251i,-0.00086345-0.00074824i,-0.0011036+3.7219e-05i,-0.00074919+0.00033363i,-0.00015274+6.6481e-05i,2.4511e-06-8.2293e-06i,0.00016943+0.00052965i
