0.00041714+0.0020017i,0.0015889+0.0018974i,0.0011145+0.00030921i,-0.00018188-0.0014998i,-0.001608-0.0012687i,-0.0017998+0.00043692i,-0.00032044+0.0010736i,0.00089907+0.00039956i,0.0013655-0.00013726i,0.00092171-0.00087607i,0.00054958-0.00067899i,0.00039899+0.00051656i,-0.00010944+0.0014169i,-0.00055098+0.0015331i,-0.00059699+0.00074088i,5.0012e-05+0.00034531i,0.0011397+0.0007202i,0.0012443+0.00013087i,0.00015131+0.00010098i,3.0345e-05-1.7565e-05i,0.00043144-0.00037305i,0.00035336-0.00072938i,0.00063321-0.00017729i
-0.0020645+0.00036693i,-0.0019804+0.00075117i,-0.00024264+0.0008943i,0.0011727-0.00048039i,0.0017049-0.0014919i,0.0012853-0.0011998i,0.0012402-0.0009172i,0.001642-0.00051305i,0.0014232-0.00024646i,0.0008722-0.00064456i,0.00051107-0.0010067i,-2.6884e-05-0.00048302i,-0.00014853-9.0048e-05i,0.00031589-9.633e-05i,-0.00021699-0.00026457i,-0.00042542-1.6441e-05i,-9.2605e-05+0.00040904i,0.00041601+0.00023945i,0.00098623+0.00032574i,0.00063653+0.00089139i,-0.00024686+0.0011179i,-0.00074858+0.00086006i,-0.00050202-0.00026482i
6.693e-05-0.0019911i,-0.00086529-0.00097125i,-0.00093939+0.0003959i,-0.000271+0.00077986i,7.1734e-05-0.00028188i,0.00045684-0.00018689i,0.00023015+0.00072904i,0.00026116+0.0010499i,0.00047039+0.00054918i,0.00054042+8.7261e-06i,0.00040555+0.00023473i,-0.0004458+0.00032814i,-0.00087643+0.00037081i,-0.00073086+0.0010729i,-0.00013904+0.00086424i,0.00036603+0.00079973i,6.4415e-05+0.00065887i,-0.00016933-0.00054742i,-0.00026306-0.0010424i,-0.00020155-0.00085896i,0.00079153-0.00047808i,0.0010782-0.0004337i,0.00095344+2.5207e-05i
-0.0009643-0.0025441i,-0.00069647-0.002599i,-8.2775e-05-0.00077063i,-2.5979e-05+0.0013801i,-0.00052747+0.0019919i,-0.00028125+0.0011496i,-4.0951e-06+0.00064383i,-0.00011226+0.00033879i,0.00041855-0.0001242i,0.00034863+0.00010335i,-0.00046962+0.00061i,-0.0004317+0.0004358i,-0.00039367-0.00071899i,-0.00024966-0.0011234i,0.00018594-0.00093349i,-0.00011462-0.00091505i,-0.00051963-0.00084454i,-0.00079762-0.00086012i,-0.00023394-0.00045904i,0.00036361+0.00054962i,9.5923e-05+0.00071885i,0.00045809+0.00010685i,0.00049224-0.00075516i
-0.00057868+0.0017117i,-0.0010868+0.00093689i,-0.00082699+0.00043283i,-0.00074784+0.00052277i,-0.0016389+0.00027628i,-0.0016221-0.00040925i,-0.00072034-0.00071995i,8.8825e-05-0.00057605i,-0.00039161+1.8556e-05i,-0.00041867+0.00038982i,-5.2152e-05+0.0007954i,-0.0002097+0.0006001i,-0.00037166-1.9281e-05i,-7.7503e-05+5.3934e-05i,-1.1757e-06+0.00011955i,-0.00020659-0.00026302i,9.4313e-06+0.00011331i,0.00069424+0.00077003i,0.0010168+0.00070759i,0.00051067-0.00015851i,0.00075282-0.0006172i,0.00084046-0.00046212i,6.3705e-05-0.00068317i
-0.0017444-0.00017772i,-0.002674-0.0010306i,-0.0015414-0.0014341i,0.00037839-0.00098989i,0.00090536-0.001138i,0.00084889-0.00047763i,0.0011316+0.00033853i,0.00052135-0.00056153i,0.00088141-0.00087681i,0.0012864-7.8731e-05i,0.00086857-2.2539e-05i,0.00062802-0.00029462i,0.00077496-0.00036721i,0.00037766-0.00067948i,-2.8315e-05-0.00063159i,-0.0001856+0.00021638i,-0.00066078+0.00061169i,-0.00068325+0.00051267i,-0.00039939+0.00072275i,-0.00011085+0.00067901i,0.000249-0.00030158i,0.00016328+3.7288e-06i,0.00075848+0.00037508i
-0.0015526-0.00016699i,-0.00091649+0.00019437i,0.00010461+0.00173i,0.00090051+0.0021723i,0.0013819+0.0010387i,0.0015362+0.0004553i,0.0014325+0.00044069i,0.00075473+0.00012995i,9.0307e-05+0.001052i,-0.00034357+0.0010403i,-0.00054532+0.00018621i,0.00033826-0.00043376i,0.00050976-0.00061509i,-2.5156e-06-0.00025341i,-6.5483e-06-2.6967e-05i,0.00010342+0.00023627i,-7.0518e-05+0.00038606i,3.6729e-05+0.00072386i,0.00031123+0.00062909i,-0.00059988+0.00053505i,-0.0012429+0.00015438i,-0.0007685-0.00028674i,-0.000347-0.00013398i
7.6113e-05+0.00036642i,-0.00034608+3.4821e-05i,-0.00026301+0.0004075i,0.00071419+6.9088e-05i,0.0013564+0.00066072i,0.00094601+0.00090243i,0.00016678+0.00028118i,0.00015273+0.00036015i,0.00031841+0.0013285i,-0.0001765+0.00087352i,-0.00013361-0.00028254i,9.6541e-05-0.00063045i,0.00012491-0.00020292i,-4.688e-05+0.00083655i,-0.00036626+0.00081772i,-3.1936e-05+0.00063752i,0.0003956+4.7478e-05i,0.0006748-0.00048097i,-0.00021792-0.00017276i,-0.0015142-6.8939e-05i,-0.0011614-0.00062853i,-0.0004647-0.00069912i,-0.000378-1.5167e-05i
-0.0018109-3.6784e-05i,-0.00161+0.00062105i,-0.00099941+0.0018109i,-0.00042956+0.0016392i,0.0004754+0.00099975i,0.0016344+0.0010211i,0.002238+0.00069559i,0.0014757+0.00017416i,0.00086622+0.00046926i,0.00058474+0.00079662i,-0.00052599+0.00082863i,-0.00071433+0.00057184i,-0.0002514-0.00024505i,-0.00047404-0.00086812i,-0.00017925-0.0012852i,0.00018745-0.0012594i,0.00022566-0.00091141i,0.00061827+1.6637e-05i,0.0011562+0.0007819i,0.0009878+0.00056645i,-4.2861e-05-0.00025624i,0.00073772-0.00083481i,0.0018658-0.0007067i
6.2786e-05+0.00094157i,-0.0010448+0.00031255i,0.00051206-0.00020509i,0.001395-0.00057984i,0.00037724-0.00053819i,-0.00015575-0.00016223i,-0.00020662-2.6043e-05i,-0.0001039-0.00045289i,-2.3829e-05-0.00061973i,-0.0010056-0.00077275i,-0.00083322-0.0012297i,-0.00014604-0.0011254i,-0.00050119-0.0004966i,-0.00042326-6.1575e-05i,0.00011877+4.3014e-05i,0.00045231+0.00047109i,0.00086814+0.00023939i,0.0011102+6.4024e-07i,0.00042029-0.00035502i,-6.8566e-05-0.00060273i,-0.00036439-0.00039249i,-0.00062+7.8634e-05i,8.6853e-05+0.00038424i
-0.0011239+0.00090653i,-0.0012212-0.00010571i,0.00019366-0.000854i,0.0015221-0.0011796i,0.0022297-0.0010886i,0.0024125-0.00016387i,0.0018328+0.00015792i,0.00076131-0.00011676i,4.2811e-05+0.00025149i,-7.4912e-06+0.00063244i,-0.00011931+0.00079001i,0.00022209+0.00084163i,0.00052623+0.00017149i,-2.0276e-05-0.00085794i,-0.00049743-0.0011568i,-0.00073452-0.00018138i,7.0527e-07+0.00016406i,0.00077294-3.9765e-05i,0.00023571+0.00065227i,-0.0003271-0.00012619i,0.00030296-0.0012744i,0.00068027-0.00084402i,5.2198e-05-0.00046398i
