-0.0028579+0.0027658i,-0.0029232+0.0019498i,-0.0037508+0.0022532i,-0.0020261+0.0022798i,-0.00057376+0.0016057i,-0.00032963+0.001433i,1.67e-05+0.0019282i,-0.00011103+0.0017706i,-0.0006378+0.00094743i,0.00022739+0.00056442i,0.0010066-4.8562e-05i,0.00070456-0.00038553i,-5.3452e-06-0.00084054i,-7.4438e-05-0.0014264i,6.3299e-05-0.000834i,-9.7749e-05-0.00016181i,-3.6249e-05+0.0001749i,-0.00011853+3.5611e-05i,-6.3289e-06-0.00090936i,0.00034381-0.0012735i,7.908e-05-0.00044719i,-0.0003718+0.00031686i,-0.00026245-4.2299e-05i
-0.0008842-0.0016187i,-0.0023971-0.00099974i,-0.0026105-0.0014833i,-0.0012039-0.0021037i,-0.00010698-0.0017772i,-0.0004188-0.00040641i,-0.00038159+0.00039284i,-0.00019153+0.00020712i,-0.00055019+0.00024363i,-0.00044858+0.00040432i,-0.00017359+0.00041613i,0.00026698-8.1567e-05i,0.0006697+0.00010589i,0.0010209+0.00065234i,0.00093251+0.00060589i,0.00074641-3.4263e-05i,0.0005809-0.00028042i,-0.00049633-0.00017628i,-0.0009249+0.00010657i,-0.00028595-4.3537e-05i,0.00025912-0.00039782i,0.00013014-0.00046645i,0.00035464+0.00028624i
-0.0020153+0.00076077i,-0.0023889+0.0017735i,-0.0011073+0.0020307i,-6.8333e-05+0.0010659i,0.00016836-0.00035334i,-6.5245e-05-0.001159i,-0.00046832-0.00078699i,-3.8487e-05-0.00031968i,0.00044566+5.033e-05i,0.0012509-0.00014216i,0.0013765-0.00023924i,0.00084903+2.7901e-05i,0.00067069+0.00034948i,-7.0487e-05+0.00035913i,-0.00069957-0.00047456i,4.4024e-05-0.00067544i,0.00060278-1.6142e-05i,0.00044265+0.00058675i,-0.0003268+0.00076935i,-0.00047966+8.9299e-05i,0.00075848-5.4998e-05i,0.0013848+0.00040599i,0.00074761-1.2022e-05i
0.0012723+0.00092388i,-0.00014002+3.4251e-05i,-0.00070308-0.00084766i,-0.0004162-0.00091401i,-0.00041098-0.00048838i,-6.5855e-05-0.00057839i,0.00046967-2.7509e-05i,0.000527+0.0010431i,0.00037789+0.00087368i,0.00028894+0.00055499i,0.00021765+0.00031116i,3.1074e-06-0.00024763i,7.3657e-05-0.00011612i,-0.00028156+0.00042921i,-0.00042116+0.00040626i,-0.00014438+0.00030694i,-0.00028418+0.00016968i,0.0004273+0.00012892i,0.00093575+0.00023791i,0.0004604+0.00036676i,0.00040774+0.00036546i,0.00050452-7.8207e-05i,-1.7233e-05-0.00038564i
-0.00098182+0.00017052i,-0.001052+0.00058684i,-0.0012355-0.00082484i,-0.00091329-0.0019099i,-0.0005289-0.0017341i,-0.00010506-0.0010285i,0.00024605-2.4043e-05i,0.00030615+0.00039855i,-0.00039652+0.00061008i,-0.00061571+0.00053455i,-0.00016073-0.00020144i,-0.00035982-7.171e-05i,3.8229e-06-1.3586e-05i,0.00059124-5.034e-05i,0.00053929+0.00027587i,8.0079e-05+0.00062724i,-0.00034527+0.0008128i,0.00030114+0.00038114i,0.00047179+0.00013917i,-0.00039021+0.00020363i,-0.00035161-0.00015691i,0.00010874-0.00037597i,0.00021485-0.00078696i
-0.00048597+0.0015128i,-0.00099725+0.00093963i,-0.0016277-5.2423e-05i,-0.0019704-5.7231e-05i,-0.0019868-0.00017184i,-0.0015642-0.00041837i,-0.0015227-0.0002275i,-0.0013581-0.00039742i,-0.00019939-0.00056906i,0.00064302-0.00046955i,-2.8944e-05-0.00039978i,-0.00027285-0.00057379i,-0.00037041-0.00056015i,-0.00068582-0.00044975i,-0.00036626+0.00021155i,-0.00034405+0.00056577i,-0.00050879-0.00032819i,-0.00067581-0.00070792i,-7.0085e-05-0.00032584i,0.00022695-0.00026632i,4.6421e-05+9.0637e-05i,0.00011947-1.2113e-05i,-4.1761e-05-0.00060484i
0.0014105+0.00093616i,0.0014505+0.00026528i,0.0018296-0.00017336i,0.0012585-0.00029947i,0.00020229-0.0013065i,-0.00045982-0.00034789i,-0.00013793+0.0010412i,0.00056367+0.00070473i,0.0005878-0.00010825i,8.9598e-06+3.2493e-06i,-0.00016729+0.00029431i,-0.00046491-0.00050545i,-0.00081167-0.00087987i,-0.00066583+0.0001018i,-0.00041751+0.001026i,-0.00029658+0.0011742i,-0.00075564+0.00057011i,-0.00031728+0.00060473i,-0.0001277+0.00082018i,-0.00027108+0.00017008i,0.00032565-0.00079296i,0.000181-0.0011613i,-0.00024342-0.00064377i
-0.0031605-0.001542i,-0.0031386-0.00029432i,-0.0020433+0.00090292i,-0.0011288+0.0006521i,-2.3964e-05+0.00040045i,-3.4536e-05-0.00048754i,-0.00053894-0.0015641i,-0.00010496-0.001089i,0.00054875-9.1798e-05i,0.00078692+3.771e-05i,0.00043618+0.00025647i,0.0005172+4.5045e-05i,0.0011372-0.00045383i,0.00075475-0.00040393i,0.00057934-0.00053727i,0.00034028-0.0006518i,0.00064887-6.1873e-05i,0.00095524-1.8376e-06i,0.0004385+0.00016002i,0.00014922-7.6744e-05i,7.4783e-05-0.00055102i,-0.00069197-0.00023186i,-0.0010598+0.00027058i
0.00076014+0.00038467i,-0.00013061+0.00040213i,-0.00050492+0.00049245i,-0.00019419-0.00039847i,-0.0006819-0.00056239i,-0.00078846-3.3589e-06i,-0.00019563+0.00031378i,-0.00060039+0.00034197i,-0.00051662-0.00016971i,0.00038578-0.0005651i,0.00011287+9.7332e-06i,-0.00055526+0.00071405i,-0.00088173+0.00097241i,-0.00072569+0.00063051i,-0.00070772-0.00023548i,-0.00071294-0.00035139i,6.6489e-05-0.00054332i,0.00059924+0.00018691i,0.00031868+0.0010466i,0.00029176+0.00054491i,0.00070487+5.4521e-05i,0.0013649-0.00022913i,0.00090164-0.00048668i
-0.00092219+0.00088103i,-0.00076211-4.7446e-05i,-0.0002124+4.1205e-05i,0.00039924-0.00012805i,1.7617e-05+0.00031388i,-0.0011477+0.00036607i,-0.0009351+0.0001596i,0.00054897-9.0843e-05i,0.00082212+0.00024423i,0.00084765+0.0009029i,0.00059407+0.0010137i,-7.4064e-05+0.00039645i,-0.00061058+8.8537e-05i,-6.76e-05-0.00016819i,0.00071831-0.00029372i,0.00028981+4.3964e-06i,-0.00012115-0.00042758i,0.00021729-0.00056018i,-2.994e-05-0.00021243i,0.00022269-0.00011052i,0.0012975+0.00019932i,0.0012828+0.00065569i,-3.9612e-05+0.00024621i
-0.00076367+0.0024847i,-0.00078565+0.0022472i,-0.00064294+0.0019101i,0.00020918+0.0013691i,0.00047179+0.0004175i,0.00035024+0.00045639i,0.0004433+0.0008079i,-0.00072903+0.00068196i,-0.0014226+0.00011598i,-0.00040405-0.00022941i,4.2457e-05-0.00055324i,-6.0386e-05-0.00086181i,0.00048131-0.0014727i,-7.9184e-05-0.0015366i,-0.00060699-0.00044576i,8.9437e-06+0.00013273i,0.00024586+0.00049221i,0.0007781-0.00011414i,0.00088727-0.00046348i,0.00018429-0.00048294i,0.00053193-0.00061439i,0.00041854-0.00022451i,-0.00017502-0.00041647i
