-0.00036023+0.00099223i,0.00090388-0.00049874i,0.00017373-0.00040376i,-0.0011033+0.00039459i,-0.0022891+0.0015574i,-0.0017905+0.0015777i,-0.0013149+0.00051749i,-0.0006132+0.00043987i,0.00051591+0.00044586i,0.00069611+0.00029902i,0.00029443+7.0596e-05i,0.00031063-0.00043738i,1.7764e-05-0.00029159i,-0.0008513-0.00022681i,-0.0012007-0.0001962i,-0.00081872+0.00049505i,-0.00059628+0.00033236i,0.00055309-0.00012861i,0.00080636-0.00021817i,0.00043997-0.00048001i,0.00062676-0.00047408i,0.00047244-0.00042971i,0.00033021-0.0002484i
0.00012447+0.00064609i,-0.00026471+2.9775e-05i,-0.00020624+0.00026759i,-0.000473+0.00024525i,2.6406e-05+0.00031136i,0.00061845+0.00066456i,-0.00032385+0.0011539i,-0.0016277+0.00027582i,-0.0011553+1.0627e-05i,0.00043418+0.0010328i,0.00082127+0.00054936i,0.00028353-0.00034564i,-0.00018905-0.0003316i,-0.00068385+0.00066571i,-0.00097785+0.0012905i,-0.00056642+0.00082694i,-0.00035004-0.00016327i,-0.00072165+0.00062238i,-0.00065361+0.0014891i,-0.00017272+0.00069714i,-5.7225e-05+0.00029343i,-4.9794e-06+6.0253e-05i,8.0935e-05-0.0003221i
-0.001085+0.0004201i,-0.00092233+0.0010617i,-0.00054982+0.0016347i,-0.00038464+0.0010144i,0.00049848+0.0006138i,0.00096317+0.0011133i,0.00034092+0.00092295i,-0.0007092+3.0618e-06i,-0.00066689-0.00043737i,0.00050707-0.00044436i,0.00069991-0.00026835i,0.00022388-5.7483e-05i,1.166e-05-0.00060755i,0.00014477-0.00097221i,-0.0002007-0.00072047i,-0.00034931-0.00068664i,-0.00022257-0.00038338i,-0.00073006+0.00011341i,-0.00053813-0.00039402i,-0.00013001-0.0012927i,0.00027631-0.00049001i,1.0361e-05+0.00054667i,-0.00022034+0.00041954i
0.00067001+0.00098541i,0.00057371+0.0014107i,0.00099043+0.0016921i,0.0002212+0.0013684i,-0.00062358+0.0014593i,-0.00082801+0.0011494i,-0.00067064-0.00019361i,-0.0003239-0.00039836i,7.6849e-05+0.00029314i,1.7167e-05-0.00019786i,-0.00014062-0.0005673i,4.2921e-05-0.00027978i,7.3041e-05+5.3185e-07i,0.00024666+0.00026701i,-0.00046113-2.5423e-05i,-0.00086256+4.3399e-05i,-0.00072005+0.00069684i,-0.00088654+0.0010308i,-0.00044157+0.00071709i,0.00059566-6.133e-05i,0.00058214-0.00029312i,2.035e-05+0.0001362i,7.949e-05-0.00017751i
0.00020785+0.00018702i,0.00068875+0.00063547i,0.00038531+0.0013456i,-0.00018287+0.0017398i,-0.0001261+0.0019338i,-0.00059477+0.0017501i,-0.0013685+0.0011618i,-0.0010159+0.0007075i,-0.0003411+0.00028465i,0.00041006-6.6567e-05i,0.00057911-0.00037366i,-0.00010007-0.00040388i,-0.00017036+0.00039676i,6.1855e-05+0.00047711i,0.00012842+0.00040611i,0.00059042+0.00050358i,0.00057902+0.00019174i,-0.0010497-0.0001683i,-0.0015779+0.00020402i,-0.0013203+0.00058345i,-0.00088763+8.1847e-05i,-0.00024728-0.00056598i,-6.1291e-05-0.00011138i
0.0016669+0.0011035i,-0.00011707+0.0002665i,-0.00088928-0.00018546i,-0.00060878-0.00039695i,0.00016886-1.6062e-05i,0.00043505+0.00068398i,-0.00022785+0.0011455i,-0.0011991+0.00028206i,-0.00096379-0.00033159i,0.00016239-0.00010482i,0.00043035-0.00051242i,0.00055411-0.00049284i,5.019e-05+6.3041e-05i,-0.00097928-0.00026017i,-0.0012362-0.00021675i,-0.0012382+0.00015402i,-0.0010352+0.00024173i,-0.00044486+0.00052354i,0.00020566+0.00071732i,0.00041518+0.00086165i,4.4904e-05+0.00024994i,0.00010534-0.00031987i,-1.3096e-05-0.00056307i
-0.00035944+0.000349i,1.4014e-05+0.0010235i,0.00073343+0.0012884i,0.00053797+0.00062379i,-0.0003107-4.7269e-05i,-0.00094725+0.00017193i,-0.00062301+0.00037055i,-0.00012788+0.00040206i,5.277e-05+7.8662e-05i,0.0010839-0.00095408i,0.00070785-0.0014377i,-0.00054119-0.00096865i,-0.00068846-0.00089965i,-0.00065812-0.0011254i,-0.00034486-0.00045553i,-4.3459e-05+0.00078271i,-0.00034376+0.0010748i,-0.00079226+0.00011171i,-0.00029545+0.0001631i,-7.5294e-05+0.00052677i,-0.00013889+0.00025604i,0.00027832+0.00016576i,0.00058208-0.00037725i
-0.00055378+0.0012453i,-0.00053748+0.0018799i,0.00037552+0.0027212i,0.0010798+0.0022503i,0.00071884+0.00145i,0.00011001+0.00051559i,-0.0005749-0.00043264i,-0.00054638-0.00057066i,-0.00015937-0.00043289i,0.00025+0.00033318i,-0.00026076+0.001059i,-0.00088879-8.5162e-05i,-0.00074254-0.0008232i,-0.00068779-0.00052333i,-0.00055673-0.00040246i,-0.00020568+0.0001395i,-0.00029921+0.00055046i,-0.00075589+0.00049804i,-0.0011575-0.00027701i,-0.00051613-0.00015991i,-1.3083e-05+0.00044998i,-4.4047e-05+3.8259e-05i,-0.00030596+0.00035114i
-0.00045053-0.00054054i,0.00018313-9.7797e-05i,-0.00010164+0.00092412i,-0.00055391+0.0012238i,-0.00044354+0.0013803i,-0.00028923+0.00099262i,-0.00054388+0.00084114i,-0.00040815+0.00092738i,0.0002481+0.00049068i,0.001025+4.6813e-05i,6.4713e-05+0.00029622i,-0.001061+0.00013085i,-0.00047046-0.00041373i,0.00052917-9.2305e-05i,0.00053234+6.536e-05i,0.00014942-0.00030028i,-0.00058858-0.00084044i,-0.00016169-0.00027915i,0.00099942+0.00016365i,0.0007898-0.00037173i,0.00055428-0.00030559i,0.0012117+0.00074855i,0.001229+0.00095187i
0.0010783+0.0012486i,0.00030705+0.0015067i,0.00011963+0.0011656i,-0.00098022+0.00084939i,-0.0017224-0.00024762i,-0.001296-0.00089508i,-0.00068591-0.00029717i,-0.00057394+5.2393e-06i,0.00014421-0.00043657i,4.6578e-05-0.00048282i,-1.2697e-05-0.0004044i,0.00015769+0.00019088i,-0.0003157+0.00050736i,-6.6323e-05+0.00039524i,0.00046205-0.00015987i,1.1526e-05-0.00062549i,-0.00062229+2.5582e-05i,-7.9959e-05+0.00072365i,0.00019206+0.00028707i,0.00039152-0.00037197i,-0.0003112-0.00056674i,-0.00086663-7.853e-05i,-0.00059635+0.00030825i
-0.0012461+0.0014201i,-0.00052661+0.0015061i,-0.00014361+0.0011452i,-1.1992e-05+0.0011724i,0.00031894+0.0017574i,0.00032875+0.0012929i,-6.05e-05+0.00066065i,-0.00070323+0.00077308i,-0.0012651+0.00023807i,-0.00074256-0.0003229i,0.00025362-9.3291e-05i,0.00051933+0.00034439i,0.00013812+0.00037966i,-0.0006678-0.00030549i,-0.001109-0.0011511i,-0.00099945-0.00091312i,-0.00034393-0.00042859i,9.7696e-05+0.00022663i,-0.00029155+0.00061504i,-0.00047773+3.9347e-05i,0.00061799+7.3781e-05i,0.00088144+0.00078154i,-7.798e-05+0.00013062i
