-0.0017471+0.00041665i,-0.00029061-0.00057479i,-0.0018093-0.00039388i,-0.0023696-7.142e-05i,-0.0020577+3.581e-05i,-0.0015843+0.00061852i,-0.00016368+0.0011599i,0.0010043+0.002031i,0.0012049+0.0012503i,0.0004052-1.9188e-05i,-0.00047395-0.00044872i,-0.00030307-4.3055e-05i,-0.00043179+0.00028805i,-0.00053464-0.00045594i,0.00010598-0.00069304i,0.0002706-0.00073529i,0.00072466-0.00074569i,0.0015566-0.000494i,0.00095047-0.00039702i,0.00056991-5.0105e-05i,0.00055985-0.00025014i,4.3098e-05-0.00054861i,8.7494e-06-5.5449e-06i
0.00067913-0.00051027i,0.00083753+0.00069921i,0.0011114+0.0011742i,0.0010896-0.00010526i,0.00037104-0.00023662i,-0.00060843+0.00099276i,-0.00058191+0.0012033i,-5.0393e-06+0.00093253i,0.00032681+0.0010839i,-0.00023822+0.0019777i,-0.00051351+0.0012609i,6.4899e-05+0.00020018i,0.00038049+0.00042766i,2.7651e-05+0.00051561i,0.00020668+9.9995e-05i,0.00087411-1.614e-05i,0.00041548+0.00034215i,0.00010255+0.00085602i,0.00018425+0.00032716i,-0.00020043-0.00047356i,-0.0012465-0.00027221i,-0.0015716-0.00018693i,-0.0014511-4.1937e-06i
0.00062561+0.0016275i,0.0010641+0.00092244i,0.0005942+0.00040557i,0.0007579+0.00063065i,0.0014287+0.00056354i,0.00074035+0.00077783i,-0.00026604+0.00052118i,-0.0005334+0.00088643i,-9.5645e-05+0.0016896i,0.00014623+0.0017486i,0.00011746+0.0009453i,-0.00034902-0.00031238i,-0.00069197-0.00073578i,-0.00050103-0.00029186i,-0.00032417+0.00011425i,-0.00035393+0.00051541i,-0.00039055+0.00069875i,5.5961e-05+0.00048572i,0.00094227+4.3308e-05i,0.00099485-0.00013721i,0.00041625-3.4754e-05i,-0.00012329-0.00046326i,-0.00015912-0.00044386i
-0.0024156-0.00033554i,-0.0022243-0.0003185i,-0.0010658+0.00011628i,0.00034017+0.00076944i,0.00082998+0.0012495i,0.00053029+0.00092044i,0.00031177+0.00072877i,0.000844+0.00089347i,0.00075962+0.0004641i,0.00012742+0.00044732i,0.00013891+0.00010042i,0.00081454-0.00016186i,0.0012737+0.00033688i,0.00096146+0.00024199i,0.00042465-0.00024565i,0.00044303+8.8163e-05i,0.00030221+5.0443e-05i,-0.00011767+0.0002094i,-0.00045216+0.00073056i,-0.00054453+0.00029116i,-0.00032721+8.4784e-05i,0.00012658+0.00074084i,-3.1686e-05+0.0013247i
-0.00092006+0.00010129i,-0.0010577-8.2303e-05i,-0.0004992-0.00052836i,-5.8565e-05-0.00054193i,-8.9064e-05-0.00067858i,-7.398e-05-0.00032428i,-8.5284e-05+0.00057447i,0.00067356+0.00069957i,0.00042771-0.00022083i,-0.0003202-0.00052979i,0.00059122-0.00041484i,0.0011828+0.00020741i,0.00057589+0.0011354i,0.00029871+0.00095868i,0.00034185-0.00019756i,-0.00014148-0.00082448i,0.00023695-0.00056372i,0.0012132-0.00069793i,0.00083605+0.00023616i,9.9249e-05+0.00080171i,-0.00055082+0.00039599i,-0.0003721+0.00024595i,0.00047942+0.00062159i
-0.0013271+0.00071479i,-0.001215+0.001032i,-0.00052276+0.0014794i,0.00036007+0.0021222i,0.00046347+0.0013065i,0.00063305+0.00079699i,0.00022336+0.00054407i,0.00029408+0.00064434i,0.00052196+0.0010794i,0.00026387+0.00048054i,0.00045451-0.00035128i,0.00057776-0.00021965i,0.00060504+0.00048459i,0.00058585+9.7035e-05i,0.00065866-0.0004281i,0.00044097+8.6485e-05i,0.00047557+0.00046603i,0.0013621-0.00031905i,0.0010936-0.00052602i,-0.00016535-0.00018422i,6.1041e-05-0.00039967i,0.0005488-0.00017345i,0.00024019-0.00014692i
-0.0010308-0.0017173i,-0.00056095-0.0011937i,0.00025752-0.00014665i,0.00068542+0.00030894i,0.0007336+3.7152e-05i,0.00038539-5.3473e-05i,-0.00020472+0.00067057i,0.0002655+0.0015887i,0.00094389+0.0015011i,0.00089936+0.00082456i,0.00062729+0.0012912i,0.0010903+0.001128i,0.0016217+7.9338e-05i,0.0013656-0.00023709i,0.00095344-0.00016763i,0.0011794-0.00011951i,0.0018468-9.9957e-05i,0.0016815+0.00023556i,0.00031515+0.00046075i,-0.00083379+0.00063352i,-0.00070447+0.00070515i,0.0003381+3.7709e-05i,0.00055942-0.00029645i
0.00064137+0.001472i,2.0441e-05+0.0014834i,0.0013443+0.0018635i,0.0021821+0.0014427i,0.0019799+0.00060186i,0.00088104-0.00010606i,-0.00013944-0.00021906i,-0.00049536+0.00061598i,-0.00061276+0.0012744i,-0.00073199+0.00092169i,-0.00038155+0.00024639i,8.4867e-05-0.00056366i,-0.00031811-0.0012027i,-0.00025388-0.0013674i,6.1075e-05-0.00099636i,-6.7967e-05-0.00053678i,-6.172e-07-0.00033458i,0.00036902-0.0002615i,0.00066428+7.1057e-05i,4.9685e-05+0.00048426i,-0.00015447+0.00096367i,0.00013347+0.00044938i,-0.00055409-0.00038816i
-0.0027388-0.00023577i,-0.0032879-0.00026767i,-0.0030914+0.00017887i,-0.0023229+0.0011432i,-0.00097164+0.0012119i,-7.9036e-05+0.00072104i,0.0001104+0.00023214i,0.00017509+0.00084387i,0.00037835+0.0020431i,-0.00022004+0.0018673i,-0.00051865+0.0013589i,0.00027694+0.0012846i,0.00061214+0.00090966i,0.00044205+0.00087319i,0.0004956+0.00074422i,0.00051382-1.0263e-05i,0.00057182-0.00032071i,0.00077146-0.0001167i,0.00033154+0.00021029i,0.0002516+0.00027295i,0.00091194-4.3474e-05i,0.00057745-0.00020302i,-0.00025661-0.00012099i
0.0016143-0.00032237i,0.00097784-0.00073409i,0.00071038-0.00085772i,0.0006858-0.0010652i,0.0002366-0.0010825i,0.00017561-6.3556e-05i,0.0001812+0.0010684i,-0.00010266+0.00081516i,-7.1201e-05-0.00034963i,-0.00063332-0.00063505i,-0.00084889-0.00037696i,-0.00054911+6.0371e-05i,-0.00016334+0.00042462i,0.00036077+0.00027569i,0.00024608-0.00026984i,0.00052249-0.00054431i,0.00049611+9.7159e-05i,0.00023403+0.0004259i,0.0005415+0.00015513i,0.00095838+0.00025401i,0.00019284+6.7199e-05i,-0.00031358-0.00057765i,0.0004614-0.00060892i
-0.00041244-0.0004166i,9.9837e-05-0.0006887i,-0.00053685-0.0013601i,-0.0012137-0.0013543i,-0.00092448-0.00029703i,-0.00103+0.00032896i,-0.0013725+0.00058691i,-0.0015465+0.00090934i,-0.0014679+0.0011894i,-0.001071+0.00093723i,-0.00015293+0.0012593i,0.00046059+0.0012731i,0.00016547+0.00043163i,-0.00068945-0.00014951i,-0.0006776-0.00019062i,0.00024384+0.00028486i,0.00086436+0.00010018i,0.00043697-0.0005277i,-6.0831e-05-0.00063503i,-0.00041383-0.00089388i,-0.00060707-0.00069114i,-0.0010078+0.00029153i,-0.0003161+0.00065614i
-0.00042672+0.00047772i,-0.00051171+0.00078672i,-0.00085152+0.00081955i,-0.00078477-0.00048294i,0.00039473-0.00083156i,0.00028583+0.00017181i,-0.00099099+0.00046651i,-0.0012324+0.00017366i,-0.00067584+0.00057385i,-0.00065145+0.00091537i,-7.3967e-05+0.00078844i,0.00063748+0.00071578i,0.0005138+0.00027233i,-0.00039994+0.00012939i,-0.00090237+3.0495e-05i,-0.0012946-0.00054659i,-0.0010707-0.0010251i,-4.6813e-05-0.00024596i,0.00041265+0.00051612i,0.00025956-0.00012906i,0.0002811-0.00082953i,0.00032964-0.00028923i,0.00013382-2.0162e-05i
6.3524e-05-0.00052218i,-0.00070828-5.4742e-05i,-0.00052548+0.00095457i,0.000871+0.00058052i,4.68e-05-0.00027714i,-0.0010238-0.00075316i,-0.0006501-0.00020771i,-0.00041288+0.00059757i,0.00017386+0.001057i,0.00050996+0.00070278i,0.00041364-0.00030876i,0.0010586-0.00031449i,0.0012496+0.00030139i,0.00093348+0.00049822i,0.0006226+0.00030445i,3.6153e-05+0.00018908i,-0.00018034-0.00034786i,0.00059254-0.00047288i,0.00092539+0.00017676i,-0.0001564+0.00053518i,-0.00023465+0.00020009i,0.00053141-0.0001818i,0.00060459-0.00026059i
