-0.0027485-0.00035506i,-0.0015708-0.00031519i,-0.0015823+0.0010623i,-0.0011437+0.0020506i,-0.00075701+0.0026093i,-5.3998e-05+0.0015073i,0.00076317+0.00035018i,0.0012693-0.00022076i,0.0015368-0.00011747i,0.0014691+0.00017962i,0.001445-0.0003697i,0.0012167-0.00097921i,0.00079274-0.0015597i,0.00067893-0.0016548i,0.0014955-0.0010858i,0.0015494-0.00061277i,4.9852e-05-0.00011133i,-0.0009024+0.00022828i,-0.00097074-0.00054781i,-0.00087351-0.00060628i,-0.00078515-0.0001584i,-0.00074075+0.00017341i,-5.42e-05-8.8853e-05i
0.003159+0.0020271i,0.0027561+0.0017533i,0.0026511+0.0017524i,0.0013773-0.00010576i,0.00073467-0.0025817i,-0.00014691-0.0029713i,-0.00078045-0.0019323i,-0.0011082-0.00050801i,-0.00062224+0.00050129i,0.00063068-0.00027299i,0.00092662-0.00031117i,0.00074823+0.0007846i,0.00020131+0.00039337i,-0.00046984-0.00065066i,-0.0010356-0.0009697i,-0.0009275-0.0005422i,0.000401+0.00032214i,0.00040241+0.00090352i,-0.00036346+0.00065889i,-8.5101e-06-3.7445e-05i,0.00058478+0.00061507i,0.00050307+0.00064645i,0.00018683+0.00036528i
0.00030413+0.00055998i,-0.00026319-2.0732e-05i,-0.00024648+4.5721e-05i,-0.00050088+0.0005728i,-0.0004449+0.00071759i,-0.0011283+0.00057526i,-0.0016823+0.0001104i,-0.0012883-0.00015441i,-0.00084362-2.8605e-05i,-0.00034134-0.00047597i,-6.5664e-06-0.00016631i,-0.00012114+4.8332e-06i,-0.00028919-0.00033526i,-0.00017045-0.00080183i,-0.00024275-0.00070017i,-0.00033084-0.00014032i,-0.00022248-0.00079334i,-0.00049327-0.0012054i,-0.00037656-0.00049747i,0.00010733+3.7281e-06i,0.00051926+0.00028498i,0.00077106+0.00067543i,-0.00011646+0.00050546i
0.0019125-0.00053013i,0.0018036-0.00075212i,0.0017598-0.00012764i,0.0012439+0.00088019i,0.00067416+0.00073575i,0.0002985-0.00064386i,-0.00070881-0.0016006i,-0.00079563-0.00089675i,-0.00034479+0.00056387i,6.856e-05+0.00055375i,-2.0975e-05+0.00037424i,-0.0003256+0.00044756i,-0.00031997-0.00039932i,-0.00063423-0.00062263i,-0.00077199-5.9447e-05i,0.00010259-1.3056e-05i,0.00042711-0.00024622i,-0.00037685-0.00043046i,-6.8189e-05+0.00014035i,0.00047603+0.00045087i,0.00034211+0.00012513i,-0.00010933+0.00017259i,-0.0001521+0.0002007i
0.00030708-3.3763e-05i,0.00017819+0.00010086i,-5.0495e-05-0.00016451i,0.00034424-0.00028089i,0.00047139-0.00021392i,-0.00010228-0.0011236i,-0.0011814-0.00046124i,-0.0010837+0.00031152i,-1.0954e-05+0.00029881i,3.4156e-05+0.00035512i,-2.0284e-05+0.00048193i,0.00040541+0.00025777i,0.00030354-0.00044521i,-0.00032719-0.00066571i,-0.00044811-0.00023707i,0.00057769+8.221e-05i,0.00099723+0.00033026i,0.00064739+0.00017929i,0.00040896+0.00012971i,-6.8252e-05+0.00093106i,-0.00016223+0.00075599i,0.00044216+0.00039466i,0.00045557+0.00055016i
0.0012149+0.00022003i,0.0008193-0.00021323i,0.00054314-6.9009e-05i,0.00036985-0.00043835i,0.00025324-0.00099337i,-0.00014994-0.001116i,-0.00038043-0.0011631i,-0.00061157-0.0009643i,-0.00015626-0.0004142i,-0.00016941+0.00019122i,-0.00028913+0.00013495i,-0.00015742+0.0004211i,0.00072594+0.0011103i,0.00052093+0.0013579i,-0.0004566+0.0013958i,-0.00017228+0.00080251i,-0.00021427+0.0004885i,9.5106e-05+0.00024055i,0.00025649+3.7985e-05i,0.00036776+0.00053079i,0.0006977+0.0011424i,0.00061735+0.0011696i,0.00022606+0.00064355i
0.0010485-0.00086962i,0.0012059-0.00095482i,2.2178e-05-0.00036903i,-0.00063449+0.00089475i,-1.468e-05+0.0013919i,0.00019457-0.00012323i,0.00027627-0.0006092i,0.0008714+0.00025379i,0.00025637+0.00057385i,-0.0010827+0.00051818i,-0.0011526+0.0007232i,-0.00086516+0.0003785i,-0.00039541-0.00067116i,7.3646e-05-0.0009207i,0.00037068-0.00043498i,0.00068167-0.00025259i,0.00083899-0.00079714i,0.00095874-0.0010952i,0.00057866-0.0011495i,-0.00011285-0.0005497i,-0.00060083+0.00012963i,-7.0297e-05+0.00029291i,-8.524e-05-0.00036425i
0.003328+0.00055624i,0.002781-0.0019616i,0.0016247-0.004016i,6.5185e-06-0.0029319i,-0.0010371-0.00072844i,-0.0013564-0.00041328i,-0.00052205-0.00046593i,0.00022032+0.00035309i,8.4804e-05+0.00039327i,-1.6562e-05+0.00017463i,-0.00099983+0.0003342i,-0.0012309+6.5925e-05i,-0.00080128+5.2326e-05i,-0.00094481-2.5336e-05i,-0.00081272+0.00017074i,-0.00040835+0.0006245i,6.0902e-05+0.00035658i,0.00065433+0.00029018i,0.0013486+0.00027188i,0.0012309+0.00046549i,0.00022816+0.00016123i,-0.00071128-0.00039521i,-0.0014322+9.8831e-05i
0.0020616-0.0018613i,0.00050006-0.0024484i,-0.0010329-0.0018356i,-0.00059519-0.00024744i,-0.00054347+0.00020667i,-0.0012559-0.00034262i,-0.00060598-0.0002564i,0.00020489-1.9401e-05i,0.0007555+9.2555e-05i,0.00014376-0.00012028i,-0.0010069-0.00027993i,-0.00064805+0.00032911i,4.7071e-05+0.00025187i,0.00028051-0.00042601i,0.00042368-0.00020988i,0.00023305+0.00049505i,-0.00018155-0.00025805i,-0.00031432-0.0009245i,-0.00018436-0.00068729i,0.0003052-0.00048308i,0.00059184-0.0012189i,5.5736e-05-0.0017624i,-0.00067924-0.00081928i
0.002414+0.00033378i,0.0027394+0.00010301i,0.0025033+0.0014075i,0.0014207+0.0019525i,-4.1511e-05+0.00092408i,0.00012237+0.00027629i,0.00012654+0.00061642i,-0.00091534+0.00056731i,-0.00022336-0.00044478i,0.00081452-0.00097045i,0.00095749-6.8515e-05i,0.00095035+8.6785e-05i,0.00045462-0.00031427i,0.00015844-0.0006631i,-4.8136e-05-0.00040541i,-0.00013763+4.4326e-05i,0.0001179-8.8681e-05i,0.00093556+8.0767e-05i,0.0013548+6.3462e-05i,0.00043796-0.000134i,0.00040806+1.9113e-05i,0.00099248+0.00034536i,7.0835e-05+0.00039835i
0.0041074+0.00054599i,0.0032805-0.00035544i,0.00076478-0.001108i,-0.0011282-0.0014507i,-0.0012707-0.0014573i,-0.0013671-0.00068272i,-0.0011844-1.679e-05i,-0.00034342+0.00021912i,7.5688e-05+0.00022298i,0.00010884+0.00024673i,-0.0001834+0.00057495i,-0.00035625+0.0001826i,6.664e-05-0.00017857i,-0.00055343-0.00025942i,-0.00099982+0.00020554i,-0.00037413+0.00054493i,0.00014925+0.00018635i,-3.7567e-05+0.00018741i,-0.00097257+0.00038055i,-1.2991e-05+0.0002825i,0.001059+0.00011457i,0.00056905-0.00021055i,0.00023812-0.00085415i
