-0.0034168+0.0012029i,-0.00089897+0.0009915i,-0.00088641+0.0016845i,1.5331e-06+0.0018816i,0.00085143+0.0017255i,0.00041414+0.000976i,-0.00010962+0.0011548i,0.00026156+0.0015748i,0.00044707+0.0010025i,0.00018644+0.00055183i,0.00044198-9.1859e-05i,0.00015311-0.00076388i,-0.00041662-0.00039747i,-0.00076976-8.8401e-05i,-0.00012506+0.0001295i,-0.00046778+0.00029244i,-0.0013242-0.0001415i,6.6475e-05-0.00055454i,0.00078427-0.0010533i,0.00040375-0.0011485i,-4.9839e-05-0.00082308i,-0.00040497-0.0003119i,0.0002385+0.00042187i
-0.0001432+0.00034327i,-7.8415e-05+0.0004874i,0.00096825+0.00045786i,0.0012317-0.00030155i,0.0008865-0.0012026i,0.00065481-0.0015523i,0.00045387-0.00085396i,-8.4823e-05+0.00061748i,-0.00046034+0.0011854i,-0.00036978+0.0010476i,7.6782e-05+0.00048232i,7.8471e-05+0.00028326i,-0.00010116+0.00048542i,0.00011236+0.00064926i,0.00055624+0.00040634i,0.0014602-0.00052463i,0.00087803-0.0003388i,-0.00070084+0.00041721i,-5.7165e-05+0.00082281i,0.00028403+0.00080069i,-0.00020674+0.00039733i,-0.00028111-0.00022275i,9.9307e-05-0.00019135i
0.0012215+0.00075866i,0.00083799+0.00018758i,0.00015051-0.00086393i,-0.00041475-0.0012985i,-0.00099285-0.0011985i,-0.00051686-0.0010183i,-0.00025841-0.00016346i,9.9019e-05+0.00016869i,0.00017943-4.4571e-05i,-0.00013496+8.5707e-05i,5.5957e-06-0.00015858i,0.00017814+0.0003698i,0.00017138+0.0013068i,0.00024399+0.0009524i,0.00026353+0.00027252i,0.00030689+0.00036438i,0.00070522+0.00032086i,0.00069217+0.0004533i,0.00040763+0.00040505i,0.0003174+0.00018975i,-0.00052546+0.00045216i,-0.00067068+0.00048475i,-0.00013311+5.4209e-05i
0.001149+0.00087512i,0.0011121+0.0013553i,0.0019322+0.00068153i,0.0026308-0.00062181i,0.0020124-0.0012097i,0.00095386-0.0011457i,-0.00032231-0.00046024i,-0.0011668-0.00016316i,-0.00097768-0.00031405i,-0.00017133+0.00026467i,0.00053701+0.00046575i,0.00011381+0.00049381i,0.00013397+0.0011171i,0.0010739+0.00073109i,0.001169+2.3549e-05i,0.00079567+0.00013574i,0.00012737+0.00067497i,-0.00078479+0.00076319i,-0.00077108+0.00065913i,-7.2667e-05+0.00066579i,0.00072071+0.00081969i,0.0015324+0.00088581i,0.0011529+0.00069876i
-0.00098881-0.00067435i,-0.0016603+0.00082706i,-0.0016159+0.00068581i,-0.00014783+0.00089106i,0.001073+0.00075234i,0.0014088-6.0546e-05i,0.00040548-0.00046407i,-0.0002969-0.00044983i,-0.00078022-0.0002033i,-0.0013829+0.00040246i,-0.0011337+0.00083773i,-0.00031699+0.00038101i,-2.6358e-05+0.00030535i,-0.00021209+0.00035734i,0.00022152+0.00035636i,0.0005008+0.00029354i,-0.00065966-0.00027127i,-0.0011188-0.00012522i,-0.0007531+0.00061496i,-0.0007941+0.00073798i,-0.00040305+0.00098667i,4.6974e-05+0.0011113i,0.00044354+0.00029224i
0.0021461-0.0028477i,0.0014463-0.0019686i,0.0012025-0.0022268i,0.00026878-0.0021418i,-0.0015085-0.0012963i,-0.0028622-0.00063922i,-0.002395-0.00032546i,-0.00095537-0.00074667i,-0.00064282-0.00059627i,-0.00069444+0.00016904i,-0.00014526+0.00059083i,0.00013513+0.00026986i,0.00041054+0.00080468i,0.00082711+0.0014524i,0.0012976+0.00096449i,0.0015911+0.00053798i,0.00093936+0.00028409i,-0.00024547+0.00016421i,-0.00033206+0.00073256i,1.9414e-05+5.8499e-05i,-0.00034928-0.00028321i,-0.0010082+0.00017083i,-0.00053576-0.00044291i
-0.00056484+0.00078669i,-0.0017399+0.0016144i,-0.0020307+0.0025073i,-0.0011534+0.0023489i,9.0312e-05+0.00071052i,0.00053119-0.00017168i,0.000261+0.00054301i,0.0003786+0.0010221i,3.4719e-06+0.00044751i,-0.00076152+0.00019995i,-0.00087006+0.00054523i,-0.00021507+0.00024191i,0.00054593+0.00036285i,0.001148+0.00044057i,0.00097525-0.00031471i,1.4389e-05-0.00099017i,-0.0006123-0.00081347i,-0.00090216-0.00011416i,-0.00013144+0.00034127i,0.00043201+0.00078769i,6.4845e-05+0.00052617i,-0.00037314+0.00074702i,-0.00024565+0.00078177i
0.00019907-0.00049288i,-7.399e-05+4.3799e-05i,0.00071464+0.00018435i,0.0018592-0.00033209i,0.00134-0.00079179i,0.00020526-0.0016669i,-0.00012876-0.0013822i,-0.00049466+9.4502e-05i,-0.0013739+0.00060694i,-0.0016561-0.00012844i,-0.00083659-0.00062125i,0.0001011-0.00048331i,-1.0518e-05-0.00060682i,0.00018154-0.00046104i,0.00057072-0.0008453i,0.0010977-0.00061193i,0.001046+0.00026886i,0.00024746+0.00046163i,-0.00010046+0.0007361i,-0.00021419+0.0015209i,-0.00028929+0.0017335i,-0.00039665+0.00097444i,-0.00028478+0.00058636i
5.5273e-05-0.0032673i,0.00055068-0.0030848i,0.00022223-0.0019421i,0.000152-0.0010194i,0.00058098-0.00078885i,0.00096164-3.7274e-05i,0.00056392+0.00039249i,-0.00059335+0.00046241i,-0.0012521+0.00068877i,-0.00073408+0.0011386i,0.0003524+0.0017802i,0.00043631+0.0014249i,0.00041805+0.00023918i,-0.00010777+0.00027979i,-0.00064482+0.001094i,-0.00023994+0.0010892i,0.00016972+0.00089064i,0.00010767+0.0010739i,-0.00051419+0.00077476i,-0.00030442-0.00059209i,0.00016275-0.0011858i,0.00029876-0.00041789i,0.00020136+7.8538e-05i
0.00063824+0.00245i,0.00040276+0.0029093i,0.00026124+0.0021961i,0.0008826+0.0011148i,0.0021081+0.00035973i,0.001459-0.00045077i,0.00018124-0.0015631i,-0.00021817-0.0012426i,-0.00079646-0.00033256i,-0.0006634-4.3479e-05i,-0.00021033-3.2833e-05i,0.00017946+0.00012094i,0.00016785+0.0007994i,-0.00080544+0.0010052i,-0.00077479+0.00026503i,0.00014158-0.00039978i,0.00024801+9.6087e-05i,0.00017392+0.00090632i,0.00058867+0.00062922i,0.00024882-0.00042196i,-0.00012516-0.00075653i,0.00083915-0.00022962i,0.00093226+0.00059481i
0.0013471+0.0013035i,0.0011265+0.0021754i,0.0011708+0.0026497i,0.0005231+0.0011542i,0.00071059-2.4356e-06i,0.00041861+1.3603e-05i,-0.00016745-0.00017849i,-0.00059904-0.00018458i,-0.00092782+0.00027096i,-0.0008688+0.00062911i,-0.0010586+0.00054795i,-0.0005691+0.0002292i,-0.0001445-0.00049549i,-0.0002436-0.00048829i,-0.00037088+1.8934e-05i,-0.00030734+0.00053871i,0.00011139+0.00063815i,0.00028802+0.0003989i,0.00046653-3.5519e-05i,7.0005e-05-0.00017591i,-0.00041137-8.13e-05i,-0.00073384-0.00031362i,-0.0013561-0.00071625i
0.0012454+0.0012371i,0.00096368+0.00087984i,0.0011916+0.000747i,0.0013001+0.00021386i,0.0017086-0.00052898i,0.00078886-0.00026954i,-0.00069327+0.00040425i,-0.0011992+0.00070233i,-0.00070229+0.00090047i,-0.0001857+0.00065152i,-1.7987e-05+0.00042291i,-0.00028466+0.0005435i,9.0873e-05+0.00073564i,1.1956e-05+0.0007343i,-0.00026712+0.00048242i,-0.00016895-0.00055238i,-0.00022734-0.0012425i,0.00017116-0.00067676i,0.00024246+0.00079001i,-0.00015149+0.0011933i,-7.1858e-05+0.00052072i,8.9888e-05+0.00014883i,9.7482e-05-2.0693e-05i
0.0013036-0.0002194i,0.0012604-0.00030105i,0.0015433-0.0007099i,0.0016186-0.0013998i,0.0007166-0.0018345i,-0.0010882-0.0016653i,-0.0018898-0.00053233i,-0.0014061+0.00076146i,-0.0004126+0.00079993i,-0.00011823+0.00044653i,-0.00047668+0.00051232i,-7.2792e-05+0.00082334i,-5.5804e-05+0.00085909i,0.00017098+0.00017215i,0.0007476+0.00028947i,0.00077276+0.00030675i,0.00015884+2.3661e-05i,-0.0001231+0.00014537i,8.1442e-05-9.7529e-06i,0.00064965-0.00070712i,0.00032493-0.00058635i,-0.00047085-4.3898e-05i,-0.00088082+0.0008491i
-0.00068743-0.00014102i,-0.0010603+1.236e-05i,-0.00083063+0.00080647i,-0.00016909+0.00078457i,0.00076428+0.00068124i,0.00098902+3.7937e-05i,0.0001047-0.0002657i,-0.00031248+0.00031215i,1.1837e-05+0.0004069i,4.3452e-05+0.00046558i,-3.5428e-05+0.00037787i,1.8523e-05+0.00026864i,-1.5041e-05+7.5034e-05i,-0.00011878-0.00071919i,0.00070292-0.0010022i,0.00079921-0.0010898i,6.7017e-05-0.00046313i,0.00013148+4.2662e-05i,3.0625e-05-0.00025751i,0.0001577-0.00084966i,0.00023385-0.00041659i,-0.00070862+0.00019585i,-0.00044873+8.9464e-05i
0.0017621+0.0010202i,0.0019066+0.002251i,0.0011407+0.0018583i,0.00047098-5.4387e-06i,0.00018732-0.001658i,-0.00089999-0.001785i,-0.0014614+5.6587e-05i,-0.00099705+0.0012466i,-0.00054893+0.00062326i,0.00042079-0.00018423i,0.00065368+0.00014938i,0.00047959+0.00076221i,4.5823e-05+0.00049811i,0.00018579+0.00021387i,0.00061305+0.0006804i,0.000164+0.0012593i,-0.00053665+0.0011298i,-0.0015141+0.00046688i,-0.0018612+0.00044086i,-0.0012202+0.0002969i,0.00014913+0.00019363i,0.00080636+2.7253e-05i,0.00049941-0.00062325i
-0.0017103+0.0023743i,-0.00058517+0.0039481i,0.0010592+0.0042392i,0.0023219+0.0018706i,0.002567+3.8079e-05i,0.0017659-0.00047408i,0.0009269-0.00021746i,0.00022928+0.00021155i,0.00027238+0.0016761i,0.0001444+0.0018971i,9.7591e-05+0.00067843i,0.00080482-0.00077378i,0.00074951-0.0010034i,0.00036606-0.00055372i,-7.6645e-05-0.00042707i,-0.0008442-0.00035075i,-0.00092628-0.00052419i,-0.00059294-0.00080222i,-9.8611e-05-0.00034318i,0.00019228+0.00030494i,0.00074065-5.5253e-05i,0.00098856-0.00046707i,-7.5652e-06-0.00045215i
-0.00035481-0.00091059i,-0.00038307-0.00027977i,-0.0004159+0.0002878i,-0.00031629-0.00024242i,-0.00069837-0.00061066i,-0.00044973-0.00099543i,0.00024935-0.0010293i,-0.00076322+0.00014515i,-0.0019136+0.00061535i,-0.0014458+6.7051e-05i,-0.00042898+7.4563e-05i,0.00046099+0.00041838i,0.00053428+0.00036345i,0.00032136+0.00053333i,0.00077765+0.00082671i,0.00070377+0.00086187i,0.00027923+0.00052274i,0.00034467-0.00024618i,0.00024257-0.00032064i,0.00026997-0.00015605i,0.00063094-0.00075613i,0.00070885-0.0010064i,4.2894e-05-6.0317e-05i
0.00084006+0.00080462i,-0.00099043-3.0224e-05i,0.00043209-0.000132i,0.0019677+0.0006264i,0.0017596+0.0003535i,0.00033904-0.00035731i,-0.00051475-0.0007728i,-0.00034034-0.00022737i,-0.00077887+0.00044244i,-0.00096303-1.1243e-05i,-0.00038885-0.00053299i,-0.00019449-0.00024122i,-0.00074371+0.00062514i,-0.0011854+0.00095747i,-0.00079842+0.00036709i,-0.00060123-1.7565e-05i,-0.00056995+9.6695e-05i,-0.00065425+0.00098216i,-6.0368e-05+0.0012473i,0.00059553+0.00092866i,0.00034974+0.00018581i,-7.754e-07-0.00017559i,-0.00019079+0.00024681i
0.0011974-0.00065568i,0.0010902+5.2515e-05i,-0.00089899-0.00099066i,-0.0015409-0.0022581i,-0.00082197-0.0019628i,-0.00023574-0.00052879i,-2.5381e-05+0.00010836i,2.6792e-05+0.00047049i,0.00027594+5.5784e-05i,8.0504e-05+0.00025695i,-2.0267e-05+0.00075625i,0.00036844+0.00067189i,-0.0001388+3.9748e-05i,-0.0003609-8.6034e-05i,0.0005343-0.00055584i,0.00079635-0.00075255i,0.00011318+8.2084e-05i,-8.58e-06+0.00051847i,-0.00046967+0.00097628i,-0.00074094+0.00026521i,-0.00069719-0.00013947i,9.7473e-05+0.00068138i,0.00033976+0.0002671i
0.00045422+0.0005425i,-6.0115e-06+0.0022292i,0.00012464+0.0036805i,0.0007448+0.0019571i,0.0012604+0.00033916i,0.00080824-0.00043688i,-0.00076575-0.00096551i,-0.001571-0.00054199i,-0.00094745+0.00058448i,-0.00035219+0.0010531i,-0.00031825+0.0010228i,0.00023449+0.00024706i,0.0004393-0.00036227i,-3.1076e-05-0.00048463i,-0.00062831-0.00060889i,-0.00052573-0.00018427i,-0.00054438+4.2998e-05i,-0.00011085-0.00040691i,0.00040458-0.00040197i,-0.00025371+0.0003724i,-0.00046256+0.00017645i,-3.9806e-05-0.00036352i,0.00074002-0.00018695i
-0.00049061+0.00053381i,-9.4572e-05+0.00074768i,0.00020647+0.00063821i,-6.7557e-05+0.001201i,-0.00045582+0.0013405i,-0.00010659+0.00055244i,-0.00051576-0.00022837i,-0.0011239-0.00047399i,-0.0012168-0.00035335i,-0.00073446+0.00074054i,-0.00038868+0.0006434i,-0.00056261-0.00065921i,-0.0001767-0.00060892i,0.00045188-0.00038296i,0.00094996-0.00065694i,0.0009342-0.00061636i,0.00059538-0.00029849i,0.00016129+8.0751e-05i,-2.8887e-05+0.00044447i,8.9437e-05+0.0004586i,4.7347e-05+0.00026818i,-0.00037971+0.0001663i,-0.0006476+0.00027983i
