-0.0019468-0.0006434i,-0.0020329-0.00062604i,-0.0022107+0.00038458i,-0.001278+0.0023288i,-0.00034304+0.0025549i,-0.00079155+0.0016756i,-0.0010272+0.00069737i,1.9761e-05+0.0014005i,0.0008931+0.0023305i,0.00074648+0.0020646i,0.0001536+0.0014592i,-0.00060018+0.00066611i,-0.00071571+0.00017839i,-0.00041303-7.1661e-05i,0.00067532-0.00015646i,0.000369-0.00028244i,-0.00034099-0.00047413i,-7.9838e-05-0.00055341i,-8.6034e-05-0.00029047i,0.00010103-0.00017257i,0.00034186-0.00077299i,0.00021132-0.00075607i,0.00032128-0.00087485i
0.00022345+0.0018748i,0.00081867+0.0019786i,0.000186+0.0018627i,-0.00034462+0.0011381i,6.3818e-06+0.00010574i,0.00041456-0.00026443i,-0.00033033-0.0003876i,-0.0010962-0.0003531i,-0.00024754-0.00024509i,0.00055396-0.00021341i,0.00031476+0.00019941i,0.00014824+0.00080597i,0.00069948+0.00050176i,0.00044515-0.00014968i,0.00016807-0.00024974i,0.00030015-0.00070357i,-0.00036922-0.0015672i,-0.00090001-0.0013509i,-0.0005456-0.00022939i,0.00033668+0.00056042i,0.0011626+4.7732e-06i,0.00095864-0.00047737i,0.00058003+0.00023801i
0.0010489-0.0018273i,0.00068878-0.0027015i,0.00026687-0.0034304i,-0.00069676-0.002579i,-0.0015216-0.00075732i,-0.00089826+0.00032388i,0.00056397-0.00015469i,0.001276-0.00061153i,0.00017851-0.001439i,-0.0012094-0.0016585i,-0.001354-0.0012299i,-0.00043572-0.00084069i,-0.00071991+0.00021125i,-0.001465+0.00026694i,-0.0010535-2.3231e-05i,-0.0013415-0.00013518i,-0.001298-0.00017548i,-0.00089371-0.00018499i,-0.00095253-0.00037809i,-0.00059497-0.0010472i,0.00023599-0.00078183i,0.00024308-0.00019331i,0.00025681+1.6626e-06i
-0.00080733-0.00041565i,-0.00073195+0.0010293i,-0.0014217+0.002319i,-0.00077579+0.0019663i,-0.00010044+0.0016884i,0.00023808+0.0017402i,0.00045006+0.00055832i,9.0256e-05-0.00071673i,-0.0012951-0.00071787i,-0.0025757+0.00015119i,-0.002458+0.0012347i,-0.00089626+0.0011915i,-5.1904e-05+0.00036416i,-1.4095e-05+0.00081361i,-0.00017711+0.001094i,-0.00078878+0.00069882i,-0.00096913+0.00054928i,-0.00023957+0.00012854i,-0.00015819-0.00034731i,-0.0008742-0.00033481i,-0.00095977-0.0004267i,-0.0003051-0.00087508i,0.00013557-0.00085063i
0.00052167+0.00024401i,8.7311e-05-0.00081644i,2.8842e-05-0.0015787i,-2.5642e-06-0.00073665i,-0.0001769+0.00036889i,6.4416e-05+0.00089909i,0.00016969+0.00011597i,0.00056526-0.001359i,3.2528e-05-0.00085086i,-0.00055466+0.00046585i,-0.0010827+0.00056142i,-0.0015311+0.00061923i,-0.0017194+0.00087704i,-0.0014625+0.00081612i,-0.00056098+0.00052138i,8.7848e-05+0.00029115i,-0.00041372+0.00054886i,-0.00096837-1.772e-06i,5.5482e-06-0.00063i,0.00060148+0.00011322i,0.00023675+0.0004324i,-7.1035e-05+0.00037954i,-0.00021428+0.00054841i
0.0011848+0.00013732i,0.00047691+0.00053267i,0.00037331+0.0016933i,0.00070201+0.0014469i,0.00030149+0.00035762i,0.0001236-0.00041805i,0.00011947-0.00089414i,-0.00019482-0.00056502i,-0.00044349+0.00042623i,-4.0282e-05+0.0004542i,0.00041861+0.00036553i,-5.3801e-05+0.00053757i,-0.00092501-9.9467e-05i,-0.00079875-0.00026286i,0.00017439+0.00068261i,-6.5216e-05+0.00073923i,-0.00058486-0.00044143i,-0.0002484-0.0011417i,0.00028809-0.00048189i,0.00076648+0.00013899i,0.0007118-0.0001271i,0.00018075-0.00017744i,0.00019533+2.0899e-05i
0.00046501-0.00088527i,0.00032692-0.00017299i,0.00027052-0.00028494i,8.2475e-05+0.00052557i,-0.0002482+0.0012836i,0.00025313+0.00031897i,0.0011034-0.00013089i,0.00090659+0.00015104i,0.000518-0.00012197i,0.00076028-3.9497e-05i,0.00041285-9.2242e-05i,0.00019981-0.00047004i,-0.00052876+0.00045899i,-0.0013087+0.00089834i,-0.00066615+0.00022617i,-0.00035169-0.00037675i,0.00010841-0.00073292i,0.00028716-0.00051272i,-0.00018047+8.1039e-05i,-0.00038496+0.00043141i,-0.00048749+0.00032494i,-0.0007342+1.0582e-05i,-0.00055896-0.00021052i
-0.00069982-0.001526i,-0.0023821-0.00049372i,-0.0040861+0.00018363i,-0.0037648-0.00075212i,-0.0026357-0.0008609i,-0.0013457+8.6703e-05i,0.00035533-0.00011717i,0.001053-0.000534i,0.00039851-0.00075654i,-0.00090024-0.0013796i,-0.0011739-0.0010216i,-0.00061103-0.00034398i,-0.0007981-7.3017e-05i,-0.0012495+0.00021794i,-0.0010156+0.00060929i,-0.00043706+0.00028059i,-0.0007194+0.00012874i,-0.00053655-2.5129e-05i,-0.00024598-0.0001946i,-0.00015166+0.00023084i,-0.00028369+6.8476e-05i,-0.00062748-0.0003007i,-0.00031977-0.00076506i
-0.00038887+0.001128i,-0.00099157+0.00040429i,0.0001288+0.00054255i,0.00087914+0.0012997i,-0.00028376+0.00093594i,-0.00040094+0.00048466i,0.00077019+0.00045794i,0.00064199-0.00022238i,-0.00014713-0.0011034i,-0.00073444-0.00083806i,-0.00089759-0.00073891i,-0.00086856-0.0011029i,-0.00096442-0.0010986i,-0.00039005-0.00076201i,-0.00022763-0.00036573i,-0.00072421-0.00045545i,-0.00079561-0.0011044i,-0.00054822-0.00062692i,-0.00024179+0.00015391i,-0.00027955-0.00014823i,0.00013845-0.00030572i,0.0011238+0.00031685i,0.0009264+0.0011743i
0.00046408+0.0021108i,0.00067724+0.0022532i,0.0014419+0.0024484i,0.0025954+0.0019852i,0.0027817+0.0015547i,0.0012121+0.0010139i,0.0001799+0.00046978i,0.00030024+0.0004291i,0.00017037+0.00094803i,-0.00056549+0.001696i,-0.00080253+0.0017512i,0.0002239+0.00084159i,0.00017707+0.00055744i,-0.00030581+0.00091125i,4.3084e-05+0.00089109i,0.00025598+0.0003951i,4.1333e-05+0.00038816i,-0.00030702+0.00026882i,0.00021846-0.00030156i,0.00030447-0.00036184i,0.00032499-0.00010172i,0.00054092+0.00011711i,0.00065983-0.00013983i
-0.0005412+0.0019308i,-0.00036301+0.0013161i,-0.00027894+3.0537e-05i,0.00053971-0.00046891i,0.0017283-0.00023166i,0.001515+0.00026598i,0.00065953+0.00054696i,0.00032565+0.0005678i,-5.1946e-05+0.001028i,-0.00029849+0.0015484i,-0.00088136+0.0011056i,-0.001306+0.0005505i,-0.0013558+0.00054903i,-0.0006923+0.00077377i,-5.5506e-05+0.00044023i,0.0001807-0.0005718i,0.00025281-0.00092182i,0.00027337-0.00073877i,0.00037005-0.00030713i,0.00026598-0.00024713i,0.00057375-0.00073024i,0.00062891-0.00052557i,0.00035695+0.00023924i
