-0.00040081+0.00099509i,0.0014222-0.00063336i,0.00039007-0.00077571i,-0.0010725-0.00023971i,-0.0021919+0.00093139i,-0.0016695+0.00099338i,-0.00072783+0.00094735i,0.000105+0.0011265i,0.0011401+0.00051993i,0.0010212+0.00044635i,0.00024509-7.5689e-05i,0.00014599-0.00047947i,0.00075455+0.00021886i,0.00021717+0.0010643i,-0.00023442+0.0015046i,-0.00028845+0.00065126i,0.00075508-0.00065406i,0.0010681-0.0009367i,0.00015957-0.0011125i,0.00018509-0.00077593i,0.00061792-0.00021128i,0.0010093+0.00016159i,0.00047949+0.00021814i
-0.0012424+0.00021011i,0.00043168+0.00035057i,0.002656+0.00083036i,0.0033824+0.0010991i,0.002571+0.00027951i,0.0012522-0.00073139i,0.00083563-0.00040658i,0.00080682-0.00048456i,0.00023743-5.0629e-05i,-9.903e-05+0.0008951i,0.00032408+0.0004979i,0.00059346+8.9714e-06i,6.2992e-06+0.00045526i,-0.00081671+0.00068174i,-0.00077224+0.00021536i,0.00042528-0.00057786i,0.00080287-0.0009223i,-0.00021276-0.00029939i,-0.00073505+0.00066472i,-0.00076758+0.00077369i,-0.00087332+1.9998e-05i,-0.0005044+0.00012787i,0.00032391-6.6042e-05i
-0.00034001+0.00011903i,0.00010645+0.0004851i,-0.0017635+0.00015778i,-0.0016912+0.0010531i,-0.00054372+0.0013005i,0.00055078+0.00023289i,0.0010755-0.00032862i,0.00067156-0.00014298i,-2.9838e-05-0.00048072i,-0.00038453-0.0010416i,-4.6982e-06-0.00066906i,0.00023686+8.0448e-05i,0.00051035-2.6294e-05i,0.00078278-0.00043941i,0.00011231-0.00065888i,-0.00017037-0.00050256i,0.00038176-6.6342e-05i,-4.5674e-06-0.00023738i,-0.00039461-0.00041495i,0.00042526-0.00032614i,0.00090741+0.00034835i,0.00075642+0.00099092i,0.00068181+0.00064789i
-0.0010309+0.0015732i,0.00055843+0.00045588i,0.0012897-0.00023404i,0.001204-0.00089152i,0.0013261-0.0012372i,0.001335-0.0013059i,0.00076636-0.00066452i,-0.00043106+0.00021175i,-0.0012+0.0015357i,-0.0010572+0.00093442i,-0.00018953-0.00028016i,-0.00037362-0.00032325i,-0.0006219-0.00010934i,-2.0092e-06-6.3651e-05i,-8.0551e-05+7.4575e-05i,-0.00013571+0.00060307i,0.00078456+0.00082262i,0.0008738+0.00070411i,0.00029247+0.00076799i,0.00052354+0.00082011i,0.00082067+0.00099942i,0.00074489+0.00090274i,0.00083082+8.1735e-05i
0.0008632+0.00014787i,-0.0001311+0.00083454i,-0.00025485+0.0013558i,-0.00026895-7.1897e-05i,-0.00054227-0.0014221i,0.00015513-0.00072599i,0.00053652-0.00045026i,0.00043489-0.00047947i,-5.3315e-05+0.00011526i,-0.00051007+0.00093021i,-0.00050189+0.00057349i,0.00017914-0.00038111i,0.00054742-0.00044397i,0.0006052-0.00018131i,0.00043279-1.2034e-05i,-0.00023945-0.00035756i,-0.00079226-0.00040462i,-0.00059553+0.0002504i,0.00023102+0.00032416i,0.00032106+0.00031097i,-0.00014467-6.2322e-05i,0.00017839-0.00039138i,7.754e-05-0.00028047i
0.0010148-0.0022275i,0.00025578-0.00079039i,0.00014057+0.0003163i,0.00016414+0.00052638i,0.00042029+0.00094581i,0.0011338+0.00092656i,0.00096276-0.00018228i,-0.0003749-0.00081684i,-0.0014531-0.00065531i,-0.0010939-4.1971e-05i,-0.00058523+0.00074781i,0.000196+0.00082754i,0.00085385+0.00034735i,0.00090186+0.00028553i,0.0010047+0.00059i,0.0010706+0.00048823i,0.00052112-6.6498e-06i,7.7438e-05-0.00051656i,-8.0684e-05-0.00014261i,-0.0003799+0.00048505i,-0.00025462+0.00025727i,0.00025854+0.00038552i,0.00018822+0.00045867i
-0.00040285+0.0011726i,-0.0019287+0.0006277i,-0.0029541+0.00069909i,-0.0028837+6.6527e-07i,-0.0017997-0.00073032i,-0.0005999-0.00034849i,0.00041051-0.00028943i,-0.00031908-0.00065458i,-0.00081785-0.00034461i,-0.00053318-0.00019955i,-0.00031184+0.00032i,0.00024059+0.00045678i,0.00060155+0.00015368i,-5.4217e-05+0.00030566i,-0.00059027-0.00022452i,-0.00060776-0.00098863i,0.00020634-0.00060621i,0.00079216+0.00025467i,0.00025601+8.7425e-05i,0.0006928-0.00050146i,0.00086112-0.00020714i,0.0002278+0.00018122i,-0.00034674+0.00032071i
-0.0016062+0.00086617i,-0.0017618+0.00054599i,-0.00091431+0.00096604i,0.0005168+0.00045499i,0.00091974-0.0010063i,0.00015216-0.0016752i,0.00021397-0.0017979i,-0.00020775-0.001705i,-0.00028003-0.0011745i,-0.00039891-1.0873e-05i,-0.0006218+0.0005158i,-0.00030957+0.00028505i,-1.3444e-05-0.0001055i,0.00037136-0.0001847i,0.00054484+0.00039991i,0.00050956+0.00021996i,6.083e-05-0.0005772i,0.00018839-0.00068858i,0.00070419-0.00047107i,0.00029907-7.9492e-05i,0.0001888+0.00036018i,5.2013e-05+0.00049583i,-0.00012393+9.3701e-06i
0.0016522-0.0027659i,0.00081301-0.0024322i,-0.00020362-0.0015125i,-0.0014313-0.0011783i,-0.0021178-0.00070479i,-0.00089417-0.0002466i,0.00053748-0.00046589i,0.00019718-0.00023338i,-0.00096871+0.00039145i,-0.0006323+0.00082301i,-0.00037262+0.00047241i,-0.00030006-0.00025177i,-0.00025594-0.00045661i,2.6775e-05+1.1724e-05i,0.00011786-0.00018698i,-0.00062545-0.00061964i,-0.00030931-0.0002814i,2.9109e-05-0.00025871i,0.00020922-8.2945e-05i,0.00046853-0.00025154i,0.0002857-0.00060077i,-0.00015928-1.4109e-05i,-0.00058375+0.00065447i
0.0012098-9.5558e-05i,0.0015495+0.0011249i,0.001577+0.0005792i,-0.0001147-0.00016182i,-0.0011087-0.0012248i,-0.00091191-0.0010931i,-0.00015895-0.0006132i,-0.00036376-0.00065141i,-0.00098282-0.00044277i,-0.0011569+2.126e-06i,-0.00086004+3.6727e-05i,-0.00072989+0.00076817i,-0.00018879+0.0011977i,-4.1712e-05+0.00084351i,-0.00070538-7.3473e-05i,-0.0013382-0.00026737i,-0.0012236+0.00032304i,-0.00075556+0.0002492i,-0.0002635+0.00021105i,-0.00062498-2.1044e-05i,-0.00061148+0.00029137i,0.00037353+0.00055196i,0.00099289+0.00019524i
-0.00026486-5.6086e-05i,-0.000667+0.00026495i,0.00037352+0.0004559i,0.00069437-0.00049275i,-0.00034788-0.0013743i,-0.0008855-0.00073362i,5.2779e-05-5.0515e-05i,0.00044992-0.00030553i,-0.00030639-0.000774i,-0.00090577-0.00077137i,-0.00098797-7.0462e-05i,-0.00079103+0.0010288i,-0.00027981+0.001344i,0.00026421+0.0011265i,0.00056008+0.00056018i,3.0691e-05+0.00024899i,-0.0012461+9.6478e-05i,-0.0013628-0.00056076i,-0.00023212-0.00035499i,0.00028858+0.00014309i,-2.6527e-05+8.4771e-05i,0.00013732+8.3958e-05i,0.00016091+0.00016644i
-0.00099731-0.0009363i,-0.00016343+0.00018286i,0.00023339+0.0012562i,2.7449e-05+0.0016915i,-0.00059585+0.00079884i,9.2017e-06-8.2282e-05i,0.00058659-0.00022825i,7.8848e-05+0.00019911i,-0.00057746+0.00031877i,-0.00033221+0.00047287i,0.00044017+0.00041343i,0.00031479+0.00018878i,-0.00019745+0.00051821i,-0.00030823+0.00069808i,-2.0091e-05+0.00045538i,0.00029652+0.00013179i,0.00036811-0.00028712i,-0.00044546-0.00060274i,-0.00071538-0.00068563i,-0.00052966-0.00086706i,-0.00019396-0.00034046i,-4.8686e-05+0.00010332i,0.00028373+0.00010608i
5.4625e-05+0.0010737i,0.00030564+0.001245i,-0.0010421+0.00084776i,-0.0010075+0.00029603i,0.00053761-8.8695e-05i,0.0013977-0.00094045i,0.0011945-0.0011418i,0.00052634-0.0006445i,-2.6074e-05-4.8359e-05i,-0.00043662+0.00034974i,-0.0011679+0.00017877i,-0.00052931+0.00037608i,0.00041238+0.0010154i,-4.0548e-05+0.00040852i,-0.00018327+0.00018072i,-2.4668e-05+0.00046783i,0.0003544+0.00015926i,-0.00013642+3.9741e-05i,-0.00074137+0.00035883i,-0.00035733+0.00062832i,0.00093479+0.00039416i,0.0015474+0.0005877i,0.0013578+0.00027639i
0.00032184+0.0021629i,0.0006725+0.0020689i,0.0017041+0.00066947i,0.0025587+0.00023466i,0.0015982+0.00077457i,0.00025798+2.4451e-05i,0.00048259-0.00097583i,0.00036595-0.00084399i,-1.0943e-07-0.00011164i,3.4018e-05+0.0003949i,-0.00020015-0.00013874i,-0.00020653-0.00084335i,-0.0001656-0.00035918i,-0.00019996-5.8305e-05i,-3.5213e-05-0.00023248i,-0.00037504-0.0001654i,-0.00025827+8.8072e-06i,0.00037417+0.00047765i,0.00011357+0.00013173i,-0.00031692-0.00044548i,8.3499e-05-0.00039867i,0.00047586+0.000199i,8.3333e-05+0.00023178i
-0.0018136+0.0010042i,-0.0016927+0.00011537i,-0.0012047+0.00072641i,0.00072887+0.0018324i,0.0024776+0.00096823i,0.0021296-0.000849i,0.0010164-0.0013079i,0.00063003-6.2503e-05i,5.539e-05+0.0010337i,0.00028733+0.00096052i,9.4978e-05+0.00055727i,-3.3706e-05+0.00048578i,9.5664e-05+0.00030826i,-7.3196e-06+0.00024043i,-0.00029031+0.00041704i,-0.0005741+0.00040554i,-0.00055729-0.00036488i,-0.00050349-0.00096584i,-0.00046746-0.00037555i,-0.00039806+0.00064667i,-0.00029814+0.00057207i,-0.00025302+0.00023783i,-0.00056433+6.3005e-06i
-0.00017157-0.00093645i,-8.5489e-05-0.00078951i,-0.00081384+9.6851e-06i,-0.00069437+0.00032131i,-2.7227e-05+0.00021652i,0.0010807-6.5407e-05i,0.0014203-0.00070614i,0.00061213-0.0013017i,-0.00039074-0.00093729i,-0.00073895+0.00023351i,-0.00087522+0.00063172i,-0.0011201+0.00070374i,-0.00082893+0.00097804i,0.00024461+0.00059644i,0.0010402-0.00015326i,0.00076794-0.00098771i,0.00014184-0.00079785i,-0.00024957+0.00025517i,-0.00060563+0.00048271i,-0.00023258+0.0001583i,-0.00024053+0.0002255i,-0.00032954-0.00027794i,4.4005e-05-0.00080019i
0.0025725+0.001493i,0.0021907+0.0013308i,0.0023447+0.0016137i,0.0017871+0.0013698i,0.00074352+0.0002984i,0.00018484-0.00069666i,0.00014818-0.0011639i,-0.00073824-0.0013664i,-0.0009621-0.0010033i,-0.00046758-0.0001749i,-0.00045163+0.00059349i,-0.00039817+0.00084155i,-0.00036684+0.00053522i,0.00056258-0.00027871i,0.0010825-6.8255e-05i,0.0009992+4.4385e-05i,0.00092673+0.00048138i,0.00044774+0.0018796i,0.00041102+0.0012381i,0.00089407-7.1243e-05i,-2.6564e-05-0.00062312i,-0.00033026-0.00044501i,0.0010485+0.00019482i
-0.00020579-0.00096208i,-0.0014743-0.00021212i,-0.0014139-5.687e-06i,-0.001569-0.0015779i,-0.0015342-0.0020076i,-0.0010153+4.4643e-05i,-0.00096808+0.0008497i,-0.00091007+0.00025175i,-0.00059804-0.00048826i,-0.00032342+5.6732e-05i,-0.00030462+0.00040082i,-0.00010779+0.0003054i,-0.0002691+0.00072885i,-0.00060113+0.00059095i,0.00011103+0.00046276i,0.00027065+8.7783e-05i,-9.9613e-05+0.00034576i,-0.00030791+0.00031056i,-4.4583e-05-5.0799e-05i,0.0002997+0.00010373i,0.00012737+0.00013428i,-0.00049441-8.6171e-05i,-0.00050849-0.00061743i
