-0.0020231+0.0010112i,-0.00024891+0.0002944i,-0.00085851-0.00013717i,-0.00053131+0.00019054i,2.9897e-07+0.001392i,-0.00039428+0.0012822i,-0.00077908+0.0013402i,-0.00036862+0.0020916i,-0.00010743+0.0015285i,-1.4107e-05+0.00058946i,4.9572e-05+8.9811e-05i,-0.00047339-0.0003308i,-0.00078549-0.00047057i,-0.00073999-0.00091869i,-0.00093672-0.00044912i,-0.0010625+0.00051683i,-0.0004665+0.00051107i,1.6981e-05+0.00018248i,-0.00021606-0.00035758i,-0.00060752-0.0010455i,0.00032732-0.00089174i,0.00089391-0.00020889i,-0.00021449+0.00022766i
-0.0016354-0.00042913i,-0.00021122-0.00015878i,7.448e-06+0.00024966i,6.0039e-05+0.0010297i,0.0012923+0.0011212i,0.001558+7.9783e-05i,0.00087507-0.00091466i,0.00050407-0.0013359i,8.4567e-05-0.00088856i,-0.00020399-0.00039625i,-0.00043276-0.00060454i,9.4514e-05-0.00033107i,0.00080887+3.3979e-05i,0.00020043-0.00032698i,-0.00025781-0.00061737i,0.00041558-0.00030679i,0.00038279+0.00035297i,4.8655e-05-3.2435e-05i,0.00018894-0.00050878i,0.00045419-0.0004063i,-0.00026346-9.4173e-07i,-0.000699+0.00036693i,-0.00019482+0.00039928i
0.0001862-0.00054157i,0.00035938-0.00012584i,0.00019804-0.0002009i,3.7909e-05+0.00044829i,-4.9605e-05+0.0005287i,-0.0002698-9.8693e-05i,-0.00093726-0.0011449i,-0.00074496-0.00075869i,-0.00058517-0.00022555i,-0.00043652+0.00010108i,7.6256e-05+0.0001954i,-5.3037e-05-0.00028668i,-6.9127e-05-0.00024432i,0.00065752+0.00019162i,0.00098992+0.00032511i,0.00031222+5.7339e-05i,7.4361e-06+0.00033578i,5.8816e-05-0.00020616i,-0.00019936-0.00074873i,-0.00077455-0.0004449i,-0.00042142-0.00052479i,0.00010775+4.6308e-05i,-0.00049686+0.00025508i
-2.2683e-05+0.0016751i,-0.00012522+0.0014369i,-0.0002898+0.0011062i,0.00074066+0.0014621i,0.00083246+0.00050031i,0.0003275-0.000537i,-5.7559e-05-0.00026989i,-6.9259e-05-3.627e-05i,7.9859e-06-0.00094304i,-7.8217e-05-0.0011119i,0.00016705+5.0878e-05i,0.00044469+0.00020464i,-0.00048379+7.039e-05i,-0.001374+0.0008793i,-0.0010341+0.00098497i,-0.00039132+0.00044211i,-0.00070763+0.00036998i,-0.00078373+0.00046233i,2.0908e-06+0.00010625i,0.00019902-0.00017573i,-4.037e-05-9.806e-05i,-0.00026992+3.6792e-06i,0.00018077+0.00014725i
-2.4129e-05-0.00057061i,0.0010254-0.00016845i,0.0014386+0.00019124i,0.0011351+0.00040891i,0.0014067+0.00074449i,0.0017158+0.00016897i,0.00091609-0.00062067i,-0.00044819-0.00062123i,-0.0013442-0.00065848i,-0.0010931-0.00065748i,-0.00014298+0.00015026i,0.00014432+0.00096002i,-8.5541e-05+0.00056327i,-0.00052165+5.4146e-05i,-0.00067612-6.7548e-05i,-0.00010883+0.00025206i,0.00077509+0.00021579i,0.0011018-6.8328e-05i,0.00047381-0.00022127i,-0.00038072-0.00015924i,-0.00031717+0.00014834i,0.00067+1.9875e-05i,0.0008039-4.6577e-06i
0.0007386+0.0010294i,-0.00045077+0.0012976i,3.8438e-05+0.00086328i,0.0010146+0.00036123i,0.0010317-0.00049923i,0.00027837-0.0012406i,-0.00016855-0.0011763i,-0.00021877-0.00084134i,0.00010748-0.00068706i,-0.00028471-0.00030021i,-0.0011062+8.3461e-05i,-0.0007318+0.00024742i,0.00020206+0.0004578i,0.00097935+0.0010193i,0.00048703+0.0013414i,-0.00082036+0.0013141i,-0.00077991+0.00099245i,-0.00025838+0.00022616i,-0.00061999-0.00046948i,-0.00090526-1.5584e-05i,-0.00040642+0.00080647i,-0.00033611+0.00039167i,-0.00028145-6.8147e-05i
-0.0014853-0.00042576i,-0.00062307-0.00018361i,-0.0004259+0.00036613i,-0.00029719+0.00056236i,0.00036121+5.3596e-05i,0.0012024-0.00078356i,0.00032915-0.00085202i,-0.00081112-0.00030865i,-0.00042701-0.00048685i,0.00036357-0.0006099i,-0.00027653-0.0001924i,-0.00050598-0.00086514i,0.00031435-0.001615i,0.00019006-0.0011632i,-0.00048926-0.00038918i,-0.0007622+0.0002618i,-0.00046624+0.00040056i,-5.4156e-05+0.0001069i,-0.00031983-0.0001141i,-0.00067212+0.00066711i,-0.00060569+0.00077625i,-0.00021868+0.00020804i,0.00011676+4.6578e-06i
-0.00052482-0.0006714i,0.00011929-0.00024452i,0.00039797+0.00089103i,5.1721e-05+0.00054048i,0.00046083-4.2331e-05i,0.00010685-4.1176e-05i,-0.000951+0.00032166i,-0.0013922+0.00056964i,-0.0010788-0.00010925i,-0.00070895-0.00060544i,-0.00044033-0.00069532i,-0.00014799-0.00081471i,0.00017135-0.00074676i,0.00019924-0.00079021i,-5.0347e-06-0.00073988i,-0.00019264-0.00068529i,9.066e-05-4.8395e-05i,-0.00012836+0.00059798i,-0.00065692+0.00046001i,-0.00044825-7.0241e-05i,5.49e-05-0.00015725i,0.00062937+1.7158e-05i,0.00098175+0.0003367i
0.0004125-0.00066021i,-0.0010627+0.00053176i,-0.0019167+0.00055275i,-0.0014183-0.00065362i,-0.00031501-0.00030537i,1.2904e-05-0.00023781i,0.00024856-0.00047288i,0.00016712+6.5544e-05i,-0.00071367-0.00054484i,-0.0012035-0.00077559i,-0.0008533-0.0005165i,-0.00021188-0.00045976i,0.00015011-0.00075699i,3.3066e-05-0.00049432i,-7.0384e-05+3.8146e-05i,0.00070593-0.00019306i,0.00097875-0.00024603i,0.00031524+0.00022503i,-0.00025407-9.5933e-05i,-0.000836-5.848e-05i,-0.0010627-7.9343e-05i,-4.6659e-05-0.00030104i,-0.00010553-4.942e-05i
-0.00066141+0.00076226i,-0.00069177+0.0016232i,-0.00048381+0.0017018i,-0.00032427+0.0018001i,0.00056934+0.00052452i,0.0013408-0.0004585i,0.00045426-8.7507e-05i,-0.00031662+0.00012855i,-0.00056265-0.00084673i,-0.00016835-0.00082078i,-0.00052276+0.0003605i,-0.00093394+0.00061235i,-0.00065428-5.4484e-05i,-0.00014831-0.00043279i,0.00039857-0.00024922i,-1.6665e-05+4.7163e-05i,-0.00055977+0.00039764i,-0.00026415+0.00064898i,0.00043974+0.0012093i,0.00050628+0.0008327i,-0.0005035+0.00018867i,-0.00084207+0.0001144i,-0.00029439+5.6229e-05i
-6.943e-05+3.4677e-05i,-0.00087322+0.00024281i,-0.00092978+0.0012052i,0.00032326+0.0015616i,0.0010549+0.00073956i,0.00080264-0.0007286i,-0.00037424-0.0014528i,-0.00031872-0.0010931i,1.2415e-05-0.0008016i,-0.00031578-0.00056034i,-5.2693e-05+0.00015425i,0.00026622+0.00027993i,0.00057248+0.00010567i,0.00069847+1.5899e-05i,0.00028894-9.1914e-05i,0.00042698+9.7241e-05i,0.00034401+0.00028984i,-9.9907e-05+3.2698e-05i,-0.00048111+0.00043685i,-0.00048334+0.00083955i,0.00018212+0.00088995i,8.0853e-06+0.00069371i,-0.00018808-0.00022499i
