0.0016597+0.0029531i,0.00032037+0.0017275i,-0.0017185-1.1922e-05i,-0.0021126-0.00019318i,-0.0024432-0.00016205i,-0.0033762+0.001553i,-0.0022707+0.0026704i,0.00010994+0.002201i,0.0010515+0.0011111i,0.0004761-0.00033326i,-0.00032764-0.00017846i,-0.0009197+0.00070705i,-0.0011222+0.0014216i,-0.001032+0.001331i,-0.0010134+0.00053095i,-0.0013048+0.00048105i,-0.0015648+0.0004721i,-0.00063604+0.00089565i,0.00060329+0.00093378i,0.00053481+0.0004086i,0.00010146-0.00027664i,0.00021587-0.00079844i,-0.00037279-0.0010951i
-0.0013756+0.00098442i,-0.0021569+0.0020568i,-0.0033918+0.0024504i,-0.0019755+0.0013675i,-0.00022794+0.00063465i,-0.00019778-0.00017162i,-0.0006105-0.0008534i,-0.0009742-0.00048155i,-0.0013015+0.00063545i,-0.001044+0.0016581i,-0.00022158+0.001062i,0.00044695+0.00055291i,0.00010375+0.00079059i,0.00012724+0.00049302i,0.0008832-9.2344e-05i,0.00040717-0.00092496i,1.565e-05-0.00067779i,0.00020901+0.0001757i,0.00013496+0.00014533i,-0.0001908-0.00042415i,-0.00043277-0.00046331i,-0.00067814+0.00063679i,-0.0006846+0.0011402i
0.00029908+0.0026944i,0.00042028+0.0023731i,-0.00057932+0.0024116i,-0.00065406+0.0011623i,-6.5217e-05-0.00080807i,-0.00038489-0.00067677i,-0.00092879-0.00033967i,-0.0010097-1.3145e-05i,-0.00054921-0.00012692i,-0.00020488+0.00018748i,-0.00036447+0.00075681i,-0.00043547+0.00076146i,-0.00064316+0.00059159i,-0.001234+0.0003295i,-0.00049137-0.00041377i,0.00054799-0.00030909i,0.00084403+0.00026462i,0.00041762+3.0022e-05i,-0.0004041-0.00044558i,-0.00060155-0.00070489i,0.00025978-0.00055611i,0.00052903-0.00026418i,0.00034393+0.00067037i
0.0011078+0.0015183i,-0.00085943+0.0014397i,-0.0027448+0.001426i,-0.0023804+0.0016869i,-0.0013538+0.0011386i,-0.00055093+0.00067406i,0.00023185+0.00064111i,0.00071469+0.00026758i,0.00040986-0.00014112i,-2.6122e-05-0.00013651i,-0.00016887+9.2491e-05i,-0.00028897-0.00047997i,-0.00047603-0.00043242i,-0.00057486+0.00024879i,-0.00058688+8.7256e-05i,-3.4602e-05-7.1778e-05i,0.00038744+0.00050957i,0.00026763+0.00058549i,0.00072009+0.00040744i,0.0012966+0.0002352i,0.0009803-0.00045808i,0.00045807-0.00098857i,-0.00012341-0.00022384i
-0.00064622+0.00030804i,-0.00094548+0.0012639i,-0.0018629+0.00093145i,-0.0020455+0.00061977i,-0.0010896+0.00062501i,-0.00023459+0.0013806i,-0.0002251+0.00072192i,-0.00037208+3.1172e-06i,-0.00042649-0.00050584i,-6.011e-05-0.00041612i,0.00019969+0.00032995i,0.00041149+0.0006018i,0.00086785+0.00069407i,0.0011138+0.00052104i,0.00060863+9.7852e-05i,0.00038542-0.00013569i,-6.9537e-05-0.00023388i,-0.00052722-0.00028191i,0.00026458-0.00058892i,0.00043064-0.00044597i,-0.00048729+0.00040999i,-0.00074014+0.00088196i,0.00019414-6.1567e-05i
-0.00045256+0.00047697i,-0.0016978+0.0013063i,-0.0028301+0.0020112i,-0.0025776+0.0018649i,-0.0012154+0.0013213i,-0.00011286+0.0010125i,-0.00013386+0.00046016i,-0.00092201-0.00062877i,-0.0013204-0.001035i,-0.00071039-0.00049256i,-0.00015421+0.00020586i,4.4229e-05+0.00079796i,0.00047094+0.00066608i,0.00086515+0.00053402i,0.00041763+0.00063566i,3.0416e-05+0.00034505i,-0.000292+0.00034641i,-0.0015346+0.00016047i,-0.0018907-0.00015809i,-0.00043197+0.00035352i,0.00031212+0.00029876i,0.00028799-0.00027932i,0.00044592-0.00014661i
0.0023529+0.0016606i,0.0013943+0.0016808i,0.00052942+0.0012809i,-0.00028664+0.00018048i,-0.00039251-0.00022649i,-0.00027735-0.00016776i,-0.00057369+6.4642e-05i,-0.0006262+0.00048124i,-0.00061325+0.00068506i,-0.0003647+0.00079774i,-0.00022607+0.00028189i,-0.00050935-0.00024381i,-0.00064413-0.00025098i,-0.00073145-0.00048908i,-0.00078794-0.00062719i,-0.00039248-0.00042494i,0.00017518-5.9928e-05i,0.00022217+0.0005144i,0.00016534+0.00062806i,-2.9642e-05+0.00021938i,-0.00068794-0.00025406i,-0.00065608-0.00031313i,-0.00022873+0.00045504i
-0.00011003+0.002356i,-0.00078044+0.0025393i,-0.0014307+0.0022784i,-0.00044263+0.0020667i,0.00015579+0.0019372i,-7.3693e-05+0.0015977i,-0.00014952+0.0012285i,-0.00053148+9.6653e-05i,-0.00075841-0.00053711i,0.00021318+0.0005195i,0.00042813+0.0010004i,-0.00054766+0.00035821i,-0.00067071-0.00010912i,-4.0981e-05+0.00013154i,0.0004493+9.0054e-05i,0.00053526-0.00042697i,-0.00030263-0.00031921i,-0.00060855-9.4302e-05i,0.00025363-0.00054385i,0.00036659-0.00053708i,0.00027755-0.00015339i,0.00032575+3.109e-05i,0.00039091+0.00020584i
-0.0010336+0.0014544i,-0.0024967+0.0013324i,-0.0033259+0.00071064i,-0.0021847-0.00028543i,-0.00091159-0.00080034i,0.00032359-0.00020515i,0.00082127-0.00011757i,0.0002593-0.00058855i,-0.00037681-0.00046416i,-0.0010682+0.00078219i,-0.00090535+0.00061644i,-4.1003e-05-9.311e-05i,1.4276e-05+0.00013939i,-0.00019485+0.00046083i,-0.0005862+0.0002121i,-0.00043864-0.00014487i,-0.00064022-0.00039904i,-0.0010396-0.00034129i,-0.00018828-0.00029035i,-5.2951e-05+5.6642e-05i,-0.00022133-0.00049001i,2.7327e-05-0.00090361i,-0.00013185-0.0006066i
0.0010857+0.0016776i,0.00064242+0.0025772i,0.00035425+0.002455i,0.00046592+0.00094384i,0.0004867+4.078e-05i,0.00077107+0.00058814i,0.00049219+0.00049551i,-0.00053789-0.00015423i,-0.00080372-0.0003304i,-0.00065245-0.00052528i,-0.00078822-3.3072e-05i,-0.0012295+0.00019608i,-0.00096186+0.00060105i,-0.00062791+0.00084212i,-0.001028+0.00034564i,-0.0012312+9.3638e-05i,-0.00062733+3.4967e-06i,-0.00020883-6.0345e-05i,-0.00078669+0.00031888i,-0.00086534+0.00015058i,-0.00034229-0.00029687i,-0.00060924+0.00025264i,-0.00044895+0.00020625i
0.00064592+0.0041846i,-0.0006148+0.0038478i,-0.00124+0.0032019i,5.4264e-05+0.0015651i,0.00081757+0.00020345i,-0.00048913-0.000546i,-0.0012773-0.00077145i,-0.0011252-0.00047817i,-0.00076005-0.00025714i,-0.000702-0.00042577i,-0.00083196-0.00059486i,-0.0014144-0.0004434i,-0.0019115-0.00044344i,-0.0014216-0.00048396i,-0.0007729-0.00028959i,-0.00055485-0.00033936i,-0.00079223-0.0011092i,0.0002003-0.0016459i,0.0011251-0.00041829i,0.00066888+0.00066723i,0.0003476+0.00047563i,0.00041731-6.5033e-05i,0.00087006-0.00034686i
