-0.002622+0.001005i,-0.0013267+0.00063637i,-0.0016592+0.0011801i,-0.0006168+0.0014712i,0.00025601+0.0014263i,-0.00057221+0.0012298i,-0.0015191+0.00095594i,-0.00076257+0.001374i,0.00069131+0.00108i,0.001187+0.00020604i,0.00072213-6.9492e-05i,0.00075242-0.00027221i,0.00072495-0.0007275i,-0.00033426-0.0006084i,-0.0012912-0.00018385i,-0.0009949-0.00020123i,-0.00027296-0.00069443i,-3.0039e-05-0.0010692i,0.00022329-0.00088055i,-4.1261e-05-0.00027684i,-7.0304e-05-0.0002906i,0.00051325-0.00067988i,0.00047323-0.00067879i
0.00044786+0.00018636i,-0.00026627+0.00016028i,-0.00078577-0.00020525i,-0.0010196-0.00094583i,8.3492e-05-0.0016065i,0.00089555-0.0012692i,-0.00038371-0.00033665i,-0.00084634-0.00051705i,-0.00034576-0.00090589i,-0.00014149-0.00084627i,0.00033957-0.00090786i,0.00038594-9.7996e-05i,4.9266e-05+0.00011628i,-0.00047595-0.00078179i,-0.001117-0.0014846i,-0.0012415-0.0008419i,-0.0011105-0.00039315i,-0.0013346-0.00037303i,-0.0011057+0.0001418i,-0.00071538+0.00039676i,-0.00087618+0.00063188i,-0.00047503+0.00050777i,3.0498e-05+0.00038682i
0.00072648+0.0020434i,0.00066984+0.0011128i,0.0021856+0.00093064i,0.002656-8.8126e-05i,0.0010555-0.00051385i,-0.00010792-0.00058613i,-7.9696e-05-0.00071874i,0.0004395-0.00075425i,0.00017148+3.0179e-06i,-0.00037277+0.00033859i,-0.00045814+1.7255e-05i,0.00025222-0.00065246i,0.00055382-0.00087862i,-0.00017465-0.00015049i,0.00021494+0.00026793i,0.00063531+0.00069164i,0.00059326+0.00051696i,0.00040921+0.0001144i,9.6946e-05-0.00023695i,0.00021787-0.00058791i,0.00043028-0.00045335i,0.00044027+3.5721e-05i,-6.8845e-05-0.00017762i
0.0021312+0.0005397i,0.0021761+0.0012543i,0.0030967+0.00080222i,0.0026274-5.9366e-05i,0.0014805-0.00076646i,9.3201e-05-0.00042168i,-0.00090704-3.726e-05i,-0.00062921-0.00018131i,-0.00013151-0.00023584i,1.0717e-05+1.0348e-05i,6.9753e-05+0.00023765i,7.2426e-05+0.0004413i,-0.00088182+0.00024438i,-0.0013217+0.00046244i,-0.0012512-0.00012127i,-0.00065042-0.00092317i,0.00035542-7.6423e-05i,0.001364+0.00014251i,0.00065917-0.00063027i,-0.0008982-0.00093091i,-0.0013214+0.00016869i,-0.00098366+0.0010647i,-0.00043115+0.00030727i
0.0013314+0.0010962i,3.1445e-05+0.00020218i,0.00021652-0.00033263i,0.0015184-0.0013761i,0.0016792-0.0015932i,0.00075994-0.00070795i,0.00038925+0.0003969i,0.00028304+0.00033235i,0.00036051-0.00015353i,0.00038157-0.00039332i,7.3178e-06-0.00059381i,-0.00038476+3.9316e-05i,9.9566e-05+0.00080819i,0.00082632+0.0002634i,0.00035331+0.00055188i,-0.00082794+0.00096441i,-0.00058482+0.00033386i,-0.00031911-9.4661e-05i,-0.00098672-0.00023863i,-0.0014564-0.00027077i,-0.0011097-0.00070021i,-0.00047709-0.00052006i,-0.00030731+4.1661e-05i
0.0011592-0.00012548i,0.0020348+7.1144e-05i,0.0020708+0.0015499i,0.0014982+0.00092085i,0.0014136-0.00044957i,0.00032529+7.4024e-05i,-0.00053923+0.00015668i,1.7889e-05-0.00053461i,-0.00010914-0.00029706i,-0.00030971+5.5575e-05i,-0.00020466+0.00031481i,-0.00044478+0.00012885i,-0.00029243+0.00017134i,-0.00013901+0.00065264i,-0.00092478+0.00062102i,-0.0011184+0.00049248i,-7.4341e-05+0.00021771i,0.00024973+0.00039072i,-3.4466e-05-0.00027774i,-0.00015789-0.00082005i,-1.9996e-05-0.00049032i,-0.00025554-9.4624e-05i,-0.00074734+0.00036238i
-0.00031707+8.0243e-05i,-0.00049552-0.00072461i,4.4064e-05-0.00071507i,0.00044691+0.0004046i,0.00031789+0.00087125i,0.00036848+0.00037298i,3.3318e-05+0.00010391i,-0.00048419+0.00032326i,-0.0001063+0.00069295i,0.00022138+0.0012153i,0.0002249+0.00089634i,-0.00028032-0.00012614i,-0.0005889+0.00036245i,-0.00025252+0.00066206i,0.0003342+0.00019875i,0.00023257+0.00044129i,-0.00018226+0.0010567i,1.2721e-05+0.00052622i,0.00022071-0.00017079i,0.00030925-0.00010059i,0.00077184+0.0002094i,0.00021391-0.00026026i,-8.1257e-05-0.00045947i
-0.00077339+0.0012959i,0.00081255+0.001468i,0.0013957+0.0016777i,0.0012043+0.00093434i,0.00035138-0.00031597i,-0.00025772-0.0014168i,-0.00052875-0.00086441i,-0.00085118-6.9691e-05i,-0.0011874+0.00013352i,-0.00073651+0.00052731i,0.00027053+0.00010583i,0.0010893-0.00010854i,0.00050759+0.00028715i,-0.00031994+9.7887e-05i,0.0001184-0.00028586i,0.00018864+7.9519e-05i,0.00036908+0.00038163i,0.00041943+0.00060721i,8.6074e-05+0.00042331i,-0.00024488-7.8139e-05i,-0.00067807+2.5539e-05i,-0.00093342-8.2757e-05i,-0.00073257-0.00031432i
0.0013538-0.0003565i,0.0015307-0.00056849i,0.00092078-0.0010101i,0.0005628-0.0012424i,0.0005138-0.00077217i,0.0005762+0.00053756i,0.0001073+0.00096234i,0.00015453+0.00012519i,0.00016007-0.00056966i,7.5992e-05-0.00032413i,-0.0005597-0.00019112i,-0.00099182+0.00055445i,-0.00099091+0.00099013i,-0.0011411+0.00095647i,-0.0006521+0.0011718i,-0.00029435+0.00097404i,-0.00023759+0.00032368i,-0.00042603-0.00040342i,0.00031855-0.00076792i,0.00065293-0.0014697i,-0.00047137-0.0010861i,-0.00093979-2.5359e-05i,4.7082e-05-0.00064113i
-0.001991-0.0011461i,-0.00066998-0.0006543i,-0.00048872-0.00096025i,-5.7559e-05-0.00081012i,0.00060502+0.00088678i,0.00059055+0.0011848i,-0.00015628+0.00029779i,-0.00055048-0.00033524i,-0.00027763-0.00035119i,-0.00017199-0.00026576i,-3.8939e-05+0.00014938i,-0.00035222+0.00097762i,-0.0006857+0.00065909i,-0.00095637+0.00016729i,-0.00024602+0.00034759i,0.0004496+0.0006535i,0.00028254+0.00098219i,0.00019206+0.00023135i,0.00040871-0.0011529i,0.00021361-0.0010406i,3.5671e-05-3.9572e-05i,-8.0099e-05+9.9441e-05i,-0.00025638+0.0005037i
0.001145-0.0011742i,0.00062763-0.0010402i,-0.00041542-0.0015462i,-0.00039042-0.0010728i,-4.9798e-05-0.00037328i,-0.00017673-0.00079538i,-0.00032308-0.0011747i,-0.00070005-0.00088125i,-0.00055204-0.00043812i,-0.00017979-0.00030152i,-0.00013083-0.000111i,5.8792e-05-0.00017559i,7.1976e-05-0.00011441i,-0.00081625+0.00056335i,-0.0014407+0.0010092i,-0.0013445+0.00091037i,-0.0011207+0.00067224i,-0.00043231+3.1822e-05i,-5.2049e-05-0.00032845i,-0.00024709-0.00030449i,-0.00032308-0.00030005i,-0.001118+7.1433e-05i,-0.0013304-0.00020408i
-0.00036104+0.0033581i,8.6287e-05+0.00307i,0.0013928+0.0020587i,0.0018323+0.0016081i,0.0015521+0.0010338i,0.00028788-0.00033308i,-0.00041992-0.00096083i,-0.0001768+6.0279e-06i,0.00027648+0.00030201i,0.00042006-0.00022223i,0.0005471-0.00023278i,0.00058483-0.00033183i,0.00059438-0.00088305i,0.00031445-0.00035373i,-0.00045985+0.00063682i,-0.0012833+0.00021472i,-0.00088103-0.00043419i,-0.00041847-0.00066998i,-6.5047e-05-0.001238i,7.2547e-05-0.00051602i,7.0505e-06+0.00056717i,0.00019481+0.00045533i,0.00044438+5.0559e-05i
-0.00029497-0.00076659i,-0.00041873-0.0011178i,-0.00014075-0.00082127i,-0.00033499+0.00024918i,-1.0037e-05+0.00035165i,0.00058442+3.3947e-05i,0.00081072+4.3452e-05i,0.0006011-5.1359e-05i,0.00068197-0.0002435i,0.00030338-0.0001094i,-0.00041125+0.00010234i,-0.00045699+0.00079693i,-0.00066577+0.00077061i,-0.00062133+7.0556e-05i,2.79e-05+0.00024585i,-9.4104e-06+0.00026409i,-0.00044235+0.00040669i,-0.00010833+0.00040422i,-0.00037155-2.9489e-05i,-0.0012346-0.00050744i,-0.00071154-0.00045776i,-4.9572e-05+0.00063337i,-0.00027776+0.0012343i
