-0.0014316+0.0003225i,-0.0012717-0.00016464i,-0.0016567+0.0009025i,-0.0019484+9.2794e-05i,-0.0012258-0.0010226i,-3.6917e-05-0.00011083i,-0.00040464+0.00062232i,-0.00053461+0.00049218i,9.6674e-06+0.00033391i,0.00066966-0.00013964i,0.0008078-0.0011302i,-2.0771e-05-0.0013295i,-0.00032669-0.00072093i,0.00045301+0.00033688i,0.00053039+0.00047428i,1.9201e-05+5.569e-05i,4.2416e-06-0.00018872i,0.00041562-0.00025869i,0.00023228-8.364e-05i,-0.00032754+0.00065176i,-0.00049276+0.0011698i,-0.0013379+0.00016825i,-0.0010689-0.00038973i
-6.6448e-05+0.0014223i,0.00048964+0.0020156i,0.0012615+0.002519i,0.001765+0.0017237i,0.0018834+0.0010661i,0.001282+0.00065959i,0.00082159+0.00060818i,0.0010261+0.00018805i,0.0017301-7.7132e-05i,0.0016867+1.9937e-05i,0.00090857+4.9095e-05i,5.0552e-05+0.00024266i,-0.00014517-0.00031385i,0.0001036-0.00028713i,-0.00017522+0.00018899i,-0.00042119+0.00056276i,-0.00042606+0.00053564i,-0.0005995-0.00022057i,-0.00095975-0.00059936i,-0.00027526-0.00028148i,-0.00029627-0.00021562i,-0.0007638-9.4893e-05i,-0.00047186+0.00042213i
0.00066755+0.0014314i,0.00071381+0.0011035i,0.0010742+0.00094217i,0.00086883+0.00070111i,0.00075936+0.00081773i,0.00069749+0.00097498i,0.0007797+0.00047537i,0.00048835+0.00062373i,0.00059526+0.00070481i,0.0006506+0.0001691i,0.00040337-0.00044307i,0.00041315-0.0003232i,0.00041034+0.00029209i,0.0001735+0.00033704i,-0.0006415-4.1295e-05i,-0.00070717-0.00061463i,-0.00052078-0.00096485i,-0.00084601-0.00060349i,-0.0010956-0.00042344i,-0.00065478-0.00083161i,-0.00025014-0.00055072i,0.00012296-0.00030261i,0.00011745-0.0001902i
-0.00090729+0.0014402i,0.00032727+0.0020277i,0.0013684+0.001433i,0.0016645+0.00094021i,0.00093294+0.00084945i,0.00043143+0.00038138i,0.00035924-0.00022034i,-0.00016598-0.00049722i,-0.00024083+0.00029746i,0.00016288+0.0010456i,-0.00015029+0.00041938i,-0.00034906-7.5947e-05i,-0.0005732+0.00024616i,-7.7683e-05+0.00033515i,0.0004251+0.00068445i,0.00067037+0.00036766i,0.0010512-0.00010916i,0.00066617+0.00027713i,0.00014648+0.00010751i,8.0603e-05-0.00030017i,-0.00040298-0.00035006i,-0.0011646+0.00014126i,-0.0014847+0.00052689i
-0.00012464+0.00013599i,-0.00046687+0.00077419i,-0.00036678+0.00046695i,-0.00033563-0.0001512i,-0.00059576-0.00017573i,-0.00089523-0.00041851i,-0.00095564-0.00020946i,-0.00054314-3.7942e-05i,-0.00053349-5.8536e-06i,-0.00071129-0.00023333i,-0.00035795+1.6245e-05i,-0.00024789+0.0017105i,-0.00065024+0.0021279i,-0.00041686+0.00064512i,0.0010459-3.5693e-05i,0.0011185+0.00016158i,-0.00023887-2.3445e-05i,-0.00031875+0.00020113i,0.00027995+0.00071422i,0.00078873+0.00064848i,0.0008284+0.00041512i,0.00037477+3.7256e-05i,4.9809e-06-0.001208i
0.00031879+7.4342e-05i,9.6288e-05+0.0010438i,2.9086e-05-9.178e-05i,-0.00050636+0.00015562i,-0.00082519+0.0011571i,-0.00053813+0.0011884i,-8.5646e-05+0.00068735i,0.00016133+0.00037075i,0.00056157-0.00014559i,0.00026844-0.00029383i,0.00037157-0.00039637i,0.00064285-0.00044251i,-0.00011896-8.3141e-05i,-0.00032467-6.77e-05i,0.00010132-0.00015112i,0.00061754-0.00019128i,0.00069581+0.00010997i,8.6721e-05-0.00017836i,-0.00021277-0.00085169i,-2.015e-05-4.9355e-05i,-0.00012545+0.00060357i,0.00010888+0.00047793i,0.00017805+0.00064187i
-0.0012295+0.0014505i,-0.0010684+0.0019056i,-0.00049727+0.0013383i,0.0003324+0.00029438i,0.00075122+0.00042754i,0.0010951+0.0012131i,0.00072621+0.00019614i,0.00037123-0.00011099i,0.00054648+0.00054023i,-0.00028236+0.00066086i,-0.00077517+0.00052916i,-0.00082126-0.00013313i,-0.00079882-0.00090503i,-0.00072744-0.0011643i,0.00010396-0.0015854i,0.00030473-0.0012074i,1.14e-05-0.00018317i,0.00036973-0.00018736i,-0.00017208+0.0004632i,-0.00102+0.0019846i,-0.00097189+0.0015354i,-0.00053026+0.00012249i,-0.00010734+5.6357e-05i
0.00024601+0.00097285i,0.001114+0.001926i,0.001121+0.0017148i,0.00094042+0.0013799i,0.0013392+0.00061899i,0.0012899-0.00030353i,0.00035342-0.0010331i,0.00022498-0.00078619i,-0.00011626-0.00063189i,9.8714e-05-0.00072982i,0.00033948-1.9551e-05i,-7.5596e-06+0.00025983i,0.00025181+0.00032371i,0.00044313+0.00031422i,-7.1044e-05+0.00031546i,-0.00047173+0.00088929i,-0.00056375+0.00066862i,-0.00031351+0.00045258i,-0.0002364+0.00032223i,-0.00018712-0.00031091i,-0.00035471-4.9676e-05i,9.399e-05+0.00056165i,0.00077824+0.00069378i
-0.00063094+0.00093886i,-0.00072839+0.0010874i,-0.0017947+0.00097309i,-0.00146+0.00095164i,-0.0006704+0.00052974i,-0.00048863+0.00011342i,2.9169e-05-0.00011423i,0.0006267+0.00017825i,0.00076705-0.00069675i,0.00065799-0.00075286i,0.00018643+0.00046225i,-0.00036609+5.3008e-05i,-0.00037921-0.0013007i,-0.00030635-0.0010314i,-0.00053309-8.5593e-05i,-5.9313e-05-0.000308i,-0.00023653-0.00092224i,-0.0008937-0.00085562i,-0.00047156-2.7289e-05i,0.00026953+0.00033974i,0.00074402+0.00027382i,0.00034524+0.00048181i,0.00020481+2.8175e-05i
-0.00022643-8.7685e-05i,0.00091773-0.00040525i,0.00066042-0.00089675i,0.00030123-0.0011264i,0.00052538-0.00071609i,0.00087526-0.00048018i,0.0006814-0.00011276i,0.00030928+0.00030572i,-4.8637e-05+0.00010745i,-0.00017717-0.0001797i,0.00035523-0.00066907i,0.00066235-0.00090546i,-2.4269e-05-0.0003827i,-0.00019815-3.3246e-05i,-0.00030339+0.00057409i,-4.9309e-05+0.0002466i,0.0011228-0.0010864i,0.0010037-0.0014373i,-0.00012913-0.0010537i,-0.001013-0.001001i,-0.0011674-0.0009622i,-0.00053893-0.00060551i,-0.00017372-8.2963e-05i
0.0015997+0.00024462i,-0.00018474+0.00017254i,-0.0016922-0.00028632i,-0.0016818-0.0010282i,-0.00039692-0.001227i,0.00039618-1.7662e-05i,0.00040694+0.00034924i,0.0001331+5.3606e-05i,6.8063e-06+0.00045531i,-0.00062429+0.00056635i,-0.00044051-0.00065231i,0.00084895-0.0011726i,0.0011342-0.00021622i,0.00060792+0.0007762i,-5.3117e-05+0.00078297i,-0.00067042+0.00038524i,-0.0010996-0.00099967i,-0.001223-0.001802i,-0.00079805-0.00054061i,-0.00037674+0.00023273i,0.00017233+0.00021034i,0.00011125+0.00039782i,-0.00024126+0.00093878i
