-0.0025401+0.00024132i,-0.0021168-0.00016973i,-0.0026092+0.0010311i,-0.0018582+0.0022805i,-0.00052916+0.0026983i,-0.00024801+0.0025312i,-0.00061542+0.0019915i,-0.00043024+0.0017556i,-2.1356e-05+0.0013748i,0.0006302+0.00098099i,0.00059514-0.00024189i,0.00037908-0.0012307i,0.00091332-0.0014057i,0.00064209-0.001346i,-0.0006499-0.00087324i,-0.0014661-0.00017877i,-0.0011729+0.00038134i,-0.0001567+0.00063171i,0.00071621+0.00075989i,0.00049196+0.00060079i,-0.00027713-5.3389e-05i,-0.00024523-0.00035887i,0.0004059-2.3736e-05i
0.001896-0.00035357i,0.0020106-0.0011353i,0.0018406-0.00072858i,0.0011423-0.00017715i,0.00065864-0.00069683i,0.00039941-0.00091071i,6.19e-05-0.00058877i,-0.00012698-0.00046488i,6.7069e-05-6.9539e-05i,-0.00038075-0.00015061i,-0.00095202-2.9134e-05i,-0.0010185-0.00022115i,-0.0009678-0.00051254i,-0.00066226-0.0003606i,-3.7043e-05-1.3055e-05i,-0.00039185+5.6324e-05i,-0.00071956+0.00026908i,-3.9034e-05+0.00044629i,0.00067674+2.4658e-05i,0.0010695-0.00045598i,0.0007998-0.00049834i,0.00043933-0.00049468i,0.0004272-0.00032156i
-0.00098222+0.00026077i,-0.00084505+3.5962e-05i,-0.00089141+0.00094398i,-0.0009311+0.0019046i,0.00055596+0.0019319i,0.0018303+5.4229e-05i,0.0015676-0.0015933i,0.00052994-0.00065101i,-0.00023496+0.00070272i,-0.00043022+0.0012896i,-0.00013084+0.0004573i,0.0002562-0.0004219i,0.00051874+0.0001322i,0.0003301-0.00026326i,-0.00034346-0.00024485i,-0.00084632+0.00042182i,-0.00024598+0.00033498i,9.1667e-05+0.00022238i,-0.00027218+3.2726e-05i,0.00017567-0.00070197i,0.00081183-0.00080125i,0.00068792+0.00014913i,0.00061928+0.0010624i
0.0016369-0.00097554i,0.00065485-0.0020103i,-0.00039291-0.0020274i,-0.00070369-0.00062805i,-0.00031893-0.0001397i,7.6576e-05-0.0010102i,0.00025174-0.0011362i,0.0005035-0.00076293i,1.5743e-05-0.00061052i,-0.00092195-5.7647e-05i,-0.00088356+0.00027348i,-0.00079254-9.5703e-05i,2.1613e-05+7.6278e-05i,0.0011683+0.00074833i,0.001094+0.00067951i,0.00067781+0.00056327i,0.00055267+0.00079399i,0.00052934+0.0012081i,0.0010964+0.00067176i,0.00063442+0.00013106i,-0.00011744+0.00042612i,0.00035192+0.00097241i,0.00046998+0.001012i
-0.00095176-0.0013318i,-0.00022207-0.0008996i,0.00020549+0.00033754i,0.00055272+0.0011958i,0.00096236+0.0013436i,0.00099001+0.00062271i,0.00034216+1.6417e-05i,-6.3451e-05-0.00029357i,-0.00011569-0.00028608i,-0.00017879-0.00030909i,-0.00050853-0.00017797i,-0.00023323+0.00041231i,-0.00013876+0.00055398i,-0.00052802+0.00052139i,-0.00028037-0.00014574i,6.9633e-05-0.00040796i,-0.00060826+0.00031026i,-0.00094357+8.2466e-05i,1.3801e-05+0.00022893i,0.00028222+0.00094031i,0.00010591+0.00050342i,3.8745e-05+0.00010533i,-0.00040267+0.00050107i
-0.0017639+0.00061479i,-0.0019442+0.0015094i,-0.0020186+0.0015681i,-0.0007419+0.0011502i,0.0012779+0.0014308i,0.0013668+0.0014732i,-0.00021779+0.0011165i,-0.00097159+0.0010351i,-0.00089516+0.00080123i,-0.00036924+0.00063981i,0.00035116+0.00026155i,0.0010381+0.00039341i,0.00087395+0.00013286i,0.00087562-0.00025163i,0.00069284+0.00041526i,-1.2727e-06+0.00026079i,-0.00020028-0.00095259i,8.088e-05-0.00061002i,0.00037517+0.00037975i,0.00017021+0.00025888i,-7.3564e-05+0.00011793i,-0.00046341-0.00022433i,-0.00020898+0.00015086i
-0.0012919+0.00066106i,-0.00051961+0.00031609i,0.0006206+2.3151e-05i,0.0011375+0.00080977i,0.00048432+0.00099626i,0.0010669-0.00059545i,0.0016197-0.0010698i,0.00030638-0.00041967i,-0.00011505+0.00033845i,8.6906e-05+0.00068923i,0.00040628+0.00044145i,0.00047978-0.00015158i,2.0199e-05-0.00036218i,0.00032959-2.5077e-07i,0.00060674-4.345e-05i,0.00035051-0.00031171i,-7.8563e-05-0.00056818i,-0.00032245-0.00026267i,-0.00024691-0.00013717i,-0.00045462-0.00018151i,-0.00064601-0.0003796i,-0.00043863-0.0011628i,-0.00083433-0.00059298i
0.0020188+0.00028124i,0.0011443+0.00017182i,0.00064206-0.00046106i,0.0012365-0.0013007i,0.0015102-0.0015282i,0.0010056-0.0011245i,0.00051801-0.00062203i,-0.00027378-0.00028005i,-0.00017374-0.00024931i,-0.00012706+0.00029976i,-0.00028202+0.00027826i,0.0004716+0.00047994i,0.0005629+0.0013403i,-3.2341e-05+0.0014567i,4.7678e-05+0.00089051i,-3.5302e-05+0.00037615i,-1.905e-05+0.00026675i,-3.381e-05+0.00075002i,-5.321e-05+0.00098657i,0.00022201+0.00068357i,-3.518e-05+0.00057495i,-0.00049504-8.2689e-05i,-0.00020551-0.00035445i
-0.00029777-0.0025841i,-0.002027-0.0033536i,-0.0027667-0.0033835i,-0.0030132-0.0022589i,-0.0015436-0.0015823i,-5.9663e-05-0.0007528i,0.00040742-0.00083507i,0.00090078-0.001136i,0.0005585-0.00058213i,-0.00042428-5.5206e-07i,-0.00056283+0.00033876i,-0.0002353+0.00076057i,0.00037273+0.0009616i,0.001837+0.00065441i,0.0017146-4.7775e-06i,0.00072353-0.0005651i,-0.0003564-0.00032221i,-0.0010084+0.00034843i,-0.00035763+0.0011728i,0.00042989+0.00084509i,0.00039784+0.00020446i,0.00023317+0.00012564i,-3.4108e-05+0.00053546i
0.00093698+0.00029202i,0.0014305+0.00097557i,0.0016926+0.0009243i,0.00089139+5.6936e-05i,0.00017725-0.000437i,0.00017215-0.00026369i,-0.00027204-3.141e-05i,-0.00011661+0.00031794i,9.6242e-05+0.0008859i,-0.0005056+0.00067058i,-0.00056198+0.0002651i,-0.0001308-2.4626e-06i,4.0351e-05-2.0777e-05i,0.00026955+0.00075469i,0.00061467+0.00098206i,0.00048023+0.00040451i,0.00078204-0.0002056i,0.0009123+0.00025507i,0.00053941+0.00081887i,4.312e-05+0.00068193i,-0.0004826+0.00015198i,5.6637e-05-0.00065879i,0.00036044-0.0012312i
-0.00034574+0.0004627i,-0.00065233+0.00078883i,0.00023066+0.00065004i,0.0012315+0.00072096i,0.0016339+0.0003495i,0.0022423+2.9847e-05i,0.001334+0.00011523i,0.00033285-0.00020844i,-0.00054539-0.00015713i,-0.0009842-0.0001915i,-0.00012968+4.6916e-05i,0.00045895-9.1061e-06i,0.00086234-8.5653e-05i,0.00024863+0.00010571i,-0.00078156+0.00025269i,-0.00029559+0.00036745i,0.0004463+9.3712e-05i,-0.00022049-0.0003338i,-0.00071399-8.4106e-05i,-0.00024948+0.00074371i,0.00053797+0.00044634i,0.00078878-0.00041647i,0.00070351-0.00043005i
