-0.0018912+0.0016958i,-0.0012541+0.00024244i,-0.0011998-0.0004606i,-0.00019199-0.00086902i,3.9651e-05-0.00059833i,-0.00069996+0.00091162i,-0.0012628+0.0016665i,-0.000786+0.0013414i,0.00029567+0.00065781i,0.00090171-0.0001011i,0.00060533-0.00064366i,0.00016278-0.0012322i,-0.00031123-0.0010529i,-8.287e-05-0.0008056i,0.00024771-0.001162i,0.00018805-0.00077223i,0.00030285-7.0835e-05i,0.00025159+0.00011195i,-0.00020692+0.00024853i,0.00025342+0.0004992i,0.000539+0.00057284i,-0.00016868-0.0004802i,-9.4053e-05-0.0015263i
0.0022294-0.0011218i,0.0028874-0.0014747i,0.0028222-0.002251i,0.0021289-0.002494i,0.0010559-0.0022299i,-0.00063607-0.0013813i,-0.0011665-0.00035521i,-0.00095884-9.0471e-05i,-0.00048185-0.00027358i,5.7962e-05-0.00056477i,-0.00034097-0.00042805i,-0.00069196-0.00012877i,-0.0005301-0.00011i,-0.00014224-0.00032545i,0.00026274+9.9212e-05i,0.00060502+0.00053573i,0.00066351+0.00012417i,-0.00037639+8.0836e-05i,-0.00042132+0.00080034i,7.2604e-05+0.00087057i,-0.00022136-0.00022362i,-0.00055681-0.0010184i,-5.6647e-05-0.00052246i
0.00028076-0.0020495i,0.00015006-0.0032031i,-0.00021884-0.0025751i,-0.00069022-0.0020802i,-0.00097867-0.0022372i,-0.00074905-0.00095751i,-0.00024768+2.7963e-05i,-0.0004814-0.00040797i,-0.00083065-0.00030238i,-0.00074333+0.00075055i,-0.00070468+0.0013217i,-4.742e-05+0.0014418i,0.00015273+0.0012495i,0.00040648+0.0011407i,0.0008034+0.00076158i,0.00099771-0.00027224i,0.0018874-0.00015876i,0.002137+0.00045048i,0.0016003+0.00050822i,0.00086851+0.00068238i,0.00077866+0.00076703i,6.1543e-05+0.00094352i,-0.0009265+0.0012615i
0.0013539+0.0015556i,0.0014699+0.00081236i,0.00011486-0.00018213i,0.00044947-0.0012518i,0.0017291-0.0008724i,0.0012264-0.00010777i,-0.00023569+2.3911e-06i,-0.00058548-2.4269e-05i,-0.00077341-0.00019778i,-0.00061605-0.0014384i,0.00037101-0.001861i,0.00032374-0.0012515i,0.00014278-0.00070451i,0.0004795-0.00010957i,7.2821e-05+7.74e-05i,-0.00018621-0.00023534i,-0.00016624+0.00020571i,0.00023604+0.00027414i,0.00030119+9.3144e-05i,0.00025981+0.00015399i,0.00053291-0.00015068i,0.00037067-0.00092618i,0.0003564-0.00076432i
-0.0015758-0.00016409i,-0.0013732-0.00058227i,-0.00044633-0.00070484i,0.00073906-0.00024117i,0.00052753+0.00033064i,-0.00035691+0.00025743i,-0.00012983-1.4905e-05i,3.5067e-05-0.00023731i,-0.00092306-0.00071871i,-0.0012724-0.00038555i,-0.00041556+6.2594e-06i,0.00058058-0.00067597i,0.00052814-0.0011559i,0.00019252-0.00017682i,0.00061599+0.00022976i,0.001263-2.2893e-05i,0.0012426-0.00041777i,0.00053182-0.00065876i,-1.6525e-05-0.00028247i,0.00043457+0.00061239i,0.00090677+0.0013596i,0.00048281+0.00095535i,-0.00039497-0.00039117i
0.0015605+0.00056424i,0.0020494+0.001368i,0.0015658+0.0023967i,0.0015358+0.0018839i,0.0019271+0.00068524i,0.0012506-0.00011118i,0.00074563-0.00049822i,0.0010006-0.00084159i,0.00077427-0.00053928i,0.00042942-0.00058814i,0.00057126-0.00033162i,0.00078085-0.00066299i,0.00089473-0.0014684i,0.00064916-0.00094713i,2.7453e-05+0.00025356i,-0.00074697+0.0009632i,-0.00076272+0.00033838i,0.00024589+0.00015633i,0.0008092+0.00070571i,0.00047363+0.00036134i,-0.00015113+2.0159e-05i,-0.00064984+0.00048899i,-2.5626e-05+0.00079011i
-0.0037045+0.0010437i,-0.002636+0.001631i,-0.0015099+0.0019292i,-0.0006384+0.0016046i,-0.00045222+0.0013215i,-0.00091165+0.00063839i,-0.0008574-1.8861e-05i,-0.0006543-0.00047801i,-0.00064605-0.00029257i,-0.00072969+0.00049806i,-0.0011619+0.000498i,-0.00023557+4.6414e-05i,0.00054438-0.00047937i,-0.00019211-0.00039786i,-0.00019349+0.00042938i,0.0002841+0.00078242i,-2.102e-05+0.00038947i,4.018e-05+0.00020941i,0.00044226+0.00067757i,0.00035816+0.000831i,0.00091142-7.2187e-05i,0.0013302-0.00026403i,0.00035531+0.00043575i
0.00024494-0.0004221i,0.00067985-0.00014102i,-0.00048768-2.0165e-05i,-0.00026763-0.00066299i,0.00043577-0.0010874i,-0.00017106-0.0013708i,-0.00034541-0.00076409i,-0.00056817+0.00022159i,-0.00093867-0.00070799i,-0.00058287-0.0011596i,-0.00019051+0.00038299i,-0.00038925+0.0010334i,-0.00014838+0.00051377i,0.0001816+1.8259e-05i,0.00058309+5.4836e-05i,0.00069782+0.00034924i,0.00050272+0.00078195i,0.00017427+0.001304i,-0.00074058+0.0018718i,-0.0010289+0.0012291i,-0.00066499+0.00048414i,-0.00022979+0.00053755i,-0.00037571+0.00086972i
-0.00053508+0.0025327i,-0.00086867+0.0010963i,0.00017935+0.00032526i,0.0015338-0.00079711i,0.0015335-0.0014574i,0.00056424-0.00097007i,0.00018563-0.00025254i,0.00059132-9.4522e-05i,0.00037699+0.00015454i,4.5918e-05+0.00014444i,-0.00052999-0.0003236i,-0.0011204-0.00084279i,-0.0009861-0.00043348i,-0.00049339+0.0003418i,-0.00025104+0.00049087i,0.00028001+0.00037319i,4.075e-05+0.00028393i,1.0487e-05+0.00071703i,0.00042872+0.0012373i,0.00026966+0.0002171i,0.00024634-0.00070902i,0.00028062-0.00073i,0.00048046-0.0004348i
-6.9634e-05+0.00029538i,0.001212-0.0011683i,0.003204-0.0017883i,0.0027501-0.0016738i,0.0010578-0.0019618i,-9.4255e-05-0.0017832i,-0.00036815-0.0016099i,-0.00049933-0.001142i,-0.0010705-0.00042752i,-0.0010591-0.0011108i,-0.00082938-0.0012328i,-0.00070693-0.00050679i,-0.0011987-4.6579e-05i,-0.0013032+0.00025399i,-0.0009694+0.0004354i,-0.00071409+0.0010567i,-0.00091822+0.0015057i,-0.00067357+0.00092799i,-0.00035394+0.00049423i,-0.00063975+0.00033479i,-0.00041261+0.00047066i,-4.523e-05+0.00049062i,0.00029774+8.877e-05i
0.00073483+4.9668e-05i,5.5126e-05-0.00013959i,4.3127e-06-0.001833i,0.00063949-0.0034307i,0.00073261-0.0036636i,0.00023342-0.0012842i,-0.00048922+0.00027068i,-5.2802e-05+0.00017062i,0.00039792-0.00035716i,-0.00033533-0.00062255i,-0.00063995-0.00048576i,-0.00036494-0.00046657i,-4.1794e-05-0.00036518i,0.00019607-0.00016351i,-0.00010304+0.00057303i,0.000306+0.0011006i,0.0011529+0.00060134i,0.00055512+0.00035097i,-0.0002396+0.00031483i,-0.00050543+9.7794e-05i,-0.00061484-7.0562e-05i,-0.00041965-0.00036715i,5.3982e-05-0.00025357i
-0.00022682-0.0010621i,-0.00093044-0.00095217i,-0.00060042-0.00031838i,-0.000128-4.6304e-05i,3.8186e-05-0.00046827i,0.00030604-0.00062093i,0.0010603-0.00025983i,0.00073977+0.00023915i,-0.00023016-0.00052462i,-0.00048631-0.0010065i,-0.0010038-0.00055848i,-0.00073822-0.00031239i,-0.0006616-0.00095874i,-0.00083443-0.0010242i,-0.00087373-0.00014547i,-0.00084098+0.00041817i,-0.00023143+0.00026646i,-0.00069538+0.00010327i,-0.00089402+0.00036354i,-0.00045905-9.5128e-05i,-5.3372e-05-0.00044121i,-0.00036108-0.00063705i,-0.00061639-0.001179i
0.00064871+0.00026959i,0.0010806+9.3796e-05i,0.00044312-9.5758e-05i,0.00083589-0.00062318i,0.0011659-0.00075725i,0.00049922-0.00078172i,-6.3559e-05-0.0010424i,-0.00017449-0.00038782i,-0.00014705+0.00015958i,-0.0006253-4.0586e-05i,-0.00066438-0.00010862i,-0.000653+0.00030753i,-0.00060583+0.00067522i,-0.0004381+0.00078451i,0.00030527+1.0924e-05i,0.00092958-0.00036916i,0.0012412+0.00015304i,0.0013742+0.00038323i,0.0011964+0.0011588i,0.00065836+0.0018615i,-0.00075587+0.0015435i,-0.0006977+0.00040909i,0.00023727-0.00030438i
0.00081422-0.0012551i,0.0016214-0.0012284i,0.0019058-0.002467i,0.0012974-0.0039097i,3.1778e-05-0.0032517i,-0.00079298-0.0020242i,-0.00048857-0.00082187i,-0.00043511-0.00029184i,-0.00064793-0.00098496i,-0.0014089-0.0013703i,-0.0016672-0.00076626i,-0.00066923+0.00032305i,7.7505e-05+0.00032i,0.00046492-0.00056005i,0.00029445-0.00025964i,7.0825e-05+0.00043835i,0.00034554+0.0010415i,0.00085047+0.0008415i,0.0011325+2.891e-05i,0.00011193+0.00039128i,-0.00052876+0.00076117i,-9.5835e-05+0.00064988i,0.00020625+0.00052008i
