-0.0018726+0.00028385i,-0.0011713-0.0013042i,-0.0014943-0.00014624i,-0.0015829+0.0010482i,-0.0012952+0.001193i,-0.0006849+0.0019171i,-0.00034607+0.0027956i,-0.00034475+0.0028042i,0.0010816+0.0019771i,0.0024625+0.001207i,0.0014884+0.00047256i,-0.00034032+0.00020668i,-0.00035338+0.00034224i,0.00035267+0.00026059i,0.00026669-0.00068738i,-0.00019201-0.0014298i,-0.0001691-0.001014i,0.00012912-0.00025127i,0.00060864-0.00018664i,0.00040694+0.00010945i,-0.00032275+0.00030016i,-0.00065254+7.4998e-06i,-0.0010634+0.00035825i
-0.0011605-0.0013777i,-0.0018069+0.00037613i,-0.0034646+0.00078465i,-0.0026738+0.0007563i,-0.0015269+0.001201i,-0.00084235+0.0014828i,-0.00042606+0.0004416i,-0.00076495-0.00010894i,-0.00061971-1.4145e-05i,-0.00044109+0.00049521i,-0.0010137+0.00031862i,-0.00093169-0.00034897i,-0.00069662-0.00033324i,-0.00083113+0.00018084i,-0.00045075+0.00089483i,-0.00057811+0.00028337i,-0.00088942-0.001036i,-0.00031974-0.00087686i,0.00054046-2.9752e-05i,0.00053874+0.00040726i,4.4936e-05+0.00043158i,0.00012149+0.00042406i,-0.0004557+3.7293e-05i
0.00040002-0.00042102i,5.9941e-05-0.00057579i,-0.00033959-0.0008656i,-0.00073228-0.00090023i,-0.00084697-0.00051166i,-0.00041684-0.00011415i,0.00014123-0.00055216i,-0.00019626-0.00093912i,-0.00046428-0.00047999i,-0.00042383+0.00085497i,-0.00010051+0.0020101i,0.00090507+0.0011536i,0.0010818-8.1075e-05i,0.0009531-5.5161e-05i,0.00042013-0.00035865i,6.5104e-05-0.0010166i,0.00021006-0.00085049i,-6.0024e-05+6.8711e-05i,-0.00052078+0.00014081i,9.9473e-05-0.00063923i,0.00012465-0.0011075i,-0.00045858-0.00076731i,-2.163e-05+9.3637e-05i
-0.0013922-0.0012898i,-0.0021705-0.00094954i,-0.0025854-5.001e-05i,-0.0028838+0.00015813i,-0.0025435+0.00058646i,-0.0018533+0.00072956i,-0.0015085-0.00012992i,-0.00047104-0.00054557i,0.00048219-0.00031211i,0.0001509+0.00035834i,-0.000463+0.00071331i,-0.00020606+0.00051239i,0.00015448-0.00033072i,0.00035909-0.00048814i,0.00083944-8.7885e-05i,0.00034647+0.0001996i,0.00029193+0.00055651i,0.00075959+0.00049636i,-0.0002326+0.00024201i,-0.00052655-0.00013877i,0.00045013-0.0002759i,0.00047619-3.4817e-05i,0.00019466-6.719e-05i
-0.0027268-0.001899i,-0.0031125-0.0010152i,-0.0028257+2.0221e-05i,-0.0021332+0.00049947i,-0.00075567+0.00037042i,-0.00017207+0.00032469i,-0.00047238-1.4002e-05i,2.102e-05-0.00020134i,-5.7351e-05+0.00035512i,-0.00045332+0.00099595i,-0.00045982+0.00029828i,0.00018625-0.00060925i,0.00068274+1.0304e-05i,0.00047191+2.4934e-06i,0.00024911-0.00059463i,-0.00027787-0.00051288i,-0.00066585+0.000237i,0.0001579+0.0005784i,0.00057611+0.00055835i,2.5598e-05+0.00022129i,0.00017431-0.00031276i,0.0010478+9.0215e-05i,0.00099942-6.2278e-05i
0.0012324+0.0016979i,0.00056902+0.0014958i,0.00022313+0.00097096i,-0.00013017+0.00057549i,-0.0010733-0.00018336i,-0.0011652+1.9223e-05i,-0.00045314+0.00016339i,-0.00019424-0.00030075i,-0.00032274+3.5562e-05i,-0.00042329+0.00062157i,-0.00020346+0.00067852i,-9.6466e-05+0.00016162i,-2.8292e-05-5.0997e-05i,-0.00034245+0.00071007i,-0.00033072+0.0008889i,0.00050049+0.00041052i,0.0013567+0.00028068i,0.0003892+0.00018845i,-0.00077764-0.00010976i,-0.00038768-0.00023931i,0.00015071-0.00039601i,-0.00013268-0.00032068i,0.00010145+0.00031581i
-0.0010974-0.00029766i,-0.00046101+0.00067617i,-0.00015563+0.00069145i,-0.00047229+0.00073738i,-0.00071279+0.00093541i,0.00020303+0.00017799i,0.00047641-0.00021453i,-0.00040716+0.00031925i,-0.0008258-0.00011573i,-0.00045887-0.00032335i,-0.00044129+0.00031787i,-2.8994e-06+0.00090327i,0.0001326+0.00044453i,-5.8004e-05-0.00024519i,-0.00038452-0.00097881i,-0.00026746-0.00060139i,-0.000287-2.579e-05i,-0.0001543-0.00031835i,0.000228-0.00021279i,6.2176e-05-0.00015567i,-0.0001546-0.00074281i,-0.00037216-0.00092789i,-0.00035985-0.00028569i
-0.00042536+0.00070247i,-0.00074696+5.3847e-05i,-0.00073548+5.9204e-05i,-0.0015929+0.0010143i,-0.0021032+0.0006739i,-0.00044351-0.00053211i,0.000499-0.001039i,0.00036366-0.00062278i,-0.00015077-3.4919e-05i,-0.00056873+0.00040151i,-2.9965e-05+0.00066141i,7.6644e-05+0.00011763i,-0.00023904+3.9314e-05i,0.00012266+0.00034686i,0.00041324+0.00026757i,0.00036041+0.00011424i,7.0558e-05+0.00022442i,-0.00044095+0.00024868i,-0.00056667+0.00041117i,-0.00052488+0.00040185i,2.7545e-05-0.00026625i,0.00023043-0.00036796i,-0.00014034-0.00019052i
-0.00032549-0.00052741i,-0.001121+0.00017312i,-0.0015381+0.00070316i,-0.0011468+0.0002824i,-0.00052886+0.00047152i,-0.00051098+0.00038448i,-0.00081603-0.00018681i,-0.00026989-0.00058558i,-0.0002487-0.00056382i,-0.00012256-0.00034182i,0.00019458+4.4982e-05i,-0.00056704-2.9426e-05i,3.7519e-05-0.0001195i,0.0010215-0.00049645i,0.00050897-0.00095661i,-1.3663e-06-0.00076532i,6.8933e-05-0.00054962i,-0.00031254+0.00052785i,-0.00056443+0.0010964i,4.2024e-05+0.00066014i,-0.00016215+7.0735e-05i,-0.00063852-0.00047777i,-0.00078283-0.00056126i
0.0014812-4.9718e-05i,0.00098931+0.00047572i,-8.4568e-05+0.00010762i,0.00018905-0.00035937i,0.0011802+0.00030691i,0.001091+0.00070638i,-0.00021375-0.00010462i,-0.0014006-0.00044487i,-0.0011862-0.00038546i,0.00035549+0.0002758i,0.00093922+0.0009827i,0.00060335+0.0014946i,0.00056424+0.0013465i,0.00010193+0.00084953i,9.0318e-05+0.00096868i,-6.5048e-05+0.0013458i,-0.00020939+0.00094536i,-8.9179e-05+0.000335i,2.8934e-05-0.00014212i,4.814e-05-0.00027723i,-0.00023952-8.003e-05i,0.00035174-0.00024693i,0.00048013-8.4476e-05i
-0.00075104+0.00062234i,0.00015737+0.0012238i,-0.00019173+0.00096752i,-0.00058745-8.2954e-05i,-0.0010304-0.0003949i,-0.0012054-0.00055288i,-0.00055534-0.00050571i,-0.00054405-0.00050323i,-0.00065022+0.00023546i,-0.00099991+0.00095881i,-0.00043748+0.00083239i,-0.00011712+0.00083806i,-0.00066845+0.00085456i,-0.00022015+0.00055337i,0.00033165-0.00023204i,0.00030804-0.00062252i,4.3483e-05-0.00082861i,-6.2524e-05-0.00051267i,-0.00010704+0.00045676i,-0.00034782+0.00060426i,-0.00062489+0.00025792i,8.2604e-06+0.00032949i,0.00023535-3.9579e-05i
