-0.0022362+0.00023333i,-0.0015734+0.00043094i,-0.0015637+0.00038113i,-0.00054966+0.0010249i,-0.00063067+0.0018278i,-0.00093738+0.0021225i,9.59e-05+0.0024482i,0.00063344+0.0019623i,0.00084427+0.0011542i,0.00052787+0.00010951i,8.227e-05-3.0012e-05i,0.00021463+0.00040464i,-0.00014485+0.00018643i,-0.00050788-0.00024171i,-0.0002053-0.00032395i,-0.00057235-0.000297i,-0.0010759-0.00032242i,-0.001073-0.00073303i,-0.0010485-0.00087064i,-0.00098023-0.00049893i,-0.00059259-0.00046205i,-0.00021455-0.00088711i,-0.00051836-0.00039618i
0.0011813-0.0003582i,0.00062503-0.00040615i,0.0012599-0.00036803i,0.0008771-0.00057917i,6.724e-05-0.00038316i,0.00042981+0.00089866i,0.00061916+0.001767i,6.792e-05+0.0017033i,0.00014875+0.0011487i,0.00045594+0.00036599i,-6.919e-05-0.00013546i,-0.00076662+0.0001727i,-0.00031261+0.0013085i,-0.00024108+0.0014206i,-0.00024099+0.0004074i,0.00086783-1.4104e-05i,0.0011973+0.00068357i,0.00037855+0.00069044i,-2.2986e-05-0.00010189i,0.00035805-0.00016783i,0.00043567+0.0003212i,0.0004488+0.00020712i,0.0004287-0.0006565i
-0.0020623+0.00043764i,-0.00073024+0.0014227i,-0.00041007+0.0023408i,-0.00054565+0.0019454i,-1.1148e-05+0.0012289i,0.0009685+0.00089078i,0.00087751+0.00028983i,-4.1905e-05+0.00024188i,-0.00042182+0.00078072i,-0.00020889+0.0010248i,0.00057666+0.00042028i,0.00086238-1.5431e-05i,0.0007086-0.00044199i,0.00099408-0.00099398i,0.0011373-0.00027i,0.00017888+0.00036785i,-0.00068755-0.00045656i,-7.5462e-05-0.00080758i,0.00084117-0.00041175i,0.00071541-0.00014311i,-0.00013954-0.00023294i,-0.00054346-0.0002149i,-0.00043947+0.00041395i
-0.00026493+0.00073895i,-0.0001657+0.00070936i,0.00060381+0.0010778i,0.0013312+0.0010766i,0.0013461+0.0007884i,0.0012284+0.00012213i,0.00011291+0.00050798i,-0.0011472+0.0015237i,-0.00077214+0.0019666i,0.00015713+0.0012989i,0.00019906+0.00083295i,-7.8483e-06+0.00060972i,-0.00043003+8.7077e-05i,-0.00058949+0.00022396i,-0.0001605+0.00082952i,-0.00017727+0.00088667i,7.4992e-05+0.00084089i,0.00053015+0.00077838i,0.00047251+0.00050848i,0.00011639+0.00055783i,-0.00042679+5.6272e-05i,-0.00067996-0.00062539i,-0.00084917+0.00025216i
0.0005807+7.9894e-05i,0.0008111+1.4835e-05i,0.001023+0.00064011i,0.00081515+0.0008086i,0.0012558+0.00087467i,0.0012945+0.0011797i,0.00047648+0.0012543i,-0.00013932+0.0015567i,0.00040619+0.0013774i,0.00082033+0.00033691i,7.6116e-05+0.00024371i,-0.00050058+0.0007049i,-0.00040485+0.00021148i,-0.00051553-0.00039039i,-0.00067246-0.00013258i,-0.00052345+0.00051703i,-0.00038715+0.00052469i,0.00038061+0.00058777i,0.0004393+0.00079913i,-6.1314e-05-0.0002983i,0.00025044-0.0011362i,0.00015007-0.00078324i,-0.00042328-0.00030743i
-0.0008891+0.00083346i,-0.0005393+0.00062284i,0.0007465+0.00037183i,0.0011621+0.00062413i,0.00093202+0.0011124i,0.00080204+0.0014529i,0.00020604+0.0010415i,0.00032779+0.00098495i,0.0010817+0.0015522i,0.00066262+0.00095377i,-0.00027053+0.00060687i,-0.00060542+0.0005236i,-0.00067336-3.3303e-05i,-0.00045449-0.00039905i,-0.0008684-0.00052951i,-0.00062257-0.00037327i,-0.00012123-0.0004756i,-0.00023465+2.3111e-05i,-3.0521e-05+8.1638e-05i,0.00031052-0.00035664i,0.00025046-0.00053643i,-0.00012117-5.9222e-05i,-0.00030489+0.00027117i
-0.0011407+0.0017745i,-0.00012377+0.001656i,0.00056866+0.0018018i,0.0017218+0.0013874i,0.0011733+0.0011247i,0.00013205+0.00093264i,-0.00045665+0.0010372i,-0.0010783+0.0012402i,-0.0015106+0.0012148i,-0.00055577+0.00072883i,0.00080365+0.00036206i,0.00072364-0.00022347i,0.0002584-0.0011078i,0.00045968-0.0014916i,-0.00027303-0.00076335i,-0.00080771+0.00051668i,-3.0053e-06+0.00072364i,0.00053828-3.248e-05i,0.00093195-0.00032032i,0.0004363-0.00024509i,-0.00016427-9.5945e-05i,-4.8201e-05-9.1178e-06i,-0.00011823+0.00025098i
0.0012699-0.0004297i,0.0011478-0.00016696i,0.001913-0.00046078i,0.0014643+0.00023466i,9.4993e-05+0.0010375i,-0.00043267+0.0013181i,-0.00031119+0.0013689i,-0.00029198+0.0016024i,-7.6581e-06+0.0018008i,0.001336+0.0011593i,0.0015862+0.00061128i,0.00070666+0.00047983i,0.00024359+0.00022046i,-8.6295e-05-0.0002069i,0.00037857-0.00058859i,0.0003412-0.00026812i,-0.00029266-0.00021508i,-0.00064131-0.00031114i,-0.00017542-0.00016952i,0.0002026-0.00026634i,-0.00066778-0.00085143i,-0.00059322-0.00082805i,0.00016646-0.00037805i
0.0017842-0.0012337i,0.0011099-0.0010879i,0.0016001-0.0012379i,0.0015057-0.0014099i,0.00051276-0.00066513i,-0.0004493+0.00065493i,-0.00051553+0.0014009i,0.00027078+0.0013374i,0.00098869+0.0012535i,0.0002013+0.00042546i,-0.00057558-0.00037699i,-0.00024474-0.00019642i,2.5275e-05-0.0001925i,0.00066122-0.00049643i,0.00079535-0.00030214i,0.00017296-5.2964e-05i,-1.4559e-05+0.00011527i,0.00031898+0.00050741i,0.00089932+0.00038128i,0.0011037-0.00015344i,0.00047967+0.00035i,-0.000176+0.00075221i,0.00015291+0.00067088i
-0.00071675+0.0012065i,-9.0905e-05+0.0015016i,0.0006093+0.0018716i,0.00063701+0.0017261i,-2.2148e-05+0.0013703i,0.00073509+0.00098204i,0.00050415+0.00038149i,-0.00019471+0.00036541i,1.7838e-05+0.0009033i,0.00019263+0.00098488i,0.00021705+0.00028605i,-0.00040056-0.00016082i,-0.00075316-0.00033113i,-0.00093895-1.2458e-05i,-0.00056221+0.00054922i,-0.00014849+0.00063708i,-0.00066926+0.00066001i,-0.001069-4.0965e-05i,-0.00029654-0.00033122i,7.943e-05+0.0001275i,-0.00040733-0.00014795i,-0.00034032-0.00048389i,0.00039616-0.00051614i
0.00078396+0.0010523i,0.0017472+0.001368i,0.0019946+0.0016932i,0.0018663+0.0022498i,0.0012115+0.0022018i,0.00087324+0.0012956i,0.00052505+0.00076451i,0.00040301+0.0010945i,0.00063752+0.0011703i,0.00059229+0.00043409i,0.00040604+0.00040422i,9.6727e-05+0.00092074i,-0.00037912+0.00085045i,-0.00070746+0.00079268i,-0.00049531+9.8285e-05i,-5.8306e-05-0.00048542i,-0.00013507-6.5649e-05i,0.00017489+0.00063533i,0.00070349+0.00069008i,0.0010405+0.00057407i,0.0010217+0.00046115i,0.00013099-0.00011211i,-0.0002407+4.5959e-07i
-0.00035222+0.0011721i,0.00054375+0.001774i,0.0013895+0.00054603i,0.0014928-6.8437e-05i,0.0016073+0.0012944i,0.0012848+0.0016354i,-0.00013369+0.0014856i,-0.00058651+0.0015318i,-0.00041507+0.00082162i,0.00044121+0.00093735i,0.00062982+0.0013729i,-4.2785e-05+0.0012037i,-0.00047875+0.00065799i,-0.00078339+5.4852e-05i,-0.00058686+3.7129e-05i,-0.00072214-8.7801e-05i,-0.0011069-0.00034009i,-0.00012662-0.00013732i,-5.5971e-05+5.0702e-05i,-0.00044485+0.00081967i,-0.00029331+0.0011263i,0.00014116+0.00067716i,0.0006113+0.00051481i
-0.0017969-0.00069241i,-0.00050727-0.00085158i,0.00063941+0.00018125i,0.00091675+0.00057526i,-0.00028203+0.001293i,-0.00040707+0.0022782i,-0.00014434+0.0020273i,-0.00011135+0.0021077i,-0.0001567+0.0024413i,-0.00097622+0.0016298i,-0.00053676+0.00080024i,0.00051996+0.00051386i,0.00046706+0.00037803i,-6.4723e-05+0.00063261i,1.9219e-05+0.00033473i,8.229e-05-0.00014099i,-0.00043395-0.00030681i,-0.0002942-0.00046217i,-7.7741e-05-0.00066781i,0.00035959-0.00027362i,0.00038131-0.00010016i,-0.00062771+0.00030599i,-0.00088646+0.00088117i
-0.00072928-0.001109i,0.00022554-0.0014145i,0.00048835-0.00043034i,0.00055086-0.00018916i,0.00073313-0.000539i,0.00020102-7.0894e-05i,-0.00015591+0.00052584i,0.00010078+0.001302i,0.00073495+0.0015835i,0.00076408+0.0010981i,0.00010106+0.00077453i,-0.00021674+0.0010597i,-5.6112e-05+0.00029256i,0.0003233-0.00086673i,-0.00020102-0.00093195i,-0.00012087+6.7351e-06i,0.00014055+0.00045247i,2.7526e-05-0.00018933i,0.0002257-0.00035805i,-0.00036237+6.5116e-05i,-0.0011108+0.0002571i,-0.00047105+0.00037109i,0.00016317+0.00046525i
0.00028062+0.0016567i,0.00038336+0.0026856i,0.001597+0.0012897i,0.002411+0.0007465i,0.0018513+0.0015845i,0.00040581+0.0010276i,-0.00026667+0.0008555i,-0.00034652+0.0018789i,7.527e-06+0.0018131i,-0.0001588+0.00087234i,-0.0012356+0.00062018i,-0.0011204+0.00047612i,-0.00033768-0.00046294i,-0.00012091-0.00076616i,0.00012975-0.00021842i,9.752e-05-4.9376e-06i,0.00011123+0.00012398i,0.00031913+0.00055438i,0.00012784+0.001009i,0.00053099+0.00077978i,0.0011618-0.00024431i,0.0010215-0.00041191i,-3.5879e-05-0.00025075i
