0.00029968+0.00099141i,0.00071523-0.00023433i,-0.00095754-0.00013546i,-0.0018427+5.9771e-05i,-0.00070229+0.00052073i,-0.00027212+0.0011904i,-0.00087251+0.00088254i,0.0001591+0.0011642i,0.0019311+0.0013985i,0.0015842+0.0014218i,-0.00029651+0.00091877i,-0.00082474+0.00020697i,-0.00027318+0.00012496i,0.00020067+0.00043957i,0.00019701+0.00038347i,0.00043858+0.00032761i,0.00042377+0.00086869i,0.00029632+0.00020966i,0.00057293-0.00052645i,-4.0318e-05-0.00013609i,-0.0005732+0.00048992i,-0.00036562+0.00096606i,-0.00051198+0.0010357i
-0.00089052+4.3608e-05i,0.00037398+0.00080931i,0.00059114+0.0013225i,8.396e-05+0.0014197i,-0.00047919+0.0004089i,-0.00016469-0.00068106i,0.00053176-0.0013274i,0.0012695-0.0007711i,0.00072369+0.00016871i,0.00036537+0.00033435i,0.00052395+0.00043205i,-0.00019323+4.6613e-06i,-0.00084112-0.00051475i,-0.00039771-0.00063094i,0.00097676-0.00054105i,0.0010422-0.00042595i,0.00060481+5.1561e-05i,0.0006637+0.00010897i,-9.448e-07-0.00078206i,0.00026084-0.00097674i,0.00049414-0.00085934i,-0.00064518-0.00046609i,-0.00031152-0.00033396i
0.0013438+0.0022976i,0.0012416+0.00059996i,0.0019504-0.00013727i,0.0018028-0.00017345i,0.0017341-0.000391i,0.0014751-0.0010493i,-4.434e-06-0.00085432i,-0.00048285+2.9886e-05i,0.0010738+0.0014565i,0.0019857+0.0022304i,0.0017415+0.0015143i,0.0013576+0.00066631i,0.00036572+0.00026334i,-0.00091694+8.8533e-05i,-0.00089311-7.1735e-05i,-0.00011501+0.00012228i,-6.0485e-05+0.00033846i,-0.00042499+4.6553e-05i,-0.00039429-0.00022287i,-0.00023638+9.3757e-05i,-0.0002942+3.5784e-05i,-0.00023634+0.0001024i,0.00012089-0.00024029i
-0.00083631+0.0016898i,-6.8789e-05+0.00068406i,-0.00019514+0.00019945i,-0.00056258+0.0005777i,-0.00038553+0.00057584i,0.0006635-1.527e-06i,0.0011744-0.00086194i,0.0010593-0.0005044i,0.00047838+0.00061202i,-0.0002584+0.00061414i,-0.00088257+0.00050165i,-0.00028038+0.00065857i,0.00048014-5.2371e-05i,0.00022749-0.00017018i,-0.00020918+0.00019635i,-0.0010134+0.00017009i,-0.0013696+4.0658e-05i,-0.0003558-0.00014298i,0.00081998+4.1832e-05i,0.00070782-0.00025872i,-2.4637e-05-0.00043384i,-0.00038746+3.1732e-05i,-0.00051658-5.4499e-05i
6.9099e-05+0.0005503i,0.00016898+0.00010799i,8.1885e-05+0.00059033i,0.00090811+0.0019481i,0.0016011+0.001823i,0.0013614+0.00027749i,0.00048497-0.00048067i,0.00025352-0.00021636i,0.0004588-8.9986e-05i,0.00086375+0.00056758i,0.00040164+0.00121i,0.00026059+0.00099805i,0.00093968+0.00042369i,0.00055632-0.00069517i,-0.00055093-0.00091243i,-0.00060937+4.7796e-05i,0.0004007+0.00053056i,0.00060631+0.00064308i,0.00037562+0.00055419i,0.00068508+0.00034818i,0.00079484+0.0001086i,0.00014403+0.000173i,-0.00062034+0.00032317i
0.00014817+0.00096484i,-8.1015e-05+0.00092564i,-0.00042988+0.0006113i,-0.00019631+0.00041851i,-2.9631e-05-0.00016412i,7.541e-05-0.00059064i,0.00019603-0.00083631i,-0.00095461-0.0002596i,-0.0017285+0.0006635i,-0.0013326+0.0010957i,-0.00084464+0.0014522i,0.0001264+0.00061459i,0.00056533-0.00037488i,7.6976e-06-0.00029781i,-0.00014841-6.6517e-05i,0.00091824-0.0002741i,0.00045227-0.00068651i,-0.00043324-0.00026954i,-5.2354e-05-0.00050827i,0.00040231-0.00082524i,0.0004258-0.00027402i,0.0006915-3.7675e-05i,0.00051306+0.00029793i
0.00035506-0.00029346i,0.00059543-0.00083434i,-0.00033867-0.0012509i,-0.0010408-0.00029719i,-0.00049764+0.00069744i,-0.00017709+0.00029069i,6.2429e-05+0.00022688i,0.00041113+0.00055806i,0.00049256+0.00044963i,0.00029132+0.00069589i,-0.00066855+0.00027813i,-7.7129e-05-4.394e-05i,0.00050004-1.4639e-05i,-0.00028878+0.00014814i,-0.00085648-6.2256e-05i,-0.00069063-0.00099158i,-0.00020103-0.00060663i,-0.00029436+0.00031342i,-0.00040394+2.651e-05i,-0.00020417-0.00032483i,0.0002708-0.00030832i,-0.00050015-9.4137e-06i,-0.00089227+0.00028283i
-0.0026671+0.0013444i,-0.0024955+0.0013179i,-0.0024076+0.0022365i,-0.0019731+0.0023592i,-0.00017608+0.0011196i,0.00099599+0.00059576i,0.0003936-7.2344e-05i,-0.00010153-9.7202e-06i,-0.00059295+0.0011161i,-0.00075716+0.0012335i,-0.00031472+0.00042151i,0.00030626+0.00017589i,0.00086347-0.0002685i,0.00035359-0.0012074i,-0.00011217-0.00093425i,-0.00015635-0.00093856i,-4.5181e-05-0.0016205i,2.5554e-05-0.0013906i,-0.00027217-0.00050939i,-0.00083852+0.00021808i,-0.00081515+0.00073181i,0.00011562+0.0005449i,0.00043667-0.00025645i
-0.0018548-0.0015733i,-0.0012809-0.0015172i,-0.00092055-0.0016218i,-0.00039361-0.00070483i,-0.00017992+0.00050506i,-6.6195e-05+0.0004815i,-0.00017953-0.00011978i,-0.0001856-0.00037395i,1.7373e-05-0.00027209i,0.00067687-8.5767e-05i,0.0010977-0.00017801i,0.00073044-0.00016274i,0.00022237+0.00018241i,0.00032283+0.00020671i,0.00045202+5.8441e-05i,-8.586e-06-6.5746e-06i,-0.00080282-0.0004151i,-0.0010999-0.00066044i,-0.00067907-6.2634e-05i,-0.00050056+0.00012261i,-0.00059932+0.00031156i,-0.00091449+0.00058142i,-0.00093954+0.00021645i
-0.00051885+0.0017383i,-0.00031412+0.0019412i,2.104e-06+0.0019647i,0.00076293+0.00085247i,0.0011573-0.00052586i,0.00090505-0.00115i,1.6114e-05-0.00061601i,-0.00092084+0.00025041i,-0.00094578+0.00092975i,-0.00073093+0.00088535i,-0.00040136+0.0003164i,0.00015065-0.00017535i,0.00042928-0.00082361i,-5.6433e-05-0.00062371i,-0.00051854+0.00013649i,-0.0004015-0.00016763i,-0.00036018-0.00068245i,-0.00019934-2.4226e-05i,-0.00013897+0.0003067i,0.00026412+0.00042572i,0.00031966+0.00066794i,0.00033289+0.00042658i,0.00097536+8.296e-05i
-0.0014509+0.00035202i,0.00044455-0.00031507i,0.00073016+4.463e-05i,0.00037889+0.00038161i,0.00085593+0.00030298i,0.00050312-0.00075921i,-7.6501e-05-0.00095227i,-0.0005672+0.00048816i,-0.00075241+0.0008262i,-0.00030177+0.00022398i,0.00048458-5.2999e-05i,0.00084268+0.00014951i,6.1636e-05-0.00033777i,-0.00010973-0.00059111i,-0.00016722+0.00024049i,-7.1443e-05+0.00050757i,0.00015111+0.00037731i,-0.00016134+0.00057715i,0.00034794+9.914e-05i,0.00091041-0.00023794i,2.4426e-05+0.00052176i,-0.00058882+0.00071656i,-0.00057048+0.00056035i
