-0.00020649+0.00033112i,0.00036968+0.00048932i,0.000891-3.2558e-05i,-0.00015699-0.00073295i,-0.0019606-3.7484e-06i,-0.0024244+0.00089512i,-0.0012606+0.00079829i,3.6355e-05+0.00044395i,0.00091957+0.0004327i,0.0010311+0.00011107i,0.00095614-0.00032809i,0.00044729-0.00047547i,-0.00048857+7.8335e-05i,-0.0011708+0.00061156i,-0.0013239+0.00099312i,-0.00084101+0.00080973i,-0.00028687+0.0004523i,0.00016182+0.00074192i,-0.0002328+0.00088101i,-0.0004726+0.00049907i,0.00032649-0.00022239i,0.00029974-0.00017854i,-0.00061001-6.0504e-05i
-0.0024558-0.00025507i,-0.0024734+0.0002621i,-0.0029314+0.00079694i,-0.0014587+0.00084184i,0.00053742+0.00048363i,0.0010637-0.00049761i,6.8869e-05-0.0018255i,-0.0006891-0.0018231i,-0.0009114-0.0006161i,-0.00071734-0.00015224i,-0.00058093-7.5468e-05i,-0.0001969+0.00025134i,0.00075145+0.00049621i,0.0011813+0.00050332i,0.0012228+0.00049685i,0.0010797+0.00073351i,8.2795e-05+0.00032088i,-0.00073867-0.00021946i,-0.00086463-0.00012005i,-0.00042814-7.8729e-05i,-5.8991e-05-0.00018425i,-1.5304e-06-0.00039672i,-5.1922e-05-0.00055988i
0.0013337-0.00040433i,0.0010797-9.495e-05i,0.00088794-0.00012463i,0.00034895-0.00061696i,0.00021051-0.0010679i,-6.7232e-05-0.0014621i,-0.00027642-0.0013408i,-0.00063786-0.00099192i,-0.00050799-0.0010649i,-0.00040976-0.00079301i,-0.00041492-0.00028006i,-0.00065139-8.6676e-05i,-0.0005805+8.5127e-05i,-0.00030887-0.00048318i,-0.00071013-0.0011548i,-0.0010178-0.00083863i,-0.00098542-0.00056631i,-0.00086086-0.00046981i,-0.0011244+5.6462e-05i,-0.00096104-7.1058e-05i,-0.00036127-0.0004608i,0.0001055-0.00066007i,0.00048322-0.00069873i
-0.00017996+0.00060418i,-0.00010966-0.00075399i,0.00018924-0.00062749i,0.00011033+0.00022803i,-0.00055896+0.00090799i,-0.00013532+0.00047728i,0.00025758-0.00070307i,-7.4814e-05-0.0012259i,-0.0001308-0.00034908i,-0.00037372+0.00060854i,-0.00066522+0.0005254i,-0.0010775+0.00037827i,-0.00048594+0.00025521i,0.00082501+0.00083936i,0.0011372+0.0013042i,0.00080388+0.00041969i,-7.8306e-05-0.00026387i,-5.9952e-05+0.00014956i,1.4921e-05+0.00062323i,-0.00017989-2.1265e-05i,6.7203e-06-0.0005826i,-0.00018787-0.00081997i,-0.00039174-0.00058297i
-0.00038269+0.0024564i,-0.00049181+0.0027857i,0.00045145+0.0021262i,0.001232+0.00084324i,0.00066308-0.0010654i,-0.00093496-0.0017706i,-0.00098404-0.0019317i,-0.00048247-0.0016736i,-0.00010784-4.7196e-05i,0.0003801+0.00078642i,0.00059681+0.00056486i,0.00012218-0.00012448i,-0.00015587-0.00038483i,-0.00018732-0.00035534i,-0.00035237-0.00097644i,-0.00017494-0.0013617i,-3.6256e-05-0.00083721i,-0.00020008+0.0001027i,-0.00011767+0.00049628i,-0.00034334+0.00042888i,-0.00015649+0.00039122i,0.00050469+2.2348e-05i,0.00020874-0.0003593i
-0.0013559+0.00023283i,-0.00025166+0.0011132i,0.0011128+0.00146i,0.00094831+0.0011358i,0.00076878+0.00078579i,0.00042379-0.00096987i,-0.00097688-0.0022926i,-0.0019354-0.0013667i,-0.0013776+0.00019073i,-0.00030946+0.00064i,0.00035477+0.00042727i,5.4917e-05+7.9644e-05i,-0.00036034-0.00060227i,0.00044498-0.0010671i,0.00085172-0.00067309i,0.00019458-0.00059443i,-0.00045654-0.00052603i,-7.3532e-05+0.00016029i,-3.9247e-05-7.6265e-05i,-0.00023711-0.00038635i,6.0055e-05+0.00049945i,0.00048681+0.0012997i,0.00026008+0.0011576i
0.0002192+0.0011732i,0.0012662+0.0017633i,0.0011817+0.0022478i,0.00026457+0.00032644i,0.00028108-0.0013987i,0.00082843-0.0020529i,0.00050145-0.0021025i,-0.00027074-0.0010106i,-0.00018167+0.0005079i,-5.3891e-05+0.00068695i,5.7192e-05+9.31e-06i,-0.00042562+6.6062e-05i,-0.00071821-0.0003185i,-0.00065684-0.0014704i,-0.0008483-0.0012083i,-0.001103+6.9892e-05i,-0.0005907+0.00055759i,-0.00024172-0.0001366i,4.2228e-05+7.7098e-06i,0.00096795+0.0007531i,0.0014653+0.00052816i,0.00082657+0.00054796i,-7.1713e-06-1.3957e-05i
0.0001776+0.0010661i,0.00034311+0.00075952i,0.00028529+0.0019758i,-0.00052863+0.0019964i,-0.00097719+0.00069072i,9.0209e-05-0.00078613i,1.0879e-06-0.0012781i,-0.00062666-0.00067781i,0.00039647+8.1758e-07i,0.0005951-0.00017664i,0.00021487+8.8974e-05i,-0.00068561+0.00062153i,-0.0017319-0.0001401i,-0.0013979+1.3439e-05i,-0.00096038+0.00031135i,-0.00076365+0.00019289i,-8.0227e-05-0.00026533i,0.00085377+0.0002489i,0.001576+0.00063784i,0.0016054+0.00022091i,0.00048645-0.00018893i,0.00037349-0.00026252i,0.00011163-3.2929e-05i
-0.0015442+0.0015814i,-0.0004591+0.002118i,-0.00016017+0.0020203i,0.00013513+0.00099408i,0.00041952-0.00019472i,0.0002724-0.0016961i,-0.00047291-0.0032149i,-0.0012949-0.0029714i,-0.0016053-0.0011035i,-0.0013082+0.00015809i,-0.00050479+0.00043432i,-0.0004734+0.000827i,-0.0010229+0.00057729i,-0.00046398-5.2624e-05i,0.00035983+8.5124e-05i,0.0005179-0.0001734i,0.00037444-0.00050355i,0.00024309-0.00042775i,-0.00084187-0.00031247i,-0.0020218+0.00027631i,-0.0010516+0.00019533i,0.00011299-0.00055475i,0.00015572-0.00088492i
-0.001729+0.0001934i,-0.0014113+0.0011884i,-0.00075583+0.0016055i,-0.00018115+0.00084719i,0.00055475+0.00030175i,0.00019982-0.0004575i,-0.00035951-0.001341i,-0.00051149-0.0010321i,-0.00037947-0.00040919i,-0.00033583+0.0004721i,-0.00024963+0.0008954i,-0.00038085+0.00090607i,-0.00030994+0.00078162i,0.00025688+0.00038802i,0.00039556+0.0003996i,0.00021239+0.00040858i,0.00050173+0.00024139i,0.00057301+0.00026216i,-0.00022675+0.00038975i,-0.0010075+0.00070118i,-0.00090443+0.00069067i,-0.00025277+0.00036922i,-1.9204e-05+0.00035436i
-0.0017497-0.00053507i,-0.0013572-0.0012483i,4.0438e-05-0.00047149i,0.001042-0.00033657i,0.0010226-0.00070555i,0.00027732-0.0011787i,-0.00032561-0.0016152i,-0.0004132-0.0014056i,-0.00061053-0.0010199i,-0.00052814-0.00020545i,-0.00017139-4.5716e-05i,0.00022938-0.0005652i,0.0007247-0.00080379i,0.00047191-0.00032023i,0.00032548+0.00038096i,0.00039302+0.00040488i,0.00051161+6.002e-05i,0.00058297+4.4243e-05i,0.00094909+0.00028834i,0.00074484+0.00041203i,6.7432e-05+0.00036418i,-0.00015623-6.1166e-05i,-0.00040966-0.00032732i
