-0.00075411+0.0010241i,-0.0010309+0.00025602i,-0.0022785-0.00041652i,-0.0020917-0.0002776i,-0.0020212+0.00098911i,-0.0022488+0.0019995i,-0.0012561+0.0024432i,0.00075798+0.0016118i,0.0018365+0.00035289i,0.0011001-0.00022022i,-7.0064e-05-0.00051711i,-0.0002951-0.0012422i,-0.00022195-0.00078755i,-0.00027794+0.00066637i,-0.00021901+0.0014319i,-0.00031161+0.001117i,-0.0001086+0.00049594i,-6.1171e-06+0.00041178i,-9.1047e-05+0.0010865i,-0.00044937+0.00096539i,-0.00018256+0.00021661i,-0.00023096-0.00067568i,-0.00057957-0.00039193i
0.0014057-0.00099223i,-0.00026954-8.543e-05i,-0.00065922+0.0017776i,-0.00065569+0.0020407i,-0.0012036+0.001311i,-0.0010779+0.0013414i,-0.00036814+0.0012478i,-4.2837e-06+0.0010332i,0.00059854+7.6524e-05i,0.0012391-0.0012141i,0.00071852-0.0014137i,-0.00045699-0.0016082i,-0.00090284-0.0012791i,-0.00065787-0.00015048i,-0.00038934+0.00015468i,-0.00034375-0.00056833i,6.1608e-05-0.00055718i,0.00019055-0.00020689i,0.0001838-0.00037601i,0.00062252-4.1226e-05i,0.00091905+0.0001731i,0.00042544+0.0013143i,-0.00041835+0.0016215i
0.0021778-0.00092129i,0.0032712-0.00082613i,0.0041616-0.001122i,0.0030536-0.00050962i,0.0014045-0.00035889i,0.00062634+1.9364e-05i,0.00027062+0.0012048i,0.00022986+0.0011431i,0.00066353-0.00027553i,0.00058342-0.00073332i,-7.6868e-05-0.0014479i,-0.00041418-0.0022481i,-0.0001271-0.0016688i,-0.00031565-0.00084307i,-0.00038585-0.00050252i,-0.00088486-0.00026456i,-0.0012559-0.00019401i,-0.00096922+0.00017513i,-0.00022438+0.00059618i,5.0939e-05-0.00019957i,0.00011783-0.0010482i,0.00025719-0.001155i,0.00065519-0.00035115i
-0.0013097-6.5591e-05i,-0.0014972-0.00032413i,-0.0013861-0.0011566i,-0.001236-0.0008361i,-0.00086828-0.00032923i,2.6536e-05-0.00028764i,0.00032156-4.0196e-05i,0.0011398-0.00011748i,0.0009916-0.0010933i,-0.00029836-0.0012039i,-0.0008775-0.00074129i,-0.0012727-0.00037069i,-0.0014718+0.00017229i,-0.00066825+0.0002139i,-0.00027782-0.00016739i,-0.00054365+0.00020412i,-0.00019572+0.00078627i,-0.00017561+0.00036424i,-0.00070145-0.00027429i,-0.0004072-8.0282e-05i,-1.1556e-05-0.00011574i,-0.00061871-0.00046634i,-0.0011607-0.00028268i
-0.0010717+0.0015397i,-0.0014005+0.0018771i,-4.8398e-05+0.0018809i,0.00069808+0.0009391i,3.0183e-06+0.0006617i,-0.0003567+0.001001i,-0.00016703+0.0013469i,0.00022071+0.0010529i,0.0006295+0.00034628i,0.00095971-8.0111e-05i,0.0011756+2.4201e-05i,0.00017595-4.4496e-07i,-0.00054801-0.00033071i,-2.023e-05-0.00051075i,0.0003672-0.00074338i,0.00058977-0.00025366i,0.00058146-0.00010996i,0.00083703+2.6224e-07i,0.00036293+0.00017634i,-0.00030665+0.00033482i,0.00066147+0.00020895i,0.0009622+0.00049856i,0.00036402+0.00052731i
0.00033946+0.00034903i,-2.6446e-05-9.9639e-05i,0.00094042+0.00058735i,0.00054817+0.0016408i,3.7474e-05+0.00062834i,0.00085728+0.0014485i,0.0014606+0.001925i,0.0017134+0.00059718i,0.0012583+0.00054317i,0.00022544-0.00051504i,-0.00026793-0.0012964i,-0.0007536-0.0016671i,-0.00032877-0.0021535i,0.00060641-0.0013717i,0.00061171-0.00071365i,0.00031101-0.00058424i,-0.00035351-0.00042102i,-0.00061684+0.00017525i,-0.00014028+0.00080352i,-2.6368e-05+0.00022431i,-0.00037215-0.0010699i,-0.00038623-0.00069383i,-0.00026067-0.00037433i
-0.00042083-0.00039558i,0.00010697-0.00050959i,0.0003329-6.371e-06i,0.00036191+0.00025879i,0.00010158+0.00080125i,-0.00040035+0.0012149i,5.6845e-05+0.00085166i,0.00099529+0.00047144i,0.0011133-0.00027307i,0.00041459-0.0016351i,0.00011313-0.0017985i,-0.00064614-0.00089197i,-0.0013083-0.0011579i,-0.00073523-0.00092173i,-7.2509e-05-0.00048014i,2.7185e-05-0.00025891i,-0.00013283-0.00016708i,-0.00022046-0.00016937i,-4.8882e-06+0.00043704i,0.00044661+0.00075808i,0.0002044+0.00043344i,-0.00021945+0.00033207i,-0.00078945+2.9882e-05i
-0.00014937+0.00056454i,-0.00023892-0.00052204i,0.00057459-0.0013122i,0.00012362-0.0012444i,-0.00018075-0.00029709i,0.00015981+0.00091285i,-9.3801e-05+0.0016961i,-0.00022716+0.0013495i,4.9762e-05+0.0001242i,6.1124e-05-0.00036661i,-0.00023836-0.00063741i,-0.00021886-0.00045461i,-0.00048115-0.00033383i,-0.0012207-0.00019348i,-0.0014392-9.502e-05i,-0.0008006+0.00048177i,9.7137e-05+0.0010061i,3.022e-05+0.00093039i,-0.00016682-0.00034964i,-0.00023065-0.0010249i,-0.0006184-0.00031843i,-0.00054618-0.00025806i,-2.3135e-05-3.5666e-05i
-0.0020053-0.00014042i,-0.0018274+0.00018748i,-0.003626+0.00040967i,-0.0031444+0.00057108i,-0.0017191+0.0011972i,-0.0017598+0.0013884i,-0.0013019+0.0010401i,0.00040859+0.0004837i,0.001137-0.00017548i,0.00066218-0.00068999i,0.00030097-0.00058141i,8.7173e-05-0.0010996i,-0.00026226-0.0010224i,-0.0005753+0.00033012i,-0.0002763+0.00058623i,7.8851e-05-0.00016386i,8.4962e-05-0.00020053i,-0.00019924+0.00036706i,-0.00068614-0.0001283i,-0.00016692-0.00047083i,0.00043931-0.00028955i,0.00026249+5.1426e-05i,-0.00028878-0.00021144i
0.0014187+0.0013556i,0.0018391+0.0021267i,0.0025672+0.0011524i,0.0027593+0.00022017i,0.0015314+0.00042922i,0.00030212+0.00026921i,-0.00012969+0.00061801i,0.00053859+0.0001599i,0.0013539-0.00063698i,0.0012799-0.0012919i,0.00057784-0.0014603i,0.00026705-0.0011171i,-0.00024482-0.00058714i,-0.0007726-0.00067025i,-0.00035189-0.0005275i,-5.8539e-05+0.00022121i,-0.00016326-0.00031885i,-0.00014284-0.00061726i,0.0001492+0.00018063i,-1.2253e-05+0.00041279i,0.00029763-0.00014554i,0.00041932-0.00031255i,0.0002024-5.7299e-05i
0.00034099-0.00046823i,0.0007583-0.00053947i,0.0018143+0.00021197i,0.0010074+0.00030402i,-0.00070183+0.0001286i,-0.0016046+0.00070182i,-0.00049358+0.00050026i,0.00071002-0.00026164i,0.00052496-0.00081389i,6.5376e-05-0.0013081i,0.00036229-0.0013255i,-0.00021716-0.0012236i,-0.0013017-0.0010208i,-0.001085-0.00049548i,-0.00016718-0.00017587i,0.00032137-0.00053101i,0.00046008+0.00017068i,0.00053565+0.00086413i,0.00038705+0.00021693i,0.00046806-0.00032185i,0.0006194-0.00018536i,0.0010246-0.00023211i,0.0016601-0.0001115i
0.00079973-0.00013032i,2.7124e-06-0.00082551i,-0.00065135-0.0011508i,-0.001238-0.0010169i,-0.0012306-0.00018974i,-0.00083485+0.00079349i,-0.00010723+0.0011717i,0.0010758+0.00067566i,0.0010541+4.352e-05i,-0.00026418-0.00076442i,-0.00081323-0.0012502i,-0.00093697-0.001923i,-0.0011681-0.0016296i,-0.00057904-0.00030021i,4.7134e-05+0.00046754i,-0.00045888+0.00083716i,-0.0010995+0.00054924i,-0.00065547+2.1301e-05i,0.00010435-0.0003988i,0.00021798-0.0003914i,-3.8503e-05-0.00040478i,0.00057571-0.00038306i,0.00083363-0.00035762i
-0.0011542-0.00082796i,-0.00032783-0.0018439i,-0.0013312-0.0019935i,-0.0027292-0.00033895i,-0.0024525+0.0010198i,-0.00080579+0.0012026i,8.7951e-05+0.0011523i,0.00014254+0.0007478i,0.00027389+0.00012065i,0.00052431-0.00022988i,-1.082e-05-0.0011531i,-0.00080627-0.00086316i,-0.0010031+0.00041283i,-0.00066874+0.00044636i,-9.1756e-05-9.396e-05i,-0.00026739-0.00016914i,-0.00054155-0.00025934i,2.0157e-05+0.00042097i,-3.1259e-05+0.00018446i,8.5414e-05-0.00072333i,0.00074892-0.00026003i,0.0010227+0.00031691i,0.00074271+0.00011834i
-4.0833e-07+0.00059339i,-0.00044583+0.0013347i,0.00030573+0.0011838i,0.00037598+0.0010279i,-0.00080646+0.0010418i,-0.00057238+0.00075474i,0.00035539+0.00055665i,0.00054361-0.00074547i,0.00067968-0.0015322i,0.0005871-0.00098694i,0.00017309-0.00078121i,-0.00041352-0.00073275i,-0.00036123-0.00031816i,2.4077e-05+3.0229e-05i,0.00022449+0.0002118i,0.0005875-0.00039912i,0.00066117-0.00067767i,0.00029551-0.0004839i,0.00024258-0.00025116i,0.00060089-0.00017317i,0.00043615-0.00039604i,5.2875e-05-0.0007445i,-0.00016896-0.00039996i
0.00057003-0.00032808i,0.001141-0.00060643i,0.001465-0.00064866i,0.0015146-0.0007939i,0.00072506-0.00032539i,-0.00035288+0.00037728i,-0.00052115+0.00099132i,0.00029266+0.0010077i,0.00059199+0.00020387i,0.00031936-0.00066676i,-2.8586e-05-0.0007781i,-0.00065403-0.00029249i,-0.00084809-0.00011802i,-0.00020619+0.00018665i,-0.00037342-0.00022477i,-0.00050533-0.0011343i,-0.000245-0.00063201i,-0.00019688+8.4893e-05i,-0.00029905-0.00057152i,-7.7053e-05-0.0011703i,0.00026911-0.0013704i,0.00011708-0.00095027i,-0.00012459-0.00024728i
0.000179+0.0002356i,-4.6385e-05+0.00038541i,-0.00047759-0.00047561i,-0.00061191-0.00048184i,-0.00030537+0.00023843i,-0.00085305-9.9319e-05i,-0.00027092-0.00013342i,0.0010008+0.00027427i,0.00049508-0.00052104i,-0.00011258-0.0014526i,-0.00023978-0.0021818i,-0.00095506-0.0022983i,-0.001522-0.0014625i,-0.00060376-0.00056189i,-0.00034894-0.00013332i,-0.00060446-0.00020645i,-0.00027877+0.00036369i,-5.017e-05+0.00037793i,9.7345e-05-8.7837e-05i,0.00032288+0.00016177i,0.0005142+0.00055773i,0.00016175+1.4565e-05i,-0.00013145-0.00052887i
7.2597e-05+0.00071115i,-0.00068265+0.001441i,-0.00040061+0.001871i,-0.00060623+0.0012736i,-0.00050992+0.00034094i,-0.00032432-2.1736e-05i,0.00017952+0.000411i,0.00087742+0.00087516i,0.00092163+0.00034953i,0.00075316-0.00076775i,0.00057874-0.0014893i,5.8991e-05-0.0018846i,-0.00043933-0.0014866i,-0.00077316-0.00023396i,-0.00062158-0.00025432i,-6.4964e-05-0.00068522i,-0.00027511-0.00046561i,-1.2777e-05+0.0001409i,0.00077998+0.00049606i,0.00085379-1.9767e-05i,0.00072812-7.8821e-05i,0.00071684+5.5871e-05i,0.00061249+0.00031312i
0.00082099+0.0010237i,0.0016192+0.00099402i,0.0024247+0.00080495i,0.0025461-0.00027187i,0.0020588-0.00032638i,0.0011019+0.00022198i,0.00042275+0.00084751i,0.0009375+0.0015206i,0.0011807+0.00049415i,0.0010771-0.00063587i,0.00071928-0.0010454i,-0.00022866-0.0013087i,-0.0012144-0.00073888i,-0.00082084-0.00055466i,0.00045348-0.00031219i,0.000152-1.8228e-05i,-0.00082319+9.6103e-06i,-0.00088774-0.0001227i,-0.00014478-1.3512e-06i,0.00057352+0.00057035i,0.00063608+0.00041506i,-0.0004092-0.00055216i,-0.0013397-0.00075601i
-0.001892+0.0016722i,-0.0023229+0.0015195i,-0.0015821+0.0019922i,-9.7506e-05+0.0014689i,0.00022056+0.00080001i,-0.00063269+0.0006669i,-0.00075904+0.0010479i,0.00068492+0.0018109i,0.0017006+0.0015424i,0.0012131+0.00025581i,0.00048364-0.00078119i,0.00043086-0.0013641i,0.00052916-0.00062133i,0.00043967+0.00023379i,0.00046906-0.00031345i,0.00043316-0.00091136i,0.00013392-0.00067762i,0.00088682-2.4152e-05i,0.0010502+8.3084e-05i,-0.00028406-0.00038132i,-0.00029311-0.00082277i,-0.00010345-0.0010257i,0.00027888-0.001178i
-0.00013337+0.0015218i,-0.00056961+0.0011384i,-3.5827e-05+0.00075668i,0.00040048+0.0013339i,-0.00038342+0.0010238i,-0.0015385+0.00058929i,-0.0013892+0.0015302i,-0.00015521+0.0021542i,0.00060788+0.00074003i,0.00058971-0.0013661i,0.00033717-0.0017653i,-0.00040787-0.0011933i,-0.00098361-0.00048858i,-0.0012752-5.1516e-05i,-0.0006496-0.00042852i,1.2034e-05-0.00053701i,-0.00062386+0.00023474i,-0.001327+0.0008832i,-0.00057806+0.00066745i,0.00036759-0.0004948i,0.00047347-0.00095954i,0.00044346-0.00053365i,0.0003012-0.00021289i
0.00054447-0.00045945i,-0.00055193-0.0010292i,-0.00087177-0.0019668i,-0.00066566-0.0011296i,-0.00087951+0.0001145i,-0.00022431+0.0001626i,0.00076342-7.6576e-05i,0.00029445+0.00035478i,-0.00066635+0.00016625i,-0.00072953-0.00051197i,-0.0010463-0.00081865i,-0.0010922-0.00028207i,-0.00048874+0.00022242i,-0.00041583+9.0326e-05i,-0.00016073-0.00011215i,0.00032919-0.00021006i,0.00058021-0.00018326i,0.00058134+6.8713e-05i,0.00038337+0.00029274i,0.00027389-0.00010436i,0.00014435-0.00032699i,-0.0001245-0.00033966i,6.0766e-05-0.00054171i
0.00081436+0.002144i,0.0009196+0.0019541i,0.0022785+0.0020547i,0.002419+0.00055146i,0.0011586-0.0010331i,-0.00032143-0.00029693i,-6.7805e-05+0.00063825i,0.0011497+0.0004798i,0.001284-6.0812e-05i,0.0012273-0.00064746i,0.00040071-0.0016508i,-0.0006723-0.0018662i,-0.00061628-0.001519i,-0.0006231-0.00097423i,-8.5125e-05-0.0001403i,0.00015174+0.00018857i,-1.2772e-05+0.00030222i,-6.5568e-05+6.1737e-05i,0.00015524-0.00044924i,0.00038183-0.00033881i,8.3368e-05-0.00030998i,0.00048614+0.00025443i,0.00015826+0.00033242i
0.0013062-0.00051333i,0.001384-0.00065596i,0.00074407-0.00067578i,-0.00038064-0.00083563i,-0.0015195-0.00058766i,-0.00081762+0.00057949i,0.00015926+0.00074075i,0.00053803+0.00040419i,0.0011358+7.8937e-05i,0.0013757-1.1615e-05i,0.00094722-0.0010517i,-0.00017999-0.0017221i,-0.0015263-0.00091095i,-0.0018632-0.00044485i,-0.00068281+0.00016955i,0.00040007+0.00054309i,-5.6735e-05-0.00010804i,-0.00072521-0.00038545i,-0.00018643-0.00060962i,-0.00028282+9.0154e-05i,-0.00072443+0.00038096i,0.00014155-0.00076067i,-7.7286e-05-0.00045542i
0.0011122+0.00046047i,0.00054376+0.0011444i,0.00025875+0.0018092i,-0.00037673+0.00093971i,-0.00095812+0.0012833i,-0.00044478+0.0023234i,0.00018601+0.0026359i,0.00062661+0.001731i,0.00075791+0.00017516i,0.00020175-0.00060154i,-0.00042189-0.0013097i,-0.0010605-0.0018544i,-0.0012228-0.0010347i,-0.00031018+0.00042306i,0.00023329+0.00084201i,-0.00023651-0.00013809i,-0.00065708-0.0005744i,-0.00045019-7.5701e-05i,-0.00036849-0.00019276i,8.0628e-05-0.00018599i,0.00061244+0.00031897i,0.00081287+0.00020848i,0.0005012+9.4547e-05i
-0.00056432+0.00060513i,-0.0005489+0.00085063i,0.00078764+0.0018502i,0.00049827+0.0023732i,-0.00049319+0.00098699i,-0.00028895-0.00011055i,0.00042455+0.00093589i,0.001342+0.0010796i,0.0013592-0.00054893i,0.00082047-0.0014101i,-0.00015292-0.0016529i,-0.0011926-0.0018312i,-0.00074601-0.00095189i,-8.9699e-05-0.00023686i,0.00021847-0.00021308i,0.00031147+0.00030517i,-3.0033e-05+0.00047876i,-5.5533e-05+0.00010394i,0.00052896+0.00026206i,0.00097468+9.8908e-05i,0.00067904+1.2809e-05i,5.9141e-05-0.00037097i,-0.00016922-0.00048273i
0.0019441-0.0037062i,0.002771-0.00383i,0.0021351-0.0040881i,3.9128e-06-0.0038364i,-0.0011304-0.0017358i,-0.0014677-0.00047015i,-0.00074992-7.7672e-06i,5.1164e-05+0.00084214i,0.00037665+0.00031268i,0.00045491-0.00092221i,0.00026985-0.00089954i,-0.00041682-0.0010434i,-0.00090113-0.0010456i,-0.00046804-0.00074735i,5.3519e-05-0.00056908i,-0.00031882-0.0010666i,-0.00018655-0.0013279i,0.00017136-0.00030308i,-5.4514e-05+5.1824e-05i,9.9263e-05-0.00033975i,4.7636e-05+0.00011463i,-4.0331e-05+0.00045587i,0.00032819+1.7042e-05i
0.0017725+0.00017534i,0.0018953+0.00079118i,0.0019747+5.3016e-05i,0.0018751-0.00092744i,0.00063821-0.00065382i,-0.0016075+0.00087269i,-0.0012728+0.0014595i,0.0008641+0.00070729i,0.0017642-0.00011025i,0.00048838-0.00087725i,-0.00049309-0.001156i,-0.00044355-0.0013179i,-0.00051142-0.0017485i,-0.00047374-0.0015801i,-0.00055243-0.00053067i,-0.00041647+0.00020799i,-0.0001948+0.00054859i,-0.00046408+0.00078732i,-0.00040776+0.00062286i,0.00085212+0.00037314i,0.001236+0.00060438i,0.0011511+0.000227i,0.0015738-0.00054915i
-0.0008245+0.00020808i,-0.00032472+4.3821e-06i,0.00040023-0.00064393i,-0.00045738-0.0010446i,-0.0012442-0.0012012i,-0.0012669-0.00045887i,-0.0010189+0.00061252i,-9.1102e-05+0.00089269i,0.00039128+0.00028548i,-0.0001239-0.00046527i,-0.0003012-0.00038249i,-0.00057606-0.00065303i,-0.00095075-0.0012179i,-0.00053975-0.0013173i,0.00026924-9.3374e-05i,0.00063067+0.00077021i,2.8293e-05+0.0010635i,-0.00054439+0.0012131i,-0.00071011+0.00074855i,-0.00070859+3.4303e-05i,6.0571e-05-0.0010169i,0.00039093-0.00059553i,-0.00020223+0.00037743i
0.001928-0.0011033i,0.0021576-0.0021889i,0.001753-0.0013201i,0.00053128-0.00054466i,-0.00039934-0.00036487i,-0.00094556+0.00041715i,-0.00054872+0.0016259i,0.00050058+0.0012063i,0.00049274-3.2969e-05i,-0.00019282-0.0010867i,8.3494e-05-0.0020936i,-0.00015198-0.0019245i,-0.0010166-0.00086642i,-0.00061425-0.00028852i,-4.8656e-05-0.00048546i,9.0935e-05+7.2817e-07i,0.00045426+0.00062182i,0.00084598+0.00046674i,0.00071213-7.4478e-05i,0.00024962-0.00056012i,9.0621e-05-0.00090447i,-0.00010827-0.00065633i,-0.00023178-0.00034715i
-0.00072564-0.0014401i,-0.00042604-0.00037971i,-0.0010483-0.00046989i,-0.0014011-0.00058155i,-0.001074-0.00020435i,-0.00046605+0.00014062i,0.00059398+0.00040031i,0.001346+0.00022238i,0.00090582-0.00031787i,-8.1062e-05-0.0011011i,-0.0011381-0.001181i,-0.0010877-0.0011008i,-0.00077449-0.00024052i,-0.0009458+5.8856e-05i,-0.00059051-0.00032363i,-0.00078986-0.00079618i,4.2455e-05-0.00084941i,0.0013964+0.00014877i,0.0005776+0.00088141i,-0.00024483+0.00091957i,0.00048036+0.0008501i,0.00093353+0.00063078i,0.00060724+0.00066833i
