0.0016075-0.00011194i,0.0022112-0.0014828i,0.0014859-0.0031476i,-0.00047904-0.0030658i,-0.0020896-0.0017635i,-0.0025894-3.3707e-05i,-0.0015994+0.001464i,-0.00065048+0.0013343i,8.0742e-05+0.0013427i,0.00013049+8.5902e-06i,-0.00030725-0.0013862i,0.00021368-0.0010533i,0.00068778-0.00045728i,0.0003124-5.4293e-05i,9.1739e-06+1.4613e-05i,-0.00033934+9.4478e-05i,-0.00078225+0.00018545i,-0.00075936-4.0571e-05i,0.00017103-0.00011263i,0.00067397-6.3402e-05i,0.00011125-0.00036293i,-1.6901e-05-3.9121e-05i,-0.00025461-0.00051407i
0.0012041+0.00011967i,0.00096642+0.00071246i,0.00084645+0.00040386i,0.0015195-0.00018283i,0.0012336-0.00059292i,0.00060447-0.0010425i,1.4373e-05-0.0003566i,0.0007343-0.00024989i,0.00088004-0.00036651i,0.00012153+0.00029687i,0.00036855+6.6213e-05i,0.0010415-0.00057549i,0.00085577-0.00015877i,-5.3756e-05+0.00011445i,-0.0003251+0.00036567i,0.00017183+0.00012617i,0.00046741+5.5626e-05i,5.9495e-05+0.00040713i,0.00017055+0.00026192i,0.00045256+5.6294e-05i,-2.4432e-05+0.00019919i,-0.00057736-1.2355e-05i,-0.000512-0.00037891i
0.0011652+0.0017914i,0.0013581+0.00062577i,0.001542-0.00037357i,0.0010118-0.00065269i,0.00014221-0.00097947i,0.00016469-0.00013546i,-0.00053911+0.00025452i,-0.0011478-0.00029144i,-0.00048421-0.00063018i,0.00016642-0.001602i,-7.5453e-05-0.0012504i,-0.00025212-0.00012219i,-0.0002847-0.00023648i,-0.00028435-0.00054454i,0.00023282-0.00025217i,0.00044143+0.00041097i,0.00026529+0.0005278i,8.2993e-05-5.725e-06i,0.00047796-0.00033602i,0.00057888-0.0004198i,-0.00024471-0.00033081i,-0.0002494-0.00057785i,1.9481e-05-0.000613i
-0.00042675+0.0011806i,-0.00038775-0.00025208i,0.00074846-0.00037054i,0.00076966-0.00067413i,0.0004084-0.00062068i,0.00016173+5.5147e-05i,-6.0157e-05+0.00018618i,-0.00074334-0.00046573i,-0.000306-0.00029771i,0.00054325+0.00039082i,0.00072716+3.2552e-05i,0.00038749-0.0011349i,-9.9053e-05-0.0014578i,0.00037124-0.00076324i,0.00062954-0.00014355i,-0.00035506+0.00015081i,-3.7096e-05-0.00035274i,0.00030478-0.00060844i,-0.00072305-7.9895e-05i,-0.0011905-3.3081e-05i,-0.001435-0.00072308i,-0.00071751-0.00098458i,0.00023675-3.1608e-05i
-0.00085677+0.0014988i,0.00012491+0.0020943i,0.0014058+0.0011009i,0.0019511-0.00032998i,0.0016733-0.00040133i,0.00042999-0.00023641i,-0.0002318+0.0003523i,1.0303e-05+0.00051887i,-0.00013586+0.00057109i,0.00035396+0.00027919i,0.00047443-0.0003186i,0.00015846-0.00083618i,0.0013036-0.0014458i,0.0018257-0.0002008i,0.00039393+0.00085436i,-0.00082501+0.00029596i,-0.00074529-0.00016589i,0.00041415-0.00084378i,0.0013327-0.0012855i,0.0012121-0.00072476i,0.00045968-0.00012655i,0.00035495+0.0002588i,0.00037972+0.00031017i
0.00021224+8.2287e-05i,0.00016842+0.0011154i,0.0003206+0.001715i,0.0003017+4.0435e-06i,0.0009422-0.00141i,0.0010589-0.00096118i,0.00019283+0.00038517i,-0.0010658+0.00079085i,-0.0011653+0.00044281i,-0.00041344+0.00031442i,0.00041928-0.00043524i,0.00068339-0.0005866i,0.00017785-0.0002331i,0.000388+0.00018907i,0.00026142+0.00073682i,-6.2254e-07+0.00043964i,0.00051388-0.00036974i,0.00084045-0.00038374i,0.00033653-0.00015757i,-0.00018977-0.00034004i,0.00035534-0.00073096i,0.00039568-0.00092404i,-0.00019252-0.0010676i
0.0011784-0.00017125i,0.0011909-0.00016068i,0.0013087-0.0010554i,0.0011846-0.0015459i,0.00014987-0.00081462i,-0.00080371-0.00080576i,-0.00072119-0.00039144i,-0.00077284-0.00043146i,-0.00090133-0.0014677i,-8.0217e-05-0.0012863i,0.00052036-0.00061451i,0.00042952-0.00037131i,0.00017466-0.00010009i,0.00019209-0.00033822i,9.5177e-05-0.00044382i,0.00021013-0.00027875i,0.00051453-0.00063586i,-5.3796e-05-0.00058323i,-6.4137e-05-0.00061037i,0.00097018-0.00045237i,0.00084766-0.00029926i,-0.00066467-0.00099402i,-4.6194e-05-0.00057524i
0.00018902+0.0012949i,0.0010506+0.00085182i,0.0024374+0.00032542i,0.0021619-0.00052745i,0.00073684-0.0007091i,-0.00042468+0.00015094i,-0.00065441+0.00010244i,-0.0001238+0.00080925i,-0.00013205+0.00049039i,0.00014841-0.00058303i,0.00020076-0.00068549i,-0.00012061-0.00019128i,-0.00018775+0.00047181i,-0.00016281+0.00027141i,-1.181e-05+9.0425e-06i,-0.00071138+5.6662e-05i,-0.00086465-0.00069913i,-0.00017685-0.00075481i,0.00038558-0.00014316i,0.00050813-0.00043058i,-0.00018478-0.00061107i,-0.00051047-0.00034062i,-0.00065335-0.00014548i
-0.00094357+0.00082918i,-0.00039297+6.8656e-05i,0.00079794+0.00024473i,0.00092362-0.0006757i,0.00035536-0.0015544i,0.00013722-0.00061003i,1.914e-05+0.00047706i,-0.00014571+0.00051506i,-8.1167e-05+0.0011915i,0.00035765+0.0014125i,0.00064302+0.00092857i,0.00045158+0.00019065i,8.2328e-05-0.00021022i,-9.2909e-05-0.00030258i,-1.1548e-06-0.00016248i,-0.00011068+0.00034273i,-0.00010399+0.00094319i,-0.00014327+0.00039952i,-0.00075924-0.00031035i,-0.0016955-0.00042274i,-0.00088554-0.00045817i,0.00014799+0.00014039i,0.00013897+0.0006313i
-0.0010434+0.0006351i,-0.0006748+0.0011963i,8.4565e-05+0.0010729i,0.00015933+5.9275e-05i,0.00024758-0.00086632i,8.722e-05-0.0019472i,-0.0005922-0.0010313i,-0.0015421-7.5109e-05i,-0.00038547-0.00025242i,0.0013331+6.1127e-05i,0.00084376+0.00062422i,9.9883e-05+5.5664e-05i,0.00054423-0.00050748i,0.0011077-0.00095343i,0.00083392-0.00086512i,0.00054535-0.00048325i,0.00074299-0.00052491i,0.00064759-0.00062163i,0.00017525-0.00042065i,0.00011625+1.22e-06i,0.00042917-1.1449e-05i,0.00010204-0.00014085i,-0.0001635-0.00022164i
0.00013247-0.0016426i,-0.00065454-0.00084145i,-0.0014808-0.0015173i,-0.00082052-0.0015367i,6.1986e-05-0.00090997i,0.00017556-0.0013107i,0.00017876-0.0017815i,1.8836e-05-0.0015671i,-0.00029205-0.0008757i,9.2267e-05-0.00085269i,0.00045453-0.00056615i,0.00030114+0.00037107i,-0.00031381+0.00037194i,-0.0004178-0.00021576i,-2.0926e-05-0.00028068i,0.00032578-0.00025425i,-7.0183e-05-6.2016e-05i,0.00015916-0.0001209i,0.00035858-5.1923e-05i,0.00065712-0.00027602i,0.0010394+2.5724e-05i,9.8274e-05+0.00044332i,-5.8537e-05+0.00022547i
