-0.0032377+0.00042889i,-0.0020541+0.00019174i,-0.0026382+0.0012835i,-0.0018914+0.0022175i,-0.00043769+0.0035321i,0.00016496+0.0032795i,0.00022938+0.0027787i,0.0002566+0.0025105i,0.00051493+0.0017451i,0.0010837+0.001119i,0.0007277+0.00063149i,-0.00043641-0.00021131i,-0.00071748-0.0010976i,-0.00015841-0.0011579i,-0.00015841-0.0012084i,-0.0010665-0.00072727i,-0.0012373+0.00021229i,-0.00041314+0.00022362i,0.00044756+0.0005207i,0.00071787-0.00027777i,0.00071334-0.0010524i,0.00049167+0.00032875i,0.00075774+0.00059945i
0.0014329+0.00048371i,0.0016938+0.00062185i,0.0014932+0.00018414i,0.00061464+7.9224e-05i,0.00039836+0.00064895i,-0.00026418+0.0012054i,-0.00010404+0.00070719i,0.0010565+0.00014333i,0.00084727+0.00027526i,-0.00043223+0.0001134i,-0.00072827+0.0002154i,-0.00077541+0.00059114i,-0.00015597+0.0002082i,-0.0003075-0.00028944i,-0.00060325-6.1384e-05i,-0.00062883+0.00051078i,-0.00097745+0.00013852i,-0.00073356-0.00082385i,-0.00019968-0.0011188i,0.00060375-0.00076605i,0.00050407-0.00066322i,-9.6276e-05-0.00037834i,-0.00036865+0.00036871i
-0.00080634+0.00021535i,-0.00093657-0.00083409i,-0.0012893-0.0010139i,-0.0019513-0.00073413i,-0.0012964-0.00026194i,0.00016634+0.00039473i,0.00077761+0.00054957i,0.00094702+0.00072844i,0.00084377+0.00086817i,0.00030879+0.00088604i,-0.00045494+0.00036305i,-0.00051156+0.00013319i,-0.0004074+0.00075545i,-0.00073491+0.00033672i,-0.00050872+0.00018391i,-0.00036375+0.00023259i,-0.00070868+2.1441e-05i,-0.0005621+0.0001291i,-0.00010505+0.00014303i,-4.4258e-05+0.00058034i,0.0003067+0.00081516i,-0.00040634+0.00070191i,-0.0014396+0.0006523i
-0.00036626-0.00043181i,0.00027052-0.00028284i,0.00046394+0.0011954i,0.00036796+0.0016031i,0.00079202+0.0022102i,0.001306+0.0030347i,0.00049005+0.0018658i,-8.0424e-05+0.0006712i,-0.00024212+0.00085931i,-0.00047337+0.00017191i,-0.00072647-0.0008392i,-0.00067728-0.00098373i,-0.00068201-0.0008083i,-0.00060415-0.00044771i,-0.00083534-8.4008e-05i,-0.0012103+0.00035114i,-0.00091894+0.00063076i,-0.00040165+0.0008549i,-0.00015126+0.00085823i,0.00032275+0.00031742i,-0.00019152-0.00033686i,-0.00074436-0.0008006i,-0.00021324-0.00048647i
0.00011604+0.0012372i,-0.00074541+0.0015178i,-0.00083505+0.0012201i,-0.00072345+0.0018975i,-0.00040308+0.002379i,0.00042998+0.0014982i,0.0015904+0.0007926i,0.0014605+0.00081081i,0.00095266+0.00085182i,0.00090368+0.00036747i,-9.5249e-05-0.00025184i,-0.00091882-0.00058627i,-0.00047849-0.00082353i,5.0554e-05-0.00051764i,-0.00037694-0.00033104i,-0.00058798-0.00035618i,-0.00041542+0.00017507i,0.00013842+0.00017051i,0.00023418-0.00017834i,-0.00017226-0.00046715i,-0.00011434-0.00042502i,-3.4609e-05+0.00026305i,-0.00034345+0.00037524i
-0.00076848+0.00038456i,-0.00039598+0.00064543i,0.00021034+0.00044581i,0.00093544+0.00022393i,0.0013833+0.00048474i,0.0010895+0.00087707i,9.8221e-05+0.0013284i,-0.00064032+0.0011559i,0.00017154+0.00027508i,0.0008167+0.0001235i,-0.00010932+0.00073083i,-0.00017125+0.00083963i,0.00026001+0.00020403i,0.00018183+0.00029688i,-0.00036254+6.9117e-05i,-0.0005541-0.0008053i,-0.00040181-0.00089889i,-0.00053595-0.00053671i,-0.00047774-0.0005805i,0.00036207-0.00030836i,0.00097568+0.00056896i,0.00011711+0.00074571i,-0.0005968+8.6063e-05i
0.0010968+0.00040731i,0.0020349-7.3149e-05i,0.0018288+0.0003097i,0.00094103+0.00028869i,0.00018651-0.00022651i,0.0004966-0.000241i,0.0004384-0.00017812i,0.00025587+0.00034603i,0.00057426+0.0011073i,0.00035612+0.00049301i,-0.00041319-0.00030828i,-0.00087608-0.00015741i,-0.0015119-0.00036644i,-0.0019157-0.00037899i,-0.0011491+0.00015459i,-0.00029219+0.00031044i,0.00029085+0.00012389i,0.00033549-0.00055347i,-7.2737e-06-7.7855e-05i,-0.00020321+0.00036804i,-0.00043375-0.00015252i,-0.00037013-0.00099488i,0.00037691-0.00093584i
-0.0027883+0.00045854i,-0.0011874-0.00038331i,-0.00033324+0.00083913i,-0.00024697+0.0019308i,0.00046323+0.0018101i,0.00066233+0.0008114i,0.00076002+0.0003617i,-0.00030349+0.00035048i,-0.0019578-7.1406e-05i,-0.0019108+0.00022163i,-0.0012644+0.001083i,-0.00063319+0.00038495i,0.00010651-0.00084489i,-0.0003729-0.00050786i,-0.00071959+0.00055198i,-0.00050222+0.00072265i,-0.00075034+6.5504e-05i,-0.00052933-0.00096562i,0.00032317-0.00097196i,-1.5201e-06-0.00029204i,-0.00070286-0.00046716i,-0.00082395-0.00021841i,-0.00026584+2.7573e-05i
-0.00044181-0.0020871i,-0.00034909-0.0020937i,0.00026286-0.0021813i,0.00044683-0.0018234i,-0.00032539-0.00064747i,-0.00094309+4.0246e-05i,-0.0010387+0.00051055i,-2.5852e-05+0.0001965i,0.00034871-0.0010467i,-0.00069093-0.0014416i,-0.0010227-0.00067592i,2.9331e-05+0.00092446i,-2.1409e-05+0.0018761i,-0.00042757+0.0012695i,0.00014715+0.0005474i,0.00040604+0.0005572i,-0.00016994+0.00039466i,-0.00076254-6.7546e-05i,-0.00068224-0.00012972i,9.6778e-05-1.954e-06i,0.00024161+0.00048341i,-0.00021934+0.00036347i,0.00036695+6.3346e-05i
0.0012809+0.0015719i,0.001961+0.0010534i,0.0018023+0.0013263i,0.0018044+0.0016781i,0.0021725+0.001884i,0.0020296+0.0017134i,0.0006664+0.0011821i,-0.00020683+0.0011591i,-0.00017695+0.00070087i,0.00024059-0.00020409i,0.00072037+3.033e-05i,0.00063801+0.00069818i,0.00033133+0.00096894i,-0.00036113+0.00095815i,-0.0010574+0.00052204i,-0.00134+0.00022478i,-0.0013126-0.00016472i,-0.00036163-0.00038924i,-0.00030307+0.00025833i,-0.00077518+0.00015007i,-0.00058263-0.00070186i,-0.00088955-0.00043353i,-0.00056714+0.00034842i
-0.00016995-0.0012126i,-0.0001964-0.0001115i,0.00014069+0.00033914i,6.3589e-06+9.9078e-05i,-0.00023937+0.0006255i,-0.00037764+0.00135i,-5.1508e-05+0.00041103i,0.00017604+6.8946e-07i,0.00026116+0.00032991i,-0.00022703+0.00016481i,-0.0015782+0.00086379i,-0.0015418+0.0015924i,-0.00030751+0.00097666i,0.00044313-0.00012168i,0.0011101-0.00034761i,0.0013463-0.00051696i,0.00069852-0.00098489i,-2.5137e-05-0.0008299i,-0.00028903-0.00056343i,-0.00059282-0.0011731i,1.0617e-05-0.0010327i,0.00024498-0.00062325i,-0.00031737-0.00032974i
0.00022049-0.00059117i,-8.1586e-05-0.0016371i,0.00056001-0.0012168i,0.00038455-5.8122e-05i,-0.00015265+0.00036156i,-0.00046637+0.00027607i,1.0017e-05+0.00052882i,-0.00029082+0.00057998i,-0.00077849-0.00027855i,-0.00053807-0.00064155i,-0.00064164-0.00013252i,-0.00065788-0.00017571i,0.00011256-0.00083546i,0.00024644-0.00081081i,-0.00047219-6.4079e-05i,-0.00087234+0.00012469i,-0.00058158+0.00016418i,-0.00029854+0.00047139i,-0.00054643+0.00047704i,-0.00052131-5.427e-05i,-0.00012041+8.1395e-05i,-0.00017556-0.00017744i,-0.00028253-0.00042024i
0.0018292-0.00022818i,0.0015661+3.4686e-05i,-3.7114e-05-0.0015726i,-0.0010236-0.0019793i,-0.00032862-0.0002701i,0.00029246+0.0010748i,0.00069587+0.0012153i,0.0011387+0.00043336i,0.0006756-0.0006998i,-7.7389e-05-0.0011946i,-0.00027736-0.00053404i,-0.00094008+0.00048894i,-0.001194+0.00053797i,-0.00092769-7.3282e-05i,-0.00067364-0.00059205i,-0.00041492-0.00065308i,-0.00026058-0.00052023i,-0.00064285+0.00037831i,-0.00053801+0.0013921i,-0.0003196+0.0010578i,-0.00049876-0.00033869i,-0.00041747-0.00019297i,-0.00012436+0.0010012i
