-0.0016684+0.00026431i,-0.00064396-5.054e-06i,-0.0015595+0.00091562i,-0.0024474+0.0021591i,-0.002032+0.0026812i,-0.0021675+0.0023785i,-0.0014444+0.002023i,0.00010058+0.0019134i,0.00083536+0.0015093i,0.00050156+0.00066227i,0.00047151+0.00014714i,0.0003095-6.3721e-05i,-0.00037525-0.00083604i,-0.00064918-0.0011306i,-0.00054033-0.00045871i,-0.00070514+7.8325e-06i,-0.00081324+0.00012888i,-5.6753e-05-0.00014969i,-0.00026161-0.00058933i,-0.00011465-0.00082483i,0.0010424-0.0011579i,0.00066847-0.00085151i,-0.00020467-0.00011336i
-0.00012823+0.0014471i,-0.00017703+0.0014014i,0.00046159+0.0015457i,0.0013462+0.0014815i,0.0007592+0.0013193i,-0.00041637+0.0012105i,4.2585e-05+0.00065081i,0.001154-8.3748e-05i,0.00051325-0.00037272i,-0.00099825+4.7269e-05i,-0.00071883-0.00023857i,-5.2821e-05-0.0001371i,0.00021556+0.00021479i,6.1821e-05+9.5899e-05i,7.0142e-05-0.00064827i,0.0002185-0.00048122i,-0.00015849+0.00013012i,-0.000447+0.0002445i,-0.00023919-0.00014876i,-3.0048e-05-0.00011604i,-0.00017561+4.7027e-05i,0.00010859+0.00045319i,9.4347e-05+0.0016746i
-0.0013149+0.0016605i,0.00022501+0.00153i,0.00075547+0.0026638i,0.0010042+0.002692i,0.0014433+0.0015823i,0.0017966+0.00065942i,0.001785+0.00019151i,0.001079+0.0002265i,0.00068478+0.00014659i,0.0013316+0.00012325i,0.0011001+0.00063715i,0.00011124+0.00024402i,-0.00066433-0.00086194i,-0.00085287-0.00071876i,-0.0011334-0.00026199i,-0.0011194-0.00025317i,-0.00074884-0.00027661i,-0.00027948-0.00064025i,0.00034668-0.00078294i,0.00026503+4.0631e-05i,0.00025045+0.00066904i,0.00011374+0.00044293i,0.00020866+0.00095077i
0.0021511+0.0013792i,0.0012944+0.0022796i,0.0011793+0.0013935i,0.0016741+0.0012837i,0.00083799+0.0011577i,0.00020126+0.00036422i,0.00039493+6.5707e-06i,0.00035133-0.00045889i,0.0006637-0.0011427i,0.00042382-0.00065183i,-0.00031462+7.6764e-06i,-0.00087487-0.00024323i,-0.0011067-0.00047853i,-0.00043865-0.00010451i,0.00023561+0.00075323i,7.0729e-05+0.00046098i,0.0001151+0.00011293i,0.00034561+0.00051721i,6.7868e-06+0.00031311i,3.613e-06+4.3017e-05i,-0.00020489-0.00066618i,-0.00048919-0.00090168i,-6.5089e-05-0.0001262i
-0.00020363+0.00061697i,-0.00060724+6.1434e-05i,-0.0010628+0.00028448i,-0.0005511+0.0014419i,0.00036892+0.001418i,-0.00015175+0.0002623i,-0.00050224+0.00011752i,7.7895e-05+0.00013959i,0.00048062-0.00027019i,0.00035543+0.00027878i,-0.00025184+0.0002673i,-0.00072699-0.00053497i,-0.0014146-0.00041061i,-0.0010937-0.00026894i,-0.00032765-0.00040605i,-0.00048021-0.00030173i,-0.00024192-0.00033267i,0.00024052+0.0001392i,0.00061593+0.00057446i,8.679e-05+0.00032942i,-0.00032906+0.00048043i,0.0001606+0.00022739i,0.0003992-0.00056074i
-0.00096705+0.00018503i,-0.0016073-8.6282e-05i,-0.0022869+0.00012018i,-0.0020462+2.8823e-05i,-0.00020829+0.00086205i,0.00041896+0.001152i,0.00045968+0.00089602i,0.00091287+0.00051402i,0.00056929+6.4091e-06i,-6.5872e-06-0.00014668i,-0.00017855+0.000117i,-9.9575e-05-3.4428e-06i,0.00016305-0.00068941i,-0.00043092-0.00061708i,-0.001235-1.5581e-05i,-0.0012334+0.00012396i,-0.0011081-0.00088853i,-0.0003747-0.00090048i,0.00031612+1.0555e-05i,0.0001222-0.00019589i,-0.00043957-0.00038652i,-0.00018962-0.00014009i,0.00062117+0.00011174i
0.0041739+0.0028319i,0.0037482+0.0019596i,0.0027916+0.0015709i,0.0020893+0.0020682i,0.0013301+0.0020216i,0.00060921+0.0011965i,-1.2337e-05+0.00070383i,-1.3141e-05+0.00055954i,0.00041605-0.00036664i,0.00019714-0.00080658i,-0.00078301-0.00062827i,-0.0019256-0.00034995i,-0.0015244+0.00018068i,-0.00043759+0.00059987i,5.0851e-07+0.00070288i,-0.0004976+0.001044i,-0.00080307+0.0011629i,-0.00011723+7.3798e-05i,0.00024915-5.0292e-05i,-0.00010312+0.0001321i,2.7151e-05+0.00022648i,0.00026935+0.00011629i,-1.5607e-05-0.00037451i
-0.0013517-0.0018253i,-0.0018791-0.0013545i,-0.0017793-1.11e-05i,-0.0017156+0.0014288i,-0.0019517+0.0016049i,-0.00099449+0.0016164i,0.00019105+0.0017971i,0.00060284+0.0007626i,0.00010179-0.00069036i,-0.00011051-0.00031607i,0.00048077+0.00080388i,0.00026737+0.00013172i,-0.0001893-0.0012664i,-0.00039639-0.0011853i,-0.00063048-0.0010516i,-0.00077681-0.0011074i,-0.0007914-0.00081094i,-0.00034515-0.00056806i,-0.00037837-0.00054085i,-0.00056789-0.00046475i,-2.5567e-05+0.00034599i,0.00076286+0.00092558i,0.0008289+0.00077421i
-0.00030241-0.00040753i,0.00059983-0.00023243i,0.0010342-3.1814e-05i,0.00024919-0.00046451i,-0.00051286-0.00061349i,-0.00072645-0.00066928i,1.9889e-05-0.00093211i,0.00041423-0.0010746i,0.00017728-0.00082366i,0.00014091+0.00030853i,1.033e-05+0.00080636i,-0.00066871+0.00053956i,-0.00070885-0.00011659i,-0.00041913-0.00066801i,0.0002687-0.00058231i,0.00093616+0.00016285i,0.00061173+0.00076946i,-0.00050627+0.00043037i,-0.00039993-0.00032157i,-0.00034496-9.5833e-05i,-0.00068465+0.00019334i,-0.00010215+0.00056505i,0.00025919+0.0011749i
0.0026834-0.00058968i,0.0025823-0.00032204i,0.001609-0.00038818i,0.0005535+0.00054211i,-0.00019661+0.0012304i,-0.00045998+0.0013035i,-0.00013833+0.00047162i,0.00081075-0.0004326i,0.00064133-0.0011232i,-2.7038e-06-0.00070258i,-0.00029569+0.00012534i,-0.00075696+0.00027746i,-0.00041634-0.00039826i,0.00052874-0.00021056i,0.00090642+0.00056773i,0.00034237+0.00011578i,-0.00036058-0.00055738i,-0.00022859-0.00042894i,0.00010892-0.00018818i,4.9029e-05-0.00053579i,-6.1915e-05-6.3583e-05i,0.00018469+0.00025133i,-2.4697e-06-0.0010761i
-0.0020824+0.0016803i,-0.00018331+0.0020373i,0.00080062+0.0028287i,0.0012647+0.0027942i,0.001855+0.002042i,0.00059027+0.00068712i,-0.00053629+0.00015129i,-0.00067345-4.8897e-06i,-0.0001727-0.00065241i,5.4118e-05-0.0011421i,6.9004e-06-0.0011883i,-0.00065033-0.0015007i,-0.0010192-0.0010651i,-0.00025457-0.00080951i,-5.1897e-05-0.0011251i,-0.00050682-0.00091183i,-0.0001242-4.2102e-06i,0.00057757+0.00071916i,0.00017456+0.00059009i,-0.00028725-1.6114e-05i,-0.00025058-5.5988e-05i,-0.00015241+6.0932e-05i,0.00025798-0.00051381i
-0.00044907+0.00050305i,-0.00039776+0.0012564i,-0.00042099+0.0011107i,0.00034117+0.0010253i,0.0011924+0.00077805i,0.001229+0.00063659i,0.0011842+0.00014267i,0.00066541-0.00030135i,-6.0375e-05-0.00046946i,-5.4254e-05-0.00019195i,-0.00015033+0.00021784i,-0.00053718-2.8613e-05i,-0.00065429+0.00019506i,-0.00078057+0.00076382i,-0.00059873+0.0003232i,-0.00019323+0.00013086i,-0.00011287+0.00088895i,-0.00052999+0.0009302i,-0.00054853+0.00065278i,0.00013639+0.00080898i,0.00097814+0.00065566i,0.0013012+0.00048028i,0.00061139+0.00072275i
0.0018138-0.0019903i,0.0014743-0.0022031i,0.0006335-0.00083158i,0.00020195+0.00062996i,-0.00054457+0.0012906i,-0.0010415+0.00060463i,0.0002576-0.00012629i,0.00086295-0.0004221i,0.0005698-0.0011368i,2.4103e-05-0.0016414i,-0.00038014-0.0011999i,-0.00063958-0.00015908i,-0.00060775+0.0002966i,-0.00030371+0.00016593i,0.00038443+0.00018003i,0.0011776-0.00037244i,0.00093871-0.00022428i,2.7972e-05-3.6202e-05i,-0.00016949-0.0001715i,-5.8538e-05+4.0674e-05i,0.00045239+0.00044728i,0.00060938+0.00040795i,0.00036665-0.00011681i
0.00023158+0.00039318i,-3.7964e-05-0.00042101i,-2.1289e-05-0.00043612i,0.00026623+0.00045509i,0.00095052+0.00080031i,0.0010847+0.0012316i,0.00017028+0.0010944i,-0.00030501+0.00041393i,-4.6853e-05-0.00089755i,0.00043441-0.00076214i,0.0005964+0.0003976i,-0.00028548+0.00026062i,-0.000812-0.00079684i,-0.00068688-0.00056623i,-0.00059264+0.00044411i,-0.00042207+0.00068818i,-0.00022642+0.00083524i,0.0010418+0.00062221i,0.0012747-0.00043447i,0.00045252-0.00044739i,0.00063623-0.00030498i,0.00035602-0.00066296i,-2.359e-05-0.00053683i
