-0.0020988-0.00035189i,-0.0036171-0.00089888i,-0.0046756-0.00053389i,-0.0036379-0.00033941i,-0.0033273+0.00031006i,-0.0026652+0.00089341i,-0.00067907+0.001179i,0.00058583+0.0013959i,0.00090182+0.0011432i,0.00051989+0.00046071i,-2.6456e-06-0.0003598i,-0.00034811-0.00014436i,-0.00090408+0.0006016i,-0.00057899+0.00071943i,-5.9531e-05+0.00052131i,9.1246e-05+0.00012446i,0.00023401-0.00040086i,-0.00015577+8.1792e-05i,-0.00039315+9.0827e-06i,-0.000266-0.00017422i,-0.00030458-0.00038017i,-0.00035697-0.00050492i,-9.2816e-05-0.00057006i
-0.00092651+0.0003856i,-0.0018515+0.0012127i,-0.0011981+0.0014238i,0.00028131+0.0007935i,0.00095245+0.00065084i,0.00018765+0.00072715i,0.00015818+0.00073189i,0.00066506+0.00074021i,0.00071198+0.00018204i,0.00050001-0.0001036i,-9.2108e-05-6.8032e-05i,-0.00081173-0.00073244i,-0.00083597-0.00056548i,-0.00064155+0.00050637i,-0.00016138+0.00085182i,0.00072954+0.00085466i,0.00039847+0.00072042i,-0.00058144+0.00033798i,-0.00063613-0.00037622i,0.00039469-0.00069141i,0.00083374-0.00048362i,0.00085574+0.00061502i,0.0012057+0.0014702i
0.0012821-0.0019389i,0.0013374-0.0032209i,0.00044689-0.0034453i,-0.0013066-0.002189i,-0.0019209-0.0012919i,-0.00038494+0.00016727i,0.00042956+0.0017139i,-0.00027642+0.0016207i,-0.00054809+0.00050853i,-0.00044971-0.00053188i,-0.00028635-0.00072549i,-0.00018684-0.0003211i,-0.0007661-0.00071451i,-0.00023089-0.00061576i,0.00074177+0.00029534i,0.00026549+0.0012195i,-0.00036821+0.0013393i,-0.00031779+1.1354e-05i,-0.0004-0.00047063i,-0.00056351-1.2795e-06i,-0.00011122-0.00019854i,0.00056546-3.9604e-05i,0.00059469+0.00012519i
-0.00053996+0.0015653i,0.00012652+0.0021047i,0.00018848+0.0013564i,0.00049515+0.00083315i,0.00069104+0.00098886i,-0.00011139-0.00018571i,-0.0001179-0.00041808i,0.0006459+0.00041783i,0.00035334-4.7514e-06i,-0.00062874-0.00065724i,-7.7229e-05-0.0006826i,0.0007721-6.9488e-05i,0.00052071+8.8409e-05i,6.9745e-05-3.9136e-05i,-0.00014353+0.00019037i,0.00046556-7.282e-05i,0.00077839-0.0003104i,0.00026675+0.00017084i,0.00022391+0.00014094i,-0.00043152-0.00011972i,-0.0010687+0.00041854i,-0.00069939+0.0012639i,-0.00083379+0.0012528i
-0.0016398-0.0032095i,-0.0022304-0.003052i,-0.002452-0.0026428i,-0.0016559-0.0014471i,-0.00175-0.0005983i,-0.0015789+0.00062881i,-0.00046582+0.00097622i,0.00048167+0.00056855i,0.00038781+3.2704e-05i,-0.00012582-0.00040072i,-0.00046787-0.00025751i,-0.00036605-7.5776e-05i,-0.00052794-2.8703e-05i,-0.001102+7.7553e-06i,-0.00057793-6.8003e-06i,-0.00024137+1.1998e-05i,-0.00056702-0.00024189i,-6.5886e-05-0.00048043i,-0.00029317+0.0002909i,-0.001099+0.00058128i,-0.00086122+7.7718e-05i,0.00014785-0.00020788i,0.0002318-0.00017579i
0.00066321-0.00086568i,0.0007067-0.0021221i,0.0012812-0.002759i,0.0011636-0.0023762i,-3.3267e-06-0.0017807i,-0.00062126-0.00037634i,-0.00059904+0.00095915i,-9.4067e-05+0.00047402i,0.00024545-0.00017209i,-0.0010055+6.7625e-05i,-0.0017262-4.4037e-05i,-0.00065883-0.00073819i,0.00017356-0.00059992i,0.00034956-0.00029645i,2.1469e-05+0.00037473i,5.808e-05+0.00082271i,4.4797e-05+0.00058581i,-0.00061611+0.00051029i,-0.00026387+6.1302e-05i,-0.00019824-0.00046691i,-0.00027625-0.0002758i,7.7329e-05+0.00044364i,1.5888e-05+0.00048598i
0.00015036+0.0017995i,0.00040789+0.001397i,-5.9596e-05+0.0011397i,-0.00021899+0.00060798i,-0.00046278+1.641e-05i,-4.1972e-05+0.00012554i,0.00078776+0.00018349i,0.0010889-0.00040322i,0.00024803-0.00074909i,0.00014054-0.00015096i,0.0008164-0.00018202i,0.0013729-0.000803i,0.0012936-0.00093233i,0.00083563-0.00051514i,0.00032519-0.00047664i,0.00020986-0.00019665i,-0.00023378+0.00030649i,-0.00040058+0.00062142i,-0.00045246+0.00037779i,-0.00055903-0.00036847i,-0.00017815+8.0552e-05i,-6.7774e-06+0.00060874i,-0.00031376-0.00015873i
0.00059742+0.00066904i,0.00022059-0.00023775i,3.6331e-05-2.1352e-05i,0.00083334-4.2713e-05i,0.0014098-0.00095193i,0.00036815-0.0009066i,-0.00045079+0.00033881i,-0.00013257+0.0010048i,0.00031901+0.00053875i,0.00021513-0.00019615i,0.00027868-0.00010344i,0.00035993+0.00013826i,0.00015379+0.00047416i,-0.00033827+0.00071175i,-0.00082932+0.00061006i,-0.00051718+6.8262e-05i,-3.1973e-05-0.00050875i,-0.00041826-0.00029357i,-0.0011082-0.00050056i,-0.0011604-0.00010853i,-0.00092791-1.797e-05i,-0.00094264-0.0001778i,-0.00074698+9.2865e-05i
0.0014118+0.00092047i,0.0022264+0.0012572i,0.0022127+0.0016347i,0.0014713+0.00099392i,0.00058257-0.00021794i,-0.00049982-0.00062231i,-0.0008023+9.099e-05i,-0.00042229+0.00096722i,-0.00042848-0.00022634i,-0.00020016-0.0015615i,-0.00022078-0.0015869i,-0.00019879-0.0011098i,0.00014248-0.00095854i,8.5588e-06-0.0010296i,0.00011011-0.0014328i,0.00065439-0.0010479i,-0.00013826-9.4347e-05i,-0.00078693-0.00017788i,-0.00030937-0.00092651i,-0.00056282-0.00076533i,-0.00047318-0.00068249i,0.00022586-0.00062834i,0.00065733-0.00068291i
0.001567+0.0019046i,0.0025058+0.0018482i,0.0032022+0.002217i,0.0021229+0.0012011i,0.00087539-0.00014321i,-0.00023024-0.00016061i,-0.00083847+0.0003511i,0.00061884+0.00083762i,0.0012689+0.0011184i,0.00089973+0.00019852i,0.0016528-0.00052726i,0.001868-0.0011252i,0.00099944-0.0010679i,0.00033552-0.00064431i,0.00096891-0.00081972i,0.00096937-0.0004332i,0.00052123-0.00026188i,4.9568e-05-0.00011996i,-9.3187e-05+0.00066822i,0.00032502+0.0011755i,0.00067378+0.00094086i,0.0012678-1.3563e-05i,0.001375-0.00037374i
-0.0018963+0.0013558i,-0.0028586+0.0017366i,-0.0037508+0.0027736i,-0.0020527+0.0022697i,0.00024818+0.00102i,0.0010768+0.00030029i,0.00049227+7.5359e-05i,-0.00076045+0.00041016i,-0.0010865+0.0010501i,4.6691e-05+0.00053048i,0.00079336+0.00052248i,0.00062753+0.001055i,0.00047797+0.00016616i,-0.00038554-0.00038023i,-0.00048218-0.00016836i,-0.00025359+0.00025775i,-0.00064947+0.00058554i,-0.0010278+0.00041435i,-0.00078311+2.4344e-05i,-0.00020661-0.00020867i,0.00025605-0.00027342i,0.00043481-0.0002894i,0.00016825-0.00030559i
0.00034384-0.0020305i,0.00072748-0.0015936i,-0.00025213-0.0003809i,-0.00062827-0.00018927i,-0.00047352-0.001476i,-0.00014296-0.0017454i,4.9322e-05-2.6669e-05i,0.00043003+0.00054006i,0.00050439-0.00028471i,7.0111e-05-0.00063698i,0.00022908+7.526e-06i,0.00054165+0.00074362i,8.2016e-05+0.00016617i,6.1998e-06-0.00053694i,-1.8244e-05-0.0002371i,-0.00084253-0.0001278i,-0.00064924-0.00067166i,-6.6448e-05-0.0013099i,-0.00041961-0.00031967i,0.00011483+0.00020469i,0.00096816+0.00057972i,0.00045188+0.00049048i,-0.00011376-7.7025e-05i
-0.00071928-6.3329e-05i,-0.00014396-0.00041955i,0.00021269+0.00019754i,0.00013764+0.00062259i,-0.00044296+0.00055391i,-0.0010461+0.00057253i,-0.00028754+0.00064851i,0.00069081+0.00017483i,0.0010167-0.00066145i,0.00042612-0.00073725i,-0.00040963+6.8192e-05i,4.6233e-05+0.00042576i,0.00033929-0.00033807i,-0.00070572-0.00097568i,-0.00093499-0.000734i,0.00026179-3.4883e-05i,0.00066486+0.00047426i,-0.00035607-0.00067864i,-0.00057292-0.00093313i,0.00062847-1.546e-05i,0.0010269+0.0001303i,0.00080602+0.00024747i,0.00011603+0.00011905i
-0.00069187-0.0014063i,-0.00093621-0.0014668i,-0.0017751-0.0016438i,-0.0011252-0.00088278i,-0.00073103+0.00045435i,-0.00030455+0.00090011i,0.00019408+0.0013616i,0.00016885+0.0013883i,0.00035812+0.0007072i,0.00027505+0.00025781i,-0.00011949-0.00026422i,-0.00021325-0.00013622i,-0.00036712+5.7173e-05i,-0.00018093-0.0003089i,0.00034459-0.00026928i,0.0006173+3.7244e-06i,0.0002269-0.00048572i,-0.00075009-0.00059803i,-0.00098359-0.00072831i,-0.00029559-0.00056174i,0.00020624+0.00021839i,0.0002576+0.00069385i,-0.00015629-0.00024877i
0.0011132-0.000195i,0.0011774-0.00064891i,0.00074086-0.00088976i,-9.4269e-05-0.00046022i,-0.00063135+0.00040349i,-0.00083648+0.0010543i,-0.00090317+0.0010481i,0.00021897+0.000821i,0.00029367+0.00019116i,-0.00046095-3.5191e-05i,-0.00052566-0.00067123i,-9.7655e-05-0.00073306i,-0.00019078-0.0004148i,0.00012646-0.00010685i,0.00088349+0.00046777i,-0.00035051+0.00065028i,-0.0011796+0.00051571i,-0.00050668+0.00067912i,0.00016936+0.00060593i,8.9809e-05+8.0305e-05i,8.0191e-05+0.00028584i,0.00049095+0.00064795i,0.00064414+0.00095427i
0.00053275+0.0011841i,5.1717e-05+0.0022042i,-0.00086802+0.0015552i,-0.00041396+0.00074154i,0.00053917+8.7964e-05i,0.00018748+0.00040508i,-0.00078769+0.00076848i,-0.00024246+6.5656e-05i,0.00054762-0.00071969i,6.5767e-05-0.000612i,-7.776e-05-0.00043022i,1.4842e-05-0.00033433i,-0.00037907-0.00052985i,-0.00042576-0.00089018i,-0.0007401-0.00065451i,-0.00018537-0.00066658i,-0.000277-0.00083282i,-0.00058561-0.00091648i,-0.00089776-0.00022012i,-0.00060068+0.00073431i,0.00013115+0.00025452i,0.00016944+0.00011794i,-0.00059326+0.0003068i
-0.00086364-0.00083422i,1.2162e-05-0.0017971i,0.00047583-0.0015626i,0.0001628-0.0018782i,-0.00011306-0.0017457i,0.00082583-0.00064978i,0.0013771-8.7146e-05i,0.00084212+0.00062881i,0.00055978+1.6741e-05i,0.00052097-0.0001355i,-4.0119e-05+0.00068729i,4.4127e-05+0.00031386i,-0.00012287-0.00049808i,-0.00071878-0.00089878i,-0.00082232-0.0012027i,-0.00076967-0.00091645i,-0.00091614-0.00061166i,-0.0010618-0.00064709i,-0.001379-0.00013321i,-0.0008324-0.00024228i,0.00063281-0.00087824i,0.00084579-0.00088349i,0.00048005-2.7289e-05i
0.0017566-0.0012388i,0.0012809-0.0013411i,0.00023532-0.0010347i,6.3808e-05-0.00069733i,-0.00034473-0.00054676i,-0.00049835-0.00025342i,0.00037607-9.111e-05i,0.00088081-0.00058744i,0.00084533-0.0013688i,0.00069889-0.0013828i,-0.00024282-0.0010723i,-0.0015272-0.00026131i,-0.0014044-0.0001619i,-0.00050971-0.00079519i,-0.00032798-0.00078056i,-0.00015394-0.0008779i,0.00019902-0.00040869i,0.00029198+0.00010017i,-3.461e-05+8.4486e-05i,-7.3739e-05+0.00030587i,0.00042199+0.00032999i,-4.9338e-05-0.00032281i,-0.00020859-0.00084938i
0.0014409+0.0015117i,0.0017263+0.0018973i,0.0021863+0.00068205i,0.0014135-9.4799e-05i,0.00043256+0.000457i,-9.0292e-05+0.00076314i,6.7781e-05+0.00086967i,0.00095184+0.00051846i,0.0010787-5.0943e-05i,0.00062736-0.00011316i,0.00028013+0.00060215i,0.00024364+0.00078454i,0.00049009+0.00091709i,-0.00044921+0.0007418i,-0.0010214+0.00012956i,-0.00070108+5.7288e-05i,-0.00081411-0.00015945i,-0.0012955-0.00039763i,-0.0011029-4.556e-05i,-0.00021554+0.00021089i,0.00041101+0.00015499i,7.5388e-06-0.00045205i,-0.00057391-0.001196i
-0.00027526+0.00056817i,0.0002233+0.00020125i,0.0005676+0.00058004i,0.00060018+0.00031853i,0.00012708-0.00037177i,0.00027395-0.00056163i,-0.00012824+0.00023153i,-0.000322+0.0013662i,0.00022836+0.00085465i,0.0001083+2.9637e-05i,-0.00013832-0.00034079i,-0.00044706-0.00059461i,-8.7872e-05-0.00067459i,0.00052494-0.00041471i,-7.8726e-05-0.00047457i,-0.00079593-0.0010785i,-0.00067314-0.00038059i,-0.00033121+0.00029931i,-0.00032424+0.00034802i,-0.00066349+0.00016844i,-0.0004266+2.0186e-05i,-8.6073e-05-8.9369e-06i,-0.00019419-0.00024354i
0.00080761-0.00083037i,0.00065702-0.0015162i,-0.00077591-0.0012129i,-0.0019289-0.00041911i,-0.0015961-0.0003505i,-0.00043094-0.00018456i,-0.00023385+0.00010813i,0.0008783-0.00017951i,0.0013805-0.00026884i,0.00014637+0.00013495i,1.5972e-05+0.00025811i,0.00034489-0.00015745i,0.00035619-0.00059064i,0.00062394-0.00095276i,0.00054052-0.0005609i,1.8188e-07-0.00014423i,-0.00014302+0.00019919i,6.1283e-05+0.00064086i,-0.00012125+0.00063051i,-0.00017953+0.00043274i,-0.00014518+0.00016598i,-0.00039554-0.00012218i,0.00041788+8.3159e-05i
