0.0011468-5.7404e-05i,0.0013365-0.0021355i,0.00029074-0.0033115i,-0.00092492-0.0017916i,-0.00069048+0.00098099i,2.0477e-05+0.0033088i,0.00060428+0.0030782i,0.0013302+0.0015003i,0.0010989+0.0003723i,0.0010252-0.0002533i,0.0012016-0.00061931i,0.00027564-0.001134i,0.00010178-0.0011336i,0.00085547-0.0011044i,0.00079303-0.00073967i,-0.00029616-0.00040273i,-4.1567e-05-0.00050284i,0.00060549-0.00030826i,-0.00042141+0.00037481i,-0.0010454+0.00051727i,-0.00033818-4.9187e-05i,-0.00018495+7.7178e-05i,-0.0002535-2.0146e-05i
-0.001451+0.00087391i,-0.00057296+0.00018629i,0.00092027+0.00024726i,0.0020234+0.00095363i,0.0023192+0.0016662i,0.0031933+0.00069813i,0.003585-0.0010762i,0.001464-0.0014123i,-0.0005143-0.0010291i,-0.00034271-0.00017746i,0.00048213+3.3447e-05i,0.00018161-0.00067082i,-0.00025685-0.00097717i,-7.8018e-05-0.001722i,0.00027714-0.0015445i,0.00087423-0.00089798i,0.0010424-0.0011209i,-8.7952e-05-0.00097374i,6.4216e-05-6.7471e-05i,-0.00031257+0.00049723i,-0.00168+0.00042769i,-0.0012574+0.00032264i,-0.00053007+6.8477e-05i
0.00062257-0.0012743i,0.00076606-0.0011607i,0.00016144-0.0022268i,-0.00072148-0.0014499i,-0.0001928+0.00048059i,0.0022431+0.0016224i,0.003029+0.00076297i,0.0011805+7.8051e-05i,-9.7282e-05+0.0001532i,-0.00018772-0.00051563i,0.00078579-0.001217i,0.0011702-0.0012509i,0.00055316-0.0011244i,6.2275e-05-0.00061764i,-0.00043205-0.00011113i,-0.00064332-0.000404i,-0.00017758-0.00060158i,0.00043153-0.0007757i,0.00044749-0.0012624i,-0.0003722-0.00067548i,-0.00099755-0.00031738i,-0.0011039-0.00023422i,-0.00066539-0.00040518i
-0.0010723-0.0027417i,-0.0013055-0.0044967i,-0.0017576-0.0030941i,-0.00060036+0.00019627i,0.0017147+0.0022236i,0.0034252+0.0023096i,0.0032979+0.0010931i,0.0018983+8.7222e-06i,0.00077344-0.0002201i,0.00068875-0.0001782i,0.00067543+0.00025847i,-0.00058326+8.201e-05i,-0.001288-0.0010992i,-0.0008915-0.0011392i,-0.00036726+0.00010133i,-0.00067868-0.00022154i,-0.00077816-0.00081051i,0.00038789-0.00030781i,0.00093168+0.00035931i,-0.00018216+0.00093582i,-0.0004763+0.0005715i,1.5688e-05+0.00022909i,-6.5855e-05+0.00057848i
0.001872+0.00064229i,0.0010633+0.0010231i,-0.00037595+0.00083759i,-0.00073745+0.00093484i,0.00052785+0.0021438i,0.00088131+0.0032053i,0.0015646+0.0020211i,0.0012357+0.00033857i,5.5977e-05+0.00036488i,-0.00036409+0.00024429i,0.00029829-0.000173i,0.0010317-0.00031507i,0.00082812-0.00059775i,0.00021086-0.00046009i,-1.8821e-06-0.00063502i,0.00072726-0.00042857i,0.00082696-0.00045333i,4.0732e-05-0.00034609i,-0.00023255+0.00046113i,-0.00043548+0.00058045i,-0.00061968+0.00030681i,-0.00040553+0.00070402i,-2.528e-05+0.0007708i
0.0004907+0.0010175i,0.0010358-0.0012467i,0.00092935-0.0016947i,0.00061283-0.00045934i,0.0017769+0.00067502i,0.0034178+0.0014322i,0.0029588+0.00094361i,0.001001-0.0005353i,0.00022567-0.00087292i,0.00095667-0.00054607i,0.00094389-0.00074484i,-4.1358e-05-0.0004947i,-0.00025637-0.00029501i,-0.00012649-0.00079964i,-0.00020088-0.0011591i,-0.00058253-0.00062495i,-0.00091779+0.00042053i,-0.00073085+0.000215i,-0.00025667+0.0002012i,-9.112e-05+0.0006305i,-5.6917e-06+0.0001256i,8.7288e-05-0.00091681i,-0.000507-0.0010059i
-0.00019109-0.0022797i,-0.00093873-0.0029561i,-0.00071883-0.0026879i,4.8104e-05-0.0010895i,0.0014678+0.0012888i,0.0028592+0.0025319i,0.0025872+0.0015675i,0.0019468+0.00072696i,0.00096302-4.2401e-05i,0.00068201-0.0005686i,0.0011082-0.00051746i,0.00054875-0.00062306i,0.00036277-0.00085638i,5.874e-05-0.00094023i,-0.00022753-0.00086617i,0.00046347-0.00050743i,0.00024576-0.00095253i,-0.00010334-0.00059913i,0.0003473+0.00081642i,-0.00018905+0.00076154i,-0.00089365-2.1697e-06i,-0.00025297-0.00092315i,-0.00010002-0.00058525i
0.0020402+0.0010174i,0.0016113-0.00032394i,0.00094678-0.0010645i,0.0005275-0.00069633i,0.0012699+0.00096316i,0.0025238+0.0019062i,0.0028393+0.0007924i,0.0019207+0.00015602i,0.0010269+0.00027271i,0.0008062-0.00034452i,0.00052236-0.00094246i,-8.8756e-07-0.0010339i,-0.00049332-0.0010367i,-0.00094842-0.00066878i,-0.00064431-0.00017028i,3.0652e-05+0.00012305i,0.000109+0.0005098i,0.00027591+0.00025748i,0.00036674-0.00031029i,-0.00015964-0.00096612i,-0.00031813-0.00055445i,-0.0003793+0.00075732i,-1.3634e-05+0.00075687i
0.00079117+0.00082553i,0.0023431-0.0005691i,0.0026726-0.0013834i,0.001586-0.00073133i,0.0024741+0.0021291i,0.0032069+0.0030771i,0.0022733+0.0014181i,0.0019235-0.00012883i,0.0013628-0.00051814i,1.1996e-05-9.9215e-05i,-0.00038182-0.00050817i,-0.00022085-0.00084637i,0.00027082-0.00047684i,0.00044748+3.4672e-05i,0.00039052+6.726e-05i,0.0003538+0.00017952i,-0.00011474-0.00029716i,5.1415e-05-0.00083485i,0.00052386-0.00097073i,0.00036063-0.0011441i,-9.4846e-05-0.0005436i,-0.00059826-0.00015473i,-0.00068429-0.00028314i
-0.001026-0.0017438i,-0.0016717-0.002258i,-0.001351-0.0030524i,-0.00079235-0.0010609i,-0.00053029+0.0018511i,0.0010479+0.0027984i,0.001786+0.0014693i,0.0012301+0.00036447i,0.00075066+0.0001869i,-0.00038709-3.4531e-05i,-0.00073551+0.0003927i,-0.00073105+0.00079167i,-0.0009625+0.00026715i,-0.00078943+0.00027039i,6.3431e-05+0.00068453i,0.00024717+0.00062935i,-0.00013703+0.00041236i,-0.00028341+0.00073312i,0.00017888+0.00040791i,0.00094593-0.00035165i,0.0008986-0.00018428i,0.00024905+5.0767e-05i,-0.00021329+0.00025279i
0.0012875-0.0012414i,0.0019347-0.0016237i,0.0016201-0.0015564i,0.0010547-0.0013806i,0.0017177-0.00027057i,0.0032219+0.0012226i,0.0029458+0.00066109i,0.0017748-0.000724i,0.0013477-0.0011703i,0.00091365-0.00088464i,0.00047392+1.3091e-05i,0.00042812+2.427e-05i,0.00046616-0.00074554i,0.00035385-0.0014946i,0.00062085-0.0012484i,0.00088945-0.00042602i,0.00062281-0.00010776i,0.00045357+0.00010773i,0.00062248+0.00062386i,0.00046543+0.0010405i,-0.00026285+0.00079542i,-0.00034604-5.0928e-05i,0.00015699-0.00026205i
