-0.0021904+6.7555e-06i,-0.0020668+4.3503e-05i,-0.0031552+0.00022474i,-0.0039086+0.0003436i,-0.0036169+0.00098636i,-0.0020775+0.0013872i,-0.00079604+0.001359i,0.00045032+0.00091405i,0.00088647+0.00037384i,0.00085992+1.2033e-05i,0.00043451-0.00073715i,-0.0002511-0.00044499i,5.8988e-05-0.0001815i,9.6871e-05-0.00033079i,0.00035136+0.00067664i,0.00030682+0.00040922i,0.00011739-0.00022958i,0.00016018-2.2472e-05i,-0.00013392+0.00015375i,-0.00073458+0.00043437i,-0.00025062+0.00031541i,0.0002691-4.2577e-05i,-0.00011565-0.00041629i
0.0009982+0.00096744i,0.00093563+0.0003993i,0.00079633-0.00072867i,0.00054234-0.0018097i,0.00092244-0.0012063i,0.0004727-0.0011021i,-0.00012683-0.0012815i,0.00057508-0.00077456i,0.0007405-0.00058947i,1.9052e-05-7.2117e-05i,-0.00058271-0.00021783i,-0.0007395-0.00035126i,-0.00038025+1.1334e-05i,9.4776e-05-0.00048939i,-8.1877e-05-0.00038452i,-0.00042872+0.00070034i,-0.00038833+0.0012886i,-0.00061143+0.0010901i,-0.00043579+1.7575e-05i,0.00071218-0.00032256i,0.00089981-0.00012778i,0.00047746-0.00067647i,4.9526e-05+3.211e-05i
0.0015284-0.0011468i,0.00037284-0.0013397i,-0.00061035-0.0017764i,-0.00078246-0.0020101i,-0.00037608-0.002129i,-0.0011013-0.00097779i,-0.0012312-0.00060704i,-0.00067462-0.00040105i,-0.0010976+0.00025123i,-0.0010853+0.00024786i,-0.0013814+2.789e-05i,-0.0011912-0.00050983i,-0.00023636-0.0001422i,1.5823e-05-5.657e-05i,-0.0006031-0.00075963i,-0.0003717-0.0012038i,0.00021253-0.00066197i,-1.9862e-06-8.1386e-05i,-4.2275e-05+0.00015813i,-0.00016837+0.00064642i,0.00028251+0.00085036i,0.0004136+0.00056072i,-0.00024863+0.00020768i
0.00079592-0.0013596i,0.00016938-0.00039143i,-0.0018997-0.00078599i,-0.0021541-0.0012131i,-0.0010936-3.2825e-05i,-0.0006215+0.00046299i,-0.00094078-0.00012466i,-0.00096192-0.00065616i,-0.000452-0.0009119i,-0.00068469-0.00033435i,-0.00071767+9.1835e-05i,-0.00042117-0.00030253i,-0.00031133-0.00069625i,4.8584e-05-0.00076303i,8.5268e-05-0.00034677i,-2.1789e-05-0.00020881i,-0.00037324-6.8498e-05i,-0.00032031-0.00044505i,6.3786e-05-0.00061226i,0.00025412+3.6927e-05i,0.00015609+0.00032326i,-0.00035899+0.000862i,-0.00066289+0.0017376i
-0.0029109+0.00032401i,-0.0028512+0.00054163i,-0.0018948+0.00043485i,-0.001619+0.00010606i,-0.00091199-0.00010634i,-0.00044199-0.0001418i,-0.00056449-0.00011257i,-0.00038263-0.00019898i,-0.00044948+0.00013357i,-0.00042816+0.00019175i,-0.00019435-0.00041881i,0.00013827-0.00086786i,0.00084413-0.00080266i,0.00030645-3.187e-05i,-0.00049891+0.0013612i,-0.00014221+0.0017128i,0.00012193+0.00090094i,0.00046676+0.00085159i,0.00022123+0.00085857i,3.7048e-05-0.000218i,-4.4376e-06-0.00049931i,0.00051334-0.00040496i,0.00060122-0.00026079i
-0.0022169-0.0027981i,-0.0024538-0.0018094i,-0.0037682+0.00062949i,-0.0038682+0.0011415i,-0.0019989+0.00023102i,-0.00012857+0.00014592i,0.00019694-0.0002695i,7.2707e-05-0.0013529i,0.00012284-0.0018137i,0.00036808-0.0014406i,0.00024426-0.00043958i,-0.00042462+0.00022749i,-0.00041685+0.00085852i,-5.8493e-05+0.0013065i,0.00014016+0.00075029i,9.4879e-05+0.00022523i,0.00014304+0.00020571i,-0.00010215-0.00011607i,-0.00050782+5.3684e-05i,3.8139e-05+0.00018414i,0.00066633-6.1943e-05i,0.0011509-0.00020952i,0.00043951+0.00023718i
0.0013428+0.00078358i,0.00051448+0.0012734i,-0.0010258+0.0016207i,-0.0019364+0.00085227i,-0.0014591-0.00043612i,-0.0007075+0.00026372i,-0.0002284+0.00062048i,6.8697e-05-8.9944e-05i,0.00027017+0.00015407i,0.001003+0.00027027i,0.00081425+0.00026937i,-0.00037593+6.7704e-05i,-0.00035782-0.00033378i,-0.00014864-0.0007293i,0.00036832-0.00073019i,0.00059714-0.00070877i,0.00018025-0.00036346i,-0.00039298-0.00019286i,-0.00037415-0.00026628i,0.00020249+0.00040253i,0.00030284+0.00033051i,0.00061474+0.00036752i,0.00063789+0.00045771i
-0.0020187+0.00049967i,-0.002524+9.9508e-05i,-0.0021538+0.00029895i,-0.0013738-0.00011894i,-0.00028713-0.00033532i,0.00061281-0.0005884i,0.00035861-0.00097825i,-0.00028402-0.0004298i,-0.00076623+3.3598e-05i,-0.00084871-0.00033232i,-0.00063277-0.00053442i,-8.4842e-05-0.00078683i,0.000146-0.00069434i,-0.00038122-0.00044231i,0.00011243-0.00038513i,0.0007409-4.656e-05i,0.00066454+0.00036819i,0.00012277+0.00010199i,-0.00064981-0.00024914i,-0.00033817+0.00056311i,0.00035007+0.00086663i,0.00051184+0.0010127i,0.00058212+0.00079088i
0.00071383-0.0017634i,-0.00072926-0.0019362i,-0.0014173-0.0011894i,-0.001496-0.00014413i,-0.0012049+0.00031638i,-0.0013277+0.0002994i,-0.0011346+0.00045652i,-0.00058369+0.00051347i,-2.9213e-05-0.00038354i,-0.00039801-0.00050376i,-0.0012053+0.00017717i,-0.00057191+6.7639e-05i,0.00050196-8.8412e-05i,0.00073056-0.00057323i,9.9153e-05-0.00020197i,-4.0893e-05+0.0001322i,-0.00022929-0.00073962i,-0.0007225-0.00068887i,-0.0003989+0.00027414i,0.00049049+0.00053586i,0.00086147+0.00050274i,0.0010647-0.00015198i,0.00060788-0.00041455i
-0.00018076+0.00073536i,-0.0006162-0.00033695i,-0.00097657-0.0012203i,-0.0018926-0.0015115i,-0.0012416-0.00068257i,-0.00067952+0.00078696i,-0.00028716+0.0012507i,0.00015146+0.00043193i,4.2072e-05-0.00072323i,-0.00040192-0.00070404i,-0.00089973-0.0002345i,-0.00047121+0.00024883i,-0.00053288+0.00035708i,-0.00019028+3.37e-05i,0.00021876-0.0003962i,-0.00062299-0.00040599i,-0.00032679-8.4069e-05i,0.00042066+0.00028461i,0.00038482+0.00053335i,0.00046769+0.00049679i,0.00054173+0.00029713i,0.00061761+0.0010021i,0.00051688+0.0013758i
-0.001487-0.0018062i,-0.0019005-0.0012201i,-0.0014748-0.0018344i,-0.0011565-0.0018722i,-0.00068822-0.00036566i,0.00054086+0.00034158i,0.00048753-0.00053895i,-0.00038233-0.001639i,-0.00084269-0.0012359i,-0.00048781+0.00023187i,-0.00052725+0.00097182i,-0.00052864+0.00098179i,0.00042302+0.00064616i,0.00078256+0.00070147i,0.00016632+0.00020018i,-0.0012941-0.00019922i,-0.0014614-0.00059349i,8.7049e-05-0.00070448i,0.00092967+0.00037859i,0.0010808+0.00077687i,0.00050739+0.00013058i,-0.00042836+0.00045821i,-0.00049246+0.00085924i
