-0.0015718-0.0013915i,-0.001784-0.0016887i,-0.0023577-0.00085664i,-0.0024729-1.409e-05i,-0.0026947+0.0010286i,-0.0026483+0.0021951i,-0.0017879+0.0019996i,-0.00052892+0.0014615i,0.00043037+0.00080166i,0.0012519+0.00050226i,0.0017907+0.00069105i,0.0015709-0.00025601i,0.00067584-0.0013617i,-0.00017497-0.00097517i,-5.6223e-05-7.5132e-05i,0.00072589-0.00014336i,0.00045084+7.9691e-05i,-0.0008409+0.00031185i,-0.0011403+0.00048046i,-0.00090744+0.00088916i,-0.00084505+0.0008998i,-0.00029298+0.00051123i,-0.00013445+0.00025935i
0.0020645-0.00045792i,0.00058876-0.00070229i,-0.00088343-0.0016585i,-0.0010164-0.0017254i,-0.0013538-0.00096069i,-0.0022655-0.00080206i,-0.0010829-0.00012679i,0.00016245+0.00028041i,0.00015399+0.00051936i,0.00011636+0.00037919i,0.00022188+0.00023564i,0.00013642+0.00056514i,0.0003139-7.3847e-05i,0.0007746-0.00075394i,0.00093125-0.00081728i,0.00028508-0.00078584i,6.9326e-05-0.00049983i,0.00015611-0.000408i,-0.00027459+6.9965e-05i,-0.00052919+0.00069491i,-0.00027469+0.00043411i,-0.00050197-1.2309e-05i,-0.00092896+5.8458e-05i
0.0010102-0.0024282i,0.00062207-0.0032028i,0.00067321-0.0028193i,0.00075616-0.0017652i,-0.0004224-0.00080219i,-0.0014242-0.00018491i,-0.0010449+0.00041925i,-0.0003135+0.00015451i,0.00019952-0.0006938i,0.00053583-6.4259e-05i,0.00067127+0.00061316i,0.00042662+0.00043986i,0.00042692+0.00065238i,0.00058685+0.00018185i,0.0001811-0.00038969i,-0.00017157-0.00011107i,-0.00015907+0.00021876i,-0.00021407+0.00048733i,-0.00050016+0.0001898i,-0.00054423+0.0002731i,-0.00046426+0.00056013i,-0.0003322+2.9414e-05i,0.00024815-0.0010147i
0.0010324+0.00037577i,0.00036826-0.00049033i,0.0004906-0.00082255i,0.00037461-0.0016432i,-0.00042401-0.0017594i,-0.0010467-0.00097113i,-0.00066182-0.00057085i,0.00096264+0.00010222i,0.0010921+0.00042416i,0.00069649-0.00026625i,0.00092394-0.0011642i,0.00081874-0.001149i,0.00079669-0.00023296i,0.00089623+0.00026175i,0.0012721-8.7738e-06i,0.0022015-0.00044458i,0.0021146-0.00090419i,0.0011567-0.00052431i,0.00089214-1.3836e-05i,-4.8139e-05-0.00010752i,-0.00019436-0.0010396i,0.00014074-0.00093215i,-9.1122e-05+0.00015673i
0.0019569-0.00214i,0.00047793-0.0022545i,0.00042573-0.0024003i,-0.00028003-0.0021834i,-0.0014793-0.0019639i,-0.0016611-0.0014737i,-0.001468-0.00051967i,-0.00093088+0.00022101i,-0.0007337+0.00030156i,-0.00038594-0.00014432i,0.00051538+0.00030413i,0.00055489+0.00013394i,0.00045029-0.00027335i,0.00098533-0.00025793i,0.00061967-0.00068809i,0.00016614-0.0001637i,-5.8215e-06+0.0005493i,-0.00048648+0.00024248i,-0.00058868+0.00026101i,-0.00068159+0.00027212i,-0.00010511-0.00015964i,0.00076904-0.00057026i,0.000687-0.0011429i
0.00059289+0.00040382i,-3.5204e-06-0.00034365i,-2.932e-05-0.00062153i,0.00054669-0.0013889i,-0.00049593-0.0014248i,-0.0017339-0.000237i,-0.0018286+0.00090863i,-0.00069032+0.00077356i,4.2597e-05+0.00014154i,0.00015797+0.00011958i,0.00065509-0.00021669i,0.0011831-0.0012529i,0.0010012-0.0010953i,0.0011438-0.00021572i,0.0015471-0.00012236i,0.00078467-3.5385e-05i,-0.00038293-8.3296e-05i,-0.00028763-0.0001024i,0.00024828+0.00021184i,0.00026536+0.00044632i,0.00044294+0.00014415i,0.00092063-0.00028101i,0.00072156-0.00012852i
0.00063904+0.00052216i,0.00022562-0.00019751i,0.00035772+0.00058559i,7.2969e-05+0.00020367i,-0.00055316-0.0012889i,-0.0015854-0.0018294i,-0.0019362-0.00071615i,-0.0011495+2.235e-05i,-0.00053183+2.8219e-05i,2.6732e-05+0.00016239i,0.00011209-0.00036349i,8.0531e-05-0.0011479i,0.00018517-0.00083865i,-6.8315e-06-0.00064783i,-0.00019086-0.0010282i,0.00014064-0.00085255i,0.00032877-0.00026774i,-0.00050485-5.9317e-06i,-0.00056262-0.0003353i,0.00021066+5.0796e-05i,0.00049826+0.0011711i,5.7641e-05+0.0012064i,-0.0004176+0.00067048i
0.0014253-0.0011967i,0.0013518-0.0018697i,0.0013788-0.001909i,0.0010601-0.0016406i,0.00042429-0.00076025i,-5.2726e-05-4.9918e-05i,-0.0003624+0.00098326i,0.00023724+0.00069336i,0.00084965-0.00049516i,0.00079754-0.00027961i,0.00012756-0.00043206i,0.00041607-0.00064383i,0.0010391-0.00013184i,0.00044186-0.00079684i,0.00022859-0.0014329i,0.00046294-0.0009275i,-6.5371e-05-0.00059925i,-0.00025638-0.00074699i,6.2986e-05-0.00082855i,-0.00020618-0.00038608i,-0.00052364-0.00054514i,-0.00035622-0.00013377i,-0.00040261+0.00012952i
-0.0012746-0.0018162i,-0.00043901-0.0026486i,0.00032492-0.0025045i,-0.00028608-0.0020234i,-0.0016706-0.0018234i,-0.001985-0.00085854i,-0.0012674+0.0005011i,-0.00045005+0.00063378i,0.00028387+0.00018876i,0.00020341-0.00018118i,-0.00020325-4.6941e-05i,-0.00016825-0.00015157i,0.00019521-4.9071e-05i,0.0004657+0.00052694i,0.00099029+9.2462e-05i,0.00079237+5.251e-06i,-4.8351e-05+0.00030008i,-0.00036951+7.9902e-05i,0.00018935-0.00023914i,0.00075079-0.00037853i,0.00069502-7.1809e-05i,0.00019005+0.00033507i,-0.00042543-1.6336e-05i
-0.00099617-0.00099641i,-0.00011309-0.0011533i,-0.0011963-0.00054837i,-0.0025067-0.00031471i,-0.002222-0.0011409i,-0.0020548-0.0011726i,-0.0015872-0.00015001i,-0.00044008+0.00014801i,-4.6559e-05-0.0003075i,-3.9387e-05-3.189e-05i,0.0002704+0.00034538i,0.00058806-4.5708e-06i,0.0011669-0.00021691i,0.0011636-0.00057788i,0.00073697-0.00078145i,0.00022361-4.0971e-05i,-7.7813e-05+0.00063131i,-0.0003381+0.00048616i,-0.00038223-0.00041535i,-0.00059545-0.00051779i,-0.00077456-0.00038217i,-0.00049668-0.00069119i,-0.00028108-0.00088699i
0.00046666+0.0023061i,0.00010118+0.00051125i,0.00018184-2.5443e-06i,-0.00036184-0.00043017i,-0.00099813-0.0019078i,-0.0019464-0.0025447i,-0.0022811-0.00064751i,-0.0012178+0.0012938i,-0.00023529+0.00092361i,0.00022188+0.0002085i,0.00028442+0.00040053i,-0.00021896+0.00015986i,-3.8703e-05-0.00024922i,0.00029501+1.4009e-05i,0.00073585+0.00056243i,0.0010647+0.00028974i,0.0011427-0.00062105i,0.00030413-0.001233i,-0.0002966-0.0010425i,-0.00032221-0.0006776i,-6.1853e-05-0.00065772i,0.00038053-0.00016713i,4.288e-05+0.00051296i
