0.00097527-0.00028338i,0.0015912-0.0019216i,0.00038542-0.0028795i,-0.0019233-0.0021212i,-0.0039612+3.2146e-06i,-0.0037963+0.001833i,-0.0017318+0.00099956i,-0.00063765+0.00048339i,8.1061e-05+0.00026568i,0.00040226-0.0006418i,5.2392e-05-0.0012714i,-0.00065394-0.001394i,-0.0011786-0.00054515i,-0.0010588+0.00011323i,-0.00060688+0.00055066i,2.4996e-06+0.00034023i,0.00017026-0.00098699i,0.00061615-0.0010282i,0.00095156-2.9228e-05i,0.0012575+0.00082108i,0.00078306+0.0017644i,-7.0676e-05+0.001769i,-0.00010958+0.00069514i
0.001078+0.0018779i,0.0015446+0.00074228i,0.0014786-0.00047528i,0.00073161-0.00099556i,-0.00043421-0.00099172i,-0.001189-0.0011599i,-0.001297-0.0010916i,-0.0011761-0.00023862i,-0.00093316+0.0008522i,-0.00049261+0.00077166i,-0.00056498+3.0275e-05i,-0.00026033-0.00017208i,4.3525e-05-0.00034267i,0.00032508-0.00046504i,0.0002813-0.00050942i,-0.00016964-0.00025064i,-0.00053683-7.7922e-05i,-0.00050806-0.00059525i,-0.00074908-0.0008308i,-0.0014896-0.00019826i,-0.00097873+3.735e-05i,0.00012656-0.00026371i,-6.0478e-05-1.2963e-05i
-0.0014763-8.6777e-05i,-0.0030304+0.00032421i,-0.0026128+0.0021231i,-0.00070205+0.0028428i,0.0010103+0.0021525i,0.0015358+0.00075575i,0.00089853+0.00020851i,0.00026175+0.00042548i,7.555e-05+0.00022884i,0.00016316+6.353e-05i,2.8068e-05+0.0001176i,-2.1358e-05+0.0004372i,-2.2862e-05+0.00046663i,-0.00045566+3.9851e-05i,-0.0008344+0.00014301i,-0.00036535+0.00032047i,2.1657e-05+0.00037292i,0.0001799+0.00032168i,8.5648e-05+0.00034942i,-0.00080529+0.00019509i,-0.0015439-0.0002559i,-0.0007683-0.00061875i,-9.5683e-05-0.00075385i
0.00057912+0.00019488i,-0.00084637+0.00033314i,-0.0013761+0.00057304i,-0.00087509+0.00048746i,-0.00041714+0.00087358i,-0.00049991+0.0012994i,-0.00022315+0.00046606i,0.00011248-4.6552e-05i,0.00068678-0.00043902i,0.00029618-0.001011i,-0.00010696-0.00050183i,0.00014615+9.9803e-05i,3.7806e-05+0.00012896i,-0.00029791+9.8296e-05i,0.00011198+0.00036896i,0.00083712+0.00049269i,0.0015041+0.00043917i,0.0011303+0.00082597i,0.00010032+0.00078451i,-0.00056995+0.00027517i,-0.00070055+3.6849e-05i,-1.065e-05-0.00043904i,0.00055331-0.00055301i
-9.9067e-05-0.00052282i,0.0009497-1.8188e-05i,0.0021614-0.00030994i,0.0010896-0.00041599i,-0.00032055+0.00078533i,-0.00040933+0.0023303i,-0.00062624+0.0018306i,-0.0010385+0.00051092i,-0.0015775+0.00019068i,-0.0014054+1.0299e-05i,-0.00041079-0.00029908i,0.00031326-0.0006357i,0.00046729-0.00038083i,0.00022559+0.00062923i,0.00018732+0.0012483i,0.00039146+0.00074743i,0.00046655-0.00015826i,-0.00021645-0.00023598i,-0.00011091-8.0107e-06i,-5.4809e-05-7.6761e-05i,-0.00024122-4.4773e-05i,0.00017254+0.0001554i,0.00076515+0.00020195i
0.00062777+0.00080355i,-1.2305e-07+0.0005108i,0.00016103+0.0003046i,-2.603e-05+0.00022715i,-3.3948e-05+0.0006553i,-0.00028383+0.000306i,-0.00023492+0.00014118i,0.00052243+0.00028533i,0.00064776+0.00018254i,0.00040431-0.0001687i,0.00057767-0.00034549i,0.00043101+0.00012163i,-0.00038172+0.00042661i,-0.00047103-0.00057186i,-0.00027461-0.0011756i,-0.00012228-0.00071424i,0.00043334-0.00068734i,0.00031453-0.00060126i,0.00031718-0.00011316i,0.00022976+0.00011644i,0.00031134+0.00010832i,0.001027+0.0007876i,0.00047067+0.00020551i
-0.00049099+8.3951e-05i,-0.00035268-0.00049091i,-0.00074327+0.00031393i,5.803e-05+0.0016262i,0.0011733+0.0019966i,0.00076392+0.0012724i,0.00015516-0.00039085i,-0.00027488-0.00031785i,-0.00056237+0.00070914i,-0.00034714+0.00081474i,-9.6503e-05+9.0225e-05i,0.00015824-0.00034434i,0.00011814+0.00021537i,-5.6123e-05+0.00049845i,-0.00047919+0.00010674i,-0.00091097-0.00045548i,-0.00050244-0.0002111i,-0.00025043+0.00023825i,-0.00089689+9.6068e-05i,-0.00082607-1.1973e-06i,-0.00063653-0.00010144i,-0.00046032-1.2547e-05i,-4.0663e-05+0.00052466i
-0.0018322-0.0011889i,-0.003114-0.00053292i,-0.004087+0.00082432i,-0.0030655+0.0010098i,-0.0008476+0.0017233i,0.00051922+0.00069004i,0.00039512-0.00028215i,0.00058479-4.5901e-05i,0.00014807-0.00033701i,-0.00075557-0.00060058i,-0.00034256+7.6236e-05i,-0.00017314+0.0011014i,-9.0606e-05+0.00087032i,-0.00046595+0.00048188i,-0.00032122-0.00016612i,2.0102e-05-0.00044566i,-0.00025554+0.00021649i,-0.00048603+0.00059745i,-0.0010332+4.7635e-05i,-0.0010128-0.00047183i,0.00010047-0.00085292i,0.00024362-0.0012085i,3.4884e-05-0.00069946i
0.00061017+0.00038813i,0.00055564+0.0010652i,0.00073247+0.0014648i,0.00057897+0.0013678i,-0.00021126+0.00090377i,-0.0012115+0.00082034i,-0.00083744+0.00029435i,0.0004813+6.3665e-05i,0.00092665-0.00011838i,0.00039036-0.00056796i,-0.00015531-0.00021157i,-0.00045731+0.00013752i,-0.00010339+0.00031095i,0.00039262+0.00088101i,-0.00022682+0.00060847i,-0.00094389+0.00024043i,-0.00076386-0.00021749i,-0.00014177-0.00051461i,0.00020771-0.00064977i,0.00035505-0.0001041i,0.0003947+0.00025232i,0.00012124+0.00041632i,0.00026281+0.00039321i
-0.00077864+0.00091252i,-0.00098582+0.00035502i,-0.00049384+0.00098931i,-0.00089996+0.0022976i,-0.00058583+0.0024851i,0.0014256+0.00091588i,0.0012653-0.00017028i,7.8589e-05-0.00024708i,-0.00065908+0.00027714i,-0.00022681+0.00083015i,0.0003725+0.00068851i,-0.00013539+0.00053089i,-0.00029122+0.00036755i,-0.00054172+8.8239e-05i,-0.00044443-0.00025512i,-0.00031716-4.3197e-05i,-0.0010196+0.00051053i,-0.00038303+0.00045903i,0.00011398+0.00023909i,-0.00018236-0.0006399i,0.0006314-0.00079182i,0.00092738-0.00022501i,0.00031341-0.00060239i
0.0006571-0.00025731i,-0.00010045-6.3632e-05i,-0.0016214-0.001199i,-0.0024352-0.0013531i,-0.0017431+0.00036873i,-0.0004878+0.0015099i,-0.00055674+0.0016968i,-0.00059995+0.0012825i,-0.00030659+0.0002882i,-4.2199e-05-0.00057772i,-0.00012895-0.0010778i,-0.00016853-0.00019985i,-0.00041551+0.0010042i,-0.00078941+0.00054644i,-0.00030662+0.00012132i,0.00023321-0.0002049i,0.00056554-9.5381e-05i,0.00045606+0.00017944i,-0.0003731-4.8655e-05i,-0.00041563-0.00038238i,0.00015976-0.00055354i,0.00032843-0.0001577i,0.00027953+0.00050524i
