0.0051282-0.00053599i,0.0071045-0.0023802i,0.0050618-0.0063439i,8.7482e-05-0.0076657i,-0.0049014-0.0055459i,-0.0072259-0.0011141i,-0.0040715+0.00097053i,-0.00070148+0.00024858i,0.00019853-0.00034721i,2.7665e-06-0.00068592i,1.2766e-05-0.00018523i,0.00011154+8.5754e-05i,0.00034652+0.00025724i,-0.00043989+0.00088307i,-0.0013786+0.0010999i,-0.00077931-0.00023544i,-0.00064982-0.0010149i,-0.00060818-0.00034954i,0.00011146+2.5757e-05i,0.00041527+0.00022114i,0.00032533+6.3681e-05i,0.0003884-0.00044384i,0.00023902-0.00019385i
-0.00014762-0.0011419i,-0.00069031-0.0016403i,-0.0012406-0.00084299i,-0.0011238-0.001154i,-0.0010617-0.0011914i,-0.0021795-0.00049016i,-0.0013629-0.00031399i,0.00015019-0.00019252i,2.298e-05-0.00031093i,-0.00029237-0.00026536i,-0.00028054-6.0295e-05i,-0.00037427-0.00014665i,8.502e-05+0.00034851i,5.7833e-05+0.00083161i,0.00029836+0.00075344i,0.00094559+0.00044275i,0.00066427-0.00044575i,0.00015401-0.00067536i,-0.00033796-2.4252e-06i,-0.00051064+6.3447e-05i,-0.00049434+0.00036686i,-0.00012312+0.0010902i,0.00046484+0.00091579i
0.00038645+0.00074644i,0.0004571+0.0015758i,0.00048187+0.001123i,-5.6965e-05+0.00045975i,-8.8523e-07-0.00016918i,-0.00048652-0.00059953i,-0.0012743-0.00012281i,-0.0010299+0.00024782i,-0.00077247-9.4402e-05i,-0.00030578-0.00045198i,0.00027411+1.6744e-05i,-0.0003575-1.7505e-05i,-0.00013816+0.00026145i,0.00034617+0.0008032i,-0.00019312+0.00014418i,-0.00070807-0.00027129i,-0.00029708+0.00014724i,0.00050737+0.00036274i,0.0005622+0.00017963i,-5.1407e-05+0.00028397i,-7.1738e-05+0.00081913i,-8.326e-05+0.00050498i,-0.00049445-0.00053183i
0.00016241+0.0036726i,0.00024713+0.0035291i,0.0022414+0.0028441i,0.0017418+0.00052343i,0.00020029-0.0014103i,-0.0010575-0.0019849i,-0.0022408-0.00054885i,-0.0019175+0.00051961i,-0.00081019+0.00020003i,-0.00023919+0.00027534i,4.1258e-05+0.00042537i,-3.1567e-05-0.00072032i,0.00029418-0.0014608i,0.00026523-0.00061551i,-0.0003836-0.00059404i,-0.00066482-0.00090478i,-0.00013212-0.00039778i,0.00035311+0.00013981i,0.00049123+6.5735e-05i,3.8452e-05-7.6631e-05i,0.00032668-0.00015842i,0.00075148-6.1387e-05i,0.00059194+0.00038688i
0.00049619-0.0020719i,-4.8916e-05-0.0021851i,-0.00062543-0.0014432i,-0.00023485-0.001764i,-0.00065774-0.0018043i,-0.0018637-0.0016633i,-0.0022375-0.00063753i,-0.0012913+0.00039113i,0.0001559+0.0010526i,5.7867e-05+0.00098447i,-0.0011419+0.00023364i,-0.00087946-0.00045152i,-5.8093e-05-0.0006545i,-0.00035107-0.00021303i,-0.00056022+0.00014901i,-0.00022044+0.00010183i,-0.00015667-3.792e-05i,8.8394e-06+0.00011147i,-2.7605e-05+0.00011427i,3.1138e-05+9.8073e-05i,0.00022282+0.00072014i,-0.00052821+0.0010638i,-0.00079281+0.00061667i
-0.0022821-0.00046149i,-0.0017017+0.00029243i,-0.0012307+0.00044013i,-0.0018216+0.0002118i,-0.0027277+0.00017488i,-0.0031419+5.3251e-05i,-0.0022125+0.00029421i,-0.00071817-0.00029618i,0.00014306-0.00092636i,0.00018782-0.00010187i,-2.1999e-05+0.00090318i,0.00034109+0.00077118i,0.00014943+0.00029729i,0.00025373-0.00050498i,0.00057468-0.00046006i,0.00015011+0.00084794i,-0.00034935+0.0011838i,-0.0004778+0.00064723i,-0.00010166+0.00016448i,-3.8447e-05+0.00020303i,-0.00023818+0.00012962i,6.9662e-05-0.00038683i,-7.9064e-05-0.00084156i
0.003255+0.0010006i,0.0034514+0.00065815i,0.0030978-0.00028884i,0.0020378-0.001221i,4.7333e-05-0.0017765i,-0.0018012-0.00091461i,-0.0019305+0.00059648i,-0.0011404+0.00058783i,-0.00057386-0.00039638i,-0.00058509-0.00026139i,-0.00092822+0.00021274i,-0.00082601-0.00056004i,4.4419e-05-0.00051238i,0.00029302+0.00016196i,-0.00018088+3.6224e-05i,-0.00062887-3.4378e-05i,-0.00091302+0.00032235i,-0.0010032-0.00045036i,-0.00064077-0.0007937i,-6.925e-05-0.0001802i,0.00042488-0.00038573i,0.00060553-0.00077354i,0.00020658-0.00036962i
-4.9443e-05-0.00032605i,-0.00030764-0.00066669i,-0.0016392-0.00059445i,-0.0020761-6.879e-05i,-0.0020281-8.5245e-05i,-0.0017683-0.0004296i,-0.0015866-0.00043501i,-0.00096019+0.00021714i,3.1052e-05+0.00054847i,-0.00015976+0.0007169i,-0.00115+0.0011927i,-0.00083327+0.0011061i,-0.00021741+0.00052486i,-0.0001622-0.00027844i,-0.00014543-5.1478e-05i,0.00033096+0.00047611i,0.00075625+0.00017793i,0.00039442-0.00061639i,0.00015329-0.00068711i,-0.00037633-0.00031618i,-0.001072+0.00049354i,-0.00045834+0.00064312i,0.00027298+0.00090252i
-0.00098732-0.00024409i,-0.0011335+0.00020859i,-0.00072493+5.7915e-05i,-0.00055336-0.00064553i,-0.0015147-0.0015421i,-0.0030423-0.0012881i,-0.0023849-0.00013356i,-0.0012253-2.4992e-05i,-0.00080421-0.00083197i,-0.00043371-0.0006519i,-0.00035727-0.00025406i,-0.00026584-0.00025875i,-0.00011341+0.00020129i,-0.00019014+0.00044958i,-0.00026304-5.4327e-05i,-3.8262e-05-0.00037896i,0.00034255-0.00032077i,0.0002164-6.4918e-05i,-0.00054485+9.7629e-06i,-0.00087277+0.00043259i,-0.00046286+0.00031319i,0.00039783+0.00014251i,-0.00014406+0.00010163i
0.0024841+0.0016212i,0.0015801+0.0013695i,0.0029341-0.00044509i,0.0034004-0.0016539i,0.0014777-0.0014259i,-0.00095125-0.001304i,-0.0018023-0.00093421i,-0.00083251-0.00030421i,7.9143e-05+0.00059809i,-0.00046763+0.00025647i,-0.0010026-0.00094413i,-0.00071962-0.0010277i,-0.00072762-0.00028551i,-0.001168-1.9163e-05i,-0.0015656+0.00031471i,-0.0013947+0.0005962i,-0.00016349+0.0008718i,0.00094306+3.4988e-05i,0.0011876-0.00059571i,0.00057303-0.00061614i,0.00030557-0.00061575i,0.00063533+0.0001732i,0.00084682+0.00041155i
-0.00098506+5.1342e-05i,-0.0004437+0.00027955i,-0.00077399+0.0016235i,-0.0012022+0.0020769i,-0.00062367+0.00044399i,-0.00059222-8.0013e-05i,-0.0011934+0.00021976i,-0.00052164+0.0001828i,0.00035581-0.00017434i,0.00074154+8.9619e-05i,0.00069871+0.00059735i,0.00074078+0.00013483i,0.00070461-0.00047521i,0.00013223-0.00029936i,-0.00085808+0.00039598i,-0.00028487+0.00031993i,0.0011153+0.00018257i,0.0010183-0.00013468i,-6.3299e-05-0.0003003i,-0.00038575+0.00052944i,-8.2204e-07+0.0004451i,-4.3965e-05-0.00011022i,0.00018383-4.6641e-05i
-0.00061428+0.00097601i,0.00034656-0.00024161i,0.001849-0.0011053i,0.0020218-0.0018347i,0.00041532-0.0018685i,-0.0016359-0.0023627i,-0.0019229-0.0015157i,-0.0017706-0.00033104i,-0.0014601-7.0176e-05i,-0.00065469-0.00010541i,-0.00019746-0.00015472i,-0.00028662+0.00029975i,-0.00024851+0.0003538i,9.2274e-05+0.00027404i,8.8893e-05-0.0001488i,0.00019214-0.00049227i,0.00086898-0.00028061i,0.00066824-0.00038824i,0.00018285-0.00045513i,-0.00067696+0.00027031i,-0.0010797+9.1465e-05i,-3.9995e-05-0.0001766i,0.00033115+0.00037517i
0.0010066-0.00035603i,-8.4395e-05+0.00018392i,-0.0011449-0.00047943i,-0.0015492-0.0015059i,-0.0024266-0.0017633i,-0.0028701-0.00091075i,-0.0018167-2.954e-05i,-0.00049985+0.00099845i,-0.00010064+0.0013715i,-0.00092121-0.00027194i,-0.0010079-0.00093328i,-0.00064028+0.00071098i,-0.00047015+0.0013231i,0.00023903+0.00027302i,0.00066333+0.00039488i,0.0005823+0.00076645i,0.00087051+0.00018199i,0.00085722-0.00018458i,-4.3689e-05-0.00049116i,-0.00012014-0.0013785i,3.3682e-05-0.0011182i,5.5188e-05-0.00030862i,0.00036067+2.8216e-05i
-0.00098422-0.0020518i,-0.0010824-0.0007351i,-0.00047234+0.00071318i,-0.0013042+0.00065983i,-0.0024246-0.00054194i,-0.0023451-0.00080966i,-0.0011212-0.00035374i,-0.0004005-0.00011495i,-0.00081719-0.00022703i,-0.00075443-0.00039712i,-0.00024964+0.00032761i,0.00035654+0.00084457i,-0.00035932+0.00072911i,-0.0011122+0.00032821i,-0.00053912-0.0004759i,1.2477e-05-0.00018532i,-0.00051276+0.00098553i,-0.00086538+0.00075135i,-0.00084084-0.00012936i,-0.00062493-6.9034e-05i,-0.00070307+0.000308i,-0.0013767+0.00037005i,-0.00090794+0.00045245i
-0.00029418-0.00036668i,-0.00037918-0.00072881i,-0.00012152-0.00023551i,-0.000728-0.00091263i,-0.0018244-0.0020558i,-0.0021723-0.0010531i,-0.0015093+0.00033675i,-0.0010312+4.7951e-05i,-0.00095688-0.00077336i,-0.00071096-0.00098323i,-0.00060389-0.00064507i,-0.00013527-0.00047235i,-1.9115e-05+1.0825e-05i,9.2561e-05+0.00041978i,-9.7933e-05-0.00014078i,-0.001188-0.00072198i,-0.0012381-0.00077655i,-0.00043501-7.5523e-05i,5.4714e-05+0.00044025i,0.00028511+0.00027951i,0.00043005-4.4726e-05i,0.00050401-0.00025833i,0.00021066-0.00020131i
0.00028208-0.0019714i,0.00014605-0.0029948i,-0.0011535-0.003451i,-0.0028075-0.0032656i,-0.0037496-0.0024942i,-0.0034374-0.00062342i,-0.0016151+0.00051074i,-0.00074552+0.0005568i,-0.00045172+0.00046642i,-0.0001005+0.00082151i,6.2248e-05+0.00099669i,-0.00018993+0.00055719i,8.3406e-05-0.00016003i,0.0010794-0.00025263i,0.0012759-0.00035844i,1.5584e-06-0.00045302i,-0.00017241-0.00046066i,0.00059252-0.00067583i,0.00032626-0.00086334i,0.00022786-0.00060723i,-0.00027625-0.00054073i,-0.00046145-0.00071915i,0.000736-0.00048935i
-0.00053898-0.00099687i,-0.0013301+0.0004254i,-0.00133+0.0016109i,-0.0013873+0.00078242i,-0.0020477-0.00033303i,-0.001995-0.00022368i,-0.001932-0.00014195i,-0.0011207+4.306e-05i,-0.0001486+0.0002079i,-0.00049057+0.00050229i,-0.00056394+0.0010177i,-0.00013878+0.00099726i,-0.000797+0.00051572i,-0.00048926+0.00015946i,0.00075997-0.00021403i,0.00078683+6.1071e-05i,-0.0002312+0.001045i,-0.00080006+0.00032317i,-0.00043775-0.00053489i,0.00018198-0.0006334i,-9.2787e-05+0.00011898i,-0.00020777+0.00042644i,-0.00015192-9.4961e-06i
0.0014736+0.00039696i,0.00032395+0.00047935i,-0.0011247+1.2145e-05i,-0.00089903-0.00075187i,-0.00087743-0.0011436i,-0.00083273-0.00077347i,-0.00037155-6.727e-05i,-0.00013481-5.3171e-05i,-0.00039018+0.00027317i,-0.00058358+0.00072653i,1.1872e-06+0.00062609i,0.00028893+0.00050435i,0.00038766-0.00029461i,0.00076917-0.00016045i,-0.00021794+0.00062724i,-0.0009206+0.00043267i,-0.00016333+2.216e-05i,-0.00015433-0.0001002i,-0.00046978+0.00020276i,5.2832e-05-1.5145e-05i,0.00023901-0.00023572i,-0.00017812-0.0003111i,-0.00035835-0.00017811i
-0.00045809-0.00023291i,0.00010843-0.0015186i,0.00012897-0.00067492i,-0.0014828-0.0008364i,-0.0025074-0.0013149i,-0.0020825-0.001212i,-0.0021689-0.0011256i,-0.0015955-0.00059744i,-0.00056212-0.00016199i,-0.00070866-0.00051821i,-0.00063709+2.1772e-05i,-0.00025033+0.00065718i,-2.3021e-05+0.0006105i,0.00025312+0.00061127i,0.0004628+0.00088793i,-0.00014809+0.00098868i,-0.00058258+0.0010995i,-0.0002771+0.00048874i,0.00044081-0.00028015i,0.00067457-1.1152e-06i,0.0003239-0.00014731i,0.00033743-0.00083905i,0.00026995-0.00072457i
-0.00023408-0.00052315i,-0.0014101+5.342e-05i,-0.00049991+0.00051598i,0.00019129-0.00024114i,-0.0013513-0.0011632i,-0.0026194-0.0015038i,-0.002159-0.0003143i,-0.0015216+0.00053428i,-0.00056476+0.00025195i,0.0001247-0.00036039i,0.00040376-7.1118e-05i,0.00062993+0.00077896i,0.00017699+0.00070928i,0.0001369+6.2357e-05i,0.00015419-0.00072168i,1.737e-05-0.00069985i,-0.00017977-0.00067991i,-0.00051354-0.00039664i,-0.00044016+0.00058031i,0.0003636+0.00030581i,0.00060696-0.00024891i,0.00078995-0.00011311i,0.00039444+0.00036774i
0.0029641+0.0015874i,0.0032812+0.0014345i,0.0038338-0.0011109i,0.0025417-0.0026658i,-0.0002229-0.0029275i,-0.0018929-0.0022605i,-0.0019909-0.00096968i,-0.00098852+0.00012055i,0.00023459-4.8324e-05i,0.00023053-0.00041676i,-0.00044876+9.0964e-05i,-0.00022288+0.00054749i,-4.8032e-05+0.00085332i,-0.00049095+0.00060457i,-0.00071793+9.4266e-05i,-0.00025874+9.3686e-05i,0.00018602-0.00019695i,2.2148e-05-0.00069156i,0.00019527-0.00069749i,0.00039923-0.00039066i,0.00011816-3.7865e-05i,-0.00018745-0.00029635i,0.00022613-0.00052567i
