0.0024732-0.00019605i,0.0048612-0.0017582i,0.0028745-0.0034298i,-0.0004163-0.0036207i,-0.0021498-0.0021715i,-0.0026993-6.8297e-05i,-0.0014294+0.0015169i,-0.00022895+0.001967i,0.00043028+0.0011332i,0.00033091+7.7884e-05i,-0.00039508-6.174e-05i,-0.00051164+0.00013928i,-0.00026132+0.00067266i,-0.00074024+0.0010223i,-0.00041633+0.0005828i,0.00037334-0.0001302i,0.00028599-0.00076835i,-7.4825e-05-0.00052469i,-0.00066619-0.00012948i,-0.00026394+0.00023723i,5.5118e-05+0.00015253i,4.6076e-05-0.00020481i,0.00044738-5.0876e-05i
-0.00010513+0.00072835i,0.00026938+0.00046664i,0.00059786+0.0012767i,0.001176+0.00099541i,0.0014751-0.00028309i,0.00069681-0.001209i,-2.1522e-05-0.00083459i,0.00034092-0.00045533i,-0.00017617-0.0010287i,-0.00041567-0.0013615i,-0.00056612-0.00044428i,-0.0010714-0.00014253i,-0.00088145-0.00041567i,-0.00098074-0.00037455i,-0.00078426-0.00080387i,0.00039967-0.0004535i,0.00041633+0.00014393i,2.7851e-06+0.00031596i,0.00058093+0.00080717i,0.00048595+0.00045288i,0.00032222+9.4762e-05i,0.00046741+7.6924e-05i,0.00029483+0.00025124i
-0.0011527+0.0023576i,-0.00065948+0.0031072i,0.00052646+0.0022564i,0.00030329+0.0015136i,-7.0101e-05+0.00031578i,-0.0010715-0.00073763i,-0.0015066-0.0012935i,-0.00062883-0.0010498i,-7.8134e-05-6.4349e-05i,-0.00039803+0.00044544i,-0.00066828-6.1185e-05i,-0.00045699-0.00049727i,-0.00034943+0.0003069i,-0.00063875+0.0011564i,-0.00042788+0.00029565i,0.00040591-0.00077647i,0.0011231-0.00053824i,0.00071863-0.00038915i,0.00013416-0.00073851i,0.00025336-0.00037145i,0.00035807-0.0003729i,-1.3142e-05-0.00048134i,-0.00017753-0.00033476i
-0.00015045-0.0031202i,-0.00055124-0.0014418i,1.8204e-05-0.0009988i,0.00025913-0.0010224i,9.5875e-05-0.00010843i,2.5824e-05+0.00020933i,0.00021327-0.00039519i,0.00035086-0.00039863i,-2.624e-05+0.00023317i,-3.7986e-05+9.3304e-05i,0.00010601+1.5822e-05i,-0.00018758+0.00029978i,-0.00032655+0.00014448i,-0.00029003-3.973e-05i,0.00010604+0.00012783i,5.1541e-05+0.00041i,0.00035149+0.00036721i,0.00064193-2.9979e-05i,0.00014287-1.8719e-05i,-0.00095308+0.00010648i,-0.0011359-0.00078213i,-0.00034795-0.0019336i,0.00031642-0.0014916i
0.0022616+0.001701i,0.002271+0.00043184i,0.00091968-0.00053274i,0.00029549+0.00070286i,-0.00054642+0.0010551i,-0.00071781+0.00046623i,-0.00089392+0.00015117i,-0.0011672+2.8354e-05i,-0.0010028+0.0010653i,-0.0013735+0.00090374i,-0.00073041+0.00015526i,-0.00010855+2.911e-05i,-0.0002719-4.5827e-06i,-0.00048351+0.00023563i,-0.0001678+0.00060174i,-0.00022252+0.00019729i,-0.00032439-0.0004641i,0.00074015-0.0003228i,0.0012545-1.9747e-05i,0.00082282-0.00020025i,1.1373e-05-4.7983e-05i,-0.00077363+0.00049274i,-0.0001604+0.00039316i
0.00057286+0.00062625i,6.9084e-05-0.0013492i,0.00093139-0.0016937i,0.0010654-0.001419i,0.00065515-0.0015103i,0.00023787-0.00094368i,0.00023442-0.00097938i,-3.1328e-05-0.00076791i,-0.00073961-0.00047477i,-0.0013504-0.00030026i,-0.0011934-0.00079876i,-0.00092417-0.00057872i,-0.00058417-0.00035352i,0.00033084+4.3563e-05i,0.00055261+0.00021548i,0.00034806-0.00074411i,0.0001657-0.00055374i,0.00012819+0.00025425i,0.00030831-2.4347e-05i,0.00035688-0.00057544i,0.00039055-0.00088346i,0.00026161-0.00062301i,5.2105e-05-0.00050205i
-0.00043548-0.0003512i,-0.00058012+0.00025117i,0.00081417+0.00059231i,0.0010376+0.00056265i,0.00068376+0.00046893i,-0.00045081+0.00059746i,-0.0015579-1.8294e-05i,-0.00081446-0.00036742i,7.2881e-07-0.00012712i,-0.00022382+0.0003206i,-0.00082044+0.00030517i,-0.00083025-0.00065192i,-0.00033268-0.001431i,7.4092e-05-0.001269i,-2.1544e-05-0.00040799i,-0.00046797-0.00016655i,-0.00016131-0.00045673i,0.00067923-1.5234e-06i,0.00037506+0.00058172i,1.0495e-05+0.00053371i,-0.00011098-0.00087611i,-0.00059297-0.0010151i,-0.00054192+0.00016715i
0.0016468+0.0021963i,0.0019116+0.0026353i,0.0026308+0.0024425i,0.003054+0.0017526i,0.0016881+0.00077804i,-0.00029838+0.00015471i,-0.000983-0.00020357i,-0.0009839-0.00052062i,-0.00092006-0.00034753i,-0.00086538+0.00022376i,-0.00081736+0.00062188i,-0.0003516+0.00014785i,-2.3321e-05-1.0553e-05i,0.00028989-0.0002578i,0.00049794-0.00018685i,0.00052705+0.00018843i,0.00021677+0.00039291i,-0.00044644+0.00099537i,-0.00093916+0.00074741i,-0.00064721-0.00042621i,-0.00020741-0.00030728i,-0.0005044-8.8852e-05i,-0.00049436-0.00066374i
-0.0011295-0.00026261i,-0.00031943-0.0012407i,0.00084416-0.00039097i,0.0008347-0.00054467i,-0.00022979-0.0012004i,-0.0014972-0.0014494i,-0.0014814-0.00064992i,-0.00040041-0.00022751i,0.0002207-0.00020413i,0.00026984-7.2282e-05i,-0.00041023-0.00071302i,-0.0009186-0.00082233i,-0.00028734-0.00026181i,-0.00018958+6.7319e-05i,0.00028657+0.00022402i,0.00081696+0.00061368i,0.00076819+0.00048461i,0.00077445+7.0839e-05i,0.00081227+0.00030571i,0.00036875+0.00035295i,-5.6136e-05+0.00037945i,-0.00025224+9.3145e-05i,4.4628e-05-0.00035576i
-0.00016705-0.0017432i,0.00025697-0.00072617i,0.0012634+0.00059282i,0.0016803+0.00089388i,0.00089277+0.00063817i,0.00054097+0.00018313i,0.00032569+0.00022769i,0.00034158+0.00026314i,0.00023776+0.00042566i,-0.00013194+0.00095826i,0.00013924+0.00084329i,0.00025884+0.00103i,0.00046978+0.0013242i,0.00054204+0.00067451i,-5.4534e-05+0.00022945i,-5.2213e-06-0.00031415i,0.00016948-0.0007226i,0.00012686-0.00035583i,0.00043787-9.337e-05i,-3.2159e-05+0.00029325i,-0.00056698+0.00027207i,-5.0349e-06+7.1341e-05i,0.0010511+0.00034043i
0.0016975+0.0012076i,0.0023599+0.00037309i,0.0028172-0.000385i,0.0027624-0.0010424i,0.0017177-0.0013727i,-1.2655e-05-0.0012565i,-0.00077792-0.00091865i,-7.5462e-05-0.0003199i,0.00020688-0.00032628i,-0.00020412-0.00059461i,-9.6037e-05-0.00072134i,0.0003883-0.00045973i,5.4667e-05+0.0002033i,-2.0404e-05+0.00029002i,-5.1427e-05+0.00061366i,-0.00035779+0.00071459i,-0.00030573+0.00054017i,-0.00040223+9.1263e-05i,-0.0006049-0.00030703i,-0.00030571-0.00016092i,0.00022457-0.00020425i,0.00049819-0.00053921i,0.00025354-0.00023869i
