-0.0015336+0.0011735i,-7.5732e-05+0.00067925i,-0.00067268-0.0006538i,-0.0012278-0.00088405i,-0.0015165+0.00019513i,-0.0021051+0.00055274i,-0.0017922+0.00098415i,-0.00010525+0.0013042i,0.0010901+0.0014421i,0.00079968+0.00086509i,-6.4359e-05-7.8069e-05i,-0.00066285-0.00067507i,-0.00060565-0.00064741i,-0.00051547-0.0001732i,0.00027471+8.6646e-05i,0.00026498+0.00094631i,-6.4107e-05+0.00088309i,0.00025967-0.00011819i,5.315e-05+0.00011117i,-0.0004499+0.00060252i,-0.00029067-0.00014191i,0.00016654-0.00068261i,0.00031359-4.0757e-05i
-0.0010807-0.00108i,-0.00095013-0.0015055i,-0.00050932-0.00074738i,0.00044636+0.00019968i,0.0013142+0.00058607i,0.0013539+0.00024517i,0.00042561+0.00018696i,-3.435e-05-0.00025918i,-0.00033329-0.0007287i,-5.0387e-05-0.00041296i,8.498e-05-0.0004585i,-0.00031627-9.2543e-05i,-0.00020081-0.0001853i,-2.829e-05+0.00022578i,-0.00013423+0.00040353i,0.00014265-0.00019379i,0.00019554+6.9251e-05i,0.00033958+0.00090867i,0.00020748+0.00085839i,-0.00060749-0.00025682i,-0.00054309-0.00064359i,-0.00015749-1.8522e-05i,-8.945e-05+0.00040705i
0.00042065-0.001219i,0.00055385-0.0012583i,0.0014354-0.0016726i,0.0011156-0.001418i,0.0009796-0.0012736i,0.00040475-0.0011015i,-0.00021117-0.00023018i,-0.0003223+0.00060777i,-0.00057554+0.00014969i,-0.00048051-0.00089325i,-0.00071386-0.00084394i,-0.0013216+3.3117e-06i,-0.001051-0.00011068i,-0.00045126+0.00011594i,-0.00016759+0.00067246i,1.7438e-05+0.00094427i,9.2511e-05+0.0005197i,6.9987e-05-0.00016541i,-0.00060902+5.8813e-05i,-0.00082853-0.00021384i,-0.00022235-0.00025977i,0.00062578-0.00039733i,0.00059628-0.00081573i
-0.00048752+0.0014382i,-8.0584e-05+0.0015556i,0.00048421+0.0022793i,0.00036387+0.0028002i,0.0011783+0.0017868i,0.001382+0.00059785i,0.0005355+0.0001831i,-6.7818e-05-0.00013269i,0.00012586-0.00030855i,-2.1128e-05-5.1705e-06i,-0.00012061-0.00047972i,0.00016144-0.00024132i,-0.00049746-0.00018192i,-0.0010631-0.00089448i,-0.00038807-0.00083371i,6.8298e-05-0.00049202i,-2.2948e-05+0.00011258i,-0.00048221+0.00060649i,-0.00010921+0.00022864i,0.00026126-0.00017493i,-0.00041869+0.00039575i,-0.00038274+0.00099036i,-0.00021815+0.00069069i
0.0017106-0.0014759i,0.0018114-0.00092714i,0.0018372-0.001064i,0.0012333-0.0010598i,-0.00024676-0.00093409i,-0.00057664-0.00032235i,-0.00093862-0.00032174i,-0.00094303-0.00081679i,-0.0013403-0.0013096i,-0.0019355-0.0011497i,-0.0018361-0.00061937i,-0.0015551-0.00020468i,-0.00094908+0.00016193i,-0.00048119+0.00032903i,-0.00059873+0.00078643i,0.00030769+0.00048933i,0.00097677-0.00032987i,0.00033541-0.0003703i,-0.00010554-0.00049857i,-0.00037811-0.00071014i,-0.00071301-0.00026424i,-0.00085041-1.6093e-05i,-0.00017427-0.0008486i
0.00072021+0.0014629i,0.00048866+0.0008185i,0.0014419+0.0010798i,0.0016157+0.0012991i,0.0011714+0.00024179i,0.00066494-0.00086548i,0.00015311-0.0013548i,8.9526e-05-0.00036562i,-0.00039347+4.8715e-05i,-0.00082628+0.00011782i,-0.0010425-2.6194e-05i,-0.0015636-0.00039007i,-0.0014533+0.00034527i,-0.001122+0.00031363i,-0.0010531+3.7761e-05i,-0.00068582+0.00022766i,3.9339e-05+0.00044568i,0.00037614+0.00061616i,-3.2048e-05+0.00028326i,-0.0004248+6.1475e-05i,-0.00038515-2.7446e-06i,-1.9136e-05-7.9317e-05i,0.00037639+0.00020782i
0.0031558-0.00048522i,0.0021189-0.0014192i,0.001394-0.001908i,0.0012305-0.0017373i,0.0006485-0.00067716i,0.00018823+0.00022156i,-0.00027705+0.00039797i,-0.00093212+0.00053656i,-0.0010644+0.00022621i,-0.00098954-0.00027276i,-0.00086915-0.00033637i,2.6515e-05-3.1678e-05i,-5.1252e-05+0.00092362i,-0.00013949+0.0011893i,0.00021529+0.0001099i,-0.00020288-0.00052889i,-0.00067639-0.00039722i,-0.00091534-8.8604e-05i,3.8273e-05-0.00027409i,0.00036796-0.00080754i,-0.0002643-0.00094219i,-0.00021699-0.00045549i,0.0003588-0.00048069i
0.00063398+0.0036995i,0.00071934+0.0032698i,0.0013298+0.0033979i,0.0022447+0.003513i,0.0027787+0.0023198i,0.0021762+0.00037739i,0.00093847-0.00019372i,0.00016413+0.00044493i,0.00055531-0.0002477i,0.00063243-0.00098145i,-0.00038787-0.0012593i,-0.00082521-0.00089541i,-0.00085539-0.00026085i,-0.001083+9.0509e-05i,-0.00067681+0.00022352i,-0.00046234-0.00025049i,-0.00046098+7.5005e-05i,-0.00041458+0.00088413i,-0.00022163+0.00010644i,0.00021789-0.00070532i,0.00081794-0.00045775i,0.00077511+0.00019047i,-0.00031538+0.00033413i
-4.1429e-05+0.00085202i,0.00037796+0.00094076i,0.00093745+0.0016545i,0.0013604+0.0015376i,0.0017585+8.7176e-05i,0.0016701-0.00069273i,0.00054332-0.00035441i,-0.00063392-0.00039155i,-0.0011186-0.00037452i,-0.00067692-5.6056e-05i,-0.00088755-0.00037819i,-0.00083962-0.0010154i,-0.00023861-0.00074187i,-7.7454e-05-5.7539e-05i,-0.00033386+0.0001482i,-0.00048933+0.00017895i,-0.00071165+0.00033308i,-0.00055761+0.00042418i,0.00064341+2.787e-05i,0.00097321-0.0002258i,0.0003867-0.00019555i,0.00016724-0.00043293i,0.00045813-0.00019588i
-0.0015289-0.00028234i,-0.00014495+0.00037547i,0.00037229+0.0012265i,0.00048709+0.00128i,0.00073406+0.00045105i,0.001038-0.00078856i,0.0007681-0.00071388i,0.00014856-0.00010079i,0.00025274+0.00013874i,0.00029729+0.00016025i,-0.00076552+0.00039317i,-0.00069623+0.00027946i,0.00015545+0.00023495i,0.00037109+0.00031721i,-0.00014758-6.3129e-05i,-0.00071493-0.00010764i,-0.00067525+0.00016105i,-0.00086085-0.00044712i,-0.0010338-0.00056016i,-0.00066886-0.0003485i,0.00013792-0.00042222i,-0.00023251-0.00013877i,-4.1115e-05-0.00021443i
0.0014602+0.00030831i,0.00059503+0.0017011i,0.0011414+0.0018108i,0.0019177+0.0015169i,0.0016464+0.0013148i,0.0011748+0.00086003i,0.00080352-7.9167e-05i,-0.00049526-0.00073038i,-0.00048505-0.0013938i,0.00014459-0.0013118i,0.00023388-0.00044667i,0.00054424+0.00045707i,0.0011156-5.5194e-05i,0.0011915-0.0001982i,0.00027622+0.00074159i,-0.00012907+0.001119i,0.00060383+0.00039095i,0.0016077-0.00046335i,0.0015385-0.00014395i,0.00043795+0.00021004i,-0.00011587+0.00034782i,-0.00064586+5.3814e-05i,-1.9562e-05-0.00049417i
