-7.4456e-06+0.00049666i,0.00045883+6.5533e-05i,0.00064047-0.00044965i,0.00023058-0.0013525i,-0.00050684-0.0012219i,-0.0013504+0.00032308i,-0.0012791+0.0021709i,-0.00061829+0.0022363i,0.0006647+0.0012099i,0.00083908+0.00057534i,0.00040391+4.5689e-05i,0.00057594-0.00078037i,0.00020064-0.0008451i,-0.00020156-0.00021524i,-0.00034592-8.0315e-06i,-0.00041659-0.00020144i,-8.7683e-05-0.00051988i,-0.00017285-0.0003594i,-0.00053518-0.00046194i,-0.00038708-0.0002841i,-2.8696e-05+0.00045824i,-0.00036178+0.00041344i,-0.00096059+0.00040701i
-0.0022576+0.0017572i,-0.0015576+0.004284i,-0.0013391+0.0038366i,-0.00094312+0.0021491i,-0.00074836+0.0010477i,3.6829e-05-0.00018088i,-0.00053425-0.00023614i,-0.0013283+9.834e-05i,-0.00093765-0.00063308i,-0.00027881-0.00080504i,-0.00031931+6.1064e-05i,-0.0003304+0.00010818i,0.00022538-5.1754e-05i,0.00043812-0.00042496i,0.00017728-0.0006953i,-0.00017897-7.9754e-05i,-0.00039435+6.2662e-05i,-4.1891e-05-0.00054446i,0.00059292-0.00095844i,0.00091511-0.00047386i,0.00068671+9.332e-05i,0.0002034+0.00054936i,-0.00031689+0.00032701i
-5.4155e-05-0.00041912i,-0.0001169-0.00057526i,-0.00049298+0.00031012i,-0.00018268+0.00042043i,-0.0001227+6.6087e-05i,0.00015716+0.0006507i,-3.4636e-05+0.0010362i,-0.0007426+0.00076354i,-0.00071704+0.00058391i,-0.00043233+0.00071858i,-0.00042317+0.0009542i,-0.0002477+0.00072378i,-0.00016836+0.00010197i,-0.00048045+0.00024022i,-0.00027559+0.00013608i,7.8118e-05-5.8609e-05i,-0.00041392+0.00027923i,-0.00048228-0.00010955i,-0.00027099-0.00043668i,-0.00033896-0.00015725i,-0.00073162+0.00028655i,-0.00064386+0.00065814i,-0.00051333+0.00041938i
0.0017226+0.00035079i,0.00077059+0.0008175i,0.00035309+0.00053483i,-0.00043849-9.5558e-05i,-0.00089541-0.00018839i,-0.00045364+0.00054996i,-0.00020784+0.0016914i,-0.00041562+0.001809i,0.00027518+0.00031639i,0.00020506-0.00064766i,-0.00049559-0.0007523i,-1.3445e-05-0.00071672i,0.00070717-0.00019357i,0.00059366+0.00018238i,0.00050486+0.00018472i,0.00062944+0.00057587i,4.2569e-05+0.0010172i,-7.1642e-05+0.00050771i,0.00028026+0.00050643i,2.1321e-05+3.8965e-05i,-0.00018238-0.00060328i,-0.0001583-0.00013607i,-1.8472e-05+0.00037111i
0.0012463-0.00096154i,0.0018003-0.00081357i,0.0013107-0.00029167i,0.0001669-3.4049e-05i,-0.001003-5.115e-05i,-0.0011282-0.00027918i,-0.00039052+0.00063306i,-0.00019116+0.0016381i,-0.00089868+0.0008539i,-0.00062645-0.00030735i,0.0001247-0.00032525i,0.00026293-0.0001545i,-0.00030145-0.00045949i,-0.00056374-0.0002232i,-0.0002021-0.000348i,-3.6451e-05-0.00043696i,-0.00062112-0.00011832i,-0.0002801-0.00065765i,0.00055541-0.0012151i,0.00069521-0.00061799i,8.6238e-05+8.9226e-06i,-0.0003627+0.00029383i,-0.00060386+0.0001915i
0.00052643+0.00045394i,-0.00016603-0.00013336i,-0.0014857-0.00022518i,-0.0015808+0.00034054i,-0.0011502+0.00048157i,-0.00029779+3.809e-05i,0.00019063+8.299e-05i,0.00044367+0.00059734i,0.0009455+0.00050431i,0.00052186-0.00035763i,-0.00012667-0.00081334i,-4.7612e-05-0.00028864i,4.4979e-05-0.00066755i,0.00047536-0.001043i,0.00072418-0.00033289i,0.00036382-2.0245e-05i,0.00019751-0.00043889i,0.00048729-0.00019849i,0.0014168-4.4187e-05i,0.001031-8.7762e-05i,-0.00047376-1.5418e-06i,-0.0011846+0.00021421i,-0.00059947+0.0008287i
-0.0012121+0.00014027i,-0.00073402+0.00094506i,-0.00052954+0.00089847i,-0.00029173+0.00093044i,0.00065438+0.002017i,0.0014236+0.0020938i,0.0010785+0.0009073i,0.00054552-0.00019953i,4.7179e-05-0.00023122i,-0.00011199+3.643e-06i,-0.00035548+0.00013176i,6.2108e-05-0.00041208i,0.00060477-0.0010834i,0.0011948-0.00070135i,0.0018252+4.8792e-05i,0.00068334+0.00041202i,-0.0005237+0.00035627i,-0.00054314-0.00010863i,-0.00020633-0.00024273i,-3.187e-05-0.0010734i,-0.00035275-0.0013234i,-5.7273e-05-0.00044838i,-1.5524e-05+0.00013471i
-0.00082917+0.0033687i,-0.00046129+0.0039588i,0.000518+0.0035506i,0.0010126+0.0017213i,0.00041973+0.00034788i,-0.00076398+0.00017016i,-0.00063328+0.00025626i,-0.00058469+0.00013887i,-0.00062749-0.00053886i,-0.00013298-0.00087605i,0.00021521-0.00062634i,0.00040583-0.0001267i,-0.00027662+7.0362e-06i,-0.00058005-0.00046994i,-0.0010722-0.00052324i,-0.0011517+0.00015807i,-0.00043871+0.00035028i,-0.0003543+0.00025712i,-0.00040301+0.00019957i,3.5635e-06-2.0012e-06i,0.00034054-0.0004057i,0.0011625-0.001141i,0.00118-0.00089358i
-0.00051432-0.0017508i,-0.00081392-0.0015525i,-0.00082827-0.00060417i,-0.00046849-0.00013466i,-0.00034255+8.3964e-05i,-2.9461e-05+0.000408i,-0.00040322+9.1345e-05i,-0.00034633-0.00077251i,0.00049401-0.00072008i,0.00048919-0.00020098i,-6.1149e-05+0.00024727i,-7.8924e-05+0.00081292i,0.00041456+0.00041455i,0.00041943-0.00041407i,0.00089982-0.00042648i,0.0008947-0.00035929i,0.00078042-0.0005771i,0.00051584+0.00010211i,0.00018482+0.00056171i,0.0002548+0.00018433i,0.00038641+0.00019352i,4.1172e-06+0.00043373i,-0.00057195+0.00055932i
0.00018503-0.0025546i,-0.00043169-0.0021334i,-0.00077303-0.0020395i,-0.00080257-0.00096876i,-0.00060612+7.5562e-05i,-0.00043614+0.00042941i,-0.00095066+0.00083252i,-0.00051133+0.00052058i,-8.0192e-05+0.00046239i,-0.00046546+0.00041482i,-5.7012e-05-0.00020146i,0.00030404-9.0655e-05i,-9.4596e-05+0.00093282i,-5.0491e-05+0.0016346i,0.00099965+0.0017874i,0.0014251+0.0013984i,0.0011466+0.00077837i,0.0004085-0.00033245i,0.00023429-0.00086233i,0.0011919-0.00055619i,0.00088299+4.174e-05i,-0.00017027+0.00043914i,-0.00014306+0.00055355i
0.00038486+0.0026919i,0.0015373+0.0032133i,0.0021077+0.0023495i,0.0012946+0.0015307i,0.00011424+0.00095261i,-0.00061057+0.00049451i,-0.00012662+0.00072229i,0.00063413+0.0014706i,0.00013751+0.0011472i,-0.00024303+0.00034044i,-0.00051403+0.0001635i,-0.00090337+0.00024534i,-0.00074446-1.5448e-05i,-0.00035206-0.00059594i,1.8405e-05-0.00087708i,-0.00034-0.0011081i,-0.00067609-0.0001417i,-0.00068765+0.00045074i,-0.0005308-0.00036961i,-0.00053461-0.00025138i,-0.00051845+0.00049512i,-0.00027319+0.0002611i,0.00030257+0.00020403i
