0.00063045-7.0004e-05i,0.00099011-4.2222e-05i,0.00046223-0.0010401i,-0.00061818-0.0016269i,-0.00149-5.1328e-05i,-0.0014921+0.0022675i,-0.00040506+0.0037837i,0.0006999+0.0031733i,0.0017928+0.0013175i,0.0022166-0.00011581i,0.0014417-0.00098106i,0.00059553-0.001114i,0.00050404-6.5077e-05i,0.00033342+0.0010299i,-4.311e-05+0.00095268i,0.00027433+0.00089363i,2.464e-05+0.00055938i,-0.00013481+0.00040987i,-0.00046425+0.00071912i,-0.0010115+0.00017414i,-0.0010628-0.00053331i,-0.00030879-0.00018623i,0.00048437+0.0002581i
-0.0032747+0.00049937i,-0.0031473+0.00055759i,-0.0037718+0.00083631i,-0.0025767+0.0014316i,-0.0010754+0.0014528i,-0.00022996+0.00067078i,0.00041302+0.00030548i,0.00016711+0.00027803i,-0.00066427-0.00024753i,-0.00066482+0.00012556i,2.0048e-05+0.00059117i,0.00094562+0.00057969i,0.00086499+0.00016844i,0.00026914+0.00030597i,0.00031777+0.00065132i,0.00027181+0.00014777i,-0.00027243+0.00011945i,-0.0013379+0.00067129i,-0.0015365+0.00076748i,-0.00056002+0.00039182i,0.00050608+2.3733e-05i,0.00049819+0.00017325i,-0.00029596+0.00077969i
9.8974e-05-0.0038941i,0.00032442-0.0028234i,-3.9595e-05-0.0022329i,3.2744e-05-0.00097979i,-0.0003789+0.0013508i,-0.00013828+0.0034454i,0.00012244+0.0033229i,0.00013296+0.0012441i,0.00063665+7.7811e-06i,0.00069095-0.00018263i,0.0003127+0.00036091i,-0.0001622+0.00094203i,-0.00034017+0.00067136i,9.824e-05+0.0012448i,-9.6538e-05+0.0020172i,-0.00035898+0.001001i,-0.00057075-0.00028404i,-0.001131-0.00074938i,-0.00035649-0.00068528i,0.00081547-6.506e-05i,0.00046222-0.00010123i,-0.00035792-0.00036457i,-0.00063292-0.00040644i
0.00047205-0.00086867i,0.00036949-0.00057599i,-0.00098886-6.4355e-05i,-0.0010969+9.0712e-05i,0.00029922+0.00075998i,0.0006581+0.0011773i,-2.7645e-05+0.0015282i,-0.00037935+0.0019193i,-7.9847e-06+0.0009411i,0.0010621+0.00013041i,0.0010308-0.00034516i,0.00023959+0.00013415i,0.00014075+0.00097013i,0.00090897+0.00041054i,0.0020383-0.00014741i,0.0022145+9.1112e-05i,0.00051709+0.0001134i,-0.00036625-0.00044739i,0.00041467-3.3594e-05i,0.00072718+0.00052212i,0.00025723+0.00054342i,-0.00024087+0.00046533i,3.9144e-05-0.00018451i
-0.00083661-0.00082376i,-0.0017437-0.00079183i,-0.0026597-0.00058999i,-0.0021418-0.000642i,-0.0012874-0.00023261i,-0.00082366+0.0002861i,-4.8263e-06+0.00073598i,0.00042004+0.0010929i,0.00035345+0.00051039i,0.00026335-7.164e-05i,-9.309e-06+6.5665e-05i,-0.00021048+0.00016339i,-0.0005803+0.00032208i,-0.00065376+0.0002707i,-0.00025468-0.0002461i,0.00012154-0.00024419i,0.00010795-0.00029297i,-0.00024398-0.00062531i,2.435e-05-0.0007169i,0.00035708-0.00035721i,0.00043371+0.00023289i,0.00021305+9.0134e-05i,-0.00025354+0.00010385i
0.00012804-0.0022392i,0.00066283-0.0015353i,0.00026036-0.0012357i,0.00013105-0.00046229i,-0.00020012+0.00078065i,-0.00067432+0.0020696i,-6.8107e-05+0.0025243i,0.00050537+0.0020848i,6.8512e-05+0.0006695i,-0.00052521-0.0001776i,0.00023886-0.00010721i,0.00097435-3.1207e-05i,0.00083925+0.00069106i,0.00062888+0.00084537i,0.00026064+0.00076707i,-0.00041164+0.00072351i,-0.00098636+0.00047949i,-0.00086315-8.5252e-05i,-0.00010993-0.00021396i,0.00010122+0.00042189i,-0.00011237+0.00053025i,-0.00036088+0.00028544i,-0.00023625-0.00066922i
0.0013124+0.00057968i,0.0010705+0.00078476i,2.8605e-05-0.00033878i,-0.00085998-0.0015864i,-0.00092626-0.00092507i,-0.0011379+0.00079516i,-0.00076894+0.001533i,0.00043413+0.0014011i,0.00060595+0.00014645i,-0.00087148-0.00090132i,-0.0012431-0.00067725i,0.00041518-0.0004344i,0.00085093-0.00038634i,0.00052094-4.836e-05i,0.00068939+0.00013044i,0.00047023-0.00041212i,0.00025039-0.00052296i,0.00017646+0.0005601i,0.00021637+0.00068037i,0.00043301-0.00022461i,0.00024152-0.00037238i,0.00013947-0.00011914i,0.00011328-0.00027235i
-0.0012541+0.00054555i,-0.00075491+0.00040144i,-4.595e-05-0.00043517i,-8.9632e-05-0.00089764i,-0.00033713-0.00082046i,-0.00031735+0.00051162i,0.00027831+0.0022075i,0.00069354+0.0018179i,0.0011601+0.00063341i,0.0013078+0.00016336i,0.00060595+0.00018434i,0.00037385-0.00071421i,0.00045116-0.00087296i,-0.00018515+0.00024638i,-0.00085802+0.00079303i,5.7397e-06+0.00067168i,0.0005135+0.00064146i,-0.00030928+0.0008289i,-0.00092823+0.0008107i,-0.00034472+0.00045995i,0.00016354+0.00016823i,0.00011746-4.4677e-05i,-0.00035296-0.00013786i
-0.00012487-0.00091138i,0.0010397-0.0008344i,0.0015555-0.00078515i,0.00042183-0.00039382i,-0.0010693+0.00015921i,-0.0012109+0.0007819i,-0.00035528+0.0014018i,0.00017967+0.00073719i,0.0005847-0.00074975i,0.00097639-0.0011144i,0.0011084-0.00088299i,0.00031292-0.00068277i,-0.00049431-0.00028497i,-0.0006049-0.0001211i,-0.00073207-0.00030823i,-0.0011111-7.13e-05i,-0.00092301-0.00015202i,-7.0816e-05-7.6908e-05i,-0.00025398+0.00081931i,-0.00089431+0.00076555i,-0.00092768+0.00020331i,-7.0609e-05+7.0682e-05i,0.00081914+0.00013352i
0.0013614+0.0029834i,0.0010974+0.0030833i,0.001471+0.0012996i,0.002186-0.00035386i,0.0019735-0.00048169i,0.00023178+0.00058014i,-0.00093676+0.0014669i,-0.00046788+0.001587i,0.00030607+0.00068916i,0.0004184-0.00017982i,0.00024497-0.00074226i,3.7242e-05-0.0010343i,-7.9363e-05-0.00084416i,-0.00045498-0.00074582i,-0.00024096-0.00033682i,0.00043681-0.00023429i,0.00056533-0.00042421i,0.00049645-0.00043645i,-0.00013039-0.00019451i,-0.00054911-0.00030035i,-0.00040348+0.00028116i,0.00038087+0.00083529i,0.00092431-0.0001218i
-6.298e-05-0.00055505i,3.2895e-05-0.0004844i,-0.00053153+0.00012478i,-0.0010627+0.00085333i,-0.00076467+0.00085799i,-0.00047101+0.0013064i,-0.0011261+0.0016244i,-0.00098259+0.0011365i,0.00032011+0.00060004i,0.00086816+0.00031595i,0.00028043+0.00030518i,7.205e-05-3.9653e-05i,0.00045725-0.00020242i,0.00063156+0.000563i,-0.00013348+0.00093423i,-2.4512e-05+0.00050559i,0.00020709+0.00070823i,0.00067848+0.00094047i,0.00043924-2.1711e-05i,-3.0748e-06-0.00025677i,-0.00066342+0.00054307i,-0.0010562+0.00039787i,-0.00051918+0.00011436i
