-0.0014218+0.00070947i,0.00023762-7.8751e-05i,-0.00021218-0.00069261i,-0.00073623-0.00032582i,-0.0004762+0.00025435i,-0.00019995+0.0012277i,0.00019341+0.0017846i,0.0005638+0.001556i,0.0008628+0.0013888i,0.0013383+0.0014073i,0.0011757+0.00080088i,0.00043449+5.0743e-05i,-0.00019281+0.00062919i,-0.00054289-2.3258e-05i,-0.00097921-0.00084472i,-0.001433+0.00016538i,-0.0011382+0.00082461i,-0.00016659+0.00030178i,0.00064679+0.00069831i,0.00091075+0.0011676i,0.00026399+0.0002064i,-0.00012135-3.9613e-05i,0.00092469+0.0002745i
-0.00047398-0.00021211i,-0.00018901-0.00013484i,-0.00014531+3.959e-05i,-0.00064247+0.00027829i,-0.00041754+0.00048243i,0.00073402+0.00055359i,0.0011482+0.00014188i,0.00073281+0.00019551i,0.00066199+2.884e-05i,0.00089371-0.00060405i,0.0005022-0.00051308i,-0.00026958-0.00017332i,-0.00068703-9.8911e-05i,-0.00071617+4.2471e-05i,1.7881e-06-3.1633e-05i,0.00059143-0.00055879i,4.5904e-05-0.00083832i,-0.00033097-0.00057868i,-0.00016506-2.0622e-05i,-0.00011689+0.00020287i,3.6448e-05+0.00025009i,8.1664e-05+9.3458e-05i,-3.4076e-05-0.00013952i
0.0006778-0.0013411i,-0.00013756-0.0015757i,0.00025998-3.9618e-05i,0.00064686-0.00010153i,0.00023763-0.00076318i,-0.00014599+0.00049648i,0.00035237+0.00093858i,0.00021747+0.00020433i,-0.00076607+0.00047804i,-0.00068213-0.00011571i,0.00011333-0.00077955i,3.3454e-05-0.00029671i,6.876e-05-0.00024959i,0.00013078-9.0439e-05i,-0.0001725-1.4379e-06i,0.00017356+5.2715e-05i,0.00019252+0.00031447i,-0.00015985+0.0006645i,-8.915e-06+0.00087398i,-5.9142e-05+0.0009131i,-0.00029948+0.00066596i,-0.00023541+0.00023871i,3.2671e-05+0.00015662i
0.00044264+0.00053792i,-0.00011284+0.00037816i,-0.00077628+0.00056887i,0.00034459+0.00084382i,0.0011426+0.00084832i,0.0016792+0.00024746i,0.0014648-0.00089558i,0.00027633-0.00065609i,-0.0011537+0.00038953i,-0.0010731+0.0008676i,-0.00033691+0.00087342i,-0.00022885+0.00014744i,-0.0005382-0.00012855i,-0.00022257-0.00019301i,-5.5516e-05-0.0008265i,5.9487e-05-0.00071978i,0.00041114+4.6881e-05i,2.5064e-05+4.7935e-05i,1.0878e-05+0.00010812i,0.00011687+0.00033642i,5.2567e-05-0.00019646i,2.4436e-05-0.00013492i,-8.7001e-05+0.00012278i
0.00091711+0.00033513i,0.0011217-0.00015931i,0.0005266-0.00030227i,-5.9232e-05-0.00048708i,0.00018717-0.00043483i,-4.6404e-05-9.2202e-05i,0.00052462+0.00028522i,0.0011262+0.00035397i,0.00030401-0.00033443i,0.00011255-0.00083894i,-0.00019465-0.0005375i,-0.00087019-0.00039627i,-0.001389-7.8636e-05i,-0.0011425+0.00040699i,-0.00042568-2.0764e-05i,0.0003485-0.00079939i,0.00041601-0.00038559i,-0.00033754-5.2357e-06i,0.00032326-0.00026972i,0.00089862-0.00023168i,0.00039334-0.00022997i,0.00029101+0.00044003i,0.00030617+0.00054079i
-0.0015382-0.00053695i,-0.0011644-0.00030068i,-0.0023706+6.4893e-05i,-0.0019748+0.00032152i,-0.00021035+0.0015673i,0.00042472+0.0014087i,0.00048946-0.00016511i,0.00048228-0.00078895i,0.00022233+5.7529e-06i,6.3348e-08+0.0010285i,-0.00040265+0.0010546i,-0.00053235+0.00074321i,-5.8443e-05+0.00091185i,0.00014918+0.0014928i,0.00030894+0.0010873i,-0.00028548-0.00044291i,-0.00070704-0.00083489i,-0.00031351-0.00057367i,-0.0001203-0.00087247i,2.3352e-05-0.0007938i,-0.00025593-0.00051382i,-0.00020151-0.00060211i,0.00052859+0.00034779i
-0.00033729-0.0015903i,0.00027566-0.00035454i,-0.00072367+6.1164e-05i,-0.0013665-0.00055308i,-0.00029456+2.2242e-06i,0.00061261+0.00031628i,0.0012884+0.00032991i,0.0012203+5.954e-05i,0.00027041-0.00024712i,-0.00050242+0.00041137i,-0.00080353+0.00080028i,-0.0003501+0.00012274i,-0.00043893+0.0004041i,-0.0010256+0.00073051i,-0.00066241+0.00033451i,-0.00043738+0.00052264i,-0.0004166+0.00043868i,-0.00014512+0.00026051i,-0.00018593-0.00026825i,-0.00050642-0.00039528i,-7.2608e-05+0.00058457i,0.00074656+0.0012212i,0.00043229+0.00061567i
0.00027274-0.0010164i,7.8412e-05-0.0012812i,0.00087123-0.0013646i,0.0010333-0.00039062i,0.00057229+8.808e-05i,0.00045803+0.00038776i,0.00078412+0.00074344i,0.00048472-9.7325e-05i,7.4808e-05-0.00064271i,5.5854e-05-0.00024273i,-0.0011853-0.00023031i,-0.0017896-0.00031154i,-0.00091084+0.00011743i,-0.00015343+0.00011202i,-2.9425e-05+0.00015962i,8.6449e-06+3.6204e-05i,-9.3364e-05-0.0001016i,-0.00033261+5.1783e-05i,-0.0002168-0.00017137i,-0.00018076-0.00046297i,-0.00067452-5.1756e-05i,-0.00060722+0.00077497i,-0.00014683+0.00069615i
-0.00020107-6.4237e-05i,0.00014124-0.00032173i,7.5197e-05-4.2868e-05i,-0.00047612-0.00011652i,-0.00037983-0.00083697i,0.00017299-0.00064363i,0.00093464+7.2116e-05i,0.00048669-0.0001027i,-0.00022491-0.00054136i,-0.00011812-0.00047882i,0.00020342+0.00056707i,0.00019716+0.00068733i,0.00065911+0.00016183i,0.00079507-0.00011771i,0.00070384-0.00020241i,0.00034381-0.00063498i,0.00010705-0.00066823i,5.3409e-05-0.00013522i,-0.00083249-0.00036783i,-0.001068-0.00094146i,-0.00060535-0.00084078i,-0.00016468-0.00029061i,-0.00023478+8.7984e-06i
0.0012349+6.4037e-05i,0.0012+0.00038886i,0.0015404-0.00044582i,0.0015909-3.0653e-05i,0.0013483+0.00073638i,0.0016122+0.0011803i,0.00092762+0.00079983i,-0.00020903+0.00020597i,-0.00037782+0.00032472i,0.0001091+0.00011489i,-0.00011905-0.00034393i,0.00044248-0.00097245i,0.00078347-0.0010753i,-0.0004338-0.00088291i,-0.00073459-0.0010171i,0.0001278-0.00086503i,0.00067409-5.2305e-05i,0.00094058+0.00056234i,0.00064857+0.00055559i,-0.00039311+0.00074047i,-0.00054756+0.00077721i,-0.00013071+0.00086968i,-0.0002317+0.00067518i
-0.00027697+0.00044594i,-0.00035926+0.0016506i,-7.2531e-05+0.001391i,0.00078228+0.00021652i,0.00088287-7.3723e-05i,0.00094335-0.00064494i,0.0010324-0.0012357i,0.001349-0.00095988i,0.00090715-0.00041835i,2.0915e-05+0.00024723i,0.00011987+0.00031293i,7.209e-05-0.00033359i,-0.00027235-0.00016977i,-0.00075119+0.00042347i,-0.00052008+0.00051878i,-0.00042568+0.00014111i,-0.00061526-2.4259e-05i,-0.00045012+0.00014535i,-0.0012944+0.00030497i,-0.00096649+0.00094554i,5.7825e-05+0.00064784i,0.00017129+0.00028521i,0.00014531-0.00026738i
