-0.0036294+0.001298i,-0.003574+0.0011378i,-0.0037773+0.00049081i,-0.0028018+0.00059462i,-0.0012772+0.0016383i,-0.000949+0.0018967i,-0.00022466+0.00078534i,0.00068959+5.6913e-05i,0.0010769-3.8284e-05i,0.0011876-0.00023737i,0.0010084-0.00071047i,0.00058449-0.00069986i,2.7407e-05+0.00029667i,-0.00020978+0.00062249i,-5.3868e-05+0.00055404i,0.0004661-1.2833e-05i,0.00054-0.0017256i,-2.0558e-05-0.0021237i,-0.00016801-0.0014358i,-0.00062084-0.00081971i,-0.00063603+2.585e-05i,-0.00046674+0.00032487i,-0.00066268+0.00055979i
0.0015355+0.0011199i,0.0010358+0.0023234i,0.00014329+0.0024506i,-0.0003752+0.0014905i,-0.00049411+0.00024935i,0.00039641-0.00011816i,0.00038713+0.00014325i,-0.00033286-0.00071058i,-0.00075553-0.0014532i,-0.0013847-0.00084753i,-0.001232-5.5781e-05i,-0.00027266-0.00010222i,0.00040954-0.00031962i,-0.00016832-0.00014459i,3.894e-05-0.00064532i,0.0008385-0.00031897i,0.00072104-0.00023302i,0.00048286-0.00086129i,0.00034393-0.00031645i,-0.000186-9.8599e-05i,-0.00017608-0.00034836i,4.2815e-05+0.00014806i,-0.00036658+0.00072318i
-0.00098339-0.0015958i,-0.0004263-0.0013102i,-0.00067251-0.0031947i,-9.887e-05-0.002186i,0.00055677+0.00040568i,0.00092084+0.0012551i,0.00048309+0.00041182i,0.00049128-0.00092018i,0.0010315-5.0956e-05i,0.00086595+0.00075926i,8.7241e-05-1.9426e-05i,-0.00035176-0.0004834i,-0.00040936-0.00023255i,0.00036139-6.1702e-05i,0.00023356+0.00034471i,-0.00020176+0.00050762i,-0.0001067+0.00036855i,0.00047437+0.0004286i,0.0013915+0.00033199i,0.0006436-0.00054529i,-0.00012909-0.0014906i,-0.000157-0.0009942i,-0.00030278-0.0003512i
-1.864e-05+0.0025323i,-0.00034313+0.0034341i,-0.00079801+0.0037993i,-0.00036581+0.0023626i,-7.8508e-05+0.0014653i,5.2729e-06+0.00099713i,-1.7116e-05+0.00040532i,0.00016663-0.00025229i,0.00034871-0.00052681i,-1.3479e-05-0.000101i,-0.00067834-0.00026482i,-0.00065467-0.00040641i,0.00040503-0.00051002i,0.00082349-0.00084138i,7.3336e-05-0.00021346i,2.7638e-05+0.00042357i,4.9442e-05-0.00081166i,-9.8578e-05-0.0014003i,0.0001697-0.0011988i,0.00021847-0.0014528i,0.00026785-0.00085171i,0.00035421+0.00029831i,3.4092e-05+0.0003717i
0.00022814-0.0014496i,-0.00073598-0.0022153i,-0.00072054-0.0022124i,-0.00034343-0.0014056i,-0.00041587-0.00077036i,-0.00059176-0.00032471i,0.00013645-0.00017028i,0.00068694-0.00044038i,0.00047115-0.00067733i,-0.00032519-0.0011391i,-0.00043439-0.0014057i,0.00017051-0.0010291i,0.00074392-2.6678e-05i,0.00086886-0.00016493i,0.00059127-0.0011374i,0.00055048-0.0010214i,0.00061816-0.00046101i,0.00054706-9.9271e-05i,0.00027588+6.632e-05i,0.00012333-0.00075408i,-7.2559e-05-0.00071011i,-0.00027691-0.00029843i,0.00037462-0.00026904i
-0.00020365-0.0014295i,0.00024104-0.0016827i,-0.0017562-0.00097296i,-0.0024526-0.00024765i,-0.0014011+0.00061195i,-0.00026932+0.00068615i,0.00033507+0.00061869i,0.00044231+0.00062865i,0.00086104-0.00018063i,0.00023026-0.0011305i,-0.00087092-0.00083455i,-0.0004241+0.00019769i,-0.00012127+0.00061952i,-0.00074085+0.00057026i,-0.00042336+0.0003935i,-0.00038871+0.00071095i,-0.00090341+0.0001313i,-0.00091037-0.00094622i,-0.00027459-0.0013275i,-0.00022438-0.00063786i,-0.00083652+0.00019943i,-0.00071972+0.00024552i,-8.4457e-05-0.00032574i
-0.00075459-0.00065069i,0.00042381-0.00027241i,-0.00013894+0.00054418i,-0.00023911+9.5864e-05i,-5.671e-05+0.00025745i,-0.00080274+9.509e-05i,-0.00040609-0.00077944i,-0.00024163-0.00060861i,-0.00026608-0.00013335i,0.00023543+0.00030512i,-0.00013699+0.00047892i,-7.6444e-05-0.00013693i,-0.00040405-0.0008628i,-0.0011334-0.0010726i,-0.0007321-0.000687i,-0.00043587-0.00055284i,-0.0002444-2.9246e-05i,0.00030837+0.00087941i,0.00016112+0.00074058i,-0.00057597+0.00055038i,-0.00056751+0.00064511i,-0.00053215-0.00032912i,-0.00025317-0.00057575i
0.00061233+0.00021412i,-0.00010916+0.00089432i,-0.00048087+0.0012114i,-0.00033412+0.0011112i,0.00041858+0.001113i,0.00088202+0.0013415i,0.00053078+0.00071732i,0.00056935-2.1024e-06i,0.0005535-0.00026744i,0.00032852-0.00061284i,0.00018623-0.00075689i,0.00046438-0.00012789i,0.00058718+0.0005886i,0.00091798-0.00012424i,0.00061938-0.00030184i,0.00014269+0.00040107i,-7.9386e-06+0.00023449i,0.00021717+2.1577e-05i,0.00021137+0.00030567i,-0.00044685+0.00021261i,-0.00070864-0.00085237i,-0.00011104-0.0015093i,0.00026691-0.00066972i
-0.0005498-4.6631e-05i,-0.00026323-0.0006503i,-0.00045914-0.00083076i,-0.0011873-0.00070486i,-0.0010609-0.00084882i,-0.00022389-0.0007944i,0.00077159+0.00020782i,0.00041334+0.00099998i,-0.00049785+0.0011968i,9.615e-06+0.0011596i,0.00076131+0.00072146i,0.0005603+0.00098419i,0.0006028+0.0010147i,0.0009413+0.00039107i,0.0012182+9.8041e-05i,0.0007077+0.00037092i,-0.00015801+0.00032747i,-8.899e-05+0.00022509i,-0.0002946+8.3546e-05i,-0.00036915-0.00027904i,-0.00019666-0.00017439i,-0.00023242-0.00031487i,-0.00014002-0.00058192i
-0.00042098+0.00030592i,0.00059364-0.00055314i,0.0020706-0.0014306i,0.0018665-0.0013437i,0.00081788-0.00058047i,0.00025431+6.8919e-06i,0.00048165+0.00025399i,0.00063687+0.0006493i,0.00069147+0.00068667i,0.00052056+0.00050899i,0.00032114+0.00039323i,1.7959e-05+0.00026761i,-0.00040103+0.00023841i,-0.00031606-0.00010053i,-0.00043297-0.00064594i,-0.00062888-0.0010519i,0.00029615-0.0013831i,0.00081749-0.00096671i,0.00022254-0.00064302i,0.0001762-0.0010957i,0.00085785-0.00076752i,9.9397e-05+0.00032056i,-0.00076564+0.0004623i
-0.00038721+0.0033534i,0.00015797+0.0036332i,0.0006932+0.0035351i,0.0004041+0.0019719i,-0.00016888+0.00027146i,-0.00026848+6.2616e-05i,0.00036789+0.0006242i,0.0010275+0.00060938i,0.0012529-0.00031138i,0.00089431-0.00014668i,0.00041389+0.00018795i,0.0001153+0.00016541i,0.00023621+6.7861e-05i,0.00015118-4.3007e-05i,-7.6664e-05-0.00051077i,-4.2166e-06-0.00090242i,0.00039673-0.00053471i,0.00047457+4.403e-05i,2.6374e-05-0.0001523i,0.00022973-0.00030111i,0.0009213-0.00012773i,0.0011246+0.00024189i,0.0014261+0.001i
