-0.0037967+0.00025199i,-0.0021613+0.0003452i,-0.0018493+0.0010626i,-0.0011864+0.0017107i,8.6659e-05+0.0029063i,0.00084956+0.0032294i,0.00092735+0.0023403i,0.00054239+0.0014861i,0.00053316+0.00078085i,0.0013239-5.9718e-05i,0.0011315-0.00047111i,3.617e-06-0.0007345i,-0.00068978-0.0014243i,-0.0013216-0.0014578i,-0.0015444-0.00069375i,-0.00072577-0.0002332i,2.3696e-05-3.8641e-05i,-3.9906e-05-0.0004421i,-2.6459e-06-0.0011153i,0.0003866-0.00085341i,-0.00020704-0.00052153i,-0.00077763-0.00053182i,-0.00049046-0.00011383i
-0.00062089-0.0015864i,-0.00059045-0.0016366i,-0.001297-0.0020609i,-0.0012758-0.0019277i,-0.0018329-0.00060043i,-0.0017169-0.00033815i,-0.00048392-8.7767e-06i,5.8715e-06+0.00046417i,-0.00032135+8.3583e-07i,-0.00058186+3.9554e-05i,-0.00032026+0.00096033i,-0.00092784+0.00081898i,-0.0013719+6.562e-05i,-0.0013618-0.00035131i,-0.00033661-0.00055519i,0.00077543+8.1223e-05i,7.3246e-05+0.00057256i,-0.00094016+0.00026795i,-0.00020969-0.00032382i,0.00082829-0.00044452i,0.00075913+8.0308e-05i,0.00071534+0.00058693i,0.00085662+0.00033738i
1.0093e-08+0.00075995i,-0.0010361+0.00039177i,-0.00087407-9.4464e-06i,-0.00028509-0.00038691i,0.00023879-0.00025943i,-0.00027215+0.00084485i,-0.00088435+0.0011653i,-0.0008929+0.0010509i,-0.00037433+0.00065486i,0.00021919-0.00059769i,0.00014791-0.0012022i,-0.00049931-0.00052601i,-9.1387e-05+0.00063611i,0.00028718+0.00065852i,0.00033155+0.00017599i,0.00037837+5.81e-06i,0.00022391-0.00041859i,0.00079812-0.00027306i,0.00093811+0.00021456i,0.0004268+0.00015999i,0.00063302-4.3664e-05i,0.00077307-0.0003086i,1.6388e-05-0.00039904i
-0.0020946+0.0015278i,-0.00066002+0.0022175i,0.00051374+0.0019178i,0.00066049+0.00074716i,0.00032188-6.3165e-06i,0.00015061+0.00016655i,9.4082e-05+0.00070269i,0.00017595+0.00089893i,0.00054646+0.0010608i,0.00054361+0.00061074i,-0.00011483+0.00022605i,-0.00037848+0.00023662i,0.0002396+5.4778e-05i,0.00034297+0.0006136i,-0.00026685+0.00039125i,-0.00030323-0.00050043i,0.00092353-9.2544e-06i,0.00053852+0.00073383i,-0.00078537+0.0004038i,-0.00051806-8.4734e-05i,0.000126-0.00040984i,0.00031796-0.00025324i,0.00053815+0.00057331i
-1.6495e-05-0.0018692i,0.00036613-0.0025914i,0.00092295-0.0024264i,-0.00038497-0.0017333i,-0.0012596-0.00090038i,-0.0013504-0.0002051i,-0.00089706+0.00029897i,-4.0285e-05+0.00068043i,0.00039824+0.00057402i,-0.00049896-0.00018346i,-0.00096531-0.00065042i,-0.00029662-0.0003868i,0.00062216-0.00050804i,0.00076855-0.00069111i,0.00068051-2.9214e-05i,0.00078347+0.00040153i,-2.402e-05+0.00055067i,-0.00033467+0.00074746i,0.00028983+0.00029375i,0.0003819-0.00077715i,-0.00014524-0.00083731i,-0.00082717+0.0001729i,-0.00080672-6.9533e-05i
-0.00050302-0.0014095i,-0.00092906-0.0010869i,-0.0012045-0.00051744i,-0.00072529-0.00061236i,0.00045983-0.00034612i,0.00080571+0.00091236i,0.0003504+0.0014688i,0.00072658+0.0013154i,0.00068009+0.00064257i,-0.00048524-0.00049368i,-0.0010218-0.00023948i,-0.00053643+0.00079831i,-4.1951e-05+0.00038042i,0.00049638-0.00037503i,0.0010871-0.00082889i,0.00054035-0.00032186i,-0.00022956+0.0003283i,-0.00026063+3.8775e-05i,0.00014042-0.00064565i,0.00015528-0.00077458i,8.2162e-05-0.00070745i,0.00025266-0.00023343i,-0.00011905+6.1442e-05i
0.0011144+0.0014417i,0.001588+0.00024944i,0.0015623-0.00050361i,0.001001-0.00058333i,1.6118e-06-0.00088749i,-0.00091139-0.00090639i,-0.0013532+0.00011056i,-0.0010849+0.00028824i,-0.00052929-3.8564e-05i,-0.00012099+0.00015064i,-0.00037293+0.0007163i,-0.00059529+0.000434i,-0.00075571-0.00063122i,-0.000132-0.00071587i,0.00050411-0.00010297i,0.00046038+0.001067i,0.00012138+0.0015634i,-0.00023845+0.0010153i,0.0001997+0.00031156i,0.00056809+0.00056668i,0.00036739+0.0003599i,0.00010698-0.00037318i,-0.00031938+8.7748e-05i
-0.00046037-0.00090979i,-0.00052773-0.00031961i,-0.00046069+0.00014153i,-0.00067785+0.00049663i,-0.0010509+0.00061809i,-0.00051697+0.00089333i,-0.00011946+0.0012676i,0.00041191+0.0010777i,0.0015392+0.00076763i,0.0012097+0.00047257i,-0.0001397+0.00034402i,-0.00049081-0.00026905i,-0.00033287-0.00057502i,-6.012e-05-0.00045843i,-0.00011278-0.00050795i,-8.2652e-06+0.0002349i,0.00019811+0.00053703i,0.00010352-0.00048645i,0.0001855-9.8626e-05i,0.0003886+0.00027451i,4.3487e-05-0.0003472i,-0.0005868-0.00069387i,0.00013715-0.00089001i
2.6687e-05+3.2863e-05i,0.00028967-0.00085591i,0.00068497-0.00026952i,0.00053374-3.0472e-05i,-0.00019078+4.0656e-05i,-0.00013006+0.00028127i,0.0005284+0.00083651i,0.00058851+0.00084382i,6.834e-05+0.00011426i,-0.00093636-0.00036349i,-0.0017109-0.00046704i,-0.0018889-0.00071346i,-0.0019201-0.00041409i,-0.0010533-0.00012762i,6.5586e-05+0.00010819i,3.4664e-05-0.00028565i,9.1888e-06-0.0007606i,0.00039697-0.00064763i,0.00024625-0.0002388i,-0.00037459-0.00053807i,-0.00066849-0.00077535i,-0.00064966-0.0010906i,-0.00032037-0.0010034i
0.00036035-0.0022611i,0.00061531-0.0026309i,0.00013743-0.0026577i,-0.0010151-0.0012017i,-0.001872+0.00050465i,-0.0014089+0.0014594i,0.00036356+0.0017511i,0.0012124+0.0014681i,0.00067357-1.3849e-05i,-4.7785e-05-0.00076099i,9.3615e-05-0.00025947i,0.00014843-5.6949e-05i,-0.00025159-0.0004131i,-0.00045634-0.0007875i,-0.0001875-0.00073874i,6.3803e-05-5.0243e-05i,0.00042933+4.4879e-05i,0.00044399+4.0048e-05i,-0.00012825+0.00015487i,-0.00024762+0.00011142i,0.0001306-0.00023614i,0.00032942-5.7051e-05i,-0.00018738-1.1176e-05i
0.0014302-0.0012532i,0.0003658-0.0010061i,-0.00024263-0.0011862i,7.8295e-05-0.00081665i,7.7851e-05+4.371e-05i,-1.2731e-05+0.00092473i,0.0002961+0.00082616i,8.8924e-05+0.00062941i,0.00030899+0.00084237i,-0.00027831+0.00036885i,-0.00071051+5.685e-05i,-3.5033e-05-0.00040058i,-2.5115e-05-0.00062367i,-0.00044346+0.00019963i,-0.00075277+0.00024955i,-0.00055536-0.00061932i,-0.00061103-0.00041983i,-0.00037006-0.00020564i,0.00016091-0.00044194i,0.00055726-0.00053547i,0.0004732-0.00089673i,0.00053226-0.0013186i,-2.6439e-05-0.00076016i
