-0.00011734+0.0006892i,0.0010043-7.95e-05i,-0.0010265-6.5668e-05i,-0.00082792-9.4196e-05i,-3.5574e-05+0.0011099i,-0.0013339+0.0025494i,-0.0019944+0.0034552i,-0.00039819+0.0029584i,0.0012684+0.00034306i,0.0013996-0.0018193i,0.00074064-0.0025113i,0.00087875-0.0025223i,0.0011774-0.0016541i,0.00030841-0.00091498i,-0.00048301-0.00068334i,-6.694e-05-0.00054066i,-0.00021031+0.00012504i,-0.00078271+0.00068814i,-0.00015969+0.00012885i,0.00036649+0.00014058i,0.00048849+6.9107e-05i,0.00061237-0.00036488i,0.00080597-0.00018017i
-0.00022275+9.2089e-05i,0.00027873+0.00036687i,-0.00093692+0.00068962i,-0.00097278+0.00091022i,-0.00049972+0.00106i,0.00021712+0.00063411i,0.0011133+0.00014568i,0.0008715+0.00037594i,-3.8247e-05+0.00016512i,-0.00040477-0.00043635i,-2.0988e-05-0.0011013i,8.4778e-05-0.0012385i,0.00064587-0.0010625i,0.00076037-0.0011217i,0.00040846-0.0002869i,4.8337e-05-0.00022405i,-0.00039382-0.0011843i,-0.00076325-0.001018i,-0.001016-0.00072639i,-0.00075841-0.00040233i,-0.00040961+0.00039062i,-3.4757e-05+0.00081611i,-0.00023448+0.00024927i
-0.002475+0.00033338i,-0.002613+0.00091872i,-0.0018172+0.0021395i,-0.00068964+0.0021212i,0.00014736+0.00021189i,0.0001483-0.0009562i,0.00025251+0.00046948i,0.0012817+0.00098005i,0.0017438-6.257e-05i,0.0014774-0.00097912i,0.00073769-0.0012405i,0.00011002-0.0014774i,0.00013694-0.0019786i,9.7465e-05-0.0013465i,-0.00041441-0.0004078i,-0.00055234-0.00013866i,-0.00096525-7.6534e-05i,-0.001209-0.00012768i,-0.00070995-2.0859e-07i,-0.00097539-0.00021198i,-0.00056995-0.00055771i,0.00071005-0.00034787i,0.0012019-0.00031027i
0.0024196-0.00047606i,0.0026749-0.00076526i,0.0020602-0.00089934i,0.0009106-0.00054141i,-0.0001346+0.00033744i,-0.00097688+0.00074197i,-0.00077004+0.00075103i,9.3521e-05+0.00039793i,0.00022717-0.00094433i,-0.0002013-0.0015784i,-0.00025222-0.0013144i,0.00061056-0.0017423i,0.00063449-0.0021609i,-0.00042565-0.0011197i,8.767e-06-8.5926e-05i,0.00062811+0.00016472i,0.00045584+8.7635e-05i,-0.0007161+0.00011942i,-0.0016234+0.00030331i,-0.0011363+0.00069493i,-0.00043532+0.0004169i,0.00010564-6.433e-05i,0.00038232+0.00018191i
-0.00049394-0.00078523i,0.0008834-0.0010325i,0.00066691-0.0027651i,0.00039006-0.0024934i,0.00027781-0.0016628i,0.00027221-0.00020819i,0.00045664+0.0009383i,0.000395+0.0007683i,0.00032074+0.00038667i,-8.4977e-05-0.00020086i,-0.00092408-0.0007943i,-0.00088686-0.001447i,8.1555e-06-0.0017589i,0.00057039-0.0016686i,-0.00012414-0.0014361i,-0.0012721-0.00075185i,-0.0013926+6.1906e-05i,-0.00077826+0.00012546i,-0.0011104-4.6715e-05i,-0.0011741+0.00070184i,-0.00048042+0.0011791i,0.00011678+0.00089576i,0.00070033+0.00081668i
0.0023655-0.0024584i,0.0013282-0.0031212i,0.00011984-0.0035509i,-0.0011351-0.0024974i,-0.0017743-0.00044022i,-0.0011714+0.00023538i,0.00037386+0.00077476i,0.0010267+0.0011423i,0.00058194+0.00023391i,-0.00015396-0.0010779i,0.00010011-0.0017177i,0.00068714-0.0013372i,0.00058858-0.0017836i,-0.00067851-0.0013872i,-0.0014681-0.00052898i,-0.00148-0.00040147i,-0.0013637-0.00044788i,-0.00082229-0.00063558i,-0.00071067-0.0001101i,-0.00044011+0.00040248i,3.5835e-05-0.00063006i,0.00035379-0.00033057i,0.00039852+0.00033217i
0.0011874-0.00055971i,0.0012689-0.0013506i,0.001334-0.0011925i,0.0016423+0.00037421i,0.00045873+0.00047745i,-0.00077502-5.5109e-05i,-0.00036252+0.0010278i,-0.00017437+0.0014786i,-3.3174e-05-0.00057569i,-0.00055963-0.0019699i,-0.0012734-0.0012948i,3.345e-05-0.0010034i,0.000783-0.0013222i,0.00059354-0.00084171i,0.00032914+0.00012523i,-0.00080154+0.00022929i,-0.001362-0.00051319i,-0.0014715-0.00075429i,-0.0013641-0.00025655i,-0.0014816-0.00010335i,-0.00085968+3.1232e-05i,-0.00012453+0.00061752i,-3.6078e-05+0.00074759i
0.0007965-0.00026788i,0.00047393+0.00024759i,0.0010467-0.0001249i,0.0011278-0.00085042i,0.00057388-0.00089477i,7.0198e-05-0.00053095i,0.00043572-0.00027205i,0.0011137+8.4842e-05i,0.0011138-0.00060021i,0.00070523-0.0014368i,0.00067283-0.0013004i,0.00043266-0.0016212i,-0.00053067-0.0013089i,-0.001642-0.00081117i,-0.0015142-0.00035688i,-0.0010824+0.0001327i,-0.0011764+0.0002815i,-0.0006653+0.00054987i,-0.00054506+0.00027973i,-0.00046178-3.1812e-05i,2.971e-05-0.00055366i,0.00063119-0.00015739i,0.00070993+0.00060454i
-0.00066379-0.00037649i,-0.00057853+0.00055638i,-0.0003573+0.00087327i,-0.00087045+0.00032133i,-0.0015993+0.00013979i,-0.0014953+0.00068508i,-0.00097437+0.00099711i,-0.00033133+0.00051443i,0.00020149+0.00024708i,0.00043628-0.00088528i,0.00027223-0.0018622i,0.00039492-0.0017847i,4.1354e-07-0.0011695i,-0.00036138-0.00046593i,3.1156e-05-0.00010118i,0.00046928+1.251e-05i,4.1997e-05-1.9324e-05i,-0.00018278+0.0003946i,-0.00021452+0.00068266i,-0.00080307+0.00046857i,-0.00085206+0.00080937i,-9.0589e-05+0.001471i,0.00017486+0.0016133i
-0.00070183-0.00092815i,-0.00050586-0.0013411i,-0.00050928-0.00050362i,-0.00034414+0.00012388i,-0.00095722+0.00035161i,-0.00033197+0.00049121i,0.00053361+0.0011709i,0.0010473+0.0011181i,0.0011675+0.00014902i,0.0010326-0.00081606i,0.00087251-0.0010546i,0.00076994-0.0016874i,0.00054764-0.0019211i,7.9226e-05-0.00095121i,3.213e-05-3.4075e-05i,0.00015114+0.00015467i,-0.00046755-0.00095714i,-0.00046131-0.0015408i,-0.00022519-0.00058475i,0.00044365+0.00027546i,0.00086515+0.00077439i,0.00046143+0.00087829i,-0.00020312+0.00040756i
0.00068071-2.3279e-05i,0.0015448+0.00035928i,0.0006573-4.1462e-06i,-0.00044121-1.3504e-05i,-0.00043126+0.00087467i,0.00012799+0.00051984i,0.00091026+0.00021318i,0.00084504+0.0005291i,-5.3791e-05+0.00017135i,-0.00037728-0.00021266i,0.00020636-0.00063016i,0.0015579-0.0011687i,0.0018452-0.00099755i,0.00045939-0.00064599i,-0.0002488-0.00036987i,-0.00010446+0.00044169i,0.00042515+0.00044072i,0.00080245+0.00045092i,0.00029861+0.0009865i,-0.00034279+0.00048126i,-0.00051191+0.00025035i,-0.00047418+0.00055205i,-0.00029133+0.00040564i
-0.0015164-0.00072534i,-0.0022333+0.00015862i,-0.0030446+0.00051628i,-0.0027323-0.000112i,-0.0009323-3.2413e-05i,0.00020933+0.00084273i,0.00038645+0.001499i,0.00038816+0.001516i,7.1227e-05+0.00041916i,0.00057858-0.00092968i,0.0009277-0.0017798i,0.00077706-0.0017812i,0.00090272-0.0010479i,0.00068878-0.00067514i,-0.00013041-0.00024275i,-0.00032177-0.00072038i,-0.0005861-0.001423i,-0.001175-0.00047011i,-0.0011876+0.00036657i,-0.0013371-0.00020049i,-0.00056697-0.00055301i,0.0005659-9.1183e-05i,0.00092443+2.7416e-05i
0.00073446+0.00089062i,-1.0786e-05+0.00074901i,0.00037807+2.0361e-05i,0.0002028-0.00072348i,-6.0208e-05-0.00058i,-0.00010147+0.00046801i,-2.0998e-06+0.00015007i,0.0010052+0.00017333i,0.0021235+0.00018742i,0.0021567-0.0013006i,0.0014827-0.0019929i,0.0014438-0.0016656i,0.0015245-0.0015589i,0.00062866-0.001477i,0.00040383-0.00093718i,0.00027925-0.00020897i,-0.00035225+0.00031304i,-0.0010007+2.834e-05i,-0.0014634-0.00062866i,-0.0014214-0.00048063i,-0.00057477+0.00014113i,-3.4236e-07+4.9839e-05i,8.355e-06-0.00037646i
0.0026944-0.00075399i,0.0035979-0.00063254i,0.0046493-0.0011313i,0.0023246-0.0010145i,-0.00025312-0.00044717i,-0.00066516+0.00043542i,0.00048543+0.0012814i,0.0015322+0.00079116i,0.0015817+0.00012756i,0.0010531-0.00062995i,0.00065489-0.0011519i,0.0003784-0.0010111i,0.00040575-0.0018087i,8.0518e-06-0.0020125i,-0.00079833-0.00079766i,-0.00064943-0.00039072i,-0.00079976-0.00043344i,-0.00086702-0.00013735i,-0.00072185+8.1386e-05i,-0.00048601+0.0002415i,-0.00013172+0.0003909i,-5.0035e-05+0.00018759i,-0.00012706-0.00025759i
