-0.0011189+0.00052745i,-0.00029129-3.6417e-05i,-0.0013635-0.0017841i,-0.0014984-0.00080097i,-0.0010232+0.00081713i,-0.0010388+0.00034106i,-0.0003173-1.8391e-05i,0.00020658+0.00081529i,0.00042852+0.00068432i,0.00091639+0.00090675i,0.0012542+0.001631i,0.00025638+0.001492i,-0.00061958+0.00033451i,-0.00014371-0.00038186i,3.6196e-05+0.0001822i,-0.00034509+0.00053303i,0.00081053+0.00031044i,0.0015235-0.00025051i,0.00078693+8.6274e-05i,0.00018252+0.00035734i,4.0677e-05-0.00063611i,0.00043972-0.0003475i,-9.9292e-05+0.00053452i
-0.00063347-0.00021191i,-0.001277+0.00048674i,-0.0017159+0.0016089i,-0.0018402+0.0015348i,-0.0012046+0.0010317i,0.00013116+0.00068278i,0.00050816+0.00023003i,0.00015058+0.00019777i,8.2692e-05+8.5542e-05i,-0.00031686-0.00017023i,0.00033092+0.00066269i,0.0012131+0.002371i,-0.00069965+0.001624i,-0.0013229+0.0002587i,-0.00018867+0.00057952i,0.0001481+0.0010094i,0.00066178+0.00096495i,0.00064684+0.00078572i,0.00039425-0.00034846i,0.00023427-0.00067012i,-0.00034772-5.1072e-05i,-0.00034405-0.00050881i,0.00011754-0.0005743i
-0.0013934+0.0018528i,-0.0012202+0.0016589i,0.0003318+0.0021648i,0.0013151+0.0016876i,0.0012707+2.1024e-05i,0.0011063-0.0012987i,0.0009986-0.00096166i,-0.00021462+0.00023356i,-0.00075741+0.00011829i,-0.00040714-0.00054782i,-0.00021578-0.00083738i,-5.5548e-05-0.0011918i,0.00082114-0.00072543i,-1.5449e-05+0.00029553i,-0.00081753+0.00015296i,-0.00068782-4.1378e-05i,-0.00021229+0.00019517i,0.00040651+8.6006e-05i,0.00037313+0.00037588i,0.00011395+0.00043252i,0.00042016-0.00050712i,0.00047429-0.00079963i,0.00037767-0.00024487i
0.0023522-0.0011413i,0.0010234-0.0012728i,-0.00052911-0.0014985i,-0.001177-0.0019828i,-0.0010222-0.0022881i,-0.0013652-0.0017715i,-0.00096468-0.00081429i,1.5977e-05-0.0004043i,0.00051474+0.00027459i,0.0010403+0.0004818i,0.00088659+0.00070713i,-0.00045174+0.00094838i,-0.00045562+0.00049223i,-4.6969e-05+0.00015067i,0.00050031+0.0001118i,0.00080322-0.00058552i,-9.4946e-05-0.0015618i,7.4654e-05-0.0012244i,0.00014338-0.00030903i,-0.000611+1.2498e-06i,-5.8191e-05-0.00023035i,0.00022496-0.0005577i,0.00010679-0.00050226i
0.0034916+0.0027418i,0.0034788+0.00096104i,0.0037012+0.00022493i,0.0019168-0.00032508i,0.00062232-0.0013849i,-0.00048316-0.00073485i,-0.0011241+0.00073086i,-0.00030633+0.00072243i,0.00084943+0.00069025i,0.0014967+0.00028444i,0.00046651-0.00060469i,-0.00061162-0.00055669i,-0.00078285+6.7616e-05i,-0.00036245+8.6742e-05i,3.1176e-05-0.00032806i,-0.00056024-4.7764e-05i,-0.00078493+0.00080527i,-7.3994e-06+0.0012963i,0.00061692+0.00049121i,0.00035024-0.00020081i,-0.0001579+1.9108e-05i,0.00033558+0.0003139i,0.0011364+0.00047877i
0.0012563+0.00019754i,0.0010221+0.00013426i,4.6236e-05-0.0012232i,-6.6469e-05-0.0013224i,-0.00026996-0.00039718i,-0.00035206-7.0953e-05i,0.00043771-0.00057244i,0.00014757-0.0011409i,-0.0012442-0.00077716i,-0.0011109-0.00048113i,0.00017069-0.00078723i,-6.9054e-05-0.00047128i,-0.00062602+8.1791e-05i,-0.00094319+0.00040684i,-0.0010742+0.00081169i,-0.00066138+0.0013546i,-0.00042536+0.0010856i,-0.00011221+0.0005087i,-0.00074936+0.00034864i,-0.0011803+0.00050426i,-0.00069581-0.00020315i,-0.00013415-0.00065346i,0.00027081+0.00016131i
-0.0021006-0.0010979i,-0.0009073-0.0014579i,-0.0010004+7.776e-05i,-0.0012255+0.0014693i,-0.0010125+0.00067059i,-0.00058025-0.00012395i,0.00055868-0.00010656i,0.00034285+0.00011731i,-0.00055828+0.00046042i,0.0001381+0.00065496i,0.0010823+0.00084388i,0.00056885+0.00036896i,0.00023123-0.00029261i,3.6177e-05-0.00027435i,-0.00028563+9.5219e-05i,-0.00026451-0.00032549i,-0.00052768-0.00082592i,-0.00090366-0.00044489i,-0.00078889-0.0003466i,-0.00069749-0.00087265i,-7.1449e-05-0.00055822i,0.00022802+0.00032974i,-0.00013075+0.00053328i
0.0011245-0.0011451i,0.0010044-0.0016136i,0.0010392-0.0014747i,-8.9434e-05-0.0010441i,-0.00011996-0.0019067i,0.00089143-0.0011532i,0.00083057-4.1255e-05i,0.00044472-0.00038199i,0.00031708+0.00018082i,0.00047391+0.00056807i,0.00046861-1.4985e-05i,0.00033571-7.2891e-05i,0.00014675+0.00035243i,0.00028795+0.00043725i,0.00094488+0.00077161i,0.00097618+0.000606i,0.00058207-0.00073921i,0.0003731-0.00049804i,0.00022334+7.6964e-05i,0.00040252-0.00059391i,0.00044501-0.00032593i,0.00013978+0.00077434i,3.246e-05+0.0002337i
0.0017099+0.00070224i,0.0015513+0.00056226i,0.0011186-0.00037963i,0.0012239-0.00030042i,0.0009989-0.00065304i,0.00075055-0.0010057i,0.00075206-0.00060741i,0.00077568-0.00062559i,0.0010032-0.00041494i,0.0011904+6.4923e-05i,0.00098355+0.00016468i,0.00090594+0.00025443i,0.00084465+0.00038065i,0.00037532+0.00018248i,0.00010641-0.00042553i,9.8096e-05+0.00016382i,9.7516e-06+0.00034238i,0.00064599+4.0763e-05i,0.00065438-8.5588e-05i,-5.4514e-05-0.00017983i,-0.00087021+0.00029147i,-0.0007064+0.00095663i,-0.00060837+0.00027326i
-0.0010184+0.00045774i,2.5879e-05+0.00042547i,0.00095866+0.00056702i,0.00040307+0.00031369i,-0.00023444-0.00090824i,-0.00029483-0.0012011i,-0.00032707-0.00062683i,-0.00067299+1.8877e-05i,-0.00099381+0.0002435i,-0.0007037+0.00038038i,-0.00034937+0.00029826i,0.00040149+0.00015032i,0.0006844+1.0537e-05i,0.00021476-0.00021206i,5.9097e-07+6.5314e-05i,-0.00060093+0.00035529i,-0.00062493+0.00019469i,0.00019507-7.1728e-05i,0.00031999-0.00039495i,-0.00021938-0.00042227i,-0.00068288-0.00059169i,-0.00036346-0.00083213i,-2.3593e-05-0.00045423i
0.00089018+0.00017792i,0.00071966+0.0013117i,0.0010914+0.00042685i,-0.00014328-0.00064784i,-0.0012052-0.00082446i,-0.00038976-0.00048596i,0.0011088-0.00025415i,0.00099463-0.0006368i,0.00037427-0.00010751i,-0.00027823+0.00020874i,-0.00093441-0.0003483i,-0.00052419-0.00028266i,0.00051805+5.1916e-05i,0.00037321+5.0364e-05i,-0.00050682-0.00062616i,-0.0013996-0.0006583i,-0.0009984-9.8873e-05i,0.00038087-0.00078228i,0.00098096-0.00024366i,0.00089328+0.00090134i,0.00086703+0.00038567i,0.00037879-0.00014191i,-0.00014311+1.0195e-05i
