-0.0011189+0.00052745i,-0.00029129-3.6417e-05i,-0.0013635-0.0017841i,-0.0014984-0.00080097i,-0.0010232+0.00081713i,-0.0010388+0.00034106i,-0.0003173-1.8391e-05i,0.00020658+0.00081529i,0.00042852+0.00068432i,0.00091639+0.00090675i,0.0012542+0.001631i,0.00025638+0.001492i,-0.00061958+0.00033451i,-0.00014371-0.00038186i,3.6196e-05+0.0001822i,-0.00034509+0.00053303i,0.00081053+0.00031044i,0.0015235-0.00025051i,0.00078693+8.6274e-05i,0.00018252+0.00035734i,4.0677e-05-0.00063611i,0.00043972-0.0003475i,-9.9292e-05+0.00053452i
-0.00081247-0.00045932i,-0.0015187+0.00052748i,-0.0010637+0.0015671i,-0.00012882+0.002207i,0.0012361+0.0019509i,0.0011718+0.0011129i,-0.00023693+0.00053516i,-0.00046909+0.00094984i,-0.0011948+0.0010322i,-0.0017234+0.00047026i,-0.00093726+0.00011658i,0.0001383-0.00066684i,0.00032636-0.0018862i,-0.00027007-0.0020894i,-0.00079435-0.00056862i,-0.0014245+0.00061197i,-0.0012628+0.00054655i,0.00032127+0.00053371i,0.0010531+0.0002602i,0.00088709+0.00010757i,0.0004095+0.00084433i,0.00079372+0.0011417i,0.00076654+0.00083303i
0.0029767+0.00013544i,0.0023897-0.00087468i,0.0021897-0.0024299i,0.00085353-0.0032778i,-0.00073483-0.0027665i,-0.0008672-0.0016086i,0.00015951-0.0011598i,0.00065968-0.00044146i,0.00066637-0.0003847i,0.00040924-0.00087079i,-0.0006798-0.00030549i,-0.001177+0.00057437i,-0.00050695+0.00032104i,-0.00030781-0.0010111i,-0.00052761-0.0019366i,-0.00061438-0.0012799i,0.00010557+0.00019652i,0.00080858+0.00053817i,-0.0001632-0.0001907i,-0.00068915-0.0007082i,-0.00013411-0.00025091i,-0.00022505+0.00014478i,-0.00085065+0.00019054i
0.0026466-0.0033486i,0.0016584-0.0025563i,-0.00041368-0.0013582i,-0.00038469-0.0003308i,0.0010077-0.00070247i,0.0015394-0.0010922i,0.0014404-0.00054423i,0.0015037-0.00014523i,0.00089544-0.0006181i,3.0453e-05-0.0011308i,1.5574e-05-0.00055049i,0.00015934+0.00046385i,0.00035211+0.001291i,0.00050218+0.001095i,0.00026395-0.00020674i,9.8458e-05-0.00026492i,-0.00057613-8.9348e-05i,-0.001103-0.00016194i,-0.00029377+0.00036101i,0.00037818+0.00072404i,-5.2779e-05+0.00040466i,0.00014794+0.0007294i,0.00048377+0.001525i
-0.00024778+0.0036557i,0.0015918+0.003378i,0.0033333+0.0010827i,0.0024054-0.00041782i,0.0010439-0.00039667i,0.00092441-0.00089311i,0.00073315-0.0012119i,0.00064244-0.0017324i,0.00062358-0.0015753i,0.0010817-0.00017797i,0.0011838+0.00012174i,0.00052244-0.0007976i,0.00025139-0.001384i,0.00032967-0.00079391i,0.00029396+1.3763e-05i,0.0010818+8.537e-05i,0.0011177+7.1793e-05i,5.3057e-05+0.00014204i,-0.00037797+0.00037075i,-0.00054285+0.00043633i,-0.00045447+0.00025687i,0.00035249+0.00012908i,0.0003773+0.00011268i
-0.00086707-0.0010442i,-0.0023279-0.00091678i,-0.0026579-0.00088326i,-0.0014987-0.0014738i,-0.00082583-0.0013088i,-0.00067221-0.00020266i,3.5184e-05-6.3031e-05i,0.00022413-0.00067546i,-0.00036546-0.00093035i,-0.00076868-0.00074527i,-0.0011539-0.00032708i,-0.00084684+6.6025e-05i,-0.00027215-0.00059748i,-0.00061731-0.00076055i,-0.00082243+0.00050543i,-5.4492e-05+0.0013302i,0.00066726+0.00098781i,0.001183+0.00034494i,0.0013945+0.00025592i,0.00047466-0.00017453i,4.1291e-05-0.00074625i,0.00069159-0.00019897i,0.00075426+0.00032667i
0.0039489-0.0010486i,0.002956-0.00044079i,0.0020658+0.00045175i,0.00185+0.000339i,0.00042841-0.00031179i,-0.00053244-0.00013941i,-0.0005404+0.00035993i,-0.00065912-2.4894e-05i,-0.00056406-0.00045908i,-0.00095213-0.00092796i,-0.0013216-0.0013122i,2.0415e-05-0.0005498i,0.0014302+0.0002435i,0.0005696-0.00022601i,-0.00070291-0.0013693i,-0.00070013-0.001538i,-0.00023047-0.00087207i,0.00045474-0.00045721i,0.0003006-5.9491e-05i,-0.00038466+4.9175e-05i,-1.4468e-05-0.00031914i,-4.5951e-05-0.00069005i,-0.00044198-0.0011617i
0.0022596+0.0011172i,0.0017782-1.1936e-05i,0.0017682-0.0012164i,0.0012458-0.0016948i,0.00057334-0.0014717i,0.00012548-0.000928i,-0.00020198-0.00057229i,3.6598e-05-8.1454e-06i,0.00097956+0.00025003i,0.00069569+1.1461e-05i,-0.00082919-0.00021115i,-0.0018977+1.5507e-05i,-0.001003+0.00028767i,0.00078296-0.00011338i,0.00039712-0.00022881i,-0.00065882-0.00040517i,-0.0007731-0.00084927i,-0.00097902-0.001029i,-0.0010474-0.0010014i,-0.00062579-0.00073943i,0.00050649+0.00010706i,0.00076869+0.00091209i,-0.00051721+0.00048254i
-0.00082771+0.0017792i,-0.001156+0.002668i,-0.0010357+0.0027873i,-0.00033089+0.0012241i,0.00029391-0.00038938i,9.3521e-05-0.00025692i,0.00055818+0.00064634i,0.001315+0.00079953i,0.0013204+0.00027535i,0.0021156+0.00012271i,0.0019732+0.00042909i,0.0012662+0.00058526i,0.00023082-6.5436e-05i,-0.00051047+0.00037467i,0.00031181+0.0010019i,0.00017267-0.00049828i,-6.5767e-06-0.0013429i,-0.00015371-0.0009072i,1.3493e-05-0.00077209i,0.00044161-0.00064873i,0.00071829-0.0003089i,0.00090636+0.000112i,0.00069143+0.00049359i
0.00080543+0.00034364i,0.0015584-0.0017156i,0.001902-0.0031436i,0.00034891-0.0026553i,-0.00058358-0.0015834i,-0.00056591-0.00026842i,-0.000613+0.00035815i,-0.0001917+0.00025941i,0.00054607+0.00054504i,0.00073551-0.00024396i,0.0010991-0.00082772i,0.00095563-0.00038556i,0.00020508+0.00036199i,-0.00022305+0.00062366i,-0.00029688+0.00058349i,6.3297e-05+0.00039067i,-0.00024311+0.0003837i,-0.00024367+0.00026289i,0.00025335+0.00071565i,0.00047822+0.0014902i,-0.00013512+0.001053i,-0.0008367-0.0002004i,-0.00054845-0.0010599i
-0.00041295+0.0015111i,-0.00027437+0.0030149i,0.0009256+0.0035715i,0.0021127+0.0025618i,0.0019284+0.00070018i,0.0012632+0.00089787i,0.00072636+0.0016272i,0.00044575+0.00040525i,8.795e-05-0.0011454i,-0.00067546-0.0013404i,-0.00098734-0.0011181i,-0.00045905-0.00073928i,0.00035331-2.2812e-05i,0.00041525-0.00027086i,0.00035767-0.0003973i,0.0009305+0.00016199i,0.0011146+0.00052773i,0.00023673-0.00022282i,-0.00013624-0.00076183i,-0.00031235+0.0002261i,-0.0010537+0.0004943i,-0.0015378+0.0001249i,-0.0013687-0.00025763i
-0.002137-0.00075586i,-0.00079377+0.00041557i,0.00014698+0.0015251i,0.0012459+0.00217i,0.002025+0.0011382i,0.0014598+0.00039481i,0.00095869+0.0004373i,0.00021625-0.00026325i,-6.9453e-05-0.00036102i,8.1718e-05-0.00065441i,-1.6607e-05-0.0011173i,-0.00030195-0.00058679i,-0.00054828+0.00011778i,0.0006488-0.00020316i,0.00099454-0.00045868i,-0.00010457-5.0928e-05i,-0.00047523+0.00030349i,-0.00033403-0.00019529i,0.00084595-0.00095823i,0.0010887-0.0010967i,-6.9268e-05-0.0011176i,-0.00023944-0.00089964i,-0.00017223-0.00089066i
-0.0010198+0.0021575i,-0.00056634+0.00021744i,-0.00083838-0.0012639i,-0.00068643-0.0018752i,0.00037916-0.0010235i,0.00075485-0.00047148i,0.00072154-0.0008285i,0.00043684-0.00078919i,0.00014925-0.0003259i,0.00045712+0.00055158i,0.00093742+0.00056103i,0.00023425-0.00013187i,-0.00034092+5.6705e-05i,0.00040396+0.00066589i,0.00064574+0.00071199i,0.00039323+0.00063059i,0.00048174+0.00050573i,0.00041232+0.00037335i,0.00041885+0.00028532i,3.494e-05+0.00069136i,9.3714e-05+0.00033387i,0.00066162-0.00015472i,0.00057262-0.00029401i
-0.0011503+0.00012024i,-0.0014122+0.0027978i,-0.0015646+0.0041908i,-0.0015048+0.0029411i,-0.00090738+0.00099323i,-0.00067808+0.00017871i,-0.00021476-9.1582e-05i,0.00061492-0.00018036i,0.00050961+0.00017052i,0.00078847+0.0010469i,0.0013674+0.0014236i,0.00094893+0.0011787i,-0.00041034+0.00025187i,-0.0011316-0.00029376i,-0.0011766-0.00018835i,-0.00079246+6.3855e-05i,0.00043091+0.00059868i,0.000708+0.00032476i,0.0003859+0.0003289i,-0.00027295+0.00088345i,-0.00061121+0.00071726i,-0.00036226+0.00031374i,-0.0011385+0.00045351i
0.0012306-0.0026203i,0.00042283-0.0041733i,-0.0004647-0.0050659i,-0.0011723-0.0037314i,-0.00081875-0.0026001i,-0.00079092-0.0019072i,-0.00062047-0.00045308i,0.0001157+0.00026232i,0.00018736-0.00035904i,-0.00052525-0.0011675i,-0.00021911-0.00075658i,0.00029538+0.00011584i,-4.164e-05+0.00066073i,-0.00050532-0.00061353i,-0.0012667-0.0018205i,-0.0012248-0.0019633i,0.00023721-0.0010263i,0.00083771+0.0006699i,0.00017271+0.000516i,0.00016572+0.00027716i,-4.5849e-05+0.00078987i,-0.00019356+0.00056127i,0.00043692-8.7237e-05i
0.0022561+0.0028241i,0.0021389+0.004084i,0.0025103+0.002735i,0.0020499+0.00033293i,0.0014043-0.00024122i,0.00087301-6.1246e-05i,0.00098674-0.00028731i,0.0012487-0.00068865i,0.00097047-0.00098385i,0.00045443-0.0016818i,-0.00044181-0.0023017i,-0.00089086-0.0017161i,-0.00034825-0.00058304i,0.00050906+7.4397e-06i,0.0019866-0.00021532i,0.0023415-0.00086018i,0.001333-0.001085i,-0.00012629-0.00052969i,-0.00071381-5.8565e-05i,0.00027073+3.8966e-05i,0.00031457-0.00063282i,-0.00049621-0.0012936i,-0.00053723-0.00072842i
0.0013659+0.0016742i,0.001025+0.00079662i,0.001545-0.00083629i,0.0011298-0.0026972i,0.00048012-0.0032616i,-6.6485e-05-0.002552i,-0.00076895-0.0020762i,-0.00097949-0.0018276i,-2.818e-06-0.0013151i,0.0005704-0.00079845i,0.00044365-0.0014319i,-0.0003103-0.0010647i,-0.00056754+0.00096461i,0.0003786+0.0023244i,0.0016809+0.0017357i,0.001773+0.0012991i,0.00096155+0.0015449i,0.00070502+0.00072467i,0.00038722+0.00062825i,0.00046108+0.00041222i,0.00022004+2.2875e-05i,-0.00035759-9.818e-05i,-0.00020427+7.4491e-05i
-0.0023073-0.001042i,-0.00215-0.0022266i,-0.00038859-0.0022763i,0.00079694-0.00093734i,0.0011844+0.00049413i,0.00060787+0.0009433i,8.7431e-05+0.00068564i,0.00015873+0.00072215i,0.00015701+0.0010709i,-2.7634e-05+0.0017737i,0.00071238+0.0019894i,0.0013118+0.00081773i,0.00063377-0.00072924i,-0.00083907+2.64e-05i,-0.0016958+0.0017889i,-0.00075067+0.001498i,-8.2159e-05+0.0003168i,-3.6412e-05+4.3382e-05i,0.00041958+0.0005003i,0.00030445+0.00088374i,0.00060329+0.00093281i,0.00091092+3.369e-05i,0.00010863-0.00026533i
0.0018559+0.0027694i,0.0030473+0.003946i,0.0034172+0.0044665i,0.0034482+0.0026318i,0.0031162+0.00085286i,0.0018431-0.0004765i,0.00078073-0.0014943i,0.00012862-0.0007278i,-0.00077329+0.0001168i,-0.0010859+0.00098674i,-0.00073938+0.0017i,3.7054e-05+0.00089909i,-0.0002561+0.00023928i,-0.0021051+0.00019129i,-0.0030008-0.00035611i,-0.0030754-0.0010536i,-0.0027447-0.00047687i,-0.0020989+0.00057434i,-0.00092509+0.0011372i,-0.00014865+0.00074887i,-0.00028627+0.0011212i,-0.0011745+0.00077326i,-0.0011027-0.00020035i
-0.0016252-0.00043445i,-0.0022187-0.0015686i,-0.0010032-0.002043i,-0.00064179-0.0018463i,-0.00074784-0.00080252i,-0.00065603+0.00034266i,-0.00060096+0.00087872i,0.00030025+9.6843e-05i,0.0010709-0.00050515i,0.00086014-0.00089747i,-0.00025479-0.00089185i,-0.0011684-0.00016354i,-0.00089249-0.00019842i,-0.00026584-0.0014284i,-0.00030621-0.0023709i,-0.00010827-0.0029115i,-1.1546e-06-0.0029034i,-0.00041611-0.0017425i,-0.00093493-0.00057584i,-0.001089-0.00020639i,-0.00088713+0.00017746i,-0.00064144+0.00040848i,-0.00027074+6.0247e-05i
0.00088739+0.0012625i,0.0020874+0.00077736i,0.0026318+0.00084809i,0.0018739-0.00033651i,0.0012875-0.0010591i,0.00043531-0.00057101i,-0.00029494+0.00023029i,0.00032841+0.0006679i,0.0011821-0.00035178i,0.0010985-0.0019562i,0.00077664-0.0031669i,0.0005066-0.0034293i,-0.00026824-0.001586i,0.00027882-6.2556e-05i,0.0021576-0.00055148i,0.0032524-0.0012779i,0.0030449-0.00057199i,0.0015699+0.00011491i,0.00035602-0.00040762i,6.914e-05-0.00096516i,-0.00010933-0.00086721i,-0.00016807-0.0012561i,-0.00042986-0.0011819i
-1.833e-05+0.00033672i,-0.00026578+0.00035744i,0.00029657+0.0007116i,0.00044975+0.00021526i,-0.00026964-0.0010043i,-0.00095142-0.0020224i,-6.2629e-06-0.00086239i,0.00085554+0.00060207i,0.00047627+0.00056526i,0.00014773-0.0001119i,0.0010108-0.00028671i,0.0021807-0.00064454i,0.0019663-0.0013277i,0.0016832+0.00024198i,0.0020415+0.0020331i,0.0020707+0.0023431i,0.0016869+0.0019526i,0.00060351+0.00098175i,0.00017657+0.00011823i,0.00063579-8.6379e-05i,0.00062474+1.5231e-05i,0.00021025+0.00029345i,0.00027693+0.00041327i
0.00069853-0.0010698i,-0.00043616-0.0012086i,-0.00036283-0.0010237i,0.00086628-0.0012151i,0.002076-0.00084072i,0.00097889-0.00058772i,-0.0001592-0.0010143i,-0.00029524-0.00037727i,-0.0011233+0.00054537i,-0.0016991+0.00077906i,-0.0012353+0.0011893i,-0.00096369+0.0017791i,-0.0008754+0.0015173i,-0.0010796+0.00081508i,-0.0014645+0.0018048i,-0.0012107+0.0032548i,-0.0008253+0.0020203i,-0.00039051+0.00035384i,0.00016749+0.00024654i,0.00082303+0.00062018i,0.0010937+0.0011078i,0.00034383+0.00088123i,0.00017091+0.00066232i
0.0014819+0.0016007i,0.001728+0.0026309i,0.0015075+0.0032108i,0.00048049+0.0028384i,0.00037387+0.0017427i,0.00066113+0.00072203i,0.00039631+0.0005596i,0.00012634+0.00062618i,0.00070502-0.00015669i,0.0005086-0.00050056i,-0.001182+3.2849e-05i,-0.0020895+0.0010539i,-0.0017604+0.0015053i,-0.0013597+0.00013208i,-0.0017571-0.0015737i,-0.0026046-0.0021058i,-0.0023264-0.0018795i,-0.0011401-0.0011642i,-0.00034313-5.1951e-05i,-0.00022809+0.00030841i,-0.00045857-0.00017893i,-0.00050278-0.00010926i,-0.00023709+0.00028645i
-0.00204-0.0030009i,-0.0024392-0.0032072i,-0.002824-0.0033846i,-0.0017773-0.0017179i,0.00026599+0.00051049i,0.0014226+0.00059751i,0.00089252+0.00046838i,0.00026258+0.0014836i,0.0012191+0.0014766i,0.0026858+0.00020194i,0.0017968-0.00093294i,-0.0005807-0.0012632i,-0.0013116-0.0011954i,-0.00023848-0.0019352i,0.0004368-0.0031238i,0.00061847-0.0035967i,0.00054801-0.0030378i,-0.00054658-0.001823i,-0.0015105-0.00071508i,-0.0018075-0.00027801i,-0.00061297-1.8814e-05i,-0.00022539+0.00038898i,-0.00031592+0.00011088i
-0.00013455-0.0011623i,0.0013046-0.0021019i,0.0015782-0.0012018i,0.00084296-4.2918e-05i,-0.00018953+0.00018784i,-0.00041535-0.00027698i,0.00018696-0.00022278i,0.00084541-0.00022022i,0.0012917-0.0006323i,0.0012223-0.0011625i,0.0015716-0.0014892i,0.0020835-0.0018634i,0.002308-0.0013309i,0.0022543-6.7793e-06i,0.0028751+0.00054642i,0.0033169+0.00060651i,0.0031355+0.00011849i,0.0026722-0.00090857i,0.0019805-0.0010967i,0.00099342-0.00058437i,0.00074823-0.00048038i,0.00041578-0.00036937i,0.00034718-0.00065052i
0.00095593+0.00081193i,0.0020602+0.00051497i,0.0015579+0.00069306i,0.00083419+0.0011647i,0.0017374+0.0010702i,0.0020288-0.00062898i,0.0015026-0.0013158i,0.00050096-0.00018843i,-0.0002353-0.00057629i,-0.0006222-0.0012545i,-0.00055488+0.00034018i,0.0010231+0.0018914i,0.0024011+0.0025297i,0.0023794+0.003586i,0.0016769+0.004053i,0.00083111+0.0035454i,0.00047585+0.0023397i,0.00049866+0.0016228i,0.00084514+0.0012411i,0.00050889+0.00039237i,-1.4257e-05-8.5847e-05i,-0.00048116+9.5894e-05i,-0.00082157-0.00018478i
-0.0034925+0.00066926i,-0.0041264+0.0013677i,-0.0026309+0.00096329i,-0.00027355+0.00036882i,0.00080388+0.00067249i,0.00072675+0.00056367i,0.00067261+2.5508e-05i,-1.8502e-05-0.0008708i,-0.0004021-0.001815i,-0.0011959-0.0014266i,-0.0026796+0.00046138i,-0.0032083+0.0026851i,-0.0028196+0.0035284i,-0.0023264+0.0022265i,-0.0020464+0.00068496i,-0.0020574+0.00033188i,-0.0012872+0.0011774i,-0.00054409+0.0011453i,-0.00071752+0.00040355i,-1.1932e-05+0.0005992i,0.0002873+0.00132i,-0.00029865+0.00067888i,-0.00057856-0.00046511i
4.0382e-05-0.0014975i,0.001177+0.00016325i,0.0030963+0.00082185i,0.0031675+9.4619e-05i,0.001763-0.0011538i,0.00056675-0.0013849i,2.5004e-05-0.00067479i,-0.00048416-0.00012679i,-0.0011551+0.0010076i,-0.0013799+0.0012186i,-0.0014421+0.00045451i,-0.0018305-0.00022204i,-0.0019261-0.00076007i,-0.0016817-0.0011996i,-0.0015335-0.0024472i,-0.0014686-0.0026115i,-0.0017621-0.0010455i,-0.0016073-0.00041385i,-0.00089113-0.0011388i,-0.00029918-0.0013869i,-5.5497e-05-0.00065821i,-0.00032036+0.00017154i,-0.0007073+0.00062598i
0.00044276-0.00079873i,-0.00011377-0.0013841i,-0.00076529-0.0016921i,-6.13e-05-0.0023853i,0.0011538-0.0019783i,0.00070624-0.0010865i,0.00024369-0.0002096i,0.00054477+0.00087905i,0.00038346+0.0016873i,0.00055203+0.0021725i,0.0013202+0.00048989i,0.00067071-0.0021171i,0.00031823-0.0035441i,0.00068032-0.004i,0.001061-0.0030206i,0.0011706-0.002047i,0.0014772-0.0016619i,0.0007755-0.0017551i,1.1689e-05-0.0018064i,3.22e-05-0.0010261i,0.00027262-0.00079241i,0.00064021-0.0010952i,-0.00029289-0.00066902i
0.00046069+0.0033578i,0.0006497+0.0036538i,0.00017567+0.002875i,4.4394e-05+0.0014179i,0.00066691+0.0012192i,0.0011954+3.0381e-05i,0.0014602-0.00083647i,0.00072863-0.00054123i,-0.00037261-0.0013138i,-0.00023337-0.00198i,0.0012221-0.0011616i,0.0029712+0.00035215i,0.0031419+0.00065595i,0.0027878+0.0005788i,0.0024624+0.00059195i,0.00181+0.00023684i,0.001794-0.00026508i,0.0017171+0.0004607i,0.0008223+0.00074494i,-0.00013505+0.0005937i,-0.00034911+0.0010393i,0.00031596-3.6149e-05i,0.00079924-0.00096603i
5.1134e-05+6.3525e-05i,0.00050875+0.00022522i,0.0008208-0.00037414i,-0.00012716-0.0006311i,-0.00059854-0.00031983i,0.00042195-5.0653e-05i,0.0014324-0.00012288i,0.0019759-0.00034775i,0.0023098-0.0018228i,0.0018854-0.0035332i,0.00063778-0.0022833i,-0.00058122+0.00085903i,-0.00053688+0.002565i,0.00026955+0.0022989i,0.00045623+0.0027412i,0.00048595+0.0027647i,0.00064929+0.0019992i,0.00089277+0.0013065i,0.00073483+0.00066864i,0.00017595+0.00042835i,-0.00049876+0.00040815i,-0.00011258+0.00029683i,0.0003357-0.00018789i
0.00090418+0.0010926i,0.00092411+0.0012869i,0.0011847+0.0012635i,0.0010673+3.8004e-05i,0.00084408-0.001209i,0.00063299-0.00024604i,0.00086409+0.0006609i,0.0010371+0.0005106i,0.00086902+0.00017638i,8.2009e-05-0.00027073i,-0.0009042-0.00069396i,-0.0020517-0.00072056i,-0.0016277+0.00016793i,-0.00081366+0.00068555i,-0.00079003+0.00086736i,-0.00092068+0.0014093i,-0.0010586+0.0012727i,-0.00058299+0.00074774i,0.00041037+0.0012407i,-0.00017303+0.0010137i,-0.00072811+0.00054735i,-0.0010816+0.00054293i,-0.00084363+0.00020931i
-0.00076217+0.0011648i,0.00015931+0.0011127i,0.0012885+0.0014567i,0.0016761+0.00058385i,0.0017109-0.0011315i,0.0016622-0.0013384i,0.0012921-0.00076956i,0.00039548-0.00037397i,-0.00095163+0.0012388i,-0.0016626+0.0024237i,-0.00076712+0.0020998i,0.00027452+0.0006021i,0.00020157-0.0010938i,-0.00026444-0.0019816i,-0.00065708-0.0023599i,-0.00056855-0.0020105i,-0.00073088-0.00089455i,-0.001038+0.00012803i,-0.00035251+0.00045583i,0.00033353-0.00011124i,0.00041477-0.00077351i,0.00046525-0.00071049i,0.00016844+7.2137e-05i
-0.0011797+0.00074813i,-0.001185+0.0002473i,-0.00063751-0.00013739i,0.0001914-0.0001805i,0.0017113+0.00013186i,0.0018764-0.00067655i,0.00041112-0.00081398i,-0.00074242-0.00044881i,-0.001273+0.00010469i,-0.0015616+0.00064691i,-0.00084715+0.00066982i,-4.8579e-05+0.00021854i,0.00047326-0.00097237i,0.00068218-0.0021733i,0.00044044-0.0015894i,-0.00080937-0.0013768i,-0.00071925-0.0014177i,-7.901e-05-0.00076683i,-0.00037021-0.0006593i,-0.00011898-0.00089806i,0.00061988-0.0013987i,0.00071636-0.0012744i,0.00054907-0.00074885i
0.00038385+0.0031029i,-0.00074289+0.0024251i,-2.6475e-05+0.0021409i,0.00020047+0.0012222i,-0.00054219-0.00023081i,-0.00053924-0.00083683i,0.00064547-0.00072709i,0.0014494-2.6359e-05i,0.0013142-0.00035218i,0.00064951-0.0024199i,0.00016182-0.002245i,0.00032548-0.0003625i,0.00067937+0.0010813i,0.00075936+0.0005711i,0.00072851-0.00060187i,0.0011411-0.0013029i,0.0010951-0.0012089i,0.00075686-0.00023188i,0.00048114+0.00086432i,0.00043592+0.0014139i,3.0081e-05+0.0015621i,4.8326e-05+0.00051369i,7.5905e-05-0.00088385i
-0.0012311-0.0021404i,-7.5759e-05-0.000693i,0.00012897-3.727e-05i,0.00031349+0.0002938i,6.2733e-05+0.00090846i,0.00083056+0.00083713i,0.0016634+0.00029389i,0.0022885+0.00069467i,0.0031432+0.00015221i,0.0031204-0.00091686i,0.0012371-0.001051i,-0.001178-0.00071763i,-0.0016184+0.00011221i,-0.00025875+0.00087007i,0.0012238+0.001004i,0.0017947+0.00068987i,0.0011538+0.00029873i,0.00030132+0.00022688i,0.00030381+0.0007596i,0.00029266+0.00031736i,-0.00046121-0.00016512i,-0.00069484+0.00037117i,-0.00033173-0.00015454i
-0.00027698+0.0015423i,-0.00088317+0.0027327i,-0.0010203+0.0021026i,0.000273+0.0002421i,0.00136-0.001761i,0.00029374-0.0020242i,-0.00038644-0.0003926i,0.00059566+0.00080932i,0.00053971+0.00085389i,0.00014828+0.00060531i,0.00055344+0.0003802i,-7.9108e-05-0.00056981i,-0.00076465-0.00091936i,-0.00013737-0.00018369i,0.00073862+0.00086236i,0.0010512+0.0019861i,0.0010774+0.001503i,0.0010637+1.5798e-05i,0.00073619-0.00071286i,0.00025224-1.7932e-05i,-0.00056901+0.00034962i,-0.00094734+0.00016455i,-0.00041527-0.00020594i
0.0011737+0.0016084i,0.0017291+0.00091996i,0.0017354+6.9698e-05i,0.0011095-0.00085137i,0.0006617-0.00056558i,0.00051601+1.9929e-05i,-0.00038395-0.0010594i,-0.0021545-0.0022936i,-0.0035263-0.0022907i,-0.0033559-0.00021182i,-0.0018674+0.0024125i,-3.6586e-05+0.0026792i,0.00029704+0.00078036i,1.7077e-05-0.00087672i,-0.00035225-0.0012652i,-0.00078789-0.00036893i,-0.00027032+0.0010085i,0.00064189+0.0020907i,0.00063741+0.0018971i,3.8305e-05+0.00049016i,-0.00044706-0.00061486i,-0.00015092-0.00021136i,0.00054955+0.00035439i
-0.0020473-0.00067863i,-0.0030279-0.0024588i,-0.0031718-0.0033738i,-0.0032857-0.0018881i,-0.0021188-0.0010792i,-0.0012063-0.0015298i,-0.0010686-0.00099191i,-0.00066261-0.00037911i,-0.00088556-0.00074623i,-0.0018345-0.00073361i,-0.0022968+0.00048682i,-0.001561+0.002657i,-0.0005019+0.0027966i,-0.00030161+0.0003575i,-0.00059496-0.0014884i,-0.00084374-0.0011221i,-0.0010471+1.1591e-05i,-0.00082916+0.00039953i,-0.00036701+0.00010619i,0.00035999+6.4765e-05i,8.5957e-05-0.00014327i,-0.00011328-0.00071418i,0.00045993-0.00052813i
0.0041417+0.0015393i,0.0033109+0.0028576i,0.00219+0.0034966i,0.0011115+0.0021353i,0.0011701+0.00034078i,0.001382+8.2349e-05i,0.0014947+0.00054666i,0.001771+0.00093807i,0.0022147+0.00023983i,0.0031414-0.00027886i,0.0021355-0.0010012i,-0.00040171-0.0017144i,-0.0002041-0.00075109i,0.0012416-5.9634e-05i,0.0011425-0.001055i,1.0213e-05-0.0017809i,-0.0010801-0.0011396i,-0.0010047-0.00034964i,-0.0015935-0.00027913i,-0.0016414-0.00050528i,-4.7286e-05-4.0778e-05i,0.00074312-0.00020508i,0.00047527-4.7152e-05i
0.00018915-0.00019721i,0.001571-0.00049922i,0.0024034-0.00094075i,0.0018592-0.0017004i,0.0015019-0.0019295i,0.0014557-0.00050931i,0.0014629+0.0010004i,0.001884+0.0025676i,0.0024835+0.0035055i,0.0031972+0.0031051i,0.0034898+0.0012242i,0.0029442-0.0010481i,0.0011431-0.0010409i,0.0011651+0.0010462i,0.0024351+0.0018308i,0.0020161+0.00087375i,0.0013112-0.00031909i,0.0016502-0.0009506i,0.0013854-0.0008477i,0.00047498-0.00014093i,3.4448e-05+0.00012402i,0.00037131+1.0047e-05i,0.00060973+0.00038277i
-0.0022823+0.0047148i,-0.0029866+0.0029987i,-0.0008596+0.0014459i,0.00042365+3.1185e-05i,-4.3135e-05-0.00093125i,-0.00011423-0.00042614i,-0.00047943+0.00087903i,-0.00091482+0.00099642i,-0.00063005+0.00055105i,-0.0003737-0.00044422i,0.00017929-0.0011775i,0.0014837-0.001767i,0.00059375-0.0019543i,-0.00064589-0.00097061i,0.00042588+0.00060282i,0.0017447+0.0015033i,0.0019936+0.0011517i,0.0019685+0.00044403i,0.0015248+0.00071031i,0.00088461+0.00082895i,2.4712e-05+3.9516e-05i,-0.00026285-0.00045021i,5.4067e-05-0.00075104i
0.0018484+0.00091605i,0.0017674+0.0010236i,0.0012149+0.0012676i,0.00093433+0.00029142i,0.00069162-0.00030659i,0.00028379-0.0010101i,-0.00011229-0.0014671i,-0.0013969-0.0018924i,-0.0022997-0.0028541i,-0.0023889-0.0032378i,-0.0027524-0.00095877i,-0.0028773+0.00116i,-0.0019204+0.0010406i,-0.001706-0.00034525i,-0.0020547-0.00074992i,-0.001686+0.0012411i,-0.001097+0.0019305i,-0.00087765+0.0010725i,-0.00071754+0.00021764i,-0.0002794+0.00023989i,0.00018351+0.00031501i,0.00038245-0.00047925i,0.00036811-4.8898e-05i
