-0.0011074+0.00088047i,0.00017358-0.0006362i,2.7278e-05-0.00106i,-0.00055251+0.00029393i,0.00020498+0.0012558i,0.00096057+0.00043164i,0.00023704-0.00016745i,-0.00055103-0.00019402i,-0.00038431+0.00023011i,0.00015772+0.00066344i,-2.9906e-05+6.6554e-05i,-0.00065197-0.0010873i,-0.0008725-0.0012786i,-0.00041226-0.001203i,0.00069553-0.00090368i,0.00056688-0.00065241i,-2.1342e-05-0.00035378i,0.00084525-0.00050815i,0.0015084-0.0013529i,0.00041452-0.001296i,-0.00092906-0.00053134i,-0.0012265-0.00034959i,-0.0003283-3.2843e-06i
0.00057735-0.0011304i,0.0020736+0.00012339i,0.0030195+0.00011102i,0.0023143-0.00042578i,0.0018847-0.0014155i,0.0013418-0.0027268i,1.5752e-05-0.0028868i,-0.00076261-0.0022601i,-0.00030282-0.00090411i,6.7193e-05-0.00011129i,0.00029623-0.00038571i,0.00073395-0.00043242i,0.00029667-0.00019145i,-0.00065036-0.00041267i,-0.0010705-0.00053635i,-0.00099217-0.00036294i,-0.0010843-4.7645e-05i,-0.00082392+0.00035806i,-0.00060574+0.00049992i,-0.00063646+0.00043469i,0.00033965+0.00036767i,0.0010345+0.00030208i,0.00030862+0.00024897i
0.0017857-0.00050124i,0.0012478-5.0429e-05i,0.00033127+0.00066894i,5.5347e-05+0.00055552i,-6.0389e-05-0.0006218i,0.00011718-0.0017218i,0.00082383-0.0017007i,0.00056792-0.001249i,-0.0001114-0.00068008i,-0.00092036-4.7511e-05i,-0.0014345+0.00021384i,-0.0011567+0.00036511i,-0.00038519-0.00014603i,2.8411e-05+4.9516e-06i,-0.00020397+0.0008419i,-0.00031243+0.00048727i,-0.00083555+0.00031576i,-0.00030269+0.00090831i,0.00055161+0.00083335i,0.00039431+8.5087e-05i,-0.00026591-0.00083054i,-0.00033035-0.0015101i,0.00051115-0.0015149i
0.00078077+0.001576i,0.0014936+0.0012096i,0.0019648+0.0010812i,0.0022872+0.00013403i,0.0026318-0.00034999i,0.0020512-0.00068291i,0.00055185-0.0011545i,-0.00065015-0.00093792i,-7.766e-05-0.00095507i,0.00055665-0.00094278i,0.00032581-0.00096545i,0.00028176+0.00031453i,2.2733e-05+0.0014925i,-0.00060961+0.00024291i,-0.0008014-0.00057191i,-0.00060891-6.3034e-05i,-0.000314+0.00023445i,-0.00029093+0.00034004i,-0.00080713-0.00010827i,-0.00078234-0.0004043i,-0.00013768-5.6397e-06i,-9.6757e-05-0.00024952i,-0.0004753-0.00098816i
-0.00082655-0.0013692i,-0.0011892-0.001715i,-0.00098222-0.0022765i,-0.00046703-0.0013554i,0.00032911-0.00014696i,0.0011769-0.00067068i,0.001377-0.0018345i,0.00091394-0.0014204i,0.00021674-0.00032081i,-0.00050812-1.3082e-05i,-0.0011993+5.0715e-05i,-0.0012017-5.629e-05i,-0.00017014-0.0004104i,0.00062534-0.00047663i,0.0010317-8.6376e-05i,0.0013947-0.00013119i,0.00070803-0.00057362i,-0.0001556-0.00087006i,0.00010548-0.00033296i,0.00052169-1.5002e-05i,0.00033622+5.6076e-05i,-0.00018507-0.00031914i,-0.00016514-0.00095433i
-0.00022364+0.00047029i,-5.2665e-05+0.0007466i,-0.00040632+0.0010456i,-0.00015616+0.00034127i,0.00061028-0.00050452i,0.00066595-0.00086101i,-0.00036503-0.0015743i,-0.00087156-0.0012262i,-0.0006188-0.00039878i,-0.00024537-0.00036972i,-0.00018196-0.0009101i,0.00027203-0.0012037i,0.00022125-0.00089022i,-0.00049038-0.00026424i,-0.0012226-0.00017661i,-0.0012051-0.00070838i,-0.00059894-0.0006299i,-0.00020735-8.2599e-05i,7.6071e-05+0.00088551i,0.00040361+0.0017395i,0.00042929+0.001598i,0.00040999+0.00079733i,0.00065393+0.00046269i
0.00047936-0.0011174i,0.0015177-0.0019863i,0.0015035-0.0011231i,0.00010943-5.517e-06i,0.00011107-0.00065781i,0.00071908-0.0019969i,0.00107-0.0023341i,0.00061674-0.0010035i,0.0003897+0.00021594i,0.00015137+0.00059197i,-0.0003202+0.00034089i,-0.00019568-0.00060444i,4.0185e-05-0.00074952i,0.00044808+7.6868e-05i,0.0010837+0.00049357i,0.00051892+0.00062122i,0.00025946-0.00028299i,0.00041283-0.0011794i,0.0003377-0.00033682i,-0.00031458+0.00029699i,-0.0011573-0.00010288i,-0.0011917-9.5001e-05i,-0.00086013-0.00060852i
-0.00094742-7.6885e-07i,-0.00055551-0.00087223i,0.0011201-0.0010552i,0.0018242-0.0012851i,0.00087111-0.0011178i,0.00028506-0.001148i,-0.00041442-0.0016138i,-0.00093639-0.001413i,-0.00035209-0.00093367i,-0.00036498-0.00082232i,-0.00045793-0.00030914i,-0.00031599+0.00041055i,-0.00066735+0.00017521i,-0.00081152-7.8579e-05i,-0.00031301-0.00022271i,0.00027758+0.00031551i,0.00050194+0.00035793i,7.6394e-05+0.0005915i,-0.00019431+0.0010518i,-0.00048636+0.00018476i,-0.001044-0.00023259i,-0.00035487-0.00042208i,0.00014282-0.0002805i
0.0017822-0.0014424i,0.0016172-0.0021293i,0.0013581-0.0020205i,0.00029284-0.0017233i,-0.00013852-0.0012411i,0.00062977-0.0013921i,0.00093118-0.0013104i,-5.6996e-05-0.00082336i,-0.00019428-0.00032536i,-0.00038589-0.0001756i,-0.0009145-0.00015747i,-2.7439e-05-0.00027773i,0.00076733+0.00071566i,0.00064038+0.0013351i,-0.00010129+0.00094905i,-0.00063531+0.0007066i,-0.00046374-0.00014366i,-0.00030777-0.00053603i,0.00032049+0.00020756i,0.00072914+0.00046484i,-0.00021316-0.0001404i,-0.00063416-0.00065467i,-0.00017843-0.00016681i
0.00171+0.0003119i,0.001397+0.00020728i,-9.514e-05-0.00071268i,-0.00089425-0.0013505i,-0.00011866-0.0014244i,0.00076987-0.0016662i,0.00060455-0.001571i,-0.00056369-0.00049609i,-0.00081686+0.00023259i,-0.00048364-5.891e-05i,-0.00064224-0.00010479i,-0.0010173+0.00070495i,-0.00083984+0.00075845i,-0.00020521+0.00075185i,-0.00049137+0.00012499i,-0.00046562-0.00023249i,9.3518e-05+0.00020793i,-0.00011024+0.00064616i,-0.00033222+0.0012041i,-0.00036305+0.00050786i,-0.00031925-0.00012733i,0.00030238-0.00012355i,0.00033122-6.3394e-05i
-0.00079447+0.00027228i,-0.00062751-0.0004546i,3.1888e-05-0.0002052i,2.8596e-06+0.00033576i,-0.0002698+0.000804i,0.00026336+0.00040778i,0.00066121-0.00061537i,0.00064505-0.0011267i,0.00019553-0.0015938i,-6.9547e-06-0.0012391i,0.0005455-0.00026271i,0.0012932+5.6908e-05i,0.0015681-0.00062831i,0.00091296-0.00072479i,0.00056478+0.0003907i,0.00034942+0.0004175i,-2.178e-05+0.00043216i,-0.00012255+0.0010736i,3.1874e-05+0.00038307i,0.00054147-0.00051498i,0.00076471-0.00010919i,0.00018196+0.00020447i,-0.00034173+0.00027873i
