-0.0023582+0.00056872i,-0.00094994-0.00035788i,-0.0011802-0.00066314i,-0.0010922+0.00032106i,-0.00049296+0.0010514i,-0.00027969+0.001085i,-0.00067921+0.0012531i,-0.00016647+0.0015134i,0.00029322+0.0018003i,0.00021249+0.00044939i,0.00051066-0.0011349i,-0.00025564-0.0013782i,-0.0007318-0.0006254i,9.0516e-05-0.00047383i,-0.00016358-0.0005864i,-0.00090561-0.00055716i,-0.0013744-0.0007515i,-0.001743-0.00064196i,-0.0010344-0.00013178i,-7.0716e-05+0.00094158i,4.9027e-05+0.001419i,-4.2884e-05+0.0010651i,0.00025534+0.00010409i
-0.00078343-0.0001714i,-0.0015304-0.00045152i,-0.0023668-0.0006473i,-0.0021588+0.00048747i,-0.00094401+0.0011193i,-0.00025534+0.00037336i,-0.00055589-0.0010693i,-0.00072912-0.00128i,-0.0008136-0.0003886i,-0.0012577+0.00029024i,-0.00089458+0.00033105i,-0.00019921+0.00030782i,-0.00043815+0.00048217i,-0.00085787+0.00011508i,-0.0010664-0.00062885i,-9.0051e-05-0.00054924i,0.00040166+0.00037218i,-0.00037233+0.00076415i,-0.00065771+0.00071399i,-0.00064485+0.00044679i,-0.00010636+0.00050934i,0.00036497+0.00022025i,0.00056568-0.00012924i
0.00076118-0.0014752i,-0.00037759-0.00036679i,-0.0022596+0.00068296i,-0.0026429+0.0017615i,-0.0017724+0.0024435i,-0.00018392+0.0016568i,-0.00019925+0.00042917i,-0.0012629-0.00076944i,-0.0012445-0.00089169i,-0.00035642-5.9755e-05i,0.00024138-0.00011934i,0.00033473-0.00035359i,-6.1086e-05-0.00082013i,-0.00047356-0.0013482i,-0.000655-0.00089371i,-0.00056196-0.00023707i,-0.00020918+0.00029941i,0.00018389+0.00031386i,8.1488e-05-0.00016973i,0.00016284-0.00024269i,0.00038474-0.00044807i,0.00030144-0.00018244i,-0.00085659+0.00088812i
0.00098671+0.00055804i,0.0022399-0.00036666i,0.0016879-0.00059291i,0.00025352-0.00063615i,-0.00087658-0.0013881i,-0.0014474-0.0014876i,-0.0012836-0.0010022i,-0.0010305-0.00085831i,-0.00025894-0.00044447i,7.8694e-05-4.0314e-05i,9.9528e-06+6.7854e-05i,8.3185e-05-0.0001197i,-0.0001733+5.8494e-05i,-0.00019793-1.5895e-05i,-0.00035114-9.0891e-05i,-0.00044792+6.5677e-05i,-0.00018263+0.00054849i,-0.00097679+0.0005769i,-0.0014581+0.00028568i,-0.00083209+0.00069448i,-0.00050752+0.00069471i,-0.00073436+0.00024506i,-0.00066717+0.00064029i
-0.00011405-0.00047406i,-0.0012584-0.00044391i,-0.0020594-0.00074892i,-0.001037+8.7659e-05i,-0.00080619+0.0008242i,-0.00087432+0.00099953i,-0.00065404+0.00065959i,-0.00075212-0.00016127i,-0.0003722-0.00092908i,0.00059837-0.00091433i,0.00092806-0.00017114i,0.00035234+0.00021116i,-0.00027854-0.00012231i,-0.0004589-0.00033247i,-0.00021432-5.6309e-05i,4.8416e-05+4.7652e-05i,0.00027993+0.00015806i,0.00040408+0.00015765i,0.00027285+0.00050277i,-0.00035069+0.00066827i,-0.00026118+0.00059903i,0.00044+0.00058125i,0.0002364+0.00046141i
-0.00099302-0.0011116i,-8.5617e-05-0.0020141i,-0.00068029-0.0026587i,-0.0014044-0.0012689i,-0.0008419+0.00068368i,0.0004523-5.0142e-05i,0.0008302-0.0012569i,0.00088225-0.00046136i,0.00081288+0.00047003i,0.00020602+0.00064825i,0.00028765-0.00041865i,0.001353-0.0015662i,0.0012329-0.0016091i,-5.5745e-05-0.00069003i,-0.00028727-0.0015519i,0.0001935-0.0017948i,0.00019607-0.00040946i,-0.00059068+0.00012105i,-0.00098451-0.00044604i,-0.00016635-0.00061207i,-0.00038187-0.00015698i,-0.00018634-0.00044858i,-7.2864e-05-0.0002485i
-0.00016169+0.00037657i,0.00046713-0.00097911i,0.0010554-0.00067417i,0.00098108+0.00020831i,0.0009624+0.00054004i,0.00067677-0.00018382i,0.00016182-0.00073286i,0.00035122-0.00043765i,8.6881e-05+0.00014172i,-0.00022359-0.00018177i,1.4233e-06-0.00045557i,-8.2772e-05-0.00027161i,-0.00017982-3.4498e-05i,-0.00075625+0.00032719i,-0.0010636-0.00015773i,-0.00041114-0.000238i,0.00030615-7.1798e-06i,0.00076536-0.00063601i,0.00089315-0.0011695i,0.00031773-0.00076778i,-0.00028554-0.00045021i,-0.0003026-3.1118e-05i,-0.00023869+0.0003435i
0.00040979+0.0027722i,0.00041564+0.00177i,-0.00028404+0.00023185i,-0.00078771-0.00096619i,-0.0010393-0.00088268i,-0.001216-0.00086607i,-0.00094592-0.00096524i,-0.00090056-0.00058966i,-0.00057286-0.00012766i,0.00016446+0.00028682i,0.00058678+0.0003501i,0.00059409+0.00055187i,0.00037922+9.5723e-06i,0.00071821-0.00084096i,0.0006145-0.00041244i,0.00068619-7.8127e-05i,0.00058462+0.0004509i,0.00022209+0.00065183i,5.8719e-05-0.00021139i,-0.00023499+0.00017628i,0.00024062+0.00065576i,0.00067891+7.8901e-05i,-0.00010461-0.00015946i
0.00070195+0.0014458i,0.0011023+0.00075807i,0.0012681-0.0002025i,0.0011651-0.00056113i,0.00019109-0.0010735i,-0.00051146-0.00083335i,-0.00088907-4.3291e-05i,-0.00081445+0.00048886i,2.441e-05+0.00049365i,0.00056318+0.00014505i,0.00064001-0.00016013i,0.00012381+0.00017504i,-0.00097252+5.9834e-05i,-0.00070489+0.00014873i,0.00039534-0.0002379i,0.00042846-0.00060008i,-0.00049406-0.0003768i,-0.00058438-0.00058692i,-0.00042504-0.00035845i,-0.00070521+3.4978e-05i,-0.00010687+0.00030548i,0.00014872+0.00034509i,9.0515e-05-1.059e-05i
-0.0014814-0.00079506i,-0.001533-0.0019267i,-0.0012609-0.0018091i,-0.00028479-0.00041582i,8.6057e-05+0.001059i,-3.8077e-05+0.00038965i,0.00032032-0.00088416i,0.00019049-0.00084522i,-0.00013301-0.00047749i,0.00033754-0.00049627i,0.00092609-0.00034981i,0.0014156+0.00017113i,0.00040507-0.00048206i,-0.00084994-0.00070264i,-0.00088854+7.846e-05i,-0.0010986+0.00025225i,-0.0010785-0.00022047i,-0.00038509+0.00035213i,0.00047476+0.0005422i,0.00081674-0.0007356i,0.00046899-0.0011244i,-0.00032322-0.00023179i,-0.00049439+0.00018953i
0.00032871+0.0017011i,0.00010412+0.0017512i,-0.00065861+0.00094581i,-0.00085196+7.9493e-05i,-9.4768e-05+0.0001693i,0.00033847+0.0003687i,-0.00063212-0.00020753i,-0.0011062-0.00084646i,-0.00018576-0.00078608i,0.00052246-0.00061448i,0.00084219-0.00022633i,0.0013128-4.2969e-05i,0.0011833-0.00027766i,0.00033201-0.00015271i,-0.00047941-0.00019867i,-0.00045158-0.0011503i,0.0002201-0.0013965i,0.00025555-0.00077207i,-7.9606e-05-0.00031185i,-0.00015347+0.00039394i,5.168e-05+0.0001319i,0.0004475-0.00039906i,0.00033553-0.00031901i
