-0.0052415-0.0026131i,-0.0042002-0.001927i,-0.0041088+0.000362i,-0.0025725+0.0011873i,0.00014743+0.0013554i,0.0002213+0.00050587i,-0.0011712+6.5701e-05i,-0.00015888+0.0012685i,0.00135+0.0017157i,0.0015192+0.00074505i,0.00117+0.00014545i,4.7605e-05-0.00013154i,0.00036305-0.00088889i,0.0012931-0.0005843i,0.00087548+0.00051098i,0.00050434+0.000613i,-0.00049719+4.3948e-05i,-0.0012949+8.6431e-06i,-0.00055898+0.00062978i,-1.8643e-05+0.00078134i,-0.00027139+0.00060866i,-0.00041461+0.00039133i,-0.00066732+0.00011341i
-0.00096436-0.0010229i,-0.0012748-0.00010212i,-0.0011172+0.00085615i,2.2562e-05+0.0006801i,0.00080628+0.00014375i,0.0011114-0.00061142i,0.00054206-0.00091804i,-0.00045116-0.00055915i,-0.00037503-0.00038431i,0.00041269-4.0641e-05i,0.000651+0.0010392i,0.00012692+0.00096663i,-0.00058523+0.00041899i,-0.0011744+0.00035976i,-0.00069749-0.00045185i,-3.2151e-05-0.00062572i,0.00017954-0.00040805i,-6.2267e-05-0.00073861i,-5.2375e-05-0.00072216i,7.8818e-05-2.0129e-05i,0.00058468+0.00029725i,0.00029501+0.00041754i,0.00041053+0.00058187i
-0.001339-0.00023883i,-0.0014704-7.2813e-05i,-0.00083512+0.0010132i,0.00010168+0.0013641i,0.00022196+0.0003176i,-0.00035417-0.00061418i,-6.9014e-05-0.00070493i,0.00053524-0.00025735i,0.00010774+0.00099132i,-0.00010342+0.00088245i,0.0001447-9.7846e-05i,0.0003346-0.00069958i,0.0005074-0.00064391i,0.00032161-0.00030038i,0.00030365-0.00019486i,7.7909e-05+0.00034853i,-0.000333+0.00049162i,-0.00032167+0.00011296i,-0.00011721-5.172e-05i,0.00047091+0.00069514i,0.00051805+0.00021895i,0.00010271-0.0010532i,0.00034342-0.00062055i
0.00048516+0.00084911i,0.00017419+0.0012783i,-0.00044956+0.0012763i,2.4124e-05+0.0003941i,0.00039714-0.00052782i,0.0002514-0.0011602i,0.00033954-0.00066384i,-0.00014551+0.00022276i,-4.913e-05+0.00010546i,8.1055e-05-0.00013927i,-5.7587e-05+0.00030714i,-0.00029831+0.00035025i,-0.00030604+0.00031115i,0.00048063+0.0004976i,0.0004085-0.00014441i,0.00044654-0.00075342i,0.00047336-0.00068545i,0.00067412-0.0010717i,0.0001289-0.0010116i,-0.000663+0.00038234i,-0.00026046+0.0001511i,9.9647e-05-0.00065326i,-0.00038455+7.4785e-06i
-0.0013058-0.0018856i,-0.0014982-0.0013178i,-0.0010352-0.00053919i,-0.00017374+0.00070196i,0.00060222+0.00089233i,0.00091419+0.00012337i,-7.0426e-05-0.00026487i,-0.00075517-0.00021158i,-0.00065219+0.00010637i,-0.00024568+0.00075717i,-0.00022245+0.0010877i,-0.00033359+0.00038693i,-5.5233e-05+8.4124e-05i,-0.00041049-0.00016748i,-0.0010214-0.00033558i,-0.00058333-0.00034821i,0.00018235+0.00013956i,0.00062625+1.8869e-05i,0.000334-0.00071939i,-0.00022568-0.00010484i,-0.00066191+0.00056541i,-0.00048165+0.0001842i,-0.00060598-0.00033304i
0.00054185-0.00049777i,0.00021795-0.001154i,6.3443e-06-0.0018545i,-0.00033816-0.0010514i,-0.00023186+3.273e-05i,6.7649e-05+0.00065374i,-0.0001932+0.00083811i,-0.00036637+0.00018768i,-0.00048084+0.00028246i,-0.00017216+0.00060734i,-5.3953e-05+0.00063652i,5.344e-05+0.00011782i,-0.0004953-9.6436e-06i,-0.00088324+0.00018915i,-0.00016891-0.00035482i,1.8219e-05-0.00022985i,-0.00038552+5.3505e-05i,-0.00071009-0.00044502i,-0.001287-0.00029695i,-0.00089183-0.00017568i,0.00014083-0.00072468i,0.00026787-0.00032515i,-0.00013246+0.00083756i
-0.0015458-0.00068809i,-0.00079012-0.00045215i,-0.00018068+0.00041174i,0.00010645+0.00071982i,4.7972e-05+0.00015381i,-0.00035907-0.00065738i,-0.00076382-0.00039798i,-0.0011375+0.00065507i,-0.00064827+0.00065623i,-0.00027204+0.00046117i,-8.5913e-05+0.00064051i,-0.00025572+0.00061013i,-0.00029635+0.00046837i,6.6151e-05+0.00044673i,-9.6934e-05+0.00028238i,-0.00053832-0.00024968i,-0.00053782+6.499e-05i,-0.00041661+8.9053e-05i,-8.0241e-05+0.00011286i,-0.0004054+0.00071952i,-0.00064826-0.00022118i,0.00033933-0.00053524i,0.00069305+2.9557e-05i
-0.0010929-0.00040474i,-0.000719-0.00010966i,-0.0005317+0.0003884i,1.5023e-05+0.00058576i,0.0013547-8.2404e-05i,0.0019236-0.00014606i,0.001029+0.00047633i,0.00034267+0.00040529i,-0.00017728+0.00056338i,-0.00046077+0.00049482i,0.00019586-3.5915e-05i,0.00070266-0.00023088i,0.00075632-0.00021877i,0.00019656-4.2379e-05i,0.00030673+8.3509e-05i,0.0008607+0.00020156i,7.0496e-05+0.00036319i,-0.00058294+0.00025117i,8.5861e-05+1.9593e-05i,0.00050574+0.00022019i,9.3868e-05+0.00072695i,0.0001916+0.00021604i,0.00081902-0.00037605i
-0.00099087-0.00074768i,-0.0011961-0.00033579i,-0.0015741+0.0013506i,-0.0010259+0.0018167i,-0.00021743+0.00093015i,0.00017013+0.00057423i,7.4586e-06+0.0010485i,-0.00026102+0.0007905i,-0.00024117+8.9987e-05i,0.00035384-6.0477e-05i,0.0011339+0.00019409i,0.00078901-0.00024148i,-0.00010708+0.00049467i,8.3441e-05+0.0013404i,0.00014038+0.00095107i,0.00010532+0.0006018i,-0.00016347-0.00032824i,-0.0001429-0.0010487i,-5.1579e-05-0.00069134i,3.2383e-05-0.00012387i,0.00050872+0.00018507i,0.00039716-0.00015073i,-0.00041276-0.00043876i
-0.0015997-0.0021141i,-0.0017441-0.0017571i,-0.0013426-0.00040088i,-0.00049297-4.9775e-05i,0.00036251+1.7007e-06i,0.00053319+3.4704e-05i,9.6531e-05+0.00010793i,-0.00033089+0.00012672i,-2.7206e-05-0.00049807i,0.00030985-0.00098751i,-5.2914e-05-0.00023296i,0.00042583+0.0006032i,0.0006705+0.000328i,0.00040566-5.3187e-05i,6.0418e-05+0.00014699i,-0.00036939+0.00030554i,0.00011304-0.00046917i,0.00066546-0.00080887i,0.00015646-0.00018231i,-0.00022066-0.00046678i,-0.00020703-0.00085284i,2.3553e-05-0.00082313i,0.00054795-0.00065388i
-0.0012316+0.00044927i,-0.001042+0.00090709i,-0.0016522+0.0014885i,-0.0013066+0.0016018i,-0.00067758+0.00060394i,0.00044606-0.00088579i,0.0013105-0.00077837i,0.0008619+0.00025077i,-0.00044634+0.00099769i,-0.0011051+0.0012244i,-0.00098093+0.00095366i,-0.0010533+0.00040171i,-0.0011109-0.00022578i,-0.00037159-0.00021647i,0.00043845+0.00017218i,0.00037658+0.00024675i,-0.00035141+3.9978e-05i,0.00016101-3.6453e-05i,0.0012416-0.00042084i,0.00090691-0.00059742i,6.706e-05+0.00013997i,0.0002207+0.00061866i,0.00053644+0.00026626i
-0.00035927-8.2316e-05i,0.00088055-0.00027166i,0.00075284+2.2758e-05i,5.0733e-05+0.00013883i,0.00027891+0.00037934i,0.00086699+0.0012002i,0.00085905+0.0011138i,0.00023676+0.00019375i,-0.00030925-0.00048706i,4.0235e-05-0.00053756i,0.00059921+0.00026278i,0.0012137+0.00033036i,0.0013028+0.00041203i,0.0012598+5.3704e-05i,0.0010932-0.00077724i,0.0004464-0.00079336i,-1.0402e-05-0.00060188i,6.0688e-05-0.00018149i,0.00067673-0.00033846i,0.00087001-0.00037891i,0.00055161-0.00049656i,0.00041491-0.00067331i,-0.00018653-0.00027175i
0.00058023-0.00066584i,0.0003728-0.0010384i,-0.0001833-0.0013433i,-0.0005497-0.0012893i,-0.00016139-0.00044464i,0.00011916+0.00034012i,-0.00014159+0.00025691i,6.0909e-05-0.0001773i,-0.00037659+0.00035601i,-0.0016548+0.0013635i,-0.0014567+0.0007878i,-0.00083255+0.00079303i,-0.00041396+0.0009084i,5.7718e-05+0.00021473i,0.00022649+2.1558e-05i,0.00019945+0.00070012i,0.00031293+0.0012185i,5.569e-05+0.0010757i,-0.00058903+0.0006834i,-0.00088395+0.00018571i,-0.00036091+0.00032335i,0.0003656-0.00012108i,-6.539e-05-0.00094176i
-0.0027516-0.0013536i,-0.0022778+2.368e-05i,-0.0020911+0.00064216i,-0.0009927+0.00061587i,9.9469e-05+0.00058879i,0.00015114+0.00031919i,-9.1571e-05-0.00012866i,-0.00037513-0.00070109i,-0.00041108-0.00033342i,-7.2002e-05+0.00032539i,0.0003395-8.9568e-05i,0.00042952+0.00016953i,-0.00039093+0.00047138i,-0.00054982-0.00029465i,-0.00017711-0.00039881i,0.00012364-0.00037733i,0.00040857+0.00028475i,8.8762e-05+0.00068858i,-0.00050829+0.00027977i,0.00014975+0.00075878i,0.00027272+0.0013395i,-4.6341e-05+0.0011568i,0.00011441+0.00064366i
-0.00096628-0.0021875i,-0.00078017-0.0013912i,-0.0016169+9.6639e-05i,-0.0017078+0.0014911i,-0.0010564+0.0016334i,-0.00033974+0.00093674i,0.00084519+0.00027259i,0.0005851-0.00041386i,-0.00018385-0.00048547i,-0.00067098-7.4453e-05i,-0.00074898+0.0005442i,-0.00020957+0.00066778i,-0.000568-9.4455e-05i,-0.0011327-2.5133e-05i,-0.0015951+0.00046392i,-0.0010983-0.00011698i,-2.5838e-05-0.00064404i,0.0010348-9.4831e-05i,0.0015103+0.00021931i,0.0011158-0.00044308i,-0.00044286+9.3825e-06i,-0.00049398+0.00036169i,0.00054926-2.0356e-05i
0.00050305-0.0013285i,-0.00087796-0.00071088i,-0.0012076-0.00024841i,-0.00095905+6.7184e-05i,-0.00022408-0.00039046i,0.0007167-0.00049444i,0.0011194-6.1378e-06i,0.0011582-3.5923e-05i,0.00059114-0.00062139i,-0.00033501-0.00034192i,-0.0005037+0.00052558i,-0.00028672+0.00045723i,-0.00036553-0.00014123i,-0.0002987-0.00016274i,8.5031e-05+0.0001206i,3.0527e-05+0.0001832i,-0.00058402+0.00017675i,-0.00037928-4.3446e-05i,0.00024862+0.00015124i,0.00035246+0.0006509i,0.00041991+0.00023168i,0.00053996+0.00013709i,0.00078475-0.00030178i
-0.0019891-0.0034061i,-0.0016246-0.0015119i,-0.0021127-0.00044229i,-0.0018381+0.0012979i,-0.0010462+0.001866i,-0.00010699+0.00075788i,7.1827e-05+0.00081518i,-0.00037913+0.00097925i,-0.00033238+0.00037509i,3.3139e-05+0.00069899i,0.00033622+0.00099379i,3.71e-05+0.00093848i,1.5136e-05+0.00079836i,-0.00015195+0.00086983i,-0.00090118+0.0007996i,-0.00051078+0.00037709i,0.00067031+0.00035625i,0.00048502+0.00067811i,-0.00017684+0.00098806i,0.00019099+0.0012019i,0.00039172+0.0008221i,0.00014654+0.0011139i,-0.00072613+0.0015857i
0.0011419-0.00090197i,0.00039881-0.0013292i,-0.00036829-0.00097875i,7.1319e-05-0.00060764i,0.00070605-0.00040194i,0.00062517-0.00090629i,0.00094297-0.00091186i,0.00063798-0.00035542i,6.2391e-05-0.00054299i,-0.00056921-0.00040443i,-0.00089983-0.00040495i,-0.00016107-0.00019828i,0.00016733+0.00051255i,0.00010516+0.00075164i,-0.00022809+0.00036817i,-0.00046665+0.00013841i,0.00020494+0.00037605i,0.00066559+0.00059464i,0.00018214+0.00062638i,-3.1976e-05+0.00049026i,0.00017791+0.00028308i,-8.8182e-05-7.3241e-05i,-0.00062164-3.6809e-05i
-0.001018+0.00070721i,-0.00079542+0.00030992i,-0.00066+0.00039345i,-0.00017221+0.00077188i,0.00041049+0.00043538i,0.0008806-0.00032362i,0.00043814+0.00010898i,0.00016761+0.0012199i,0.00045915+0.0014475i,0.00050315+0.00088319i,0.00013754-6.0388e-06i,-0.00040738-0.00094655i,0.00018077-0.0011508i,0.00090242-0.00064793i,8.2688e-06+0.00012173i,-4.792e-05-3.2235e-05i,0.00060432-0.00061135i,0.00059245-0.00088102i,0.00018616-0.0010214i,0.00078541-0.00089285i,0.0010512-0.00054523i,0.0001602-0.00062785i,-0.00068422-0.00082404i
0.0004741-0.0013603i,-0.00044243-0.0013687i,-0.00061355-0.00018184i,2.045e-05-0.00019832i,0.0011849-0.0005499i,0.0014022-0.00023334i,0.00099728+9.7895e-05i,0.0011768-0.00027922i,0.0012504-0.00030821i,0.00082115+0.00023281i,9.6162e-06-0.00019007i,-0.0012212-0.00047687i,-0.00090217+0.00019228i,0.00039733+0.00039285i,0.0010318+0.00025409i,0.00062587+8.484e-05i,0.00029189-0.00018875i,-0.00017136-0.00067941i,-0.0013112-0.00099869i,-0.00083394-0.00034809i,-0.00017354+0.00063758i,-0.00061177+3.6513e-05i,-4.936e-05-0.0007559i
0.0014684+0.00029942i,0.00033166+0.00083042i,-0.00027905+0.0010923i,-0.00049526+0.00010418i,-0.0012176-0.00043778i,-0.00089128-0.0001473i,-0.00017166+9.183e-05i,0.00018163+0.00070397i,0.00019991+0.00077561i,-0.00014672+4.0576e-06i,-0.00034775-0.00046957i,-0.00044494-0.00010271i,-2.6805e-05-0.00010686i,0.00082648+0.00024416i,0.00022761+0.00043477i,-0.00026684+0.00022784i,0.0001251+5.5739e-05i,-8.4948e-05+0.00014052i,-7.0602e-05+0.00095228i,0.00022698+0.0012148i,0.00023197+0.0010532i,0.0003002+0.0010554i,0.0001428+0.00087824i
